0,,Latitude,Longitude,Application/Permit Number
207,,47.50577922,-122.37904611,6532215
208,,47.6330392,-122.29107196,6532211
209,,47.591248,-122.31692194,6532202
210,,47.59508663,-122.33379573,6532201
211,,47.68782755,-122.35886209,6532193
212,,47.58975166,-122.3109657,6532192
213,,47.58972763,-122.31079965,6532191
214,,47.5257638,-122.34773802,6532189
215,,47.6868416,-122.27504079,6532188
216,,47.55277588,-122.26933456,6532184
217,,47.62672459,-122.3492398,6532175
218,,47.6896685,-122.34333417,6532171
219,,47.6896685,-122.34333417,6532171
220,,47.6896685,-122.34333417,6532171
221,,47.61375188,-122.3356752,6532165
222,,47.61275016,-122.33686713,6532164
223,,47.6581237,-122.28459377,6532160
224,,47.63796809,-122.36189662,6532158
225,,47.60219778,-122.33348074,6532157
226,,47.68830367,-122.38131153,6532156
227,,47.53759206,-122.36776794,6532152
228,,47.71171801,-122.28186091,6532148
229,,47.6489943,-122.40867107,6532145
230,,47.66963325,-122.36376961,6532138
231,,47.6110942,-122.30833083,6532130
232,,47.67176172,-122.3276864,6532129
233,,47.68115257,-122.37497909,6532128
234,,47.61100001,-122.30862275,6532126
235,,47.60219778,-122.33348074,6532125
236,,47.65858458,-122.40335088,6532124
237,,47.6132448,-122.33224529,6532120
238,,47.56702138,-122.2882055,6532116
239,,47.65162035,-122.31294263,6532115
240,,47.6461169,-122.35729113,6532113
241,,47.62498078,-122.33884523,6532112
242,,47.59777605,-122.3184105,6532106
243,,47.67863844,-122.35715224,6532110
244,,47.62180794,-122.33625748,6532109
245,,47.55086231,-122.37195821,6531869
246,,47.61811095,-122.3390982,6532105
247,,47.5808202,-122.39447542,6531823
248,,47.7144119,-122.35988933,6531946
249,,47.63100625,-122.38282969,6532103
250,,47.63100625,-122.38282969,6532100
251,,47.58864636,-122.31137023,6531902
252,,47.5540511,-122.32102018,6532098
253,,47.64244975,-122.41124546,6532096
254,,47.67061772,-122.33724846,6532092
255,,47.6165693,-122.32380517,6532087
256,,47.65790684,-122.27839385,6532084
257,,47.69033207,-122.34652097,6532078
258,,47.68856696,-122.37195954,6532080
259,,47.68856696,-122.37195954,6532080
260,,47.68856696,-122.37195954,6532080
261,,47.60869743,-122.33589922,6532071
262,,47.67712992,-122.35716435,6532070
263,,47.57904327,-122.39789824,6532065
264,,47.60699704,-122.33482036,6531959
265,,47.62195673,-122.35780864,6532055
266,,47.5454745,-122.36130949,6532053
267,,47.60896713,-122.33482136,6532040
268,,47.58239532,-122.39424956,6532039
269,,47.60528409,-122.33628113,6532007
270,,47.60896713,-122.33482136,6532034
271,,47.55332828,-122.32060368,6532026
272,,47.59076466,-122.31246619,6532027
273,,47.55332828,-122.32060368,6532020
274,,47.58745634,-122.2933258,6532013
275,,47.58745634,-122.2933258,6532013
276,,47.6102272,-122.3374679,6532012
277,,47.60616219,-122.33166297,6532010
278,,47.63813605,-122.30446937,6532009
279,,47.72847468,-122.33535443,6532002
280,,47.58746843,-122.30974901,6531999
281,,47.72752839,-122.35871952,6531997
282,,47.68732951,-122.32242635,6531996
283,,47.71782798,-122.31453442,6531993
284,,47.69329247,-122.34562075,6531984
285,,47.63298877,-122.28802916,6531976
286,,47.54539968,-122.37883122,6531710
287,,47.6021968,-122.33131527,6531975
288,,47.63806385,-122.36259694,6531574
289,,47.57403508,-122.33644931,6531971
290,,47.60024388,-122.33509165,6531970
291,,47.6278865,-122.34583629,6531969
292,,47.6278865,-122.34583629,6531969
293,,47.67269173,-122.37853478,6531968
294,,47.54317082,-122.27742301,6531967
295,,47.61409589,-122.33914639,6531964
296,,47.68755089,-122.39472804,6531957
297,,47.65641846,-122.27836279,6531956
298,,47.60849819,-122.33925931,6531950
299,,47.60528498,-122.33168842,6531945
300,,47.65159696,-122.37463915,6531942
301,,47.58924534,-122.33567914,6531941
302,,47.64073229,-122.36125088,6531940
303,,47.64481987,-122.3199828,6531939
304,,47.59806524,-122.33476644,6531938
305,,47.67607777,-122.29705641,6531937
306,,47.67925252,-122.37061071,6531936
307,,47.61387582,-122.32525567,6531935
308,,47.65672318,-122.27601156,6531934
309,,47.58160181,-122.31414073,6531933
310,,47.58160181,-122.31414073,6531933
311,,47.63939533,-122.27755306,6531932
312,,47.52469436,-122.33253749,6531931
313,,47.57445025,-122.38225507,6531930
314,,47.69647068,-122.31717551,6531929
315,,47.69647068,-122.31717551,6531929
316,,47.69139827,-122.33135594,6531928
317,,47.67354401,-122.28513324,6531927
318,,47.61481256,-122.31257659,6531925
319,,47.6988662,-122.36110077,6531924
320,,47.68007007,-122.39449021,6531923
321,,47.67642747,-122.39546731,6531922
322,,47.5793802,-122.30880057,6531921
323,,47.57918927,-122.31495687,6531920
324,,47.57919509,-122.31497146,6531919
325,,47.55961839,-122.28947535,6531918
326,,47.69053514,-122.30531809,6531915
327,,47.69767022,-122.37347631,6531914
328,,47.63758549,-122.3628751,6531913
329,,47.6844309,-122.2897799,6531912
330,,47.70205683,-122.33612268,6531909
331,,47.67542106,-122.26559008,6531908
332,,47.67542106,-122.26559008,6531908
333,,47.62046113,-122.33074095,6531907
334,,47.61407981,-122.28365821,6531906
335,,47.54630381,-122.36547028,6531905
336,,47.62469708,-122.31024775,6531901
337,,47.60896713,-122.33482136,6531897
338,,47.65328247,-122.34628467,6531894
339,,47.65328247,-122.34628467,6531894
340,,47.55224086,-122.39533733,6531891
341,,47.56986711,-122.34897388,6531878
342,,47.55274114,-122.37868644,6531876
343,,47.60573523,-122.33029353,6531867
344,,47.70855114,-122.30189256,6531866
345,,47.66254942,-122.29966056,6531857
346,,47.68790194,-122.39276077,6531850
347,,47.68790194,-122.39276077,6531850
348,,47.68790194,-122.39276077,6531850
349,,47.68790194,-122.39276077,6531850
350,,47.5360747,-122.35149671,6531849
351,,47.56822316,-122.39778144,6531847
352,,47.59761395,-122.29844199,6531845
353,,47.58553216,-122.32512152,6531843
354,,47.61449116,-122.32871033,6531827
355,,47.66254942,-122.29966056,6531826
356,,47.60528409,-122.33628113,6531528
357,,47.70417092,-122.34672107,6531567
358,,47.58864636,-122.31137023,6531547
359,,47.65759683,-122.35138503,6531819
360,,47.5540511,-122.32102018,6531812
361,,47.50367838,-122.26452097,6531807
362,,47.50381028,-122.26453268,6531804
363,,47.62037814,-122.32045216,6531802
364,,47.62037814,-122.32045216,6531802
365,,47.61853026,-122.29514534,6531800
366,,47.70202093,-122.36255847,6531799
367,,47.70202093,-122.36255847,6531799
368,,47.62251637,-122.33391663,6531793
369,,47.62251637,-122.33391663,6531795
370,,47.68165687,-122.29066328,6529677
371,,47.66963325,-122.36376961,6531786
372,,47.63115019,-122.34276073,6531784
373,,47.63115019,-122.34276073,6531780
374,,47.61431133,-122.34245444,6531783
375,,47.56861324,-122.3891457,6531781
376,,47.56861324,-122.3891457,6531781
377,,47.6086266,-122.32373921,6531776
378,,47.6086266,-122.32373921,6531774
379,,47.55571477,-122.27061975,6531777
380,,47.61668575,-122.33683808,6531772
381,,47.65456812,-122.3093467,6531771
382,,47.61130513,-122.33845114,6531770
383,,47.63383468,-122.27625869,6531767
384,,47.61429877,-122.35264196,6531763
385,,47.64827306,-122.33575265,6531757
386,,47.60642294,-122.33582172,6531755
387,,47.56107397,-122.27478499,6531754
388,,47.68710815,-122.38136626,6531656
389,,47.60884785,-122.32194221,6531749
390,,47.60884785,-122.32194221,6531746
391,,47.53049559,-122.28838657,6531745
392,,47.63000694,-122.33960963,6531748
393,,47.6143853,-122.33872658,6531744
394,,47.66838421,-122.3361114,6531679
395,,47.5261871,-122.26159885,6531673
396,,47.67724011,-122.29127498,6531735
397,,47.61567457,-122.33504589,6531734
398,,47.71923427,-122.31103709,6531725
399,,47.61445083,-122.32272831,6531731
400,,47.61192997,-122.33718625,6531730
401,,47.54649992,-122.32139903,6531720
402,,47.62613023,-122.36187825,6531718
403,,47.54640271,-122.32158047,6531716
404,,47.53197266,-122.31223954,6531711
405,,47.54539968,-122.37883122,6531710
406,,47.59867342,-122.33520646,6531708
407,,47.63017865,-122.30211273,6531707
408,,47.61089077,-122.32933488,6531706
409,,47.61089077,-122.32933488,6531705
410,,47.61089077,-122.32933488,6531704
411,,47.54187902,-122.32715262,6531702
412,,47.62000164,-122.29835936,6531700
413,,47.6050825,-122.30929579,6531699
414,,47.60210902,-122.29182823,6531694
415,,47.55813152,-122.31891348,6531693
416,,47.69498033,-122.38705011,6531692
417,,47.71487297,-122.32959966,6531691
418,,47.64226316,-122.39927707,6531690
419,,47.54176768,-122.37350728,6531689
420,,47.53074516,-122.28492059,6531688
421,,47.60227089,-122.33203347,6531697
422,,47.67723721,-122.31282416,6531687
423,,47.67060512,-122.3622614,6531684
424,,47.70886684,-122.32216976,6531682
425,,47.59941516,-122.32858898,6531681
426,,47.54103544,-122.33767447,6531668
427,,47.55209464,-122.27728177,6531678
428,,47.60849819,-122.33925931,6531667
429,,47.71435367,-122.27988225,6531664
430,,47.68828972,-122.29253654,6531663
431,,47.68828972,-122.29253654,6531663
432,,47.61534104,-122.34845928,6531662
433,,47.60838814,-122.31312008,6531661
434,,47.60969943,-122.32144959,6531660
435,,47.7259067,-122.31212397,6531659
436,,47.7259067,-122.31212397,6531659
437,,47.61445461,-122.32419357,6531658
438,,47.68710815,-122.38136626,6531657
439,,47.60472034,-122.33262325,6531655
440,,47.55662143,-122.33729385,6531654
441,,47.55190554,-122.30600326,6531652
442,,47.55190554,-122.30600326,6531652
443,,47.64958112,-122.40038482,6531651
444,,47.6366526,-122.36261489,6531649
445,,47.57946978,-122.38100175,6531648
446,,47.72960111,-122.28435411,6531647
447,,47.70728669,-122.31101762,6531646
448,,47.67968887,-122.38352405,6531645
449,,47.67968887,-122.38352405,6531645
450,,47.64071484,-122.27613688,6531644
451,,47.56111697,-122.27600798,6531643
452,,47.62072982,-122.34332899,6531641
453,,47.5597621,-122.28951734,6531640
454,,47.55976207,-122.28952038,6531639
455,,47.55975995,-122.2895183,6531638
456,,47.68009443,-122.3243323,6531637
457,,47.66761574,-122.31273275,6531635
458,,47.60220629,-122.31103284,6531634
459,,47.6021575,-122.31128616,6531633
460,,47.54385905,-122.3001984,6531631
461,,47.69968979,-122.32095824,6531630
462,,47.6102272,-122.3374679,6531629
463,,47.63758549,-122.3628751,6531628
464,,47.6102272,-122.3374679,6531627
465,,47.6102272,-122.3374679,6531626
466,,47.59123955,-122.28670164,6531625
467,,47.6102272,-122.3374679,6531624
468,,47.72043548,-122.33176989,6531622
469,,47.55737071,-122.38111466,6531611
470,,47.51463802,-122.26503247,6531610
471,,47.66176819,-122.41554208,6531609
472,,47.59698166,-122.28848981,6531604
473,,47.60779023,-122.3201477,6531607
474,,47.56395201,-122.39450215,6531602
475,,47.7219624,-122.28520513,6531603
476,,47.67923996,-122.30854929,6531599
477,,47.63850466,-122.3548106,6528017
478,,47.67038126,-122.32940694,6531448
479,,47.6932559,-122.31624382,6531452
480,,47.56578728,-122.27415745,6531225
481,,47.64516577,-122.39333023,6531593
482,,47.60967252,-122.33230646,6531591
483,,47.59544395,-122.33160773,6531590
484,,47.61070574,-122.34137594,6531588
485,,47.59188625,-122.29901909,6531142
486,,47.58507793,-122.39842622,6531583
487,,47.69257432,-122.34681437,6531581
488,,47.69257432,-122.34681437,6531581
489,,47.57463923,-122.31102662,6531579
490,,47.55962614,-122.28675464,6531580
491,,47.63360384,-122.39093238,6531578
492,,47.60779023,-122.3201477,6531575
493,,47.65078247,-122.39794342,6531572
494,,47.56600353,-122.36942834,6531568
495,,47.55952775,-122.36332508,6531566
496,,47.5658679,-122.36957376,6531563
497,,47.65503651,-122.34431522,6531560
498,,47.56586818,-122.3694264,6531558
499,,47.516846,-122.39696061,6531556
500,,47.688163,-122.31535942,6531553
501,,47.5796627,-122.30462523,6531549
502,,47.50803944,-122.26447437,6531541
503,,47.61296669,-122.33927313,6531546
504,,47.67244383,-122.32629581,6531535
505,,47.58024411,-122.29333409,6531544
506,,47.68164853,-122.35710899,6531540
507,,47.61002691,-122.32223697,6531539
508,,47.5227624,-122.32919947,6531531
509,,47.58447944,-122.39325619,6531529
510,,47.71277265,-122.28094135,6531527
511,,47.63769779,-122.32422506,6531524
512,,47.6507546,-122.27845636,6531522
513,,47.66460363,-122.31559188,6531514
514,,47.6244649,-122.32125619,6531513
515,,47.53138036,-122.29819236,6531509
516,,47.69877678,-122.38716655,6531505
517,,47.6070606,-122.30967102,6531504
518,,47.68457917,-122.33193731,6531503
519,,47.68874911,-122.3006235,6531502
520,,47.69995133,-122.37519074,6531500
521,,47.6514249,-122.3849856,6531501
522,,47.6514249,-122.3849856,6531501
523,,47.60189636,-122.32183433,6531497
524,,47.72711358,-122.29756315,6531499
525,,47.55960801,-122.38199163,6531495
526,,47.64618505,-122.30587307,6531498
527,,47.68551994,-122.3712004,6531493
528,,47.67486666,-122.38055378,6531496
529,,47.67479434,-122.38055366,6531494
530,,47.69206325,-122.37873187,6531487
531,,47.6968731,-122.37243878,6531486
532,,47.71927298,-122.31651395,6531491
533,,47.6867286,-122.34518284,6531485
534,,47.72636634,-122.35931739,6531483
535,,47.68785821,-122.31303114,6531481
536,,47.59903092,-122.33462845,6531480
537,,47.57824629,-122.38897514,6531474
538,,47.63025824,-122.36160122,6531477
539,,47.69258889,-122.3518594,6531475
540,,47.64932805,-122.35188126,6531469
541,,47.69342355,-122.31738605,6531466
542,,47.57353629,-122.37787408,6531468
543,,47.63392716,-122.28023081,6531463
544,,47.67985766,-122.32336123,6531460
545,,47.59806524,-122.33476644,6531456
546,,47.63113345,-122.35589595,6531395
547,,47.66673716,-122.38310905,6531386
548,,47.63218619,-122.34882699,6531387
549,,47.56853082,-122.38705173,6531447
550,,47.61130936,-122.33660721,6531442
551,,47.65402635,-122.328346,6531441
552,,47.6413977,-122.39534607,6531440
553,,47.66511227,-122.36830554,6531439
554,,47.62033328,-122.33325022,6531434
555,,47.58470854,-122.33363631,6531433
556,,47.62054855,-122.31727372,6531432
557,,47.62054855,-122.31727372,6531432
558,,47.59812654,-122.33100061,6531431
559,,47.70202093,-122.36255848,6530975
560,,47.58872242,-122.33476028,6531429
561,,47.6070606,-122.30967102,6531428
562,,47.65189105,-122.37837877,6531426
563,,47.6143853,-122.33872658,6531424
564,,47.60967252,-122.33230646,6531422
565,,47.66196845,-122.29953154,6531421
566,,47.59445542,-122.38820823,6531419
567,,47.53387135,-122.36822235,6531417
568,,47.6692679,-122.37805545,6531418
569,,47.60528409,-122.33628113,6531414
570,,47.54944692,-122.28649568,6531413
571,,47.60986433,-122.32775423,6531407
572,,47.51950613,-122.26936343,6531404
573,,47.60616219,-122.33166297,6531403
574,,47.58470854,-122.33363631,6531402
575,,47.65381383,-122.32981167,6531396
576,,47.71299826,-122.34993618,6531394
577,,47.58872242,-122.33476028,6531392
578,,47.54103544,-122.33767447,6531299
579,,47.61792017,-122.30655104,6531382
580,,47.68142507,-122.32215756,6531381
581,,47.54944996,-122.25844404,6531380
582,,47.61811095,-122.3390982,6531379
583,,47.72291619,-122.36126633,6531378
584,,47.64270953,-122.39328333,6531376
585,,47.57144374,-122.2839945,6531375
586,,47.68224528,-122.36096367,6531374
587,,47.66536813,-122.27041804,6531373
588,,47.68347019,-122.3504277,6531372
589,,47.60979851,-122.32299334,6531371
590,,47.54872975,-122.39815649,6531370
591,,47.6784941,-122.2667746,6531369
592,,47.69197265,-122.31068272,6531368
593,,47.63503253,-122.28439058,6531367
594,,47.65882278,-122.3334993,6531366
595,,47.55581173,-122.2865771,6531364
596,,47.63983148,-122.40071818,6531362
597,,47.60360418,-122.33289294,6531360
598,,47.66210754,-122.35636452,6531359
599,,47.62099586,-122.29674563,6531354
600,,47.62099586,-122.29674563,6531353
601,,47.62098595,-122.29705339,6531351
602,,47.72089395,-122.37372472,6531343
603,,47.60143499,-122.29644128,6531336
604,,47.60143499,-122.29644128,6531336
605,,47.51266648,-122.25905512,6531338
606,,47.60143499,-122.29644128,6531333
607,,47.63384776,-122.31862243,6531335
608,,47.63656403,-122.3149961,6531332
609,,47.63656403,-122.3149961,6531332
610,,47.63656403,-122.3149961,6531332
611,,47.72782628,-122.34537178,6531330
612,,47.55571477,-122.27061975,6531329
613,,47.58109623,-122.28956673,6531326
614,,47.66252461,-122.27863925,6531320
615,,47.53278069,-122.26710781,6531317
616,,47.66799641,-122.26841287,6531315
617,,47.65644621,-122.31042426,6531305
618,,47.62002713,-122.33940566,6531301
619,,47.68568916,-122.35424034,6531298
620,,47.64210056,-122.36060348,6531297
621,,47.5735097,-122.3224022,6531294
622,,47.5923457,-122.30099655,6531293
623,,47.67441277,-122.37390269,6531289
624,,47.67603984,-122.29223035,6531279
625,,47.66858783,-122.33249701,6531276
626,,47.66231885,-122.28147251,6531275
627,,47.66231885,-122.28147251,6531274
628,,47.66172677,-122.31756132,6530745
629,,47.59280696,-122.31600169,6531273
630,,47.68750486,-122.3159169,6531272
631,,47.68742961,-122.31601411,6531268
632,,47.7149723,-122.29006999,6531267
633,,47.61432168,-122.30067899,6531265
634,,47.57333515,-122.40792064,6531263
635,,47.62054384,-122.32495321,6531262
636,,47.58384405,-122.29275575,6531255
637,,47.62924111,-122.27913721,6531260
638,,47.65835796,-122.30889215,6531258
639,,47.57040709,-122.28101373,6531257
640,,47.60360418,-122.33289294,6531254
641,,47.56606436,-122.37840036,6531245
642,,47.58671166,-122.30202783,6531242
643,,47.64069265,-122.39457105,6531235
644,,47.64069265,-122.39457105,6531235
645,,47.69936362,-122.35097234,6531227
646,,47.65021009,-122.34960566,6409051
647,,47.66426946,-122.32988841,6531232
648,,47.60869743,-122.33589922,6531231
649,,47.65134117,-122.38496738,6531228
650,,47.65134117,-122.38496738,6531228
651,,47.61089077,-122.32933488,6531222
652,,47.5335102,-122.3473748,6531218
653,,47.58122351,-122.32549442,6531220
654,,47.61089077,-122.32933488,6531219
655,,47.62600292,-122.34279199,6531217
656,,47.65162035,-122.31294263,6531208
657,,47.7274228,-122.30655761,6531206
658,,47.7274228,-122.30655761,6531206
659,,47.6411599,-122.34576297,6531201
660,,47.6608101,-122.3128496,6531199
661,,47.51704549,-122.26308164,6531195
662,,47.53197266,-122.31223954,6531184
663,,47.58252445,-122.33466954,6531178
664,,47.60198365,-122.33175459,6531177
665,,47.66270118,-122.37117699,6531175
666,,47.66270118,-122.37117699,6531175
667,,47.68009443,-122.3243323,6531173
668,,47.61968753,-122.31657628,6531171
669,,47.60786649,-122.33955956,6531169
670,,47.68966915,-122.36310344,6531164
671,,47.56918182,-122.39984169,6531162
672,,47.62420075,-122.30415106,6531161
673,,47.64399899,-122.4068098,6531160
674,,47.57108137,-122.29161815,6531158
675,,47.65063375,-122.37054982,6531157
676,,47.5030489,-122.37734219,6531156
677,,47.5030489,-122.37734219,6531156
678,,47.51936541,-122.37366794,6531155
679,,47.55883684,-122.28598432,6531149
680,,47.5754825,-122.38069346,6531148
681,,47.67273296,-122.32998091,6531145
682,,47.64932805,-122.35188126,6531143
683,,47.57114001,-122.394484,6531137
684,,47.60403796,-122.33498562,6530817
685,,47.62848672,-122.30332982,6531135
686,,47.59979462,-122.33340945,6531134
687,,47.63741377,-122.28165835,6531130
688,,47.65108525,-122.32136807,6531127
689,,47.65512943,-122.30423506,6531126
690,,47.69208471,-122.32271221,6531122
691,,47.55015059,-122.38914994,6531121
692,,47.63218619,-122.34882699,6531120
693,,47.6896209,-122.34204516,6531119
694,,47.55774852,-122.30277337,6531118
695,,47.60845724,-122.32638079,6531117
696,,47.61101596,-122.30345613,6531115
697,,47.60198365,-122.33175459,6531114
