0,Application/Permit Number,Applicant Name
135,6532371,BLACK LION HEATING & A/C LLC
136,6532370,OLYMPIC SECURTY & COMM SYS INC
137,6532369,EXACT ELECTRIC LLC
138,6532369,EXACT ELECTRIC LLC
139,6532368,PACIFIC POWER GROUP LLC
140,6532361,CASCADE HYDRO-AIR
141,6532365,MERIDIAN CENTER ELECTRIC INC
142,6532359,PACIFIC POWER GROUP LLC
143,6532345,LOW VOLTAGE SYSTEMS INC
144,6532353,COCHRAN INCORPORATED
145,6532352,PACIFIC POWER GROUP LLC
146,6532348,A&I ELECTRICAL REPAIR
147,6532347,TELDATA SYSTEMS INCORPORATED
148,6532343,GALAXY ELECTRIC & SOLAR LLC
149,6532340,MCKINSTRY COMPANY LLC
150,6532337,TITAN ELECTRIC INC
151,6532335,CISCO ELECTRIC INCORPORATED
152,6532335,CISCO ELECTRIC INCORPORATED
153,6532334,SUNDANCE ENERGY SERVICES INC
154,6532331,GLENDALE HEATING & A/C
155,6532319,M M COMFORT SYSTEMS
156,6532310,M M COMFORT SYSTEMS
157,6532321,PROTECTION &COMMUNICATIONS INC
158,6532303,M M COMFORT SYSTEMS
159,6532301,M M COMFORT SYSTEMS
160,6532320,SIEMENS BLDG TECHNOLOGIES INC
161,6532313,ELECTRI-CITY INC
162,6532304,CONVERGINT TECHNOLOGIES LLC
163,6532294,STEPHENS ELECTRIC COMPANY INC
164,6532293,TYCO INTEGRATED SECURITY LLC
165,6532278,ROB'S ELECTRIC INCORPORATED
166,6532277,ROB'S ELECTRIC INCORPORATED
167,6532272,ROB'S ELECTRIC INCORPORATED
168,6532280,AQUA QUIP
169,6527777,ADT LLC
170,6532273,ALL NEW AGAIN LLC
171,6532275,MR ELECTRIC OF GREATER SEATTLE
172,6532154,"BRAMLETT, ANDREW"
173,6532269,SEATOWN ELECTRIC CORP
174,6532161,"BRAMLETT, ANDREW"
175,6532267,"ARMADA DESIGN AND BUILD,"
176,6532266,BLUE SKY INTGRTD TCHNLGS INC
177,6532163,"BRAMLETT, ANDREW"
178,6532260,DAVID FRIES ELECTRICAL SVCS
179,6532251,WELL GROUNDED ELECTRIC
180,6532255,TOWN ELECTRICAL SERVICES LLC
181,6532254,LIGHTSMITH ELECTRIC LLC
182,6532250,CENTAUR ELECTRIC LLC
183,6532119,"BARK, ROGER"
184,6532117,"BARK, ROGER"
185,6532118,"BARK, ROGER"
186,6532246,AS YOU WISH ELECTRIC
187,6532245,BOYER ELECTRIC COMPANY INC
188,6532240,TEKNON CORPORATION
189,6532235,MACDONALD-MILLER SERVICE INC
190,6532233,FOY GROUP CORPORATION
191,6532232,ADT LLC
192,6532231,SHARP ELECTRIC LLC
193,6532230,3-D ELECTRIC INC
194,6532229,OVERLAKE ELECTRIC INCORPORATED
195,6532227,S MEYERS ELECTRIC INC
196,6532226,"AMERICAN HOME ALARMS, INC"
197,6532225,ADT LLC
198,6532224,ADT LLC
199,6532223,VOLT-TECH ELECTRICAL SERVICES
200,6532222,"BERMAN, BENJAMIN"
201,6532220,EASTLAKE ELECTRIC
202,6532219,ABSCO ALARMS INCORPORATED
203,6532218,SYSTEM TECH WASHINGTON INC
204,6532217,"HOOVER, BEN"
205,6532216,E C COMPANY
206,6532215,ZORKO ELECTRIC INCORPORATED
207,6532215,ZORKO ELECTRIC INCORPORATED
208,6532211,GLOBAL SECURITY & COMM INC
209,6532202,AAA FIRE & SAFETY INC
210,6532201,AAA FIRE & SAFETY INC
211,6532193,HUMBLE ELECTRIC
212,6532192,MAURO ELECTRIC INC
213,6532191,MAURO ELECTRIC INC
214,6532189,MR ELECTRIC OF GREATER SEATTLE
215,6532188,CDI SYSTEMS INCORPORATED
216,6532184,BLACK LION HEATING & A/C LLC
217,6532175,STURGEON ELECTRIC CO INC
218,6532171,BLACK SHEEP ELECTRIC LLC
219,6532171,BLACK SHEEP ELECTRIC LLC
