id,type of activity
301,CITATION
302,CITATION
303,HOUSING / ZONING
304,CITATION
305,CONSTRUCTION
306,HOUSING / ZONING
307,CONSTRUCTION
308,CITATION
309,HOUSING / ZONING
310,CITATION
311,CITATION
312,CITATION
313,CITATION
314,CITATION
315,HOUSING / ZONING
316,HOUSING / ZONING
317,CITATION
318,HOUSING / ZONING
319,CITATION
320,CONSTRUCTION
321,CONSTRUCTION
322,HOUSING / ZONING
323,CONSTRUCTION
324,TENANT RELOCATION ORDINANCE
325,CONSTRUCTION
326,HOUSING / ZONING
327,CITATION
328,CONSTRUCTION
329,CONSTRUCTION
330,CITATION
331,CITATION
332,HOUSING / ZONING
333,HOUSING / ZONING
334,HOUSING / ZONING
335,CONSTRUCTION
336,CITATION
337,CITATION
338,CONSTRUCTION
339,CITATION
340,HOUSING / ZONING
341,CONSTRUCTION
342,CONSTRUCTION
343,HOUSING / ZONING
344,UNFIT BUILDING OR PREMISES
345,HOUSING / ZONING
346,CONSTRUCTION
347,CONSTRUCTION
348,HOUSING / ZONING
349,CITATION
350,CITATION
351,CITATION
352,CITATION
353,HOUSING / ZONING
354,CITATION
355,CITATION
356,HOUSING / ZONING
357,HOUSING / ZONING
358,CONSTRUCTION
359,CITATION
360,CITATION
361,CONSTRUCTION
362,HOUSING / ZONING
363,TENANT RELOCATION ORDINANCE
364,CITATION
365,CONSTRUCTION
366,HOUSING / ZONING
367,HOUSING / ZONING
368,HOUSING / ZONING
369,HOUSING / ZONING
370,CONSTRUCTION
371,CITATION
372,CITATION
373,CITATION
374,CITATION
375,CONSTRUCTION
376,HOUSING / ZONING
377,CONSTRUCTION
378,CITATION
379,CITATION
380,CITATION
381,CONSTRUCTION
382,HOUSING / ZONING
383,CITATION
384,CITATION
385,CITATION
386,CITATION
387,CITATION
388,CONSTRUCTION
389,CONSTRUCTION
390,CONSTRUCTION
391,CITATION
392,HOUSING / ZONING
393,CITATION
394,CITATION
395,HOUSING / ZONING
396,HOUSING / ZONING
397,HOUSING / ZONING
398,HOUSING / ZONING
399,HOUSING / ZONING
400,HOUSING / ZONING
401,CITATION
402,HOUSING / ZONING
403,HOUSING / ZONING
404,HOUSING / ZONING
405,HOUSING / ZONING
406,HOUSING / ZONING
407,HOUSING / ZONING
408,HOUSING / ZONING
409,HOUSING / ZONING
410,CITATION
411,CITATION
412,CITATION
413,TENANT RELOCATION ORDINANCE
414,HOUSING / ZONING
415,CITATION
416,CITATION
417,CITATION
418,HOUSING / ZONING
419,CITATION
420,CONSTRUCTION
421,CONSTRUCTION
422,CITATION
423,HOUSING / ZONING
424,CITATION
425,CONSTRUCTION
426,TENANT RELOCATION ORDINANCE
427,CITATION
428,HOUSING / ZONING
429,HOUSING / ZONING
430,CITATION
431,HOUSING / ZONING
432,HOUSING / ZONING
433,CITATION
434,CONSTRUCTION
435,TENANT RELOCATION ORDINANCE
436,CITATION
437,HOUSING / ZONING
438,CITATION
439,CITATION
440,HOUSING / ZONING
441,CITATION
442,HOUSING / ZONING
443,HOUSING / ZONING
444,HOUSING / ZONING
445,CITATION
446,HOUSING / ZONING
447,HOUSING / ZONING
448,HOUSING / ZONING
449,HOUSING / ZONING
450,HOUSING / ZONING
451,CONSTRUCTION
452,CONSTRUCTION
453,CONSTRUCTION
454,CONSTRUCTION
455,HOUSING / ZONING
456,HOUSING / ZONING
457,CITATION
458,CITATION
459,CITATION
460,CITATION
461,HOUSING / ZONING
462,HOUSING / ZONING
463,CITATION
464,CITATION
465,HOUSING / ZONING
466,TENANT RELOCATION ORDINANCE
467,HOUSING / ZONING
468,CONSTRUCTION
469,HOUSING / ZONING
470,CITATION
471,HOUSING / ZONING
472,HOUSING / ZONING
473,HOUSING / ZONING
474,HOUSING / ZONING
475,CONSTRUCTION
476,HOUSING / ZONING
477,TENANT RELOCATION ORDINANCE
478,HOUSING / ZONING
479,HOUSING / ZONING
480,HOUSING / ZONING
481,HOUSING / ZONING
482,HOUSING / ZONING
483,HOUSING / ZONING
484,TENANT RELOCATION ORDINANCE
485,HOUSING / ZONING
486,CITATION
487,CITATION
488,CITATION
489,CITATION
490,CITATION
491,CITATION
492,CITATION
493,CITATION
494,TENANT RELOCATION ORDINANCE
495,CITATION
496,CITATION
497,CITATION
498,HOUSING / ZONING
499,CITATION
500,CITATION
501,CONSTRUCTION
502,HOUSING / ZONING
503,HOUSING / ZONING
504,CITATION
505,CITATION
506,HOUSING / ZONING
507,CITATION
508,TENANT RELOCATION ORDINANCE
509,HOUSING / ZONING
510,CONSTRUCTION
511,CONSTRUCTION
512,CITATION
513,TENANT RELOCATION ORDINANCE
514,TENANT RELOCATION ORDINANCE
515,HOUSING / ZONING
516,HOUSING / ZONING
517,TENANT RELOCATION ORDINANCE
518,CITATION
519,CITATION
520,CITATION
521,CITATION
522,HOUSING / ZONING
523,CITATION
524,CITATION
525,CONSTRUCTION
526,CITATION
527,HOUSING / ZONING
528,HOUSING / ZONING
529,CITATION
530,CITATION
531,CITATION
532,CITATION
533,CITATION
534,CITATION
535,CITATION
536,HOUSING / ZONING
537,CONSTRUCTION
538,CITATION
539,CONSTRUCTION
540,HOUSING / ZONING
541,HOUSING / ZONING
542,CITATION
543,CITATION
544,HOUSING / ZONING
545,CITATION
546,HOUSING / ZONING
547,CITATION
548,CITATION
549,HOUSING / ZONING
550,HOUSING / ZONING
551,CITATION
552,HOUSING / ZONING
553,TENANT RELOCATION ORDINANCE
554,CONSTRUCTION
555,CITATION
556,HOUSING / ZONING
557,CONSTRUCTION
558,CITATION
559,HOUSING / ZONING
560,HOUSING / ZONING
561,CONSTRUCTION
562,HOUSING / ZONING
563,HOUSING / ZONING
564,CITATION
565,CITATION
566,HOUSING / ZONING
567,CONSTRUCTION
568,CONSTRUCTION
569,HOUSING / ZONING
570,CITATION
571,CITATION
572,HOUSING / ZONING
573,CONSTRUCTION
574,CITATION
575,CONSTRUCTION
576,CONSTRUCTION
577,CITATION
578,TENANT RELOCATION ORDINANCE
579,HOUSING / ZONING
580,CITATION
581,CITATION
582,CITATION
583,CITATION
584,HOUSING / ZONING
585,CITATION
586,CONSTRUCTION
587,HOUSING / ZONING
588,CONSTRUCTION
589,HOUSING / ZONING
590,HOUSING / ZONING
591,CONSTRUCTION
592,CITATION
593,CITATION
594,CITATION
595,CONSTRUCTION
596,HOUSING / ZONING
597,TENANT RELOCATION ORDINANCE
598,CONSTRUCTION
599,CITATION
600,CITATION
601,CITATION
602,CITATION
603,CITATION
604,CITATION
605,HOUSING / ZONING
606,HOUSING / ZONING
607,HOUSING / ZONING
608,HOUSING / ZONING
609,HOUSING / ZONING
610,CITATION
611,CITATION
612,CITATION
613,CITATION
614,CITATION
615,HOUSING / ZONING
616,UNFIT BUILDING OR PREMISES
617,UNFIT BUILDING OR PREMISES
618,CITATION
619,CITATION
620,CITATION
621,CITATION
622,CITATION
623,CITATION
624,CONSTRUCTION
625,CITATION
