id,Address,Longitude,Longitude
115,4004 WHITMAN AVE N,-122.34572445,-122.34572445
116,5011 S DAWSON ST,-122.27016583,-122.27016583
117,2264 12TH AVE W,-122.37232759,-122.37232759
118,2264 12TH AVE W,-122.37232759,-122.37232759
119,1925 AIRPORT WAY S,-122.32187071,-122.32187071
120,,,
121,2008 5TH AVE,-122.33914639,-122.33914639
122,666 S DEARBORN ST,-122.32416271,-122.32416271
123,1172 REPUBLICAN ST,-122.33324376,-122.33324376
124,2349 HARBOR AVE SW,-122.37511445,-122.37511445
125,5035 26TH AVE S,-122.29949098,-122.29949098
126,568 1ST AVE S,-122.33369863,-122.33369863
127,700 5TH AVE,-122.32989532,-122.32989532
128,2350 10TH AVE E,-122.31973853,-122.31973853
129,2600 14TH AVE W,-122.37464231,-122.37464231
130,2600 14TH AVE W,-122.37464231,-122.37464231
131,3657 44TH AVE SW,-122.38845804,-122.38845804
132,3853 E OLIVE ST,-122.28433878,-122.28433878
133,213 N 85TH ST,-122.35595009,-122.35595009
134,5601 6TH AVE S,-122.32763153,-122.32763153
135,1500H 42ND AVE E,-122.27848572,-122.27848572
136,2602 14TH AVE W,-122.37455224,-122.37455224
137,904 SW PORTLAND ST,-122.34751439,-122.34751439
138,904 SW PORTLAND ST,-122.34751439,-122.34751439
139,908 SW PORTLAND ST,-122.3475131,-122.3475131
140,908 SW PORTLAND ST,-122.3475131,-122.3475131
141,900 SW PORTLAND ST,-122.34733699,-122.34733699
142,900 SW PORTLAND ST,-122.34733699,-122.34733699
143,906 SW PORTLAND ST,-122.3475115,-122.3475115
144,906 SW PORTLAND ST,-122.3475115,-122.3475115
145,902 SW PORTLAND ST,-122.34732933,-122.34732933
146,902 SW PORTLAND ST,-122.34732933,-122.34732933
147,3932 1ST AVE NE,-122.32764222,-122.32764222
148,3932 1ST AVE NE,-122.32764222,-122.32764222
149,3934 1ST AVE NE,-122.32764222,-122.32764222
150,3934 1ST AVE NE,-122.32764222,-122.32764222
151,2312 19TH AVE S,-122.30787817,-122.30787817
152,,,
153,6531 22ND AVE NW,-122.38456406,-122.38456406
154,2105 S ORCAS ST,-122.30578222,-122.30578222
155,2105 S ORCAS ST,-122.30578222,-122.30578222
156,5710 NE 56TH ST,-122.26638804,-122.26638804
157,11031 38TH AVE NE,-122.28833674,-122.28833674
158,2716 S DEARBORN ST,-122.2967795,-122.2967795
159,2716 S DEARBORN ST,-122.2967795,-122.2967795
160,6531 22ND AVE NW,-122.38456406,-122.38456406
161,1501 WESTERN AVE,-122.34158746,-122.34158746
162,1101 MADISON ST,-122.32426736,-122.32426736
163,2312 19TH AVE S,-122.30787817,-122.30787817
164,401 BOYLSTON AVE E,-122.3234374,-122.3234374
165,5555 17TH AVE S,-122.31139095,-122.31139095
166,5555 17TH AVE S,-122.31139095,-122.31139095
167,7701 13TH AVE SW,-122.35203527,-122.35203527
168,9240 3RD AVE NW,-122.36041576,-122.36041576
169,307 W MCGRAW ST,-122.3614632,-122.3614632
170,,,
171,3300 W MCGRAW ST,-122.39997914,-122.39997914
172,508 NW 44TH ST,-122.36331587,-122.36331587
173,2211 ELLIOTT AVE,-122.34779196,-122.34779196
174,2401 UTAH AVE S,-122.33535751,-122.33535751
175,1020 5TH AVE N,-122.34719784,-122.34719784
176,2200 1ST AVE N,-122.35515891,-122.35515891
177,6506 41ST AVE SW,-122.38419114,-122.38419114
178,6506 41ST AVE SW,-122.38419114,-122.38419114
179,2500 3RD AVE W,-122.36058723,-122.36058723
180,2332 50TH AVE SW,-122.39425925,-122.39425925
181,1220 SW MASSACHUSETTS ST,-122.35194098,-122.35194098
182,3402 35TH AVE S,-122.28852691,-122.28852691
183,9315 22ND AVE NW,-122.38463834,-122.38463834
184,9315 22ND AVE NW,-122.38463834,-122.38463834
185,1505 WESTLAKE AVE N,-122.34172768,-122.34172768
186,5500 35TH AVE NE,-122.28997481,-122.28997481
187,2432 MAGNOLIA BLVD W,-122.41163507,-122.41163507
188,3916 CALIFORNIA AVE SW,-122.38633364,-122.38633364
189,5544 27TH AVE NE,-122.29818359,-122.29818359
190,5540 27TH AVE NE,-122.2981606,-122.2981606
191,900 4TH AVE,-122.33204966,-122.33204966
192,521 W RAYE ST,-122.36455691,-122.36455691
193,2813 3RD AVE W,-122.36115799,-122.36115799
194,3223 1ST AVE S,-122.33464746,-122.33464746
195,7502 30TH AVE NE,-122.29551058,-122.29551058
196,2833 10TH AVE E,-122.31996647,-122.31996647
197,2318 BELVIDERE AVE SW,-122.37922259,-122.37922259
198,2318 BELVIDERE AVE SW,-122.37922259,-122.37922259
199,2616 NW 56TH ST,-122.39094763,-122.39094763
200,2620 NW 56TH ST,-122.39115447,-122.39115447
201,303 S JACKSON ST,-122.32991008,-122.32991008
202,7509 AURORA AVE N,-122.34483744,-122.34483744
203,8118 LATONA AVE NE,-122.32541538,-122.32541538
204,1301 N NORTHLAKE WAY,-122.34214994,-122.34214994
205,432 NE RAVENNA BLVD,-122.32378041,-122.32378041
206,3905 43RD AVE S,-122.27988187,-122.27988187
207,1600 E JEFFERSON ST,-122.31122887,-122.31122887
208,2340 19TH AVE S,-122.30788217,-122.30788217
209,715 NW 90TH ST,-122.36543918,-122.36543918
210,1610 3RD AVE N,-122.3517169,-122.3517169
211,7353 16TH AVE NW,-122.37812059,-122.37812059
212,12613 8TH AVE NE,-122.32116265,-122.32116265
213,1211 E ALDER ST,-122.31548619,-122.31548619
214,2709 NOB HILL AVE N,-122.35087091,-122.35087091
215,2551 S RAYMOND ST,-122.29765754,-122.29765754
216,1550 N 115TH ST,-122.3369027,-122.3369027
217,1550 N 115TH ST,-122.3369027,-122.3369027
218,1536 N 115TH ST,-122.33783193,-122.33783193
219,3605 INTERLAKE AVE N,-122.34164912,-122.34164912
220,5432 SEWARD PARK AVE S,-122.26294632,-122.26294632
221,1214 10TH AVE W,-122.37016179,-122.37016179
222,7406 DAYTON AVE N,-122.35230175,-122.35230175
223,6235 AIRPORT WAY S,-122.31485079,-122.31485079
224,2024 21ST AVE S,-122.30501692,-122.30501692
225,1625 42ND AVE E,-122.27882509,-122.27882509
226,213 18TH AVE,-122.30930183,-122.30930183
227,4745 WEST MARGINAL WAY SW,-122.35222458,-122.35222458
228,4745 WEST MARGINAL WAY SW,-122.35222458,-122.35222458
229,1625 42ND AVE E,-122.27882509,-122.27882509
230,213 18TH AVE,-122.30930183,-122.30930183
231,1521 1ST AVE S,-122.33476028,-122.33476028
232,7100 35TH AVE SW,-122.37616203,-122.37616203
233,315 N 105TH ST,-122.35465715,-122.35465715
234,3625 INTERLAKE AVE N,-122.34174479,-122.34174479
235,2010 NE NORTHGATE WAY,-122.30566327,-122.30566327
236,3613 4TH AVE S,-122.33011958,-122.33011958
237,7944 9TH AVE SW,-122.3465078,-122.3465078
238,9618 20TH AVE NE,-122.30664528,-122.30664528
239,509 OLIVE WAY,-122.33686713,-122.33686713
240,2825 3RD AVE W,-122.36118175,-122.36118175
241,3714 38TH AVE S,-122.28472463,-122.28472463
242,601 BELMONT AVE E,-122.32445393,-122.32445393
243,509 OLIVE WAY,-122.33686713,-122.33686713
244,5012 SW GENESEE ST,-122.39690312,-122.39690312
245,8021 EARL AVE NW,-122.39234317,-122.39234317
246,321 N 79TH ST,-122.35437451,-122.35437451
