CrimeID,Crime_Type,Crime_Description
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Burglary,Burglary
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Rape,Rape
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Homicide,Homicide
5,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
6,Burglary,Burglary
7,Homicide,Homicide
1,Rape,Rape
2,Robbery,Robbery
3,Assault,Assault
4,Larceny-Theft,Larceny-Theft
5,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
6,Burglary,Burglary
7,Homicide,Homicide
1,Rape,Rape
2,Robbery,Robbery
3,Assault,Assault
4,Larceny-Theft,Larceny-Theft
5,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
6,Burglary,Burglary
7,Homicide,Homicide
1,Rape,Rape
2,Robbery,Robbery
3,Assault,Assault
4,Larceny-Theft,Larceny-Theft
5,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
6,Burglary,Burglary
7,Homicide,Homicide
1,Rape,Rape
2,Robbery,Robbery
3,Assault,Assault
4,Larceny-Theft,Larceny-Theft
5,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
6,Burglary,Burglary
7,Homicide,Homicide
1,Rape,Rape
2,Robbery,Robbery
3,Assault,Assault
4,Larceny-Theft,Larceny-Theft
5,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
6,Burglary,Burglary
7,Homicide,Homicide
1,Rape,Rape
2,Robbery,Robbery
3,Assault,Assault
4,Larceny-Theft,Larceny-Theft
5,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Rape,Rape
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Assault,Assault
1,Larceny-Theft,Larceny-Theft
2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
3,Burglary,Burglary
4,Homicide,Homicide
5,Rape,Rape
6,Robbery,Robbery
7,Rape,Rape
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Rape,Rape
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Rape,Rape
1,Robbery,Robbery
2,Assault,Assault
3,Larceny-Theft,Larceny-Theft
4,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
5,Burglary,Burglary
6,Homicide,Homicide
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
4,Burglary,Burglary
5,Homicide,Homicide
6,Rape,Rape
7,Robbery,Robbery
1,Assault,Assault
2,Larceny-Theft,Larceny-Theft
3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
