SectorID,PrecinctID
B,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
N,N
N,N
N,N
N,N
N,N
M,W
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
L,N
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
L,N
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
S,SE
F,SW
F,SW
F,SW
F,SW
F,SW
F,SW
F,SW
F,SW
F,SW
F,SW
F,SW
F,SW
G,E
F,SW
F,SW
F,SW
F,SW
F,SW
F,SW
F,SW
F,SW
F,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
W,SW
B,N
B,N
B,N
B,N
B,N
B,N
B,N
B,N
B,N
B,N
B,N
B,N
L,N
B,N
B,N
B,N
B,N
B,N
B,N
B,N
B,N
B,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
J,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
L,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
N,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
U,N
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
D,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
K,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
Q,W
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
C,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
E,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
G,E
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
O,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
R,SE
