id,feature_desc,child_desc_id,field_type_id
1135,Tennis Court (Outdoor),,
1136,Tennis Court (Outdoor),,
1137,Tennis Court (Outdoor),,
1138,Tennis Court (Outdoor),,
1139,Tennis Lights,,
1140,Baseball/Softball,,
1141,Creek,,
1142,Hiking Trails,,
1143,Paths,,
1144,Picnic Sites,,
1145,Play Area (ADA Compliant),,
1146,Restrooms,,
1147,Restrooms (ADA Compliant),,
1148,Soccer,,
1149,Tennis Backboard (Outdoor),,
1150,Tennis Court (Outdoor),,
1151,Tennis Court (Outdoor),,
1152,Wading Pool or Water Feature,,
1153,Woods,,
1154,Green Space,,
1155,Basketball (Full),,
1156,Community Center,,
1157,Play Area (ADA Compliant),,
1158,Tennis Court (Outdoor),,
1159,Dog Off Leash Area,,
1160,Pesticide Free,,
1161,Baseball/Softball,,
1162,Baseball/Softball,,
1163,Baseball/Softball,,
1164,Baseball/Softball,,
1165,Basketball (Full),,
1166,Play Area,,
1167,Restrooms,,
1168,Soccer,,
1169,Soccer,,
1170,Tennis Court (Outdoor),,
1171,Tennis Court (Outdoor),,
1172,Woods,,
1173,Basketball (Half),,
1174,Play Area (ADA Compliant),,
1175,View,,
1176,Baseball/Softball,,
1177,Play Area (ADA Compliant),,
1178,Restrooms,,
1179,Restrooms (ADA Compliant),,
1180,Soccer,,
1181,Baseball/Softball,,
1182,Basketball (Half),,
1183,Play Area (ADA Compliant),,
1184,Rental Facility,,
1185,Restrooms,,
1186,T-Ball,,
1187,View,,
1188,Weddings and Ceremonies,,
1189,Baseball/Softball,,
1190,Baseball/Softball,,
1191,Picnic Sites,,
1192,Play Area (ADA Compliant),,
1193,Restrooms,,
1194,Skatepark,,
1195,Soccer,,
1196,Play Area,,
1197,Play Area (ADA Compliant),,
1198,Restrooms,,
1199,Play Area (ADA Compliant),,
1200,Restrooms,,
1201,Restrooms (ADA Compliant),,
1202,Soccer,,
1203,Tennis Court (Outdoor),,
1204,Tennis Court (Outdoor),,
1205,View,,
1206,Basketball (Full),,
1207,Play Area (ADA Compliant),,
1208,Restrooms,,
1209,Restrooms (ADA Compliant),,
1210,Wading Pool or Water Feature,,
1211,Creek,,
1212,Hiking Trails,,
1213,Paths,,
1214,Woods,,
1215,Boat Launch (Hand Carry),,
1216,Boat Launch (Hand Carry),,
1217,Boat Launch (Hand Carry),,
1218,Fishing,,
1219,Marination Ma Kai,,
1220,Scuba Diving,,
1221,View,,
1222,Waterfront,,
1223,Green Space,,
1224,NO Beach Access,,
1225,View,,
1226,Woods,,
1227,Boat Launch (Hand Carry),,
1228,Boat Launch (Hand Carry),,
1229,Environmental Learning Center,,
1230,Guarded Beach,,
1231,Hiking Trails,,
1232,Paths,,
1233,Paths (ADA Compliant),,
1234,Picnic Sites,,
1235,Picnic Sites,,
1236,Picnic Sites,,
1237,Picnic Sites,,
1238,Picnic Sites,,
1239,Play Area (ADA Compliant),,
1240,Restrooms,,
1241,Restrooms (ADA Compliant),,
1242,Tennis Court (Outdoor),,
1243,Tennis Court (Outdoor),,
1244,View,,
1245,Waterfront,,
1246,Weddings and Ceremonies,,
1247,Woods,,
1248,View,,
1249,Waterfront,,
1250,Paths,,
1251,P-Patch Community Garden,,
1252,Tennis Backboard (Outdoor),,
1253,Tennis Court (Outdoor),,
1254,Tennis Court (Outdoor),,
1255,Tennis Court (Outdoor),,
1256,Tennis Court (Outdoor),,
1257,Tennis Court (Outdoor),,
1258,Tennis Court (Outdoor),,
1259,Tennis Lights,,
1260,Baseball/Softball,,
1261,Baseball/Softball,,
1262,Baseball/Softball,,
1263,Baseball/Softball,,
1264,Football,,
1265,Play Area (ADA Compliant),,
1266,Restrooms,,
1267,Rugby,,
1268,Soccer,,
1269,Soccer,,
1270,Tennis Court (Outdoor),,
1271,Tennis Court (Outdoor),,
1272,View,,
1273,Wading Pool or Water Feature,,
1274,Play Area (ADA Compliant),,
1275,Baseball/Softball,,
1276,Baseball/Softball,,
1277,Community Center,,
1278,Play Area,,
1279,Soccer,,
1280,Tennis Court (Outdoor),,
1281,Wading Pool or Water Feature,,
1282,Boat Launch (Hand Carry),,
1283,View,,
1284,Waterfront,,
1285,Play Area (ADA Compliant),,
1286,Play Area (ADA Compliant),,
1287,Creek,,
1288,Green Space,,
1289,Woods,,
1290,Boat Launch (Hand Carry),,
1291,Boat Launch (Hand Carry),,
1292,Boat Launch (Motorized),,
1293,Fishing,,
1294,Paths,,
1295,Paths (ADA Compliant),,
1296,Waterfront,,
1297,Paths,,
1298,Paths (ADA Compliant),,
1299,View,,
1300,Boat Launch (Hand Carry),,
1301,Boat Launch (Motorized),,
1302,View,,
1303,View,,
1304,Weddings and Ceremonies,,
1305,Green Space,,
1306,Woods,,
1307,Paths,,
1308,Pesticide Free,,
1309,Play Area (ADA Compliant),,
1310,Boat Launch (Hand Carry),,
1311,Fishing,,
1312,View,,
1313,Waterfront,,
1314,Waterfront,,
1315,Creek,,
1316,Green Space,,
1317,Woods,,
1318,Paths,,
1319,P-Patch Community Garden,,
1320,Decorative Fountain,,
1321,Historic Landmark,,
1322,Play Area,,
1323,P-Patch Community Garden,,
1324,View,,
1325,Adult Fitness Equipment,,
1326,Baseball/Softball,,
1327,Pesticide Free,,
1328,Play Area (ADA Compliant),,
1329,Restrooms,,
1330,Soccer,,
1331,Tennis Backboard (Outdoor),,
1332,Tennis Court (Outdoor),,
1333,Tennis Court (Outdoor),,
1334,View,,
1335,Baseball/Softball,,
1336,Baseball/Softball,,
1337,Basketball (Full),,
1338,Community Center,,
1339,Play Area (ADA Compliant),,
1340,Restrooms,,
1341,Soccer,,
1342,Wading Pool or Water Feature,,
1343,Restrooms,,
1344,View,,
1345,Creek,,
1346,Play Area,,
1347,Woods,,
1348,Basketball (Half),,
1349,Play Area,,
1350,Tennis Court (Outdoor),,
1351,Baseball/Softball,,
1352,Baseball/Softball,,
1353,Basketball (Half),,
1354,Paths,,
1355,Paths (ADA Compliant),,
1356,Play Area (ADA Compliant),,
1357,Restrooms,,
1358,Soccer,,
1359,Wading Pool or Water Feature,,
1360,Woods,,
1361,Play Area,,
1362,Historic Landmark,,
1363,Paths,,
1364,Play Area (ADA Compliant),,
1365,Restrooms,,
1366,Restrooms (ADA Compliant),,
1367,Tennis Backboard (Outdoor),,
1368,Tennis Court (Outdoor),,
1369,Tennis Court (Outdoor),,
1370,Tennis Court (Outdoor),,
1371,Tennis Court (Outdoor),,
1372,Tennis Lights,,
1373,Wading Pool or Water Feature,,
1374,Garden,,
1375,Weddings and Ceremonies,,
1376,Paths,,
1377,Play Area (ADA Compliant),,
1378,Restrooms,,
1379,Restrooms (ADA Compliant),,
1380,Soccer,,
1381,T-Ball,,
1382,Tennis Court (Outdoor),,
1383,Tennis Court (Outdoor),,
1384,Wading Pool or Water Feature,,
1385,Baseball/Softball,,
1386,Baseball/Softball,,
1387,Community Center,,
1388,Flag Football,,
1389,Flag Football,,
1390,Play Area (ADA Compliant),,
1391,Restrooms,,
1392,Restrooms (ADA Compliant),,
1393,Soccer,,
1394,Tennis Court (Outdoor),,
1395,Tennis Court (Outdoor),,
1396,Paths,,
1397,Play Area (ADA Compliant),,
1398,Rental Facility,,
1399,View,,
1400,Baseball/Softball,,
1401,Baseball/Softball,,
1402,Baseball/Softball,,
1403,Bike Trail,,
1404,Boat Launch (Hand Carry),,
1405,Boat Launch (Hand Carry),,
1406,Boat Launch (Hand Carry),,
1407,Boat Launch (Hand Carry),,
1408,Boat Launch (Motorized),,
1409,Community Center,,
1410,Cricket,,
1411,Cricket,,
1412,Cricket,,
1413,Cricket,,
1414,Dog Off Leash Area,,
1415,Guarded Beach,,
1416,Hiking Trails,,
1417,Lacrosse,,
1418,Lacrosse,,
1419,Lacrosse,,
1420,Lacrosse,,
1421,Paths,,
1422,Paths (ADA Compliant),,
1423,Picnic Sites,,
1424,Picnic Sites,,
1425,Picnic Sites,,
1426,Picnic Sites,,
1427,Play Area (ADA Compliant),,
1428,P-Patch Community Garden,,
1429,Rental Facility,,
1430,Restrooms,,
1431,Restrooms (ADA Compliant),,
1432,Rugby,,
1433,Soccer,,
1434,Soccer,,
1435,Soccer,,
1436,Soccer,,
1437,Soccer,,
1438,Soccer,,
1439,Tennis Court (Outdoor),,
1440,Tennis Court (Outdoor),,
1441,Tennis Court (Outdoor),,
1442,Tennis Court (Outdoor),,
1443,Tennis Court (Outdoor),,
1444,Tennis Court (Outdoor),,
1445,Ultimate,,
1446,Ultimate,,
1447,Ultimate,,
1448,Ultimate,,
1449,Ultimate,,
1450,Ultimate,,
1451,View,,
1452,Wading Pool or Water Feature,,
1453,Waterfront,,
1454,Boat Launch (Hand Carry),,
1455,Creek,,
1456,Fishing,,
1457,Fishing,,
1458,Garden,,
1459,Hiking Trails,,
1460,Paths,,
1461,Play Area,,
1462,Restrooms,,
1463,View,,
1464,Waterfront,,
1465,Weddings and Ceremonies,,
1466,Woods,,
1467,Baseball/Softball,,
1468,Baseball/Softball,,
1469,Soccer,,
1470,Historic Landmark,,
1471,View,,
1472,Waterfront,,
1473,Fishing,,
1474,View,,
1475,Waterfront,,
1476,View,,
1477,Waterfront,,
1478,Pesticide Free,,
1479,Play Area (ADA Compliant),,
1480,Paths,,
1481,View,,
1482,Waterfront,,
1483,Pesticide Free,,
1484,View,,
1485,Waterfront,,
1486,Baseball/Softball,,
1487,Baseball/Softball,,
1488,Baseball/Softball,,
1489,Community Center,,
1490,Play Area (ADA Compliant),,
1491,Pool (Indoor),,
1492,Soccer,,
1493,Golf,,
1494,Restrooms,,
1495,Weddings and Ceremonies,,
1496,Football,,
1497,Restrooms,,
1498,Restrooms (ADA Compliant),,
1499,Dog Off Leash Area,,
1500,Hiking Trails,,
1501,Paths,,
1502,Picnic Sites,,
1503,Play Area (ADA Compliant),,
1504,Restrooms,,
1505,Woods,,
1506,Green Space,,
1507,Decorative Fountain,,
1508,Play Area,,
1509,Green Space,,
1510,Baseball/Softball,,
1511,Baseball/Softball,,
1512,Baseball/Softball,,
1513,Baseball/Softball,,
1514,Baseball/Softball,,
1515,BMX Dirt Jumps,,
1516,Decorative Fountain,,
1517,Dog Off Leash Area,,
1518,Horseshoe Pits,,
1519,Lawn Bowling,,
1520,Paths,,
1521,Picnic Sites,,
1522,Picnic Sites,,
1523,Picnic Sites,,
1524,Picnic Sites,,
1525,Picnic Sites,,
1526,Picnic Sites,,
1527,Picnic Sites,,
1528,Play Area (ADA Compliant),,
1529,Rental Facility,,
1530,Restrooms,,
1531,Restrooms (ADA Compliant),,
1532,Skatepark,,
1533,Soccer,,
1534,Soccer,,
1535,Tennis Court (Outdoor),,
1536,Tennis Court (Outdoor),,
1537,Tennis Court (Outdoor),,
1538,Tennis Court (Outdoor),,
1539,Tennis Court (Outdoor),,
1540,Tennis Court (Outdoor),,
1541,Tennis Court (Outdoor),,
1542,Tennis Court (Outdoor),,
1543,Tennis Court (Outdoor),,
1544,Tennis Court (Outdoor),,
1545,Tennis Court (Outdoor),,
1546,Tennis Court (Outdoor),,
1547,Tennis Court (Outdoor),,
1548,Tennis Court (Outdoor),,
1549,Tennis Lights,,
1550,Track,,
1551,Woods,,
1552,Garden,,
1553,Weddings and Ceremonies,,
1554,Garden,,
1555,Baseball/Softball,,
1556,Play Area (ADA Compliant),,
1557,Paths,,
1558,Paths (ADA Compliant),,
