id,feature_desc,child_desc_id,field_type_id
253,Paths (ADA Compliant),,
254,Restrooms,,
255,Restrooms (ADA Compliant),,
256,View,,
257,Boat Launch (Hand Carry),,
258,View,,
259,Waterfront,,
260,Paths,,
261,Play Area (ADA Compliant),,
262,Baseball/Softball,,
263,Basketball (Full),,
264,Creek,,
265,Hiking Trails,,
266,Historic Landmark,,
267,Paths,,
268,Play Area (ADA Compliant),,
269,Rental Facility,,
270,Restrooms,,
271,Tennis Court (Outdoor),,
272,Tennis Court (Outdoor),,
273,Woods,,
274,Paths,,
275,Woods,,
276,Paths,,
277,Play Area (ADA Compliant),,
278,Skate Dot,,
279,Skatepark,,
280,T-Ball,,
281,U-8 Soccer,,
282,View,,
283,Baseball/Softball,,
284,Baseball/Softball,,
285,Baseball/Softball,,
286,Baseball/Softball,,
287,Basketball (Half),,
288,Play Area (ADA Compliant),,
289,Restrooms,,
290,Skatepark,,
291,Soccer,,
292,Soccer,,
293,Soccer,,
294,Wading Pool or Water Feature,,
295,Paths,,
296,Play Area (ADA Compliant),,
297,Restrooms,,
298,Tennis Backboard (Outdoor),,
299,Tennis Court (Outdoor),,
300,Tennis Court (Outdoor),,
301,Tennis Court (Outdoor),,
302,Track,,
303,Woods,,
304,Boat Launch (Hand Carry),,
305,Pesticide Free,,
306,View,,
307,Waterfront,,
308,Hiking Trails,,
309,Paths,,
310,Paths (ADA Compliant),,
311,Play Area (ADA Compliant),,
312,Tennis Court (Outdoor),,
313,Tennis Court (Outdoor),,
314,Woods,,
315,Baseball/Softball,,
316,Baseball/Softball,,
317,Basketball (Full),,
318,Community Center,,
319,Play Area (ADA Compliant),,
320,Restrooms,,
321,Restrooms (ADA Compliant),,
322,Skatepark,,
323,Soccer,,
324,Soccer,,
325,Tennis Court (Outdoor),,
326,Tennis Court (Outdoor),,
327,Wading Pool or Water Feature,,
328,Pesticide Free,,
329,View,,
330,Waterfront,,
331,Weddings and Ceremonies,,
332,Dog Off Leash Area,,
333,Paths,,
334,Paths (ADA Compliant),,
335,Play Area (ADA Compliant),,
336,Basketball (Full),,
337,Environmental Learning Center,,
338,Hiking Trails,,
339,Historic Landmark,,
340,Paths,,
341,Paths (ADA Compliant),,
342,Play Area (ADA Compliant),,
343,Play Area (ADA Compliant),,
344,Rental Facility,,
345,Restrooms,,
346,Restrooms (ADA Compliant),,
347,Tennis Court (Outdoor),,
348,Tennis Court (Outdoor),,
349,View,,
350,Waterfront,,
351,Weddings and Ceremonies,,
352,Woods,,
353,View,,
354,Boat Launch (Hand Carry),,
355,Boat Launch (Motorized),,
356,Paths,,
357,Picnic Sites,,
358,Restrooms,,
359,View,,
360,Waterfront,,
361,Weddings and Ceremonies,,
362,Community Center,,
363,Paths,,
364,Paths (ADA Compliant),,
365,Play Area (ADA Compliant),,
366,Restrooms,,
367,Dog Off Leash Area,,
368,Hiking Trails,,
369,Paths,,
370,Picnic Sites,,
371,Play Area (ADA Compliant),,
372,Play Area (ADA Compliant),,
373,Restrooms,,
374,View,,
375,Woods,,
376,Boat Launch (Hand Carry),,
377,View,,
378,Waterfront,,
379,Baseball/Softball,,
380,Baseball/Softball,,
381,Basketball (Half),,
382,Play Area (ADA Compliant),,
383,Play Area (ADA Compliant),,
384,Restrooms,,
385,Soccer,,
386,Wading Pool or Water Feature,,
387,Waterfront,,
388,View,,
389,Baseball/Softball,,
390,Basketball (Half),,
391,Play Area (ADA Compliant),,
392,Restrooms,,
393,Restrooms (ADA Compliant),,
394,Soccer,,
395,Wading Pool or Water Feature,,
396,View,,
397,Boat Launch (Hand Carry),,
398,Boat Launch (Motorized),,
399,Fishing,,
400,Waterfront,,
401,Play Area (ADA Compliant),,
402,View,,
403,Paths,,
404,View,,
405,Waterfront,,
406,Weddings and Ceremonies,,
407,Play Area (ADA Compliant),,
408,Baseball/Softball,,
409,Pesticide Free,,
410,Play Area (ADA Compliant),,
411,Restrooms,,
412,Soccer,,
413,Boat Launch (Hand Carry),,
414,Fishing,,
415,P-Patch Community Garden,,
416,View,,
417,Waterfront,,
418,Creek,,
419,Green Space,,
420,Hiking Trails,,
421,Paths,,
422,Woods,,
423,Boat Launch (Hand Carry),,
424,Picnic Sites,,
425,Play Area (ADA Compliant),,
426,Basketball (Half),,
427,Play Area (ADA Compliant),,
428,Decorative Fountain,,
429,Paths,,
430,Paths (ADA Compliant),,
431,Paths,,
432,Waterfront,,
433,Paths,,
434,View,,
435,Creek,,
436,Hiking Trails,,
437,Paths,,
438,Woods,,
439,Play Area (ADA Compliant),,
440,Tennis Court (Outdoor),,
441,Tennis Court (Outdoor),,
442,Baseball/Softball,,
443,Baseball/Softball,,
444,Baseball/Softball,,
445,Community Center,,
446,Football,,
447,Play Area (ADA Compliant),,
448,Pool (Indoor),,
449,Restrooms,,
450,Restrooms (ADA Compliant),,
451,Soccer,,
452,Tennis Court (Outdoor),,
453,Tennis Court (Outdoor),,
454,Tennis Court (Outdoor),,
455,Tennis Lights,,
456,Historic Landmark,,
457,Paths,,
458,Paths (ADA Compliant),,
459,Picnic Sites,,
460,Picnic Sites,,
461,Play Area,,
462,Restrooms,,
463,Restrooms (ADA Compliant),,
464,View,,
465,Waterfront,,
466,Weddings and Ceremonies,,
467,Dog Off Leash Area,,
468,Hiking Trails,,
469,Paths,,
470,Paths (ADA Compliant),,
471,Picnic Sites,,
472,Play Area (ADA Compliant),,
473,Restrooms,,
474,Restrooms (ADA Compliant),,
475,Soccer,,
476,Soccer,,
477,Basketball (Half),,
478,Basketball (Half),,
479,Play Area (ADA Compliant),,
480,Restrooms,,
481,Restrooms (ADA Compliant),,
482,Soccer,,
483,Tennis Court (Outdoor),,
484,Wading Pool or Water Feature,,
485,Baseball/Softball,,
486,Baseball/Softball,,
487,Basketball (Half),,
488,Basketball (Half),,
489,Play Area (ADA Compliant),,
490,Restrooms,,
491,Soccer,,
492,Tennis Court (Outdoor),,
493,Tennis Court (Outdoor),,
494,Wading Pool or Water Feature,,
495,Basketball (Half),,
496,Boat Launch (Hand Carry),,
497,Creek,,
498,Dog Off Leash Area,,
499,Fire Pit,,
500,Hiking Trails,,
501,Paths,,
502,Paths (ADA Compliant),,
503,Picnic Sites,,
504,Picnic Sites,,
505,Play Area (ADA Compliant),,
506,Rental Facility,,
507,Restrooms,,
508,Restrooms (ADA Compliant),,
509,View,,
510,Waterfront,,
511,Waterfront,,
512,Weddings and Ceremonies,,
513,Baseball/Softball,,
514,Baseball/Softball,,
515,Basketball (Full),,
516,Boat Launch (Hand Carry),,
517,Boat Launch (Hand Carry),,
518,Boat Launch (Hand Carry),,
519,Boat Launch (Hand Carry),,
520,Community Center,,
521,Fishing,,
522,Fishing,,
523,Fishing,,
524,Golf,,
525,Guarded Beach,,
526,Paths,,
527,Paths (ADA Compliant),,
528,Play Area (ADA Compliant),,
529,Pool (Indoor),,
530,Rental Facility,,
531,Restrooms,,
532,Restrooms (ADA Compliant),,
533,Soccer,,
534,Tennis Court (Outdoor),,
535,Tennis Court (Outdoor),,
536,Tennis Court (Outdoor),,
537,Tennis Court (Outdoor),,
538,Tennis Court (Outdoor),,
539,Wading Pool or Water Feature,,
540,Waterfront,,
541,Woods,,
542,Paths,,
543,Play Area (ADA Compliant),,
544,Paths,,
545,Paths (ADA Compliant),,
546,View,,
547,Weddings and Ceremonies,,
548,Woods,,
549,Green Space,,
550,Woods,,
551,Paths,,
552,View,,
553,Baseball/Softball,,
554,Basketball (Half),,
555,Community Center,,
556,Historic Landmark,,
557,Paths,,
558,Paths (ADA Compliant),,
559,Play Area (ADA Compliant),,
560,Restrooms,,
561,Restrooms (ADA Compliant),,
562,Soccer,,
563,Tennis Backboard (Outdoor),,
564,Tennis Court (Outdoor),,
565,Tennis Court (Outdoor),,
566,Tennis Court (Outdoor),,
567,Tennis Lights,,
568,Track,,
569,Wading Pool or Water Feature,,
570,Baseball/Softball,,
571,Baseball/Softball,,
572,Play Area (ADA Compliant),,
573,Restrooms,,
574,Soccer,,
575,T-Ball,,
576,Tennis Court (Outdoor),,
577,Wading Pool or Water Feature,,
578,Restrooms,,
579,Restrooms (ADA Compliant),,
580,Hiking Trails,,
581,Paths,,
582,Paths,,
583,Play Area (ADA Compliant),,
584,View,,
585,View,,
586,View,,
587,Waterfront,,
588,Adult Fitness Equipment,,
589,Skatespot,,
590,Baseball/Softball,,
591,Baseball/Softball,,
592,Basketball (Full),,
593,Play Area (ADA Compliant),,
594,Restrooms,,
595,Restrooms (ADA Compliant),,
596,Rugby,,
597,Soccer,,
598,Tennis Court (Outdoor),,
599,Tennis Court (Outdoor),,
600,Bike Trail,,
601,Dog Off Leash Area,,
602,Paths,,
603,View,,
604,Baseball/Softball,,
605,Baseball/Softball,,
606,Baseball/Softball,,
607,Restrooms,,
608,Restrooms (ADA Compliant),,
609,Soccer,,
610,Soccer,,
611,T-Ball,,
612,Golf,,
613,Bike Trail,,
614,Hiking Trails,,
615,Paths,,
616,Woods,,
617,Play Area (ADA Compliant),,
618,Golf,,
619,P-Patch Community Garden,,
620,Garden,,
621,Baseball/Softball,,
622,Basketball (Full),,
623,Community Center,,
624,Cricket,,
625,Lawn Bowling,,
626,Paths,,
627,Picnic Sites,,
628,Play Area (ADA Compliant),,
629,Rental Facility,,
630,Skatepark,,
631,Soccer,,
632,Tennis Court (Outdoor),,
633,Tennis Court (Outdoor),,
634,Tennis Court (Outdoor),,
635,Tennis Court (Outdoor),,
636,Tennis Lights,,
637,View,,
638,Wading Pool or Water Feature,,
639,Weddings and Ceremonies,,
640,Golf,,
641,Adult Fitness Equipment,,
642,Basketball (Full),,
643,Basketball (Full),,
644,Basketball (Half),,
645,Basketball (Half),,
646,Paths,,
647,Picnic Sites,,
648,Play Area (ADA Compliant),,
649,Restrooms,,
650,Wading Pool or Water Feature,,
651,Baseball/Softball,,
652,Baseball/Softball,,
653,Basketball (Full),,
654,Basketball (Full),,
655,Bike Polo,,
656,Decorative Fountain,,
657,Football,,
658,Paths,,
659,Paths (ADA Compliant),,
660,Picnic Sites,,
661,Play Area (ADA Compliant),,
662,Restrooms,,
663,Skatespot,,
664,Soccer,,
665,Soccer,,
666,Wading Pool or Water Feature,,
667,Garden,,
668,Paths,,
669,Basketball (Half),,
670,Play Area,,
671,View,,
672,Weddings and Ceremonies,,
673,Dog Off Leash Area,,
674,Hiking Trails,,
675,Historic Landmark,,
676,Paths,,
677,Play Area,,
678,Restrooms,,
679,Tennis Court (Outdoor),,
680,Tennis Court (Outdoor),,
681,View,,
682,Weddings and Ceremonies,,
683,Woods,,
684,Play Area (ADA Compliant),,
685,P-Patch Community Garden,,
686,Green Space,,
687,View,,
688,Woods,,
689,Woods,,
690,Paths,,
691,Paths (ADA Compliant),,
692,Garden,,
693,Historic Landmark,,
694,Paths,,
695,Weddings and Ceremonies,,
696,Pesticide Free,,
697,Hiking Trails,,
698,Paths,,
699,View,,
700,Boat Launch (Hand Carry),,
701,Model Boat Pond,,
702,Paths,,
703,Pesticide Free,,
704,Rental Facility,,
705,View,,
706,Wading Pool or Water Feature,,
707,Waterfront,,
708,Bike Trail,,
709,Fishing,,
710,Fishing,,
711,Fishing,,
712,Historic Landmark,,
713,Waterfront,,
714,Creek,,
715,Green Space,,
716,Hiking Trails,,
717,Play Area,,
718,Woods,,
719,Baseball/Softball,,
720,Basketball (Full),,
721,Restrooms,,
722,Restrooms (ADA Compliant),,
723,View,,
724,Boat Launch (Hand Carry),,
725,Boat Moorage,,
726,Waterfront,,
727,Baseball/Softball,,
728,Pesticide Free,,
729,Play Area,,
730,Restrooms,,
731,Soccer,,
732,Baseball/Softball,,
733,Baseball/Softball,,
734,Community Center,,
735,Play Area (ADA Compliant),,
736,Soccer,,
737,Tennis Backboard (Outdoor),,
738,Tennis Court (Outdoor),,
739,Tennis Court (Outdoor),,
740,Tennis Court (Outdoor),,
741,Tennis Court (Outdoor),,
742,Tennis Lights,,
743,Baseball/Softball,,
744,Hiking Trails,,
745,Play Area,,
746,Soccer,,
747,Woods,,
748,Boat Launch (Hand Carry),,
749,Boat Launch (Hand Carry),,
750,Boat Moorage,,
751,Paths,,
752,Play Area,,
753,Restrooms,,
754,Tennis Court (Outdoor),,
755,View,,
756,Woods,,
757,Green Space,,
758,Hiking Trails,,
759,Hiking Trails,,
760,Paths,,
761,Play Area (ADA Compliant),,
762,Restrooms,,
763,Weddings and Ceremonies,,
764,Woods,,
765,Baseball/Softball,,
766,Baseball/Softball,,
767,Baseball/Softball,,
768,Boat Launch (Hand Carry),,
769,Hiking Trails,,
770,Horseshoe Pits,,
771,Paths,,
772,Picnic Sites,,
773,Picnic Sites,,
774,Picnic Sites,,
775,Picnic Sites,,
776,Picnic Sites,,
777,Play Area (ADA Compliant),,
778,Pool (Outdoor),,
779,P-Patch Community Garden,,
780,Restrooms,,
781,Restrooms (ADA Compliant),,
782,Soccer,,
783,View,,
784,Wading Pool or Water Feature,,
785,Woods,,
786,Play Area,,
787,P-Patch Community Garden,,
788,Creek,,
789,Play Area (ADA Compliant),,
790,Restrooms,,
791,Green Space,,
792,Woods,,
793,Boat Launch (Hand Carry),,
794,Play Area,,
795,Tennis Court (Outdoor),,
796,View,,
797,Waterfront,,
798,Baseball/Softball,,
799,Baseball/Softball,,
800,Basketball (Half),,
801,Community Center,,
802,Football,,
803,Play Area (ADA Compliant),,
804,Restrooms,,
805,View,,
806,Paths,,
807,View,,
808,Guarded Beach,,
809,Play Area (ADA Compliant),,
810,Rental Facility,,
811,Tennis Court (Outdoor),,
812,Tennis Court (Outdoor),,
813,Tennis Lights,,
814,View,,
815,Waterfront,,
816,Weddings and Ceremonies,,
817,Play Area,,
818,View,,
819,Waterfront,,
820,Paths,,
821,Creek,,
822,Guarded Beach,,
823,Hiking Trails,,
824,Paths,,
825,Picnic Sites,,
826,Play Area,,
827,Restrooms,,
828,View,,
829,Waterfront,,
830,Weddings and Ceremonies,,
831,Woods,,
832,Baseball/Softball,,
833,Basketball (Full),,
834,Basketball (Half),,
835,Play Area (ADA Compliant),,
836,Rental Facility,,
837,Restrooms,,
838,Soccer,,
839,Tennis Court (Outdoor),,
840,Tennis Court (Outdoor),,
841,Tennis Lights,,
842,Green Space,,
843,Woods,,
844,Dog Off Leash Area,,
845,Community Center,,
846,Paths,,
847,Picnic Sites,,
848,Play Area (ADA Compliant),,
849,Restrooms,,
850,Tennis Court (Outdoor),,
851,Tennis Court (Outdoor),,
852,Tennis Court (Outdoor),,
853,Tennis Court (Outdoor),,
854,View,,
855,Waterfront,,
856,Weddings and Ceremonies,,
857,Woods,,
858,Baseball/Softball,,
859,Baseball/Softball,,
860,Baseball/Softball,,
861,Baseball/Softball,,
862,Baseball/Softball,,
863,Play Area (ADA Compliant),,
864,Pool (Outdoor),,
865,Restrooms,,
866,Restrooms (ADA Compliant),,
867,Soccer,,
868,Soccer,,
869,Soccer,,
870,Soccer,,
871,T-Ball,,
872,Tennis Court (Outdoor),,
873,Tennis Court (Outdoor),,
874,Pesticide Free,,
875,P-Patch Community Garden,,
876,Baseball/Softball,,
877,Basketball (Half),,
878,Paths (ADA Compliant),,
879,Pickleball Court,,
880,Play Area,,
881,Restrooms,,
882,Restrooms (ADA Compliant),,
883,Soccer,,
884,Zipline,,
885,Green Space,,
886,Woods,,
887,Baseball/Softball,,
888,Baseball/Softball,,
