id,Application/Permit Number,Address,Permit_Type_ID,Category_ID,Contractor_ID
151,6531459,2007 30TH AVE S,,,
152,6531828,1100 S MASSACHUSETTS ST,,,
153,6531818,1537 NW 56TH ST,,,
154,6525152,701 5TH AVE,,,
155,6531520,910 JOHN ST,,,
156,6528918,2900 NE BLAKELEY ST,,,
157,6531806,2904 E CHERRY ST,,,
158,6531803,8421 20TH AVE SW,,,
159,6531801,4555 PURDUE AVE NE,,,
160,6531798,5410 M L KING JR WAY S,,,
161,6531565,8464 INVERNESS DR NE,,,
162,6531794,10425 23RD AVE NE,,,
163,6531794,10425 23RD AVE NE,,,
164,6531686,1609 W DRAVUS ST,,,
165,6531437,714 LAKESIDE AVE S,,,
166,6531484,3200 W COMMODORE WAY,,,
167,6531154,2025 1ST AVE,,,
168,6531792,2403 30TH AVE W,,,
169,6531785,516 NW 56TH ST,,,
170,6531789,2101 7TH AVE,,,
171,6531779,1121 33RD AVE,,,
172,6531778,4831 38TH AVE SW,,,
173,6531775,5546 30TH AVE NE,,,
174,6531773,5550 30TH AVE NE,,,
175,6531768,3802 48TH AVE NE,,,
176,6531764,3802 48TH AVE NE,,,
177,6531762,1772 18TH AVE S,,,
178,6531761,1806 S GRAND ST,,,
179,6531760,1804 S GRAND ST,,,
180,6531759,1802 S GRAND ST,,,
181,6531758,157 LAKE WASHINGTON BLVD,,,
182,6531758,157 LAKE WASHINGTON BLVD,,,
183,6531752,750 11TH AVE E,,,
184,6529414,600 UNIVERSITY ST,,,
185,6531677,1216 LEXINGTON WAY E,,,
186,6531680,5412 WALLINGFORD AVE N,,,
187,6531676,5412 WALLINGFORD AVE N,,,
188,6531740,2305 1ST AVE,,,
189,6531739,2305 1ST AVE,,,
190,6531672,8621 ISLAND DR S,,,
191,6531671,8621 ISLAND DR S,,,
192,6531670,1551 MINOR AVE,,,
193,6531738,9218 22ND AVE SW,,,
194,6531732,3723 41ST AVE SW,,,
195,6531729,105 S MAIN ST,,,
196,6531728,10 BROAD ST,,,
197,6531674,12724 39TH AVE NE,,,
198,6531726,12360 16TH AVE NE,,,
199,6531722,2716 ELLIOTT AVE,,,
200,6531719,2716 ELLIOTT AVE,,,
201,6531717,2510 WESTERN AVE,,,
202,6531713,1213 VALLEY ST,,,
203,6531675,1001 FAIRVIEW AVE N,,,
204,6531388,4755 DELRIDGE WAY SW,,,
205,6531389,4755 DELRIDGE WAY SW,,,
206,6530631,7717 57TH AVE NE,,,
207,6531453,1032 NE 89TH ST,,,
208,6531685,1325 4TH AVE,,,
209,6531665,5530 31ST AVE NE,,,
210,6531669,527 20TH AVE E,,,
211,6527653,2000 1ST AVE,,,
212,6531621,3035 NE 94TH ST,,,
213,6531620,2514 25TH AVE E,,,
214,6531619,1215 N 48TH ST,,,
215,6531618,11320 19TH AVE NE,,,
216,6531617,1108 9TH AVE W,,,
217,6531615,8004 42ND AVE NE,,,
218,6531606,777 THOMAS ST,,,
219,6529029,3455 THORNDYKE AVE W,,,
220,6531597,777 THOMAS ST,,,
221,6531479,1321 N 45TH ST,,,
222,6531449,2338 N 57TH ST,,,
223,6531430,1321 N 45TH ST,,,
224,6531444,2338 N 57TH ST,,,
225,6531595,3017 NW 69TH ST,,,
226,6531397,2355 16TH AVE S,,,
227,6531399,5552 15TH AVE S,,,
228,6531244,4120 47TH AVE S,,,
229,6531420,6940 56TH AVE S,,,
230,6531585,2124 10TH AVE W,,,
231,6531584,1803 13TH AVE,,,
232,6531589,2120 10TH AVE W,,,
233,6531423,6940 56TH AVE S,,,
234,6531029,4218A EVANSTON AVE N,,,
235,6531030,9119 FAUNTLEROY WAY SW,,,
236,6531031,7712 19TH AVE NW,,,
237,6531031,7712 19TH AVE NW,,,
238,6531032,6815 FREMONT AVE N,,,
239,6531141,2451 S JUDKINS ST,,,
240,6531344,13316 15TH AVE NE,,,
241,6520872,1517 NW 90TH ST,,,
242,6531344,13316 15TH AVE NE,,,
243,6531345,13316 15TH AVE NE,,,
244,6531345,13316 15TH AVE NE,,,
245,6531346,2609 22ND AVE S,,,
246,6531348,2609 22ND AVE S,,,
247,6531349,1324 E MARION ST,,,
248,6531339,323 W COMSTOCK ST,,,
249,6531328,323 W COMSTOCK ST,,,
250,6530955,3545 WEST LAURELHURST DR NE,,,
251,6531198,1713 22ND AVE S,,,
252,6531205,1713 22ND AVE S,,,
253,6530863,8339 28TH AVE NW,,,
254,6530862,8339 28TH AVE NW,,,
255,6531488,10105 RAINIER AVE S,,,
256,6531552,7703 17TH AVE NW,,,
257,6531550,4047 WILLIAMS AVE W,,,
258,6531548,5552 15TH AVE S,,,
259,6528080,2509 W MCGRAW ST,,,
260,6531542,2400 6TH AVE S,,,
261,6531533,400 S JACKSON ST,,,
262,6531545,1900 EDGEMONT PL W,,,
263,6531543,10322 55TH AVE S,,,
264,6531538,10322 55TH AVE S,,,
265,6531537,142 NE 60TH ST,,,
266,6522352,999 3RD AVE,,,
267,6529219,1201 WESTERN AVE,,,
268,6528011,1111 E COLUMBIA ST,,,
269,6531534,142 NE 60TH ST,,,
270,6531521,901 12TH AVE,,,
271,6531519,901 12TH AVE,,,
272,6531515,306 6TH AVE S,,,
273,6531523,708 W HALLADAY ST,,,
274,6531391,4700 9TH AVE NW,,,
275,6531508,3854 35TH AVE W,,,
276,6531506,3718 W DRAVUS ST,,,
277,6526771,410 4TH AVE,,,
278,6531465,1531 7TH AVE,,,
279,6531352,332 NW 113TH PL,,,
280,6531454,4321 SW GENESEE ST,,,
281,6527002,501 FAIRVIEW AVE N,,,
282,6531324,2100 N NORTHGATE WAY,,,
283,6531209,4120 SW 102ND ST,,,
284,6531214,4120 SW 102ND ST,,,
285,6531223,740 N 81ST ST,,,
286,6531221,740 N 81ST ST,,,
287,6531281,159 DORFFEL DR E,,,
288,6527991,1000 DEXTER AVE N,,,
289,6531136,9265 FAUNTLEROY WAY SW,,,
290,6531140,3707 S COURT ST,,,
291,6531140,3707 S COURT ST,,,
292,6531055,1223 SPRING ST,,,
293,6531139,3707 S COURT ST,,,
294,6531139,3707 S COURT ST,,,
295,6530957,1526 2ND AVE W,,,
296,6530960,1526 2ND AVE W,,,
297,6531247,419 NE 71ST ST,,,
298,6531416,7560 28TH AVE SW,,,
299,6531415,7560 28TH AVE SW,,,
300,6531385,4206 SW DAKOTA ST,,,
301,6510273,1301 ALASKAN WAY,,,
302,6531319,1705 NE PACIFIC ST,,,
303,6531306,3220 W MCGRAW ST,,,
304,6531307,2826 25TH AVE W,,,
305,6531308,1516 NW 61ST ST,,,
306,6531300,820 4TH AVE,,,
307,6531304,820 4TH AVE,,,
308,6531165,1325 4TH AVE,,,
309,6531290,3810 S FERDINAND ST,,,
310,6530429,1325 4TH AVE,,,
311,6531278,5601 24TH AVE NW,,,
312,6531270,3928 S HUDSON ST,,,
313,6531270,3928 S HUDSON ST,,,
314,6531264,7440 EAST GREEN LAKE DR N,,,
315,6531167,4111 47TH AVE SW,,,
316,6531259,81 CLAY ST,,,
317,6531253,1709 S MCCLELLAN ST,,,
318,6531251,4330 3RD AVE NW,,,
319,6531250,12020 6TH AVE NW,,,
320,6531249,2267 NE 61ST ST,,,
321,6531243,400 PINE ST,,,
322,6531239,6842 17TH AVE NE,,,
323,6531237,1511 N 41ST ST,,,
324,6531238,8027 14TH AVE NW,,,
325,6531241,2410 S FERDINAND ST,,,
326,6531241,2410 S FERDINAND ST,,,
327,6531234,1340 15TH AVE S,,,
328,6531233,14011 WAYNE PL N,,,
329,6531233,14011 WAYNE PL N,,,
330,6531224,5711 24TH AVE NW,,,
331,6531230,5515 SW WINTHROP ST,,,
332,6531226,13200 AURORA AVE N,,,
333,6531215,1032 23RD AVE E,,,
334,6530067,2857 FRANKLIN AVE E,,,
335,6530066,4319 WOODLAND PARK AVE N,,,
336,6531163,4111 47TH AVE SW,,,
337,6529829,2861 FRANKLIN AVE E,,,
338,6531043,460 N 42ND ST,,,
339,6530064,4321 WOODLAND PARK AVE N,,,
340,6529824,225 E SHELBY ST,,,
341,6529830,4323 WOODLAND PARK AVE N,,,
342,6531197,3835 21ST AVE SW,,,
