id,PermitType,PermitNumber,PerrmitStatus 
3702,Construction,6453674,Permit Closed
3703,Demolition,6493108,Permit Issued
3704,Construction,6494202,Permit Issued
3705,Construction,6506000,Permit Issued
3706,Construction,6505974,Permit Closed
3707,Construction,6505959,Permit Issued
3708,Construction,6474796,Permit Issued
3709,Construction,6459085,Permit Issued
3710,Construction,6504003,Permit Closed
3711,Demolition,6497340,Reviews Completed
3712,Construction,6492140,Permit Issued
3713,Construction,6493634,Permit Issued
3714,Demolition,6496274,Permit Issued
3715,Construction,6505892,Permit Closed
3716,Construction,6485461,Permit Issued
3717,Construction,6485337,Permit Issued
3718,Construction,6494143,Permit Issued
3719,Construction,6492136,Permit Issued
3720,Construction,6502474,Permit Closed
3721,Construction,6422999,Permit Issued
3722,Construction,6504696,Permit Issued
3723,Site Development,6505189,AP Closed
3724,Construction,6479432,Permit Issued
3725,Demolition,6505294,Permit Issued
3726,Demolition,6499929,Reviews Completed
3727,Construction,6501721,Permit Issued
3728,Construction,6493517,Permit Issued
3729,Construction,6496379,Permit Issued
3730,Construction,6498818,Permit Issued
3731,Construction,6492896,Permit Issued
3732,Construction,6505737,Permit Issued
3733,Construction,6505754,Permit Issued
3734,Construction,6505740,Permit Closed
3735,Construction,6505728,Permit Issued
3736,Site Development,6531470,
3737,Construction,6489095,Application Accepted
3738,Construction,6489817,Reviews Completed
3739,Construction,6381266,Application Accepted
3740,Construction,6491186,Permit Issued
3741,Construction,6499299,Application Accepted
3742,Construction,6501575,Permit Issued
3743,Construction,6484157,Permit Issued
3744,Construction,6501910,Permit Issued
3745,Construction,6505709,Permit Issued
3746,Construction,6435521,Permit Issued
3747,Construction,6501911,Permit Issued
3748,Construction,6500722,Permit Closed
3749,Construction,6505701,Permit Closed
3750,Construction,6505663,Permit Issued
3751,Construction,6505651,Permit Closed
3752,Construction,6498810,Permit Issued
3753,Construction,6479378,Application Accepted
3754,Construction,6505576,Permit Closed
3755,Construction,6494618,Permit Closed
3756,Construction,6504759,Permit Closed
3757,Construction,6505560,Permit Issued
3758,Construction,6479469,Application Accepted
3759,Construction,6484124,Permit Issued
3760,Construction,6472951,Permit Issued
3761,Construction,6456840,Application Accepted
3762,Construction,6481966,Application Accepted
3763,Construction,6493792,Permit Issued
3764,Construction,6493139,Permit Issued
3765,Construction,6463125,Application Accepted
3766,Construction,6489479,Permit Issued
3767,Construction,6500418,Permit Issued
3768,Construction,6505525,Permit Issued
3769,Construction,6505528,Permit Issued
3770,Site Development,6505356,AP Closed
3771,Construction,6480129,Permit Issued
3772,Site Development,6505186,AP Closed
3773,Construction,6505491,Permit Issued
3774,Construction,6505466,Permit Issued
3775,Construction,6505471,Permit Issued
3776,Construction,6505477,Permit Closed
3777,Construction,6505026,Permit Closed
3778,Construction,6505463,Permit Closed
3779,Construction,6505457,Permit Closed
3780,Construction,6505015,Permit Issued
3781,Construction,6467997,Application Accepted
3782,Construction,6493040,Permit Issued
3783,Construction,6471574,Application Accepted
3784,Construction,6505145,Permit Issued
3785,Demolition,6504956,Permit Issued
3786,Construction,6493028,Application Accepted
3787,Construction,6499313,Permit Issued
3788,Construction,6499930,Permit Closed
3789,Construction,6487614,Application Accepted
3790,Construction,6502659,Permit Closed
3791,Construction,6495646,Permit Issued
3792,Construction,6502481,Permit Issued
3793,Construction,6481795,Application Accepted
3794,Construction,6481872,Permit Issued
3795,Construction,6489133,Application Accepted
3796,Construction,6505326,Permit Closed
3797,Construction,6505288,Permit Issued
3798,Construction,6505287,Permit Issued
3799,Construction,6505285,Permit Issued
3800,Construction,6505284,Permit Issued
3801,Construction,6505283,Permit Issued
3802,Construction,6505282,Permit Issued
3803,Construction,6505293,CANCELLED
3804,Site Development,6505161,AP Closed
3805,Construction,6505239,Permit Issued
3806,Construction,6505217,Permit Closed
3807,Construction,6505206,Permit Issued
3808,Construction,6505203,Permit Issued
3809,Construction,6504499,Permit Issued
3810,Construction,6505180,Permit Closed
3811,Construction,6494178,Permit Closed
3812,Construction,6500976,Permit Closed
3813,Demolition,6498873,Permit Issued
3814,Demolition,6505031,Permit Closed
3815,Demolition,6505098,Permit Issued
3816,Construction,6492889,Permit Issued
3817,Construction,6492535,Permit Issued
3818,Demolition,6504828,Reviews Completed
3819,Construction,6470572,Application Accepted
3820,Construction,6470571,Application Accepted
3821,Demolition,6504651,Reviews Completed
3822,Demolition,6505020,Reviews Completed
3823,Construction,6489004,Application Accepted
3824,Construction,6482539,Permit Issued
3825,Construction,6502377,Application Accepted
3826,Demolition,6498351,Reviews Completed
3827,Construction,6485335,Permit Issued
3828,Construction,6499903,Permit Issued
3829,Construction,6483812,Permit Issued
3830,Construction,6461704,Permit Issued
3831,Construction,6492810,Permit Issued
3832,Demolition,6483817,Permit Issued
3833,Demolition,6463453,Permit Issued
3834,Demolition,6376612,Permit Issued
3835,Construction,6505060,Permit Closed
3836,Construction,6504960,Permit Issued
3837,Construction,6474760,Permit Closed
3838,Construction,6504926,Permit Closed
3839,Construction,6480759,Permit Issued
3840,Construction,6502467,Permit Issued
3841,Construction,6503123,Permit Issued
3842,Construction,6504919,Permit Issued
3843,Site Development,6503875,AP Closed
3844,Site Development,6504207,AP Closed
3845,Construction,6504975,Permit Issued
3846,Construction,6503493,Permit Issued
3847,Construction,6504967,Permit Issued
3848,Site Development,6503788,AP Closed
3849,Construction,6504912,Permit Issued
3850,Construction,6499303,Permit Closed
3851,Construction,6504911,Permit Issued
3852,Construction,6504222,Permit Issued
3853,Construction,6503720,Permit Closed
3854,Construction,6496059,Permit Issued
3855,Construction,6493090,Permit Issued
3856,Construction,6504685,Permit Closed
3857,Construction,6493093,Permit Issued
3858,Construction,6503286,Permit Closed
3859,Construction,6504620,Application Accepted
3860,Construction,6504769,Permit Closed
3861,Construction,6501733,Application Accepted
3862,Construction,6497449,Permit Issued
3863,Construction,6504757,Permit Issued
3864,Construction,6473211,Application Accepted
3865,Construction,6477951,Permit Issued
3866,Construction,6491771,Permit Issued
3867,Construction,6473252,Permit Issued
3868,Construction,6504750,Permit Closed
3869,Construction,6504749,Permit Issued
3870,Construction,6504726,Permit Issued
3871,Construction,6490469,Permit Issued
3872,Construction,6504717,Permit Closed
3873,Construction,6504713,Permit Closed
3874,Construction,6497475,Permit Issued
3875,Construction,6504698,Permit Issued
3876,Construction,6477648,Permit Issued
3877,Construction,6494015,Permit Issued
3878,Construction,6496502,Permit Closed
3879,Site Development,6504504,AP Closed
3880,Construction,6504424,Permit Issued
3881,Construction,6409023,Permit Issued
3882,Construction,6488615,Permit Closed
3883,Construction,6501128,Permit Issued
3884,Construction,6489764,Permit Issued
3885,Demolition,6504501,Permit Issued
3886,Construction,6495575,Permit Issued
3887,Construction,6494048,Permit Issued
3888,Construction,6493193,Permit Issued
3889,Construction,6492362,Permit Issued
3890,Construction,6490104,Permit Issued
3891,Construction,6502674,Permit Issued
3892,Construction,6498999,Application Accepted
3893,Construction,6490295,Permit Closed
3894,Construction,6495462,Permit Issued
3895,Construction,6497063,Permit Issued
3896,Demolition,6495142,Permit Issued
3897,Construction,6495141,Permit Issued
3898,Construction,6443119,Permit Issued
3899,Construction,6449319,Application Accepted
3900,Construction,6441048,Permit Closed
3901,Construction,6492798,Permit Issued
3902,Construction,6492186,Permit Issued
3903,Construction,6498226,Permit Issued
3904,Construction,6488269,Permit Issued
3905,Construction,6497474,Permit Issued
3906,Construction,6486953,Permit Issued
3907,Construction,6503322,Permit Issued
3908,Construction,6480476,Permit Closed
3909,Construction,6504452,Permit Closed
3910,Construction,6504417,Permit Issued
3911,Site Development,6504408,AP Closed
3912,Construction,6504180,Permit Issued
3913,Construction,6504378,Permit Closed
3914,Construction,6504380,Permit Issued
3915,Construction,6504365,Permit Closed
3916,Construction,6504351,Permit Issued
3917,Construction,6504338,Permit Issued
3918,Construction,6501896,Permit Issued
3919,Construction,6504315,Permit Closed
3920,Demolition,6504248,Permit Issued
3921,Demolition,6504157,Permit Issued
3922,Demolition,6504215,Reviews Completed
3923,Construction,6491991,Permit Issued
3924,Demolition,6501021,Reviews Completed
3925,Construction,6490923,Application Accepted
3926,Construction,6492476,Permit Issued
3927,Construction,6490577,Permit Issued
3928,Construction,6497061,Permit Closed
3929,Demolition,6476514,Permit Issued
3930,Demolition,6476513,Permit Issued
3931,Construction,6481007,Permit Closed
3932,Construction,6503062,Permit Issued
3933,Construction,6504173,Permit Closed
3934,Demolition,6492504,Reviews Completed
3935,Demolition,6503994,Permit Issued
3936,Demolition,6503971,Permit Issued
3937,Construction,6496703,Permit Issued
3938,Construction,6488946,Application Accepted
3939,Construction,6492350,Permit Issued
3940,Construction,6446933,Permit Issued
3941,Site Development,6503844,AP Closed
3942,Construction,6478807,Permit Issued
3943,Construction,6489921,Permit Issued
3944,Construction,6493664,Permit Issued
3945,Construction,6482690,Permit Issued
3946,Construction,6495406,Permit Issued
3947,Construction,6501108,Permit Issued
3948,Construction,6501101,Permit Issued
3949,Construction,6501118,Permit Issued
3950,Construction,6494235,Permit Issued
3951,Site Development,6502361,AP Closed
3952,Construction,6504127,Permit Issued
3953,Construction,6503933,Permit Issued
3954,Construction,6503974,Permit Issued
3955,Construction,6503975,Permit Issued
3956,Construction,6503934,Permit Issued
3957,Construction,6503935,Permit Issued
3958,Construction,6504116,Permit Closed
3959,Construction,6504095,Permit Closed
3960,Construction,6499200,Permit Closed
3961,Construction,6504063,Permit Issued
3962,Construction,6498344,Permit Issued
3963,Construction,6502876,Permit Closed
3964,Construction,6502129,Permit Closed
3965,Construction,6374794,Application Accepted
3966,Demolition,6497131,Permit Issued
3967,Construction,6496927,Permit Issued
3968,Demolition,6472369,Permit Issued
3969,Demolition,6472368,Permit Issued
3970,Construction,6496266,Permit Issued
3971,Demolition,6472367,Permit Issued
3972,Demolition,6472366,Permit Issued
3973,Construction,6498979,Permit Issued
3974,Construction,6416987,Application Accepted
3975,Site Development,6495144,Application Accepted
3976,Construction,6490787,Permit Issued
3977,Construction,6492313,Permit Issued
3978,Construction,6493126,Permit Finaled
3979,Construction,6490949,Application Accepted
3980,Construction,6485970,Permit Issued
3981,Construction,6503753,Reviews Completed
3982,Construction,6490598,Reviews Completed
3983,Demolition,6503756,Reviews Completed
3984,Construction,6474813,Application Accepted
3985,Construction,6486964,Permit Issued
3986,Construction,6479654,Permit Issued
3987,Construction,6496918,Permit Closed
3988,Construction,6494475,Permit Issued
3989,Demolition,6480371,Permit Issued
3990,Construction,6503946,Permit Closed
3991,Construction,6503930,Permit Closed
3992,Construction,6503774,Permit Issued
3993,Construction,6500269,Permit Closed
3994,Construction,6502638,Permit Issued
3995,Demolition,6480068,Permit Issued
3996,Construction,6497561,Permit Issued
3997,Construction,6503867,Permit Issued
3998,Construction,6448672,Permit Closed
3999,Construction,6479890,Permit Issued
4000,Construction,6503742,Permit Issued
4001,Construction,6483988,Permit Issued
4002,Construction,6503432,Permit Issued
4003,Site Development,6499452,AP Closed
4004,Construction,6498638,Permit Issued
4005,Construction,6493017,Permit Closed
4006,Construction,6503739,Permit Closed
4007,Construction,6503735,Permit Closed
4008,Construction,6503729,Permit Issued
4009,Construction,6487025,Permit Issued
4010,Construction,6483953,Permit Issued
4011,Construction,6503702,Permit Issued
4012,Construction,6503275,Permit Closed
4013,Construction,6503689,Permit Issued
4014,Construction,6495638,Permit Issued
4015,Construction,6498106,Permit Closed
4016,Construction,6490265,Permit Issued
4017,Site Development,6500808,AP Closed
4018,Construction,6503168,Permit Closed
4019,Construction,6503529,Permit Closed
4020,Construction,6500415,Permit Closed
4021,Construction,6503530,Permit Closed
4022,Construction,6503534,Permit Issued
4023,Construction,6490637,Permit Issued
4024,Construction,6492783,Permit Issued
4025,Construction,6497677,Permit Issued
4026,Construction,6489851,Permit Issued
4027,Construction,6493511,Permit Issued
4028,Demolition,6503103,Permit Issued
4029,Demolition,6502787,Permit Issued
4030,Demolition,6503135,Reviews Completed
4031,Construction,6503518,Permit Closed
4032,Demolition,6503254,Permit Issued
4033,Construction,6487935,Permit Issued
4034,Construction,6488802,Permit Closed
4035,Construction,6499377,Permit Issued
4036,Construction,6503507,Permit Closed
4037,Construction,6500997,Permit Closed
4038,Construction,6498692,Permit Issued
4039,Construction,6503510,Permit Closed
4040,Construction,6473555,Permit Closed
4041,Construction,6492696,Permit Issued
4042,Construction,6472055,Permit Closed
4043,Construction,6484948,Application Accepted
4044,Construction,6503278,Permit Issued
4045,Construction,6488058,Permit Issued
4046,Construction,6490595,Application Accepted
4047,Construction,6490573,Application Accepted
4048,Construction,6487799,Permit Issued
4049,Construction,6472948,Application Accepted
4050,Construction,6502325,Application Accepted
4051,Construction,6102469,
4052,Construction,6502326,Application Accepted
4053,Construction,6503145,Permit Issued
4054,Construction,6503481,Permit Issued
4055,Construction,6503454,Permit Issued
4056,Construction,6503477,Permit Closed
4057,Construction,6503471,Permit Closed
4058,Construction,6464826,Permit Issued
4059,Construction,6503430,Permit Issued
4060,Construction,6503397,Permit Issued
4061,Site Development,6485528,AP Closed
4062,Site Development,6499393,AP Closed
4063,Construction,6486864,Permit Issued
4064,Construction,6500498,Permit Issued
4065,Construction,6481060,Application Accepted
4066,Construction,6497274,Permit Closed
4067,Demolition,6499913,CANCELLED
4068,Construction,6498306,Permit Issued
4069,Construction,6487503,Permit Issued
4070,Construction,6500237,Permit Issued
4071,Construction,6495313,Permit Issued
4072,Construction,6473507,Permit Issued
4073,Construction,6491817,Permit Issued
4074,Construction,6486837,Permit Issued
4075,Demolition,6502757,Reviews Completed
4076,Construction,6497024,Permit Issued
4077,Construction,6485962,Application Accepted
4078,Construction,6446788,Permit Issued
4079,Demolition,6495788,Permit Closed
4080,Construction,6478980,Reviews Completed
4081,Construction,6405423,Application Accepted
4082,Construction,6475865,Permit Issued
4083,Site Development,6503127,AP Closed
4084,Construction,6493329,Permit Closed
4085,Construction,6497178,Permit Closed
4086,Construction,6486110,Permit Issued
4087,Construction,6480765,Permit Closed
4088,Site Development,6501496,AP Closed
4089,Construction,6493011,Permit Issued
4090,Site Development,6502524,AP Closed
4091,Site Development,6501701,AP Closed
4092,Construction,6503099,Reviews Completed
4093,Construction,6503106,Permit Closed
4094,Site Development,6502264,AP Closed
4095,Construction,6503097,Permit Issued
4096,Construction,6491682,Permit Issued
4097,Construction,6503039,Permit Issued
4098,Construction,6502201,Permit Closed
4099,Construction,6502998,Permit Issued
4100,Construction,6491414,Permit Issued
4101,Construction,6066715,
4102,Construction,6502935,Permit Issued
4103,Construction,6502927,Permit Closed
4104,Construction,6482228,Permit Issued
4105,Construction,6499183,Permit Closed
4106,Construction,6502907,Permit Issued
4107,Demolition,6502477,Permit Issued
4108,Construction,6499195,Permit Closed
4109,Demolition,6501595,Permit Closed
4110,Construction,6491968,Permit Issued
4111,Construction,6486341,Permit Issued
4112,Construction,6489798,Permit Issued
4113,Demolition,6502779,Application Accepted
4114,Construction,6487528,Reviews Completed
4115,Construction,6476958,Permit Issued
4116,Site Development,6500796,AP Closed
4117,Construction,6501579,Permit Issued
4118,Construction,6492023,Application Accepted
4119,Construction,6502721,Application Accepted
4120,Demolition,6502723,Reviews Completed
4121,Construction,6502722,Application Accepted
4122,Construction,6492019,Application Accepted
4123,Construction,6480027,Permit Issued
4124,Construction,6460432,Permit Issued
4125,Construction,6484749,Permit Issued
4126,Construction,6496216,Permit Issued
4127,Construction,6471689,Permit Issued
4128,Construction,6499997,Permit Issued
4129,Construction,6488538,Reviews Completed
4130,Construction,6487174,Permit Issued
4131,Construction,6485356,Permit Issued
4132,Construction,6498074,Permit Issued
4133,Construction,6494574,Permit Closed
4134,Construction,6498301,Permit Closed
4135,Construction,6481208,Permit Issued
4136,Construction,6502213,Permit Closed
4137,Construction,6476237,Permit Issued
4138,Construction,6488562,Application Accepted
4139,Construction,6497814,Permit Issued
4140,Construction,6502828,Permit Closed
4141,Construction,6502821,Permit Issued
4142,Construction,6502804,Permit Issued
4143,Construction,6492268,Permit Closed
4144,Construction,6502799,Permit Finaled
4145,Construction,6495389,Permit Issued
4146,Construction,6502778,Permit Issued
4147,Construction,6502768,Permit Issued
4148,Construction,6491134,Permit Closed
4149,Construction,6501498,Permit Issued
4150,Construction,6502749,Permit Issued
4151,Construction,6502736,Permit Issued
4152,Construction,6502653,Permit Issued
4153,Construction,6502709,Permit Closed
4154,Demolition,6472817,Permit Issued
4155,Construction,6502717,Permit Closed
4156,Construction,6502702,Permit Issued
4157,Construction,6500834,Permit Issued
4158,Construction,6480896,Permit Issued
4159,Construction,6461437,Application Accepted
4160,Construction,6500060,Permit Issued
4161,Construction,6489633,Application Accepted
4162,Construction,6487940,Permit Issued
4163,Site Development,6500782,AP Closed
4164,Site Development,6500799,AP Closed
4165,Construction,6502611,Permit Issued
4166,Site Development,6500791,AP Closed
4167,Construction,6476601,Permit Issued
4168,Construction,6485886,Permit Issued
4169,Construction,6498352,Permit Issued
4170,Construction,6500028,Permit Closed
4171,Construction,6500766,Permit Closed
4172,Construction,6502536,Permit Issued
4173,Construction,6502548,Permit Closed
4174,Site Development,6501245,AP Closed
4175,Demolition,6474071,Permit Issued
4176,Demolition,6502419,Permit Issued
4177,Construction,6486044,Application Accepted
4178,Construction,6490898,Application Accepted
4179,Construction,6485904,Application Accepted
4180,Construction,6477339,Application Accepted
4181,Construction,6496207,Permit Issued
4182,Construction,6499351,Permit Issued
4183,Construction,6494769,Permit Issued
4184,Construction,6497755,Permit Issued
4185,Construction,6500401,Permit Issued
4186,Construction,6495205,Permit Issued
4187,Construction,6493194,Application Accepted
4188,Construction,6499866,Permit Issued
4189,Construction,6471873,Permit Issued
4190,Construction,6487090,Application Accepted
4191,Construction,6487841,Permit Issued
4192,Construction,6498812,Permit Closed
4193,Construction,6488323,Permit Issued
4194,Construction,6497829,Permit Issued
4195,Construction,6497800,Permit Closed
4196,Construction,6494169,Permit Issued
4197,Construction,6495121,Permit Issued
4198,Construction,6495219,Permit Issued
4199,Construction,6501757,Permit Closed
4200,Construction,6500540,Permit Issued
4201,Construction,6487563,Application Accepted
4202,Construction,6489819,Reviews Completed
4203,Construction,6502288,Permit Closed
4204,Construction,6502280,Permit Issued
4205,Construction,6502272,Permit Issued
4206,Construction,6502261,Permit Issued
4207,Construction,6502200,Permit Closed
4208,Construction,6502199,Permit Closed
4209,Construction,6490678,Permit Issued
4210,Construction,6502172,Permit Closed
4211,Construction,6490992,Permit Issued
4212,Construction,6502171,Permit Finaled
4213,Construction,6487531,Permit Issued
4214,Construction,6501580,Permit Issued
4215,Construction,6501929,Permit Closed
4216,Construction,6490301,Permit Issued
4217,Construction,6490260,Permit Issued
4218,Demolition,6495170,Permit Issued
4219,Construction,6501431,Permit Issued
4220,Construction,6502035,Permit Closed
4221,Construction,6491816,Permit Issued
4222,Construction,6490999,Permit Closed
4223,Demolition,6501959,Permit Issued
4224,Demolition,6501998,Permit Closed
4225,Construction,6502012,Permit Issued
4226,Construction,6501258,Permit Issued
4227,Construction,6491789,Permit Issued
4228,Construction,6492954,Permit Closed
4229,Site Development,6498846,AP Closed
4230,Construction,6501945,Permit Issued
4231,Construction,6501953,Permit Closed
4232,Construction,6501949,Permit Closed
4233,Construction,6500772,Permit Closed
4234,Construction,6501940,Permit Issued
4235,Construction,6475645,Permit Issued
4236,Construction,6461132,Application Accepted
4237,Construction,6494812,Application Accepted
4238,Construction,6490761,Permit Closed
4239,Construction,6497979,Permit Closed
4240,Demolition,6501606,Reviews Completed
4241,Construction,6492021,Application Accepted
4242,Construction,6501605,Application Accepted
4243,Demolition,6501770,Permit Issued
4244,Construction,6476662,Application Accepted
4245,Construction,6494121,Permit Closed
4246,Construction,6498088,Permit Issued
4247,Construction,6488143,Permit Issued
4248,Construction,6498406,Permit Issued
4249,Construction,6498430,Permit Issued
4250,Construction,6498022,Reviews Completed
4251,Site Development,6501850,AP Closed
4252,Construction,6501826,Permit Issued
4253,Construction,6501820,Permit Closed
4254,Construction,6495939,Permit Closed
4255,Demolition,6478935,Permit Issued
4256,Demolition,6478934,Permit Issued
4257,Demolition,6495736,Permit Issued
4258,Construction,6499177,Permit Closed
4259,Construction,6501798,Permit Closed
4260,Construction,6501780,Permit Closed
4261,Construction,6188002,
4262,Construction,6483511,Application Accepted
4263,Construction,6490416,Permit Issued
4264,Construction,6501694,Permit Issued
4265,Construction,6499246,Permit Issued
4266,Construction,6491184,Application Accepted
4267,Construction,6469673,Application Accepted
4268,Construction,6498866,Permit Closed
4269,Construction,6497782,Permit Issued
4270,Construction,6486895,Permit Issued
4271,Construction,6501675,Permit Closed
4272,Construction,6483517,Application Accepted
4273,Construction,6501659,Permit Closed
4274,Construction,6501656,Permit Issued
4275,Construction,6501577,Permit Issued
4276,Construction,6482924,Application Accepted
4277,Construction,6450358,Reviews Completed
4278,Construction,6496769,Permit Issued
4279,Demolition,6495766,Permit Issued
4280,Construction,6501521,Permit Issued
4281,Demolition,6488759,Permit Issued
4282,Demolition,6501332,Permit Issued
4283,Demolition,6501433,Permit Issued
4284,Demolition,6498623,Permit Closed
4285,Construction,6484028,Permit Issued
4286,Construction,6490582,Permit Issued
4287,Construction,6491534,Permit Issued
4288,Construction,6488198,Permit Issued
4289,Construction,6477555,Permit Issued
4290,Construction,6484808,Permit Issued
4291,Construction,6500384,Application Accepted
4292,Construction,6492709,Permit Issued
4293,Construction,6487262,Permit Issued
4294,Construction,6450295,Application Accepted
4295,Construction,6482559,Reviews Completed
4296,Construction,6479371,Permit Issued
4297,Construction,6493998,Permit Issued
4298,Construction,6493605,Permit Issued
4299,Construction,6495619,Permit Issued
4300,Construction,6496924,Permit Issued
4301,Construction,6409823,Application Accepted
4302,Construction,6501470,Permit Issued
4303,Construction,6484741,Permit Issued
4304,Construction,6484590,Permit Closed
4305,Construction,6429653,Permit Issued
4306,Construction,6497363,Permit Closed
4307,Construction,6500104,Permit Issued
4308,Demolition,6501397,Permit Closed
4309,Construction,6487199,Permit Issued
4310,Construction,6496776,Permit Closed
4311,Construction,6499420,Permit Closed
4312,Construction,6499304,Permit Issued
4313,Construction,6498389,Permit Closed
4314,Construction,6484273,Reviews Completed
4315,Construction,6501370,Permit Closed
4316,Demolition,6483712,Permit Issued
4317,Construction,6492184,Application Accepted
4318,Construction,6501334,Permit Closed
4319,Construction,6470178,Permit Issued
4320,Construction,6501309,Permit Issued
4321,Construction,6489046,Permit Closed
4322,Construction,6501295,Permit Closed
4323,Construction,6490304,Permit Issued
4324,Construction,6501288,Permit Closed
4325,Construction,6501273,Permit Issued
4326,Construction,6501243,Permit Issued
4327,Construction,6494304,Permit Closed
4328,Construction,6493176,Permit Issued
4329,Construction,6482894,Application Accepted
4330,Construction,6483776,Permit Issued
4331,Construction,6495336,Application Accepted
4332,Demolition,6501019,Reviews Completed
4333,Construction,6489389,Reviews Completed
4334,Construction,6499991,Permit Closed
4335,Construction,6501016,Reviews Completed
4336,Construction,6486015,Permit Issued
4337,Construction,6493803,Permit Issued
4338,Demolition,6500091,Permit Issued
4339,Demolition,6501053,Permit Issued
4340,Demolition,6501028,Permit Closed
4341,Construction,6488842,Permit Issued
4342,Construction,6484192,Permit Issued
4343,Construction,6487100,Permit Issued
4344,Construction,6497148,Permit Issued
4345,Construction,6501099,Permit Closed
4346,Construction,6501096,Permit Closed
4347,Construction,6499888,Permit Closed
4348,Construction,6500759,Permit Closed
4349,Construction,6442562,Permit Issued
4350,Construction,6501044,Permit Closed
4351,Construction,6493365,Permit Issued
4352,Construction,6491911,Permit Issued
4353,Construction,6500969,Permit Issued
4354,Construction,6500968,Permit Issued
4355,Construction,6501015,Permit Closed
4356,Site Development,6501012,AP Closed
4357,Construction,6500970,Permit Closed
4358,Construction,6483742,Permit Issued
4359,Construction,6500810,Application Accepted
4360,Construction,6484390,Permit Issued
4361,Construction,6471944,Application Accepted
4362,Construction,6488827,Permit Issued
4363,Construction,6488326,Permit Issued
4364,Construction,6500923,Permit Closed
4365,Construction,6491538,Application Accepted
4366,Construction,6494241,Permit Issued
4367,Demolition,6500854,Permit Closed
4368,Construction,6500846,Permit Issued
4369,Construction,6500847,Permit Issued
4370,Construction,6460370,Application Accepted
4371,Construction,6500862,Permit Closed
4372,Construction,6500855,Permit Closed
4373,Demolition,6500845,Permit Issued
4374,Construction,6478278,Permit Issued
4375,Construction,6500844,Permit Closed
4376,Demolition,6500841,Permit Issued
4377,Construction,6485840,Permit Issued
4378,Construction,6500838,Permit Closed
4379,Construction,6470682,Permit Issued
4380,Construction,6491637,Application Accepted
4381,Construction,6488706,Permit Issued
4382,Construction,6500696,Application Accepted
4383,Construction,6487419,Application Accepted
4384,Demolition,6500703,Reviews Completed
4385,Construction,6500695,Application Accepted
4386,Construction,6495526,Application Accepted
4387,Construction,6440064,Application Accepted
4388,Construction,6498419,Permit Closed
4389,Construction,6460209,Application Accepted
4390,Construction,6500811,Permit Closed
4391,Construction,6500813,Permit Closed
4392,Construction,6497596,Permit Issued
4393,Construction,6487909,Application Accepted
4394,Construction,6486077,Reviews Completed
4395,Site Development,6500785,AP Closed
4396,Site Development,6500458,AP Closed
4397,Construction,6500769,Permit Closed
4398,Construction,6500262,Permit Issued
4399,Construction,6500765,Permit Issued
4400,Construction,6500718,Permit Issued
4401,Construction,6500753,Permit Closed
4402,Construction,6480829,Permit Issued
4403,Construction,6500741,Permit Closed
4404,Construction,6103151,
4405,Demolition,6500729,Permit Closed
4406,Construction,6489056,Permit Issued
4407,Construction,6483810,Permit Issued
4408,Construction,6466483,Permit Issued
4409,Construction,6500587,Permit Issued
4410,Construction,6487511,Permit Issued
4411,Construction,6490044,Application Accepted
4412,Construction,6493106,Permit Issued
4413,Construction,6491596,Reviews Completed
4414,Construction,6484643,Permit Issued
4415,Demolition,6500559,Permit Issued
4416,Construction,6500551,Permit Issued
4417,Construction,6500552,Permit Issued
4418,Construction,6491018,Permit Issued
4419,Construction,6496475,Permit Issued
4420,Construction,6400252,Application Accepted
4421,Construction,6418386,Application Accepted
4422,Construction,6500354,Permit Issued
4423,Construction,6482258,Permit Issued
4424,Construction,6478249,Reviews Completed
4425,Construction,6498973,Permit Issued
4426,Construction,6496194,Permit Issued
4427,Construction,6497125,Permit Issued
4428,Construction,6497767,Permit Issued
4429,Construction,6498521,Permit Closed
4430,Construction,6500531,Permit Issued
4431,Construction,6500528,Permit Closed
4432,Construction,6500508,Permit Issued
4433,Construction,6495211,Permit Closed
4434,Construction,6495048,Permit Issued
4435,Demolition,6469171,Permit Issued
4436,Construction,6104479,
4437,Demolition,6500394,Permit Issued
4438,Construction,6500460,Permit Issued
4439,Construction,6487878,Permit Issued
4440,Demolition,6500338,Permit Issued
4441,Construction,6487989,Permit Issued
4442,Construction,6460141,Permit Issued
4443,Construction,6499415,Application Accepted
4444,Construction,6491652,Permit Issued
4445,Construction,6497567,Permit Closed
4446,Demolition,6500277,Permit Issued
4447,Construction,6490711,Permit Issued
4448,Construction,6481223,Permit Issued
4449,Site Development,6500380,Application Accepted
4450,Demolition,6500383,Reviews Completed
4451,Construction,6487792,Application Accepted
4452,Demolition,6500103,Reviews Completed
4453,Construction,6500097,Application Accepted
4454,Construction,6488449,Permit Closed
4455,Construction,6488165,Application Accepted
4456,Construction,6484193,Permit Issued
4457,Construction,6488450,Permit Issued
4458,Construction,6483989,Permit Issued
4459,Demolition,6500239,Permit Issued
4460,Construction,6477974,Permit Issued
4461,Construction,6487624,Permit Issued
4462,Construction,6500471,Permit Closed
4463,Construction,6475222,Permit Issued
4464,Construction,6500455,Permit Issued
4465,Construction,6472287,Permit Issued
4466,Construction,6496929,Permit Closed
4467,Construction,6488971,Permit Issued
4468,Construction,6500306,Permit Issued
4469,Construction,6497746,Permit Closed
4470,Construction,6495025,Permit Issued
4471,Site Development,6497955,AP Closed
4472,Construction,6500328,Permit Issued
