dom_disc,sec_disc,thrd_disc,cultspc_id
Visual,Studios,,
Visual,,,
Visual,,,
,,,
,,,
,,,
Arts/Cultural Training or Education,,,
,,,
Visual,Arts/Cultural Training or Education,Studios,
,,,
Visual,,,
,,,
Visual,,,
,,,
,,,
,,,
Visual,Studios,,
Performance,,,
Multi-use,,,
,,,
,,,
,,,
,,,
Visual,,,
,,,
,,,
Literary,,,
Multi-use,,,
Arts/Cultural Training or Education,,,
,,,
,,,
,,,
,,,
,,,
,,,
Literary,,,
,,,
,,,
,,,
,,,
,,,
Multi-use,,,
,,,
,,,
,,,
,,,
,,,
Arts/Cultural Training or Education,Heritage,,
Multi-use,,,
Performance,Music,Arts/Cultural Training or Education,
,,,
,,,
Studios,,,
,,,
Literary,,,
,,,
,,,
,,,
,,,
Arts/Cultural Training or Education,Arts/Cultural Administration or Advocacy,Preservation,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Visual,,,
Performance,Visual,Arts/Cultural Training or Education,
,,,
,,,
Performance,Visual,Cinema,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Music,,,
,,,
,,,
,,,
,,,
,,,
Arts/Cultural Training or Education,,,
,,,
,,,
Visual,Literary,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Visual,,,
Visual,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Multi-use,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Visual,,,
,,,
,,,
,,,
Arts/Cultural Training or Education,,,
,,,
,,,
,,,
,,,
Visual,Studios,Multi-use,
,,,
,,,
,,,
,,,
,,,
,,,
Visual,Studios,Multi-use,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Community Center,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Performance,Multi-use,,
,,,
,,,
,,,
,,,
Performance,Arts/Cultural Training or Education,,
,,,
Music,Studios,,
,,,
,,,
Multi-use,,,
Arts/Cultural Administration or Advocacy,Arts/Cultural Training or Education,Multi-use,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Visual,Arts/Cultural Training or Education,,
,,,
,,,
,,,
,,,
Visual,,,
,,,
Arts/Cultural Training or Education,,,
,,,
,,,
Multi-use,,,
Multi-use,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Visual,Literary,,
,,,
,,,
Multi-use,,,
,,,
Music,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Arts/Cultural Training or Education,,,
Arts/Cultural Training or Education,Multi-use,,
,,,
Preservation,,,
,,,
,,,
Music,,,
Performance,,,
Arts/Cultural Training or Education,,,
,,,
Heritage,,,
,,,
,,,
,,,
,,,
Arts/Cultural Training or Education,,,
,,,
,,,
,,,
,,,
,,,
Visual,Preservation,Heritage,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Visual,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Arts/Cultural Training or Education,Multi-use,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Music,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Literary,Visual,Music,
Performance,Studios,Music,
Community Center,,,
Visual,,,
Music,,,
Music,,,
Arts/Cultural Training or Education,,,
Performance,Cinema,,
Music,,,
Performance,Visual,Multi-use,
Multi-use,Community Center,,
Multi-use,,,
Multi-use,,,
Music,,,
Performance,,,
