id,address
129,"5213 Ballard Ave NW, Seattle, WA 98107"
130,"216 Union St, Seattle, WA 98101"
131,"1308 5th Ave, Seattle, WA 98101"
132,"700 Union St, Seattle, WA 98101"
133,"9250 14th Ave NW Seattle, WA 98117"
134,
135,"4864 Rainier Ave S, Seattle, WA 98118"
136,"2200 2nd Ave, Seattle, WA 98121"
137,"4705 W Marginal Way SW, Seattle, WA 98106"
138,"2524 16th Ave S, Seattle, WA 98144"
139,"1524 Harvard Ave Seattle, WA 98122"
140,"2222 2nd Ave, Suite 200, Seattle, WA 98121"
141,"4272 Fremont Ave N, Seattle, WA 98103"
142,"5453 Leary Ave NW Seattle, WA 98107"
143,"5041 Rainier Ave S, Seattle, WA 98118"
144," 8735 Palatine Ave N Seattle, WA 98103"
145,"2220 NW Market Street Lower Level Seattle, WA 98107"
146,"7904 35th Ave SW, Seattle, WA 98126"
147,"12510 15th Ave NE Seattle, WA 98125"
148,"901 12th Ave Seattle, WA 98122"
149,"1404 18th Ave, Seattle, WA 98122"
150,
151,"100 W Roy St, Seattle, WA 98119"
152,"4205 University Way NE Seattle, WA 98105"
153,"2322 2nd Ave, Seattle, WA 98121"
154,"7400 Sand Point Way NE, Suite 203 S. Seattle, WA 98115"
155,"815 Seattle Blvd S, Seattle, WA 98134"
156,"674 S Orcas St, Seattle, WA 98108"
157,"305 Harrison Street Seattle, WA 98109"
158,"321 Mercer St, Seattle, WA 98109"
159,"201 Thomas St, Seattle, WA 98109"
160,"155 Mercer St, Seattle, WA 98109"
161,"112 5th Ave N Seattle, WA 98109"
162,"305 Harrison St Seattle, WA 98109"
163,"305 Harrison St Seattle, WA 98109"
164,"1625 Broadway, Seattle, WA 98122"
165,"4038 Stone Way N. Seattle, WA 98103"
166,"7312 Green Lake Trail, Seattle, WA 98103"
167,"1700 1st Ave South Seattle, WA 98134"
168,"3803 Delridge Way SW, Seattle, WA 98106"
169,"800 Lake Washington Blvd, Seattle, WA 98122"
170,
171,"1932 2nd Ave, Seattle, WA 98101"
172,"1303 NE 45th St, Seattle, WA 98105"
173,"911 Pine St, Seattle, WA 98101"
174,"4029 Stone Way N, Seattle, WA 98103"
175,"204 N 85th St, Seattle, WA 98103"
176,"222 Mercer St, Seattle, WA 98109"
177,"1428 Post Alley, Seattle, WA 98101"
178,"1500 Summit Ave, Seattle, WA 98122"
179,"409 7th Ave S, Seattle, WA 98104"
180,"609 8th Ave Seattle, WA 98104"
181,"2214 2nd Ave, Seattle, WA 98121"
182,"4401 42nd Ave SW Seattle, WA 98116"
183,"17th Avenue NE and NE 45th St Seattle, WA 98145"
184,"NE Pacific St, Seattle, WA 98195"
185,"4045 University Way NE Seattle, WA 98105"
186,"1000 E. Madison St Seattle, WA 98122"
187,"1621 12th Ave, Seattle, WA 98122"
188,"1247 15th Ave E, Seattle, WA 98112"
189,"608 19th Ave E, Seattle, WA 98112"
190,9123 15th Ave NE Seattle WA 98115
191,"101 Prefontaine Pl S Seattle, WA 98104"
192,"2318 E Cherry St Seattle, WA 98122"
193,"12047 31st Ave NE, Seattle, WA 98125"
194,"2914 SW Avalon Way, Seattle, WA 98126"
195,"815 Seattle Blvd S, Seattle, WA 98134"
196,"5227 Leary Ave NW  Seattle, WA 98107"
197,"110 Cherry St #200, Seattle, WA 98104"
198,"2045 Westlake Ave, Seattle, WA 98121"
199,"55 University Seattle, WA 98101"
200,"512 1st Ave S, Seattle, WA 98104"
201,"7601 Greenwood Ave N #101, Seattle, WA 98103"
202,312 N. 85th St. Suite 101 Seattle WA 98103
203,"855 Hiawatha Pl S, Seattle, WA 98144"
204,"3131 Western Ave #329, Seattle, WA 98121"
205,"5701 6th Ave S #258, Seattle, WA 98108"
206,"928 13th Ave, Seattle, WA 98122"
207,"5619 University Way NE, Seattle, WA 98105"
208,"8537 Greenwood Ave N Seattle, WA 98103"
209,"313 1st Ave S, Seattle, WA 98104"
210,"2407 1st Ave, Seattle, WA 98121"
211,"220 3rd Ave S, Seattle, WA 98104"
212,"625 W McGraw St, Seattle, WA 98119"
213,"901 E Pike St Seattle, WA 98122"
214,"1501 10th Ave East, #101 Seattle, WA 98102"
215,"110 3rd Ave S, Seattle, WA 98104"
216,"5701 Sixth Ave South Seattle, WA 98108"
217,"123 S Jackson St, Seattle, WA 98104"
218,"5805 Airport Way S, Seattle, WA 98108"
219,"504 E Denny Way Seattle, WA 98122"
220,"319 3rd Ave S, Seattle, WA 98104"
221,"5701 6th Ave S, Atrium Suite 221 Seattle, WA 98108"
222,"824 12th Ave Seattle, WA 98122"
223,"5628 Airport Way South, Ste 246 Seattle, WA  98108"
224,"6007 12th Ave S, Seattle, WA 98108"
225,"1922 Pike Pl, Seattle, WA 98101"
226,"1203 2nd Ave, Seattle, WA 98101"
227,"1226 S Bailey St, Seattle, WA 98108"
228,"700 Fifth Ave, 3rd Level Seattle, WA 98104"
229,"312 2nd Ave South Seattle, WA"
230,"2111 1st Ave, Seattle, WA 98121"
231,"900 12th Ave, Seattle, WA 98122"
232,"114 3rd Ave S, Seattle, WA 98104"
233,"1216 10th Ave Seattle, WA 98122"
234,"1902 S Main St Seattle, WA 98144"
235,
236,"3223 15th Ave W, Seattle, WA 98119"
237,"1214 1st Ave, Seattle, WA 98101"
238,"1409 21st Ave, Seattle, WA 98122"
239,
240,"625 1st Ave #200, Seattle, WA 98104"
241,"2030 Western Ave, Seattle, WA 98121"
242,"7513 Greenwood Ave N, Seattle, WA 98103"
243,"1003 1st Ave, Seattle, WA 98104"
244,"110 Union St #200, Seattle, WA 98101"
245,"1525 Summit Ave, Seattle, WA 98122"
246,"306 SW Alaska St, Seattle, WA 98116"
247,"1508 11th Ave, Seattle, WA 98122"
248,"1404 1st Ave, Seattle, WA 98101"
249,"719 S King St, Seattle, WA 98104"
250,"2101 9th Ave, Seattle, WA 98121"
251,"313 Occidental Ave S, Seattle, WA 98104"
252,"212 3rd Ave S, Seattle, WA 98104"
253,"15th Ave NE, Seattle, WA 98105"
254,"3419 E Denny Way, Seattle, WA 98122"
255,"532 1st Ave S., Seattle, WA 98104"
256,"2901 Western Ave, Seattle, WA 98121"
257,"203 Dexter Ave N Seattle, WA 98109"
258,"6716 Rainier Ave S, Seattle, WA 98118"
259,"9404 East Marginal Way S Seattle, WA 98108"
260,"113 Dexter Ave North Seattle, WA 98109"
261,"5031 University Way NE, Seattle, WA 98105"
262,"173 16th Ave Seattle, WA 98122"
263,"4500 9th Ave NE, Seattle, WA 98105"
264,"1333 5th Ave # 2, Seattle, WA 98101"
265,"104 17th Ave S, Seattle, WA 98144"
266,"860 Terry Ave N, Seattle, WA 98109"
267,"11065 5th Ave NE, Suite A, Seattle, WA, 98125"
268,"1515 12th Ave, Seattle, WA 98122"
269,"909 NE 43rd St #206, Seattle, WA 98105"
270,"2343 California Ave SW, Seattle, WA 98116"
271,"2014 9th Ave Seattle, WA 98121"
272,"77 S. Main St. Seattle, WA 98104"
273,"521 S Main St, Seattle, WA 98104"
274,"1000 Lenora St Seattle, WA 98121"
275,"307 Occidental Ave S, Seattle, WA 98104"
276,"710 E Roy St Seattle, WA 98102"
277,"1001 Lenora St Seattle, WA 98121"
278,"2015 Boren Ave Seattle, WA 98121"
279,"6500 Roosevelt Way NE, Seattle, WA 98115"
280,"2212 4th Ave, Seattle, WA 98121"
