id,Type
522,Construction
523,Construction
524,Construction
525,Construction
526,Demolition
527,Construction
528,Construction
529,Construction
530,Construction
531,Construction
532,Construction
533,Construction
534,Construction
535,Construction
536,Construction
537,Construction
538,Construction
539,Construction
540,Construction
541,Construction
542,Construction
543,Construction
544,Construction
545,Construction
546,Construction
547,Construction
548,Construction
549,Construction
550,Construction
551,Construction
552,Construction
553,Construction
554,Construction
555,Construction
556,Construction
557,Construction
558,Construction
559,Site Development
560,Site Development
561,Demolition
562,Construction
563,Construction
564,Construction
565,Construction
566,Demolition
567,Construction
568,Construction
569,Construction
570,Construction
571,Demolition
572,Construction
573,Demolition
574,Construction
575,Construction
576,Construction
577,Construction
578,Demolition
579,Construction
580,Construction
581,Construction
582,Construction
583,Construction
584,Construction
585,Construction
586,Construction
587,Construction
588,Construction
589,Construction
590,Construction
591,Construction
592,Site Development
593,Construction
594,Construction
595,Site Development
596,Construction
597,Construction
598,Demolition
599,Construction
600,Construction
601,Construction
602,Construction
603,Construction
604,Construction
605,Construction
606,Construction
607,Construction
608,Construction
609,Construction
610,Construction
611,Construction
612,Construction
613,Construction
614,Construction
615,Construction
616,Construction
617,Construction
618,Construction
619,Construction
620,Construction
621,Construction
622,Construction
623,Construction
624,Construction
625,Construction
626,Construction
627,Construction
628,Construction
629,Construction
630,Construction
631,Construction
632,Construction
633,Construction
634,Construction
635,Construction
636,Construction
637,Construction
638,Construction
639,Construction
640,Construction
641,Construction
642,Construction
643,Construction
644,Construction
645,Construction
646,Construction
647,Construction
648,Construction
649,Construction
650,Construction
651,Construction
652,Construction
653,Construction
654,Construction
655,Construction
656,Construction
657,Construction
658,Construction
659,Construction
660,Construction
661,Construction
662,Construction
663,Construction
664,Construction
665,Construction
666,Construction
667,Construction
668,Construction
669,Demolition
670,Demolition
671,Construction
672,Construction
673,Construction
674,Construction
675,Construction
676,Construction
677,Construction
678,Construction
679,Construction
680,Construction
681,Construction
682,Construction
683,Construction
684,Construction
685,Construction
686,Construction
687,Construction
688,Demolition
689,Construction
690,Construction
691,Demolition
692,Construction
693,Construction
694,Construction
695,Construction
696,Demolition
697,Construction
698,Construction
699,Construction
700,Construction
701,Construction
702,Construction
703,Construction
704,Construction
705,Construction
706,Construction
707,Construction
708,Construction
709,Construction
710,Construction
711,Construction
712,Construction
713,Construction
714,Construction
715,Construction
716,Construction
717,Construction
718,Construction
719,Construction
720,Site Development
721,Construction
722,Construction
723,Construction
724,Construction
725,Construction
726,Construction
727,Construction
728,Construction
729,Construction
730,Construction
731,Construction
732,Construction
733,Construction
734,Construction
735,Construction
736,Construction
737,Construction
738,Construction
739,Construction
740,Construction
741,Construction
742,Construction
743,Construction
744,Construction
745,Construction
746,Construction
747,Construction
748,Construction
749,Construction
750,Construction
751,Construction
752,Construction
753,Construction
754,Construction
755,Construction
756,Construction
757,Construction
758,Construction
759,Construction
760,Construction
761,Demolition
762,Construction
763,Construction
764,Construction
765,Construction
766,Construction
767,Construction
768,Construction
769,Demolition
770,Construction
771,Construction
772,Construction
773,Construction
774,Construction
775,Construction
776,Construction
777,Construction
778,Construction
779,Construction
780,Construction
781,Construction
782,Construction
783,Construction
784,Construction
785,Construction
786,Construction
787,Construction
788,Demolition
789,Construction
790,Demolition
791,Construction
792,Construction
793,Construction
794,Construction
795,Construction
796,Demolition
797,Construction
798,Construction
799,Construction
800,Construction
801,Construction
802,Construction
803,Construction
804,Demolition
805,Construction
806,Construction
807,Construction
808,Construction
809,Demolition
810,Construction
811,Construction
812,Construction
813,Construction
814,Construction
815,Construction
816,Construction
817,Construction
