id,Street,Longitude,Latitude,BuildingPermit_id
114,906 SW PORTLAND ST,-122.3475115,47.53354336,
115,902 SW PORTLAND ST,-122.34732933,47.53345701,
116,902 SW PORTLAND ST,-122.34732933,47.53345701,
117,2318 BELVIDERE AVE SW,-122.37922259,47.58275181,
118,3932 1ST AVE NE,-122.32764222,47.65476026,
119,3932 1ST AVE NE,-122.32764222,47.65476026,
120,3934 1ST AVE NE,-122.32764222,47.65476026,
121,3934 1ST AVE NE,-122.32764222,47.65476026,
122,2312 19TH AVE S,-122.30787817,47.58253933,
123,6531 22ND AVE NW,-122.38456406,47.67690596,
124,2105 S ORCAS ST,-122.30578222,47.55094183,
125,2105 S ORCAS ST,-122.30578222,47.55094183,
126,5710 NE 56TH ST,-122.26638804,47.66946873,
127,11031 38TH AVE NE,-122.28833674,47.70933846,
128,2716 S DEARBORN ST,-122.2967795,47.59581256,
129,2716 S DEARBORN ST,-122.2967795,47.59581256,
130,6531 22ND AVE NW,-122.38456406,47.67690596,
131,1501 WESTERN AVE,-122.34158746,47.60836515,
132,1101 MADISON ST,-122.32426736,47.6092117,
133,2312 19TH AVE S,-122.30787817,47.58253933,
134,401 BOYLSTON AVE E,-122.3234374,47.62215587,
135,5555 17TH AVE S,-122.31139095,47.55178156,
136,5555 17TH AVE S,-122.31139095,47.55178156,
137,7701 13TH AVE SW,-122.35203527,47.53416117,
138,9240 3RD AVE NW,-122.36041576,47.69729327,
139,307 W MCGRAW ST,-122.3614632,47.6394386,
140,3300 W MCGRAW ST,-122.39997914,47.63988645,
141,508 NW 44TH ST,-122.36331587,47.66065335,
142,2211 ELLIOTT AVE,-122.34779196,47.61170123,
143,2401 UTAH AVE S,-122.33535751,47.58181846,
144,1020 5TH AVE N,-122.34719784,47.62869012,
145,2200 1ST AVE N,-122.35515891,47.63846789,
146,6506 41ST AVE SW,-122.38419114,47.54454605,
147,6506 41ST AVE SW,-122.38419114,47.54454605,
148,2500 3RD AVE W,-122.36058723,47.64156611,
149,2332 50TH AVE SW,-122.39425925,47.58214494,
150,1220 SW MASSACHUSETTS ST,-122.35194098,47.58725053,
151,3402 35TH AVE S,-122.28852691,47.57232555,
152,9315 22ND AVE NW,-122.38463834,47.69670741,
153,9315 22ND AVE NW,-122.38463834,47.69670741,
154,1505 WESTLAKE AVE N,-122.34172768,47.63264186,
155,5500 35TH AVE NE,-122.28997481,47.66865435,
156,2432 MAGNOLIA BLVD W,-122.41163507,47.64057122,
157,3916 CALIFORNIA AVE SW,-122.38633364,47.56877206,
158,5544 27TH AVE NE,-122.29818359,47.66980327,
159,5540 27TH AVE NE,-122.2981606,47.66971513,
160,900 4TH AVE,-122.33204966,47.60587719,
161,521 W RAYE ST,-122.36455691,47.64289216,
162,2813 3RD AVE W,-122.36115799,47.64532597,
163,3223 1ST AVE S,-122.33464746,47.57495554,
164,7502 30TH AVE NE,-122.29551058,47.68322895,
165,2833 10TH AVE E,-122.31996647,47.64662429,
166,2318 BELVIDERE AVE SW,-122.37922259,47.58275181,
167,2616 NW 56TH ST,-122.39094763,47.6696779,
168,2620 NW 56TH ST,-122.39115447,47.66967726,
169,303 S JACKSON ST,-122.32991008,47.59871334,
170,7509 AURORA AVE N,-122.34483744,47.68361712,
171,8118 LATONA AVE NE,-122.32541538,47.68814115,
172,1301 N NORTHLAKE WAY,-122.34214994,47.6478881,
173,432 NE RAVENNA BLVD,-122.32378041,47.67825584,
174,3905 43RD AVE S,-122.27988187,47.56856499,
175,1600 E JEFFERSON ST,-122.31122887,47.60649299,
