id,Application Permit,Address,Location_id,Project_Information_id,Application_Information_id
44228,6066600,3809 S TRENTON ST,44228,44228,44228
43948,6066604,2731 FAIRVIEW AVE E,43948,43948,43948
44226,6066605,2380 NE 90TH ST,44226,44226,44226
44227,6066608,3809 S TRENTON ST,44227,44227,44227
50216,6066630,1200 NE PACIFIC ST,50216,50216,50216
44034,6066670,2024 NW 63RD ST,44034,44034,44034
49993,6066715,9127 ROOSEVELT WAY NE,49993,49993,49993
49191,6066718,3333 WALLINGFORD AVE N,49191,49191,49191
50283,6066724,,50283,50283,50283
45412,6066727,4034 NE 109TH ST,45412,45412,45412
45841,6066732,5412 47TH AVE SW,45841,45841,45841
45157,6066735,3005 NW ESPLANADE,45157,45157,45157
48161,6066758,4105 1ST AVE S,48161,48161,48161
49748,6066779,1550 N 115TH ST,49748,49748,49748
49188,6066780,2137 N NORTHGATE WAY,49188,49188,49188
49749,6066784,1550 N 115TH ST,49749,49749,49749
44035,6066786,2257 LOTUS AVE SW,44035,44035,44035
45183,6066826,219 TERRY AVE N,45183,45183,45183
46022,6066846,3711 RAINIER AVE S,46022,46022,46022
47666,6066879,2207 FAIRVIEW AVE E,47666,47666,47666
44037,6066894,1942 HARVARD AVE E,44037,44037,44037
45853,6066927,401 5TH AVE,45853,45853,45853
48089,6066928,3324 EAST LAURELHURST DR NE,48089,48089,48089
43321,6066930,4701 31ST AVE W,43321,43321,43321
39736,6066932,7310 23RD AVE NW,39736,39736,39736
38863,6066935,8206 2ND AVE NE,38863,38863,38863
49055,6066947,3443 WEST MARGINAL WAY SW,49055,49055,49055
49796,6066993,800 5TH AVE,49796,49796,49796
44038,6066999,5150 S WALLACE ST,44038,44038,44038
44199,6067014,9016 12TH AVE NE,44199,44199,44199
50288,6067025,,50288,50288,50288
46431,6067057,6312 SWIFT AVE S,46431,46431,46431
50290,6067083,,50290,50290,50290
44164,6067090,3646 46TH AVE SW,44164,44164,44164
45147,6067146,10758 RIVIERA PL NE,45147,45147,45147
44687,6067157,2013 3RD AVE,44687,44687,44687
43973,6067160,9701 41ST AVE SW,43973,43973,43973
45570,6067166,1934 11TH AVE W,45570,45570,45570
50282,6067174,,50282,50282,50282
39717,6067191,8628 FAUNTLEE CREST SW,39717,39717,39717
45009,6067218,1528 ALASKAN WAY,45009,45009,45009
45649,6067230,2601 3RD AVE W,45649,45649,45649
47101,6067238,725 E PIKE ST,47101,47101,47101
47843,6067318,1617 45TH AVE SW,47843,47843,47843
48219,6067323,3201 FRANKLIN AVE E,48219,48219,48219
44610,6067330,3203 FRANKLIN AVE E,44610,44610,44610
46184,6067376,2001 2ND AVE,46184,46184,46184
46185,6067387,2013 2ND AVE,46185,46185,46185
50274,6067395,,50274,50274,50274
44607,6067401,2105 5TH AVE,44607,44607,44607
39735,6067423,943 NW 63RD ST,39735,39735,39735
44217,6067468,4803 S GRAHAM ST,44217,44217,44217
47600,6067532,6608 36TH AVE S,47600,47600,47600
45842,6067546,5412 47TH AVE SW,45842,45842,45842
50277,6067550,,50277,50277,50277
44017,6067588,4200 SW ADMIRAL WAY,44017,44017,44017
47591,6067596,3678 DAYTON AVE N,47591,47591,47591
39655,6067668,44 S NEVADA ST,39655,39655,39655
39654,6067669,44 S NEVADA ST,39654,39654,39654
44019,6067686,11733 16TH AVE NE,44019,44019,44019
43982,6067757,841 NE 90TH ST,43982,43982,43982
43945,6067772,5712 60TH AVE NE,43945,43945,43945
50271,6067783,,50271,50271,50271
46211,6067812,8512 20TH AVE NE,46211,46211,46211
43983,6067814,8500 20TH AVE NE,43983,43983,43983
47152,6067816,1720 MAGNOLIA WAY W,47152,47152,47152
39746,6067856,3916 CALIFORNIA AVE SW,39746,39746,39746
44145,6067866,6526A 34TH AVE NE,44145,44145,44145
47769,6067872,810 3RD AVE,47769,47769,47769
48193,6067876,5506 6TH AVE S,48193,48193,48193
44147,6067880,7501 63RD AVE NE,44147,44147,44147
45762,6067932,7352 36TH AVE SW,45762,45762,45762
47451,6067937,319 22ND AVE,47451,47451,47451
50284,6067955,,50284,50284,50284
43949,6067988,6237 29TH AVE NE,43949,43949,43949
47375,6068007,5434 23RD AVE SW,47375,47375,47375
44374,6068079,13722 15TH AVE NE,44374,44374,44374
50291,6068085,,50291,50291,50291
43954,6068088,1525 MAGNOLIA BLVD W,43954,43954,43954
43955,6068094,3899 15TH AVE NW,43955,43955,43955
43956,6068106,3598M WEST MARGINAL WAY SW,43956,43956,43956
44056,6068111,2510 NE 65TH ST,44056,44056,44056
50287,6068156,,50287,50287,50287
47549,6068191,6718 PALATINE AVE N,47549,47549,47549
50286,6068198,,50286,50286,50286
50285,6068199,,50285,50285,50285
49903,6068201,2001 W GARFIELD ST,49903,49903,49903
44123,6068202,8121 14TH AVE SW,44123,44123,44123
44126,6068206,425 WESTLAKE AVE N,44126,44126,44126
49902,6068227,2001 W GARFIELD ST,49902,49902,49902
48002,6068284,1529 QUEEN ANNE AVE N,48002,48002,48002
45837,6068286,2110 N 45TH ST,45837,45837,45837
44070,6068320,807 NW 53RD ST,44070,44070,44070
44071,6068324,6733 14TH AVE NW,44071,44071,44071
44072,6068335,470 BOSTON ST,44072,44072,44072
44016,6068342,4200 SW ADMIRAL WAY,44016,44016,44016
6947,6068343,4210 SW ADMIRAL WAY,6947,6947,6947
49219,6068346,1601 16TH AVE,49219,49219,49219
44024,6068365,4737 44TH AVE SW,44024,44024,44024
44025,6068366,4741 44TH AVE SW,44025,44025,44025
46734,6068403,5317 ROOSEVELT WAY NE,46734,46734,46734
46425,6068433,102 30TH AVE,46425,46425,46425
44679,6068436,450 26TH AVE E,44679,44679,44679
44029,6068437,2550 21ST AVE W,44029,44029,44029
47810,6068466,701 S CLOVERDALE ST,47810,47810,47810
49312,6068482,2137 N NORTHGATE WAY,49312,49312,49312
43391,6068499,2503 SW BARTON ST,43391,43391,43391
39744,6068503,1601 16TH AVE,39744,39744,39744
44018,6068514,12602 10TH AVE NE,44018,44018,44018
43211,6068527,8935 25TH AVE NE,43211,43211,43211
43965,6068528,5929 M L KING JR WAY S,43965,43965,43965
39747,6068549,3509 SW HENDERSON ST,39747,39747,39747
43979,6068551,2236 SW ORCHARD ST,43979,43979,43979
44135,6068570,2603 3RD AVE W,44135,44135,44135
21178,6068581,3919 18TH AVE W,21178,21178,21178
43474,6068601,9022 25TH AVE NW,43474,43474,43474
39748,6068613,601 UNION ST,39748,39748,39748
49187,6068615,2137 N NORTHGATE WAY,49187,49187,49187
44137,6068624,8109 14TH AVE SW,44137,44137,44137
46603,6068635,538 LAKESIDE AVE S,46603,46603,46603
45429,6068655,1115 N 93RD ST,45429,45429,45429
44136,6068660,2506 18TH AVE S,44136,44136,44136
46704,6068676,6046 BEACH DR SW,46704,46704,46704
49303,6068767,4001 AURORA AVE N,49303,49303,49303
44092,6068785,1715 NE 96TH ST,44092,44092,44092
44093,6068791,4812 51ST AVE SW,44093,44093,44093
47153,6068863,2550 WARREN AVE N,47153,47153,47153
39677,6068891,1118 NW 50TH ST,39677,39677,39677
44026,6068978,4335 32ND AVE W,44026,44026,44026
47294,6068985,7301 AURORA AVE N,47294,47294,47294
44101,6068991,4709 43RD AVE S,44101,44101,44101
44096,6068997,2510A NE 65TH ST,44096,44096,44096
44097,6069000,2510C NE 65TH ST,44097,44097,44097
44098,6069001,2510E NE 65TH ST,44098,44098,44098
44099,6069002,2510G NE 65TH ST,44099,44099,44099
45642,6069019,3820 38TH AVE SW,45642,45642,45642
44030,6069041,6500 PHINNEY AVE N,44030,44030,44030
44081,6069074,2115 E TERRACE ST,44081,44081,44081
50154,6069103,2400 11TH AVE SW,50154,50154,50154
45406,6069134,3048 EAST LAURELHURST DR NE,45406,45406,45406
47757,6069179,9202 17TH AVE SW,47757,47757,47757
47772,6069216,401 NE 45TH ST,47772,47772,47772
44375,6069232,13724 15TH AVE NE,44375,44375,44375
39742,6069240,2530 ALKI AVE SW,39742,39742,39742
39743,6069244,3482 W BLAINE ST,39743,39743,39743
44376,6069249,3482 W BLAINE ST,44376,44376,44376
44343,6069259,5111 S RAYMOND ST,44343,44343,44343
46974,6069269,510 LAKESIDE AVE S,46974,46974,46974
45637,6069292,1737 NW 56TH ST,45637,45637,45637
43560,6069378,10411 MAPLEWOOD PL SW,43560,43560,43560
44350,6069380,2720 3RD AVE,44350,44350,44350
44650,6069401,7527 10TH AVE NW,44650,44650,44650
39714,6069419,4209 UNIVERSITY WAY NE,39714,39714,39714
44352,6069421,1719 31ST AVE,44352,44352,44352
44351,6069422,1723 31ST AVE,44351,44351,44351
48798,6069456,1200 S DEARBORN ST,48798,48798,48798
44533,6069467,1742 NW 97TH ST,44533,44533,44533
50275,6069485,,50275,50275,50275
48480,6069509,3844 1ST AVE S,48480,48480,48480
39686,6069514,3915 S HUDSON ST,39686,39686,39686
49201,6069559,5129 BALLARD AVE NW,49201,49201,49201
44102,6069587,11761 SAND POINT WAY NE,44102,44102,44102
45282,6069590,1118 NW 50TH ST,45282,45282,45282
48249,6069593,809 S HENDERSON ST,48249,48249,48249
49309,6069609,100 ELLIOTT AVE W,49309,49309,49309
2413,6069653,12714 GREENWOOD AVE N,2413,2413,2413
49351,6069657,2101 NW 77TH ST,49351,49351,49351
44100,6069676,4709 43RD AVE S,44100,44100,44100
49980,6069695,1936 7TH AVE W,49980,49980,49980
47215,6069732,1201 7TH AVE W,47215,47215,47215
47108,6069756,6061 M L KING JR WAY S,47108,47108,47108
48147,6069758,5511 16TH AVE S,48147,48147,48147
48206,6069784,3131 E MADISON ST,48206,48206,48206
39716,6069795,5403 47TH AVE SW,39716,39716,39716
50488,6069803,6609 SW ADMIRAL WAY,50488,50488,50488
43318,6069805,110 LAKESIDE AVE,43318,43318,43318
46046,6069810,4906 RAINIER AVE S,46046,46046,46046
48072,6069811,1700 17TH AVE,48072,48072,48072
44283,6069886,9772 61ST AVE S,44283,44283,44283
49283,6069959,1301 2ND AVE,49283,49283,49283
34222,6069990,2224 2ND AVE,34222,34222,34222
45545,6069999,510 N 61ST ST,45545,45545,45545
50266,6070003,,50266,50266,50266
39741,6070030,3918 S HUDSON ST,39741,39741,39741
45547,6070063,1414 NW 70TH ST,45547,45547,45547
44273,6070076,3924 S HUDSON ST,44273,44273,44273
44285,6070153,3525 S MAIN ST,44285,44285,44285
44444,6070185,8047 BROOKLYN AVE NE,44444,44444,44444
44020,6070226,2480 BIRCH AVE N,44020,44020,44020
50289,6070254,,50289,50289,50289
44377,6070341,3482 W BLAINE ST,44377,44377,44377
50273,6070353,,50273,50273,50273
45846,6070373,9860 40TH AVE S,45846,45846,45846
46912,6070411,1827 BROADWAY,46912,46912,46912
46909,6070416,1827 BROADWAY,46909,46909,46909
46911,6070513,1827 BROADWAY,46911,46911,46911
44727,6070580,7303 DUMAR WAY SW,44727,44727,44727
3205,6070588,4006 2ND AVE NE,3205,3205,3205
48186,6070640,9504 PHINNEY AVE N,48186,48186,48186
50276,6070644,,50276,50276,50276
50012,6070669,,50012,50012,50012
39645,6070694,418 BELLEVUE AVE E,39645,39645,39645
45918,6070718,4114 39TH AVE SW,45918,45918,45918
45917,6070719,4114 39TH AVE SW,45917,45917,45917
45919,6070734,4114 39TH AVE SW,45919,45919,45919
48212,6070779,6050 41ST AVE SW,48212,48212,48212
44447,6070801,3451 48TH AVE SW,44447,44447,44447
39739,6070809,8515 14TH AVE S,39739,39739,39739
43781,6070814,2151 FAIRMOUNT AVE SW,43781,43781,43781
44397,6070874,3429 NW 65TH ST,44397,44397,44397
44198,6070889,216 N 58TH ST,44198,44198,44198
1299,6070914,10132 RAINIER AVE S,1299,1299,1299
46676,6070923,1019 STURGUS AVE S,46676,46676,46676
49234,6070924,1001 S JACKSON ST,49234,49234,49234
43981,6070925,5621 21ST AVE SW,43981,43981,43981
9763,6070929,4548 DELRIDGE WAY SW,9763,9763,9763
50272,6070958,,50272,50272,50272
50185,6070979,701 5TH AVE,50185,50185,50185
50184,6070980,701 5TH AVE,50184,50184,50184
50183,6070981,701 5TH AVE,50183,50183,50183
47008,6071017,4300 BROOKLYN AVE NE,47008,47008,47008
44414,6071155,358 NW 85TH ST,44414,44414,44414
49425,6071195,1915 TERRY AVE,49425,49425,49425
44342,6071230,14011 ALPINE WAY NW,44342,44342,44342
46038,6071233,8760 SAND POINT WAY NE,46038,46038,46038
