id,Application Permit,Action Type,Work Type,Value,Location_id
45412,6066727,ADD/ALT,Plan Review,$0.00,0
45841,6066732,,Plan Review,$0.00,0
45157,6066735,ADD/ALT,Plan Review,$0.00,0
48161,6066758,,Plan Review,$0.00,0
49748,6066779,,Plan Review,$0.00,0
49188,6066780,,Plan Review,$0.00,0
49749,6066784,,Plan Review,$0.00,0
44035,6066786,,Plan Review,$0.00,0
45183,6066826,,Plan Review,$0.00,0
46022,6066846,,Plan Review,$0.00,0
47666,6066879,ADD/ALT,Plan Review,$64500.00,0
44037,6066894,ADD/ALT,Plan Review,$0.00,0
45853,6066927,,No plan review,$0.00,0
48089,6066928,ADD/ALT,Plan Review,$0.00,0
43321,6066930,NO CONSTRUCTION,Plan Review,$5000.00,0
39736,6066932,ADD/ALT,Plan Review,$155000.00,0
38863,6066935,NEW,Plan Review,$430808.00,0
49055,6066947,,Plan Review,$0.00,0
49796,6066993,ADD/ALT,No plan review,$2136.00,0
44038,6066999,NEW,Plan Review,$0.00,0
44199,6067014,ADD/ALT,Plan Review,$0.00,0
50288,6067025,,Plan Review,$0.00,0
46431,6067057,NO CONSTRUCTION,Plan Review,$0.00,0
50290,6067083,,Plan Review,$0.00,0
44164,6067090,ADD/ALT,Plan Review,$0.00,0
45147,6067146,ADD/ALT,Plan Review,$0.00,0
44687,6067157,ADD/ALT,Plan Review,$0.00,0
43973,6067160,ADD/ALT,Plan Review,$0.00,0
45570,6067166,NEW,Plan Review,$0.00,0
50282,6067174,,Plan Review,$0.00,0
39717,6067191,ADD/ALT,Plan Review,$175000.00,0
45009,6067218,ADD/ALT,Plan Review,$0.00,0
45649,6067230,,Plan Review,$0.00,0
47101,6067238,ADD/ALT,Plan Review,$0.00,0
47843,6067318,ADD/ALT,No plan review,$0.00,0
48219,6067323,ADD/ALT,Plan Review,$0.00,0
44610,6067330,ADD/ALT,Plan Review,$0.00,0
46184,6067376,NEW,Plan Review,$0.00,0
46185,6067387,,Plan Review,$0.00,0
50274,6067395,,Plan Review,$0.00,0
44607,6067401,NEW,Plan Review,$0.00,0
39735,6067423,ADD/ALT,Plan Review,$95000.00,0
44217,6067468,,Plan Review,$0.00,0
47600,6067532,ADD/ALT,Plan Review,$8000.00,0
45842,6067546,,Plan Review,$0.00,0
50277,6067550,,Plan Review,$0.00,0
44017,6067588,NEW,Plan Review,$0.00,0
47591,6067596,,Plan Review,$0.00,0
39655,6067668,NEW,Plan Review,$13000.00,0
39654,6067669,NEW,Plan Review,$13000.00,0
44019,6067686,,Plan Review,$0.00,0
43982,6067757,,Plan Review,$0.00,0
43945,6067772,,Plan Review,$0.00,0
50271,6067783,,Plan Review,$0.00,0
46211,6067812,,Plan Review,$0.00,0
43983,6067814,,Plan Review,$0.00,0
47152,6067816,NEW,Plan Review,$0.00,0
39746,6067856,ADD/ALT,Plan Review,$30000.00,0
44145,6067866,,Plan Review,$0.00,0
47769,6067872,ADD/ALT,Plan Review,$0.00,0
48193,6067876,,Plan Review,$0.00,0
44147,6067880,,Plan Review,$0.00,0
45762,6067932,ADD/ALT,Plan Review,$0.00,0
47451,6067937,,Plan Review,$0.00,0
50284,6067955,,Plan Review,$0.00,0
43949,6067988,ADD/ALT,Plan Review,$0.00,0
47375,6068007,ADD/ALT,Plan Review,$18788.00,0
44374,6068079,NEW,Plan Review,$0.00,0
50291,6068085,,Plan Review,$0.00,0
43954,6068088,ADD/ALT,Plan Review,$0.00,0
43955,6068094,NEW,Plan Review,$0.00,0
43956,6068106,NEW,Plan Review,$0.00,0
44056,6068111,NEW,Plan Review,$0.00,0
50287,6068156,,Plan Review,$0.00,0
47549,6068191,ADD/ALT,Plan Review,$100345.00,0
50286,6068198,,Plan Review,$0.00,0
50285,6068199,,Plan Review,$0.00,0
49903,6068201,,Plan Review,$0.00,0
44123,6068202,ADD/ALT,Plan Review,$0.00,0
44126,6068206,ADD/ALT,Plan Review,$0.00,0
