id,Application Permit,Action Type,Work Type,Value,Location_id
39045,6151715,NEW,Plan Review,$342119.00,0
39011,6151761,NEW,Plan Review,$940739.00,0
39080,6151786,NEW,Plan Review,$4000000.00,0
46061,6151807,ADD/ALT,Plan Review,$0.00,0
48920,6151894,,Plan Review,$0.00,0
37833,6151937,NEW,Plan Review,$448050.00,0
45587,6152117,ADD/ALT,Plan Review,$0.00,0
44791,6152119,ADD/ALT,Plan Review,$0.00,0
39129,6152126,NO CONSTRUCTION,Plan Review,$0.00,0
40397,6152147,NEW,Plan Review,$0.00,0
39175,6152177,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
20526,6152396,ADD/ALT,No plan review,$17000.00,0
47488,6152410,ADD/ALT,Plan Review,$6500.00,0
46167,6152421,NEW,Plan Review,$0.00,0
39170,6152452,NO CONSTRUCTION,Plan Review,$1.00,0
42395,6152483,ADD/ALT,Plan Review,$0.00,0
39081,6152609,ADD/ALT,Plan Review,$7000.00,0
39163,6152615,NEW,Plan Review,$407113.00,0
39164,6152616,NEW,Plan Review,$407113.00,0
39162,6152617,NEW,Plan Review,$407113.00,0
1703,6152679,ADD/ALT,Plan Review,$150000.00,0
46286,6152726,ADD/ALT,Plan Review,$0.00,0
44335,6152754,ADD/ALT,Plan Review,$71220.00,0
39166,6152761,,No plan review,$0.00,0
46987,6152922,,No plan review,$0.00,0
46861,6153030,ADD/ALT,Plan Review,$1000.00,0
31890,6153042,NEW,Plan Review,$10722000.00,0
48463,6153065,ADD/ALT,Plan Review,$40000.00,0
46610,6153119,ADD/ALT,Plan Review,$17000.00,0
49342,6153127,ADD/ALT,Plan Review,$0.00,0
43033,6153151,ADD/ALT,Plan Review,$0.00,0
44178,6153373,ADD/ALT,Plan Review,$0.00,0
49824,6153376,ADD/ALT,Plan Review,$0.00,0
43846,6153458,ADD/ALT,Plan Review,$0.00,0
42752,6153506,ADD/ALT,Plan Review,$0.00,0
42786,6153519,ADD/ALT,No plan review,$9000.00,0
42470,6153522,ADD/ALT,Plan Review,$0.00,0
39098,6153527,ADD/ALT,Plan Review,$3200.00,0
44743,6153545,,Plan Review,$0.00,0
45255,6153663,ADD/ALT,Plan Review,$0.00,0
50114,6153675,ADD/ALT,Plan Review,$0.00,0
48370,6153682,ADD/ALT,Plan Review,$0.00,0
39132,6153710,NEW,Plan Review,$4300000.00,0
42398,6153775,NEW,Plan Review,$0.00,0
39158,6153781,NEW,Plan Review,$269587.00,0
42833,6153783,,No plan review,$0.00,0
47416,6153785,,No plan review,$0.00,0
48558,6153875,ADD/ALT,Plan Review,$0.00,0
49556,6153895,ADD/ALT,Plan Review,$0.00,0
29673,6153914,NEW,Plan Review,$12859426.00,0
43603,6153961,NEW,Plan Review,$0.00,0
47933,6154007,ADD/ALT,No plan review,$0.00,0
39130,6154012,NO CONSTRUCTION,Plan Review,$0.00,0
39128,6154016,NO CONSTRUCTION,Plan Review,$0.00,0
39725,6154045,NEW,Plan Review,$322897.00,0
39156,6154090,NEW,Plan Review,$459917.00,0
39118,6154148,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
39036,6154164,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
42624,6154165,ADD/ALT,Plan Review,$0.00,0
42652,6154171,NEW,Plan Review,$0.00,0
39008,6154173,NEW,Plan Review,$653621.00,0
38909,6154190,NEW,Plan Review,$452529.00,0
38609,6154237,NEW,Plan Review,$909499.00,0
42463,6154278,NEW,Plan Review,$94197.00,0
49468,6154299,,No plan review,$0.00,0
49450,6154308,ADD/ALT,Plan Review,$0.00,0
50060,6154362,ADD/ALT,Plan Review,$0.00,0
48353,6154366,NEW,No plan review,$0.00,0
39134,6154380,NEW,Plan Review,$211004.00,0
45354,6154432,NEW,Plan Review,$0.00,0
42435,6154445,,Plan Review,$0.00,0
38945,6154464,NEW,Plan Review,$239246.00,0
42520,6154469,ADD/ALT,Plan Review,$0.00,0
47093,6154568,NEW,Plan Review,$0.00,0
43226,6154580,ADD/ALT,Plan Review,$0.00,0
45636,6154591,ADD/ALT,Plan Review,$0.00,0
48327,6154647,,Plan Review,$0.00,0
42473,6154710,NEW,Plan Review,$0.00,0
42688,6154713,NEW,Plan Review,$0.00,0
42806,6154741,ADD/ALT,Plan Review,$0.00,0
42510,6154752,ADD/ALT,Plan Review,$0.00,0
43263,6154756,,No plan review,$0.00,0
39147,6154793,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
42525,6154809,,Plan Review,$0.00,0
42695,6154838,NEW,Plan Review,$0.00,0
41046,6154839,NEW,Plan Review,$0.00,0
42754,6154852,NEW,Plan Review,$393253.00,0
39061,6154861,NEW,Plan Review,$6497143.00,0
43096,6154918,ADD/ALT,Plan Review,$0.00,0
43302,6154919,ADD/ALT,Plan Review,$0.00,0
39148,6154958,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
6172,6155029,,Plan Review,$0.00,0
42728,6155031,,Plan Review,$0.00,0
39146,6155035,,No plan review,$0.00,0
45586,6155039,,No plan review,$0.00,0
38622,6155062,NEW,Plan Review,$248340.00,0
42572,6155077,ADD/ALT,Plan Review,$0.00,0
48792,6155088,ADD/ALT,Plan Review,$0.00,0
39114,6155160,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
39143,6155163,,No plan review,$0.00,0
39136,6155242,ADD/ALT,Plan Review,$65000.00,0
38892,6155291,NEW,Plan Review,$310399.00,0
39102,6155315,ADD/ALT,Plan Review,$80000.00,0
39141,6155320,NEW,Plan Review,$473215.00,0
39140,6155322,,No plan review,$0.00,0
42453,6155328,ADD/ALT,Plan Review,$0.00,0
39084,6155330,ADD/ALT,Plan Review,$3000.00,0
42436,6155331,ADD/ALT,Plan Review,$0.00,0
42582,6155335,ADD/ALT,Plan Review,$0.00,0
39138,6155336,ADD/ALT,Plan Review,$10000.00,0
42626,6155337,ADD/ALT,Plan Review,$0.00,0
46806,6155341,ADD/ALT,Plan Review,$0.00,0
39139,6155350,ALTER,Plan Review,$75000.00,0
38831,6155389,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
44606,6155409,,Plan Review,$0.00,0
37956,6155458,NEW,Plan Review,$93492070.00,0
42755,6155461,ADD/ALT,Plan Review,$0.00,0
48467,6155483,ADD/ALT,Plan Review,$0.00,0
42625,6155484,ADD/ALT,Plan Review,$0.00,0
39083,6155492,ADD/ALT,Plan Review,$118580.00,0
39117,6155567,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
42859,6155569,,Plan Review,$0.00,0
37943,6155610,NEW,Plan Review,$21836192.00,0
42550,6155622,NEW,Plan Review,$0.00,0
48648,6155626,ADD/ALT,Plan Review,$0.00,0
45279,6155630,,No plan review,$0.00,0
38811,6155687,NEW,Plan Review,$6985631.00,0
42585,6155842,ADD/ALT,Plan Review,$0.00,0
38942,6155859,NEW,Plan Review,$138848.00,0
43868,6155930,,Plan Review,$0.00,0
38808,6155966,NEW,Plan Review,$444726.00,0
39019,6156053,ADD/ALT,Plan Review,$4260.00,0
36158,6156064,ADD/ALT,No plan review,$3300.00,0
38695,6156071,NEW,Plan Review,$546994.00,0
42451,6156160,,Plan Review,$0.00,0
36321,6156167,NEW,Plan Review,$293344.00,0
28311,6156168,NEW,Plan Review,$300940.00,0
41775,6156189,NEW,Plan Review,$0.00,0
42696,6156210,NEW,Plan Review,$0.00,0
12262,6156220,ADD/ALT,No plan review,$0.00,0
45664,6156246,,Plan Review,$0.00,0
33213,6156259,,Plan Review,$0.00,0
39131,6156269,,No plan review,$0.00,0
33319,6156273,,Plan Review,$0.00,0
42399,6156296,ADD/ALT,Plan Review,$0.00,0
39120,6156327,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
50465,6156331,ADD/ALT,Plan Review,$0.00,0
39126,6156369,NEW,Plan Review,$268571.00,0
39127,6156370,,No plan review,$0.00,0
39010,6156396,NEW,Plan Review,$337854.00,0
39060,6156451,,No plan review,$0.00,0
38866,6156487,,No plan review,$0.00,0
39123,6156507,,No plan review,$0.00,0
49595,6156535,NEW,Plan Review,$0.00,0
43671,6156540,,Plan Review,$0.00,0
47256,6156577,ADD/ALT,Plan Review,$0.00,0
38683,6156628,NEW,Plan Review,$79114608.00,0
38911,6156632,NEW,Plan Review,$275478.00,0
42496,6156659,NEW,Plan Review,$0.00,0
48041,6156692,ADD/ALT,Plan Review,$0.00,0
42521,6156737,NEW,Plan Review,$0.00,0
49739,6156794,,Plan Review,$0.00,0
39025,6156798,NEW,Plan Review,$5000000.00,0
38916,6156799,NEW,Plan Review,$10500000.00,0
22630,6156817,ADD/ALT,Plan Review,$400000.00,0
45572,6156839,ADD/ALT,Plan Review,$0.00,0
45504,6156844,ADD/ALT,Plan Review,$0.00,0
43910,6156942,,Plan Review,$0.00,0
43810,6156952,NEW,Plan Review,$0.00,0
42725,6156996,NEW,Plan Review,$0.00,0
8279,6157010,,Plan Review,$0.00,0
49985,6157131,NEW,Plan Review,$0.00,0
42522,6157163,,Plan Review,$0.00,0
39113,6157165,ADD/ALT,Plan Review,$109502.00,0
38992,6157190,NEW,Plan Review,$255069.00,0
49074,6157217,NEW,Plan Review,$0.00,0
48717,6157223,,Plan Review,$0.00,0
38551,6157227,ADD/ALT,Plan Review,$440000.00,0
42540,6157300,NEW,Plan Review,$0.00,0
42518,6157343,NEW,Plan Review,$0.00,0
42554,6157357,ADD/ALT,Plan Review,$0.00,0
45498,6157374,ADD/ALT,Plan Review,$0.00,0
42602,6157407,ADD/ALT,Plan Review,$0.00,0
43396,6157424,,Plan Review,$21968240.00,0
42733,6157443,NEW,Plan Review,$0.00,0
42757,6157450,NEW,Plan Review,$0.00,0
44051,6157451,,Plan Review,$0.00,0
45453,6157468,NEW,Plan Review,$0.00,0
46749,6157547,NEW,Plan Review,$0.00,0
48582,6157552,ADD/ALT,Plan Review,$0.00,0
50243,6157610,,Plan Review,$0.00,0
39111,6157677,NEW,Plan Review,$342119.00,0
39109,6157678,NEW,Plan Review,$345141.00,0
39110,6157679,NEW,Plan Review,$345141.00,0
39108,6157683,,No plan review,$0.00,0
48598,6157726,,Plan Review,$0.00,0
39089,6157728,ADD/ALT,Plan Review,$50000.00,0
38385,6157757,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
38994,6157762,ADD/ALT,Plan Review,$307825.00,0
44969,6157788,NEW,Plan Review,$0.00,0
39038,6157791,NEW,Plan Review,$421892.00,0
22902,6157817,NEW,Plan Review,$0.00,0
47637,6157933,,Plan Review,$0.00,0
39104,6157960,DEMOLITION,No plan review,$0.00,0
39106,6157968,DEMOLITION,No plan review,$0.00,0
29073,6157972,ADD/ALT,Plan Review,$5000.00,0
43040,6157985,NEW,Plan Review,$0.00,0
46549,6158061,ADD/ALT,No plan review,$0.00,0
45668,6158071,ADD/ALT,Plan Review,$0.00,0
42687,6158089,NEW,Plan Review,$0.00,0
22932,6158136,ADD/ALT,No plan review,$0.00,0
38031,6158208,NEW,Plan Review,$6297849.00,0
48962,6158274,ADD/ALT,Plan Review,$0.00,0
41221,6158311,NEW,Plan Review,$0.00,0
42568,6158321,ADD/ALT,Plan Review,$0.00,0
42699,6158339,NEW,Plan Review,$0.00,0
39088,6158400,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
49816,6158409,ADD/ALT,Plan Review,$0.00,0
49315,6158432,,Plan Review,$0.00,0
39049,6158448,NEW,Plan Review,$8868329.00,0
45961,6158467,NEW,Plan Review,$0.00,0
42464,6158487,NEW,Plan Review,$0.00,0
39097,6158517,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
46392,6158558,NEW,Plan Review,$0.00,0
45362,6158566,,Plan Review,$0.00,0
42798,6158613,CURB CUT,No plan review,$0.00,0
41854,6158659,ADD/ALT,Plan Review,$0.00,0
38989,6158670,NEW,Plan Review,$2239445.00,0
39095,6158675,,No plan review,$0.00,0
47366,6158697,NEW,Plan Review,$0.00,0
43847,6158707,NEW,Plan Review,$0.00,0
42781,6158719,NEW,Plan Review,$0.00,0
42635,6158721,NEW,Plan Review,$0.00,0
50112,6158722,ADD/ALT,Plan Review,$0.00,0
50113,6158772,ADD/ALT,Plan Review,$0.00,0
45880,6158842,,Plan Review,$0.00,0
39042,6158844,NEW,Plan Review,$284484.00,0
47775,6158899,ADD/ALT,Plan Review,$0.00,0
47790,6159008,ADD/ALT,Plan Review,$0.00,0
39092,6159022,,No plan review,$0.00,0
39091,6159025,NEW,Plan Review,$331577.00,0
39086,6159051,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
43756,6159134,ADD/ALT,Plan Review,$1000.00,0
47426,6159144,NEW,Plan Review,$0.00,0
38903,6159219,NEW,Plan Review,$473915.00,0
39072,6159274,NEW,Plan Review,$15922471.00,0
39022,6159275,NEW,Plan Review,$20000000.00,0
38919,6159292,NEW,Plan Review,$287149.00,0
45904,6159300,ADD/ALT,Plan Review,$0.00,0
46834,6159308,NEW,Plan Review,$0.00,0
39046,6159309,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
39020,6159329,NEW,Plan Review,$3214859.00,0
38833,6159357,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
42636,6159414,ADD/ALT,Plan Review,$0.00,0
44091,6159435,NEW,Plan Review,$0.00,0
39100,6159447,ADD/ALT,Plan Review,$1000.00,0
50383,6159448,,Plan Review,$0.00,0
39099,6159451,GRADING,Plan Review,$1000.00,0
38953,6159481,NEW,Plan Review,$10500000.00,0
38855,6159482,NEW,Plan Review,$15500000.00,0
46166,6159489,,No plan review,$0.00,0
48266,6159577,ADD/ALT,Plan Review,$27000.00,0
38692,6159582,ADD/ALT,Plan Review,$3474098.00,0
42388,6159622,ADD/ALT,Plan Review,$0.00,0
46833,6159639,ADD/ALT,Plan Review,$0.00,0
42472,6159646,NEW,Plan Review,$0.00,0
45247,6159768,ADD/ALT,Plan Review,$1527.00,0
43774,6159783,CURB CUT,No plan review,$0.00,0
42637,6159789,ADD/ALT,Plan Review,$0.00,0
25178,6159824,ADD/ALT,Plan Review,$85039.00,0
46306,6159947,,Plan Review,$0.00,0
8232,6159951,,Plan Review,$0.00,0
44908,6159965,ADD/ALT,Plan Review,$8465.00,0
42936,6160041,,No plan review,$0.00,0
38924,6160044,,No plan review,$0.00,0
18824,6160101,,Plan Review,$0.00,0
42527,6160102,ADD/ALT,Plan Review,$0.00,0
43054,6160180,ADD/ALT,Plan Review,$0.00,0
39033,6160190,NEW,Plan Review,$344486.00,0
39047,6160235,ADD/ALT,Plan Review,$20000.00,0
44047,6160279,,Plan Review,$0.00,0
46099,6160284,,Plan Review,$0.00,0
39068,6160286,NEW,Plan Review,$284041.00,0
42137,6160288,ADD/ALT,Plan Review,$0.00,0
42583,6160417,NEW,Plan Review,$0.00,0
38934,6160451,NEW,Plan Review,$698111.00,0
45889,6160463,ADD/ALT,Plan Review,$0.00,0
39030,6160479,NEW,Plan Review,$304328.00,0
39027,6160486,NEW,Plan Review,$304328.00,0
39076,6160494,ADD/ALT,Plan Review,$3000.00,0
42389,6160497,NEW,Plan Review,$266830.00,0
44638,6160588,,No plan review,$0.00,0
44637,6160589,,No plan review,$0.00,0
39048,6160616,ADD/ALT,Plan Review,$8000.00,0
38829,6160676,ADD/ALT,Plan Review,$20000.00,0
48646,6160789,ADD/ALT,Plan Review,$0.00,0
49769,6160826,ADD/ALT,Plan Review,$0.00,0
39017,6160834,NEW,Plan Review,$278933.00,0
49716,6160863,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
39073,6160896,DEMOLITION,No plan review,$0.00,0
49028,6160925,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
38954,6160941,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
42759,6161018,ADD/ALT,Plan Review,$0.00,0
45113,6161071,,Plan Review,$0.00,0
39018,6161073,NEW,Plan Review,$366161.00,0
39014,6161079,NEW,Plan Review,$342517.00,0
42497,6161098,NEW,Plan Review,$0.00,0
39021,6161157,NEW,Plan Review,$891253.00,0
42452,6161234,,Plan Review,$0.00,0
43405,6161285,ADD/ALT,Plan Review,$0.00,0
24599,6161295,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
39000,6161307,NEW,Plan Review,$15168622.00,0
38818,6161313,NEW,Plan Review,$17676456.00,0
46780,6161321,NEW,Plan Review,$0.00,0
38813,6161322,ADD/ALT,Plan Review,$1979502.00,0
45898,6161352,ADD/ALT,Plan Review,$0.00,0
39070,6161372,,No plan review,$0.00,0
39069,6161383,,No plan review,$0.00,0
44112,6161401,ADD/ALT,Plan Review,$0.00,0
47834,6161403,ADD/ALT,Plan Review,$0.00,0
43039,6161404,ADD/ALT,Plan Review,$0.00,0
42832,6161417,NO CONSTRUCTION,Plan Review,$0.00,0
39066,6161419,,Plan Review,$0.00,0
46078,6161450,NEW,Plan Review,$0.00,0
38985,6161485,NEW,Plan Review,$247884.00,0
43209,6161504,NEW,Plan Review,$311038.00,0
43557,6161610,,Plan Review,$0.00,0
45454,6161615,NEW,No plan review,$0.00,0
38706,6161719,NEW,Plan Review,$244869.00,0
42433,6161728,NEW,Plan Review,$0.00,0
38652,6161730,NEW,Plan Review,$403803.00,0
39037,6161780,ADD/ALT,Plan Review,$214887.00,0
45141,6161860,,Plan Review,$0.00,0
1579,6161873,,Plan Review,$0.00,0
39064,6161914,,No plan review,$0.00,0
38948,6161983,NEW,Plan Review,$386240.00,0
43005,6162001,NEW,Plan Review,$0.00,0
43004,6162004,NEW,Plan Review,$0.00,0
43585,6162011,ADD/ALT,Plan Review,$28520.00,0
46707,6162017,ADD/ALT,Plan Review,$200000.00,0
46708,6162018,ADD/ALT,Plan Review,$150000.00,0
38965,6162019,NEW,Plan Review,$49154.00,0
38968,6162021,NEW,Plan Review,$128136.00,0
38973,6162022,NEW,Plan Review,$138848.00,0
38966,6162024,NEW,Plan Review,$128136.00,0
38969,6162031,NEW,Plan Review,$128136.00,0
48417,6162121,ADD/ALT,Plan Review,$0.00,0
42593,6162125,ADD/ALT,Plan Review,$0.00,0
50481,6162152,,Plan Review,$0.00,0
42640,6162188,NEW,Plan Review,$0.00,0
42533,6162192,ADD/ALT,Plan Review,$0.00,0
42663,6162208,ADD/ALT,Plan Review,$0.00,0
38365,6162257,NEW,Plan Review,$3429000.00,0
43393,6162350,ADD/ALT,Plan Review,$0.00,0
39028,6162365,NEW,Plan Review,$221591.00,0
39058,6162368,,No plan review,$0.00,0
45451,6162388,ADD/ALT,Plan Review,$0.00,0
42653,6162440,NEW,Plan Review,$0.00,0
50349,6162454,,Plan Review,$0.00,0
38991,6162459,NO CONSTRUCTION,Plan Review,$0.00,0
42371,6162461,NEW,Plan Review,$506906.00,0
33639,6162556,NEW,Plan Review,$45000000.00,0
42483,6162562,ADD/ALT,Plan Review,$0.00,0
39056,6162632,ALTER,Plan Review,$300.00,0
39006,6162691,NEW,Plan Review,$120704.00,0
39004,6162692,NEW,Plan Review,$163411.00,0
39005,6162698,NEW,Plan Review,$773813.00,0
38986,6162702,NEW,Plan Review,$169909.00,0
39009,6162703,NEW,Plan Review,$142698.00,0
39055,6162715,NEW,Plan Review,$380178.00,0
42512,6162716,,No plan review,$0.00,0
38972,6162721,ADD/ALT,Plan Review,$309835.00,0
38687,6162727,NEW,Plan Review,$29975811.00,0
50213,6162752,ADD/ALT,Plan Review,$0.00,0
39054,6162754,NEW,Plan Review,$148702.00,0
39050,6162755,NEW,Plan Review,$148702.00,0
39052,6162756,NEW,Plan Review,$135761.00,0
39051,6162757,,No plan review,$0.00,0
46738,6162789,ADD/ALT,Plan Review,$0.00,0
43732,6162812,ADD/ALT,No plan review,$1000.00,0
46613,6162877,ADD/ALT,Plan Review,$0.00,0
44075,6162926,,Plan Review,$0.00,0
38798,6162947,ADD/ALT,Plan Review,$560000.00,0
47137,6162960,NEW,Plan Review,$0.00,0
38955,6163052,NEW,Plan Review,$343337.00,0
38925,6163088,ADD/ALT,Plan Review,$500000.00,0
38482,6163110,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
39039,6163159,,No plan review,$0.00,0
46572,6163169,ADD/ALT,No plan review,$500.00,0
47086,6163180,ADD/ALT,Plan Review,$0.00,0
46803,6163255,,Plan Review,$0.00,0
41772,6163263,NEW,Plan Review,$0.00,0
48866,6163271,NEW,Plan Review,$0.00,0
42574,6163346,ADD/ALT,No plan review,$10500.00,0
39041,6163350,NEW,Plan Review,$316350.00,0
39040,6163352,,No plan review,$0.00,0
44108,6163353,,Plan Review,$0.00,0
49986,6163372,ADD/ALT,No plan review,$0.00,0
38392,6163414,ADD/ALT,Plan Review,$120000.00,0
50351,6163436,,Plan Review,$0.00,0
42049,6163498,,Plan Review,$0.00,0
50352,6163506,,Plan Review,$0.00,0
47742,6163549,,Plan Review,$0.00,0
41996,6163569,,Plan Review,$0.00,0
46179,6163591,,Plan Review,$0.00,0
45257,6163657,ADD/ALT,Plan Review,$0.00,0
38990,6163670,NEW,Plan Review,$7195339.00,0
44151,6163693,ADD/ALT,Plan Review,$23000000.00,0
38887,6163757,,No plan review,$0.00,0
39034,6163768,NEW,Plan Review,$266898.00,0
42603,6163808,,Plan Review,$0.00,0
44069,6163827,ADD/ALT,Plan Review,$0.00,0
47270,6163833,ADD/ALT,Plan Review,$0.00,0
46576,6163851,ADD/ALT,Plan Review,$0.00,0
47065,6163876,ADD/ALT,Plan Review,$0.00,0
44729,6163894,NEW,Plan Review,$0.00,0
38993,6163930,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
42511,6163987,ADD/ALT,Plan Review,$0.00,0
39029,6164025,,No plan review,$0.00,0
39031,6164034,,No plan review,$0.00,0
39032,6164042,NEW,Plan Review,$282644.00,0
28221,6164056,ADD/ALT,Plan Review,$118996.00,0
37997,6164094,NEW,Plan Review,$351238.00,0
36788,6164095,ADD/ALT,No plan review,$67240.00,0
38877,6164123,ADD/ALT,Plan Review,$270000.00,0
38988,6164162,NEW,Plan Review,$300722.00,0
42224,6164197,NEW,Plan Review,$0.00,0
42604,6164211,ADD/ALT,Plan Review,$0.00,0
44836,6164219,ADD/ALT,Plan Review,$25000.00,0
38571,6164227,NEW,Plan Review,$321879.00,0
41738,6164238,ADD/ALT,Plan Review,$0.00,0
46931,6164260,ADD/ALT,Plan Review,$23000.00,0
38956,6164281,ADD/ALT,Plan Review,$300000.00,0
41788,6164289,ADD/ALT,Plan Review,$0.00,0
39024,6164291,ADD/ALT,Plan Review,$100000.00,0
39023,6164355,,No plan review,$0.00,0
39016,6164367,,No plan review,$0.00,0
48027,6164428,ADD/ALT,Plan Review,$0.00,0
38999,6164460,,No plan review,$0.00,0
46070,6164481,ADD/ALT,Plan Review,$0.00,0
44656,6164485,ADD/ALT,Plan Review,$0.00,0
49444,6164558,NEW,Plan Review,$35000.00,0
38900,6164570,ADD/ALT,Plan Review,$116500.00,0
38586,6164623,NEW,Plan Review,$3800000.00,0
49110,6164628,,Plan Review,$0.00,0
48013,6164632,,Plan Review,$0.00,0
23246,6164673,,No plan review,$0.00,0
38539,6164682,ADD/ALT,Plan Review,$382167.00,0
47055,6164688,ADD/ALT,Plan Review,$0.00,0
23201,6164690,,No plan review,$0.00,0
23051,6164702,DEMOLITION,No plan review,$0.00,0
46582,6164714,,Plan Review,$0.00,0
39012,6164772,,No plan review,$0.00,0
46343,6164779,ADD/ALT,Plan Review,$0.00,0
41829,6164809,NEW,Plan Review,$0.00,0
38978,6164837,,No plan review,$0.00,0
38970,6164850,NEW,Plan Review,$266144.00,0
23482,6164894,NEW,Plan Review,$42738310.00,0
42720,6164898,NEW,Plan Review,$0.00,0
46383,6164907,NEW,Plan Review,$0.00,0
39007,6165009,,No plan review,$0.00,0
42374,6165023,,Plan Review,$0.00,0
50464,6165048,ADD/ALT,Plan Review,$0.00,0
50136,6165056,ADD/ALT,Plan Review,$0.00,0
43769,6165074,NEW,Plan Review,$0.00,0
38898,6165105,NEW,Plan Review,$454625.00,0
38890,6165106,NEW,Plan Review,$494056.00,0
27039,6165135,NEW,Plan Review,$18153897.00,0
48519,6165136,NEW,Plan Review,$0.00,0
41752,6165252,ADD/ALT,Plan Review,$0.00,0
38998,6165287,NEW,Plan Review,$380067.00,0
38981,6165288,,No plan review,$0.00,0
41756,6165309,,Plan Review,$0.00,0
47554,6165325,NEW,Plan Review,$0.00,0
48838,6165328,ADD/ALT,No plan review,$0.00,0
44002,6165361,NEW,Plan Review,$0.00,0
42431,6165365,ADD/ALT,Plan Review,$0.00,0
47363,6165441,,Plan Review,$0.00,0
38894,6165640,NEW,Plan Review,$266456.00,0
38996,6165642,ADD/ALT,Plan Review,$91181.00,0
38995,6165725,WETLAND RESTORATION,Plan Review,$4900000.00,0
48887,6165840,ADD/ALT,Plan Review,$0.00,0
38910,6165846,ADD/ALT,Plan Review,$75000.00,0
38566,6165892,NEW,Plan Review,$4323590.00,0
47740,6165924,ADD/ALT,Plan Review,$0.00,0
42674,6165947,,Plan Review,$0.00,0
45269,6165949,NEW,Plan Review,$0.00,0
44066,6165964,NEW,Plan Review,$0.00,0
41633,6166002,NEW,Plan Review,$0.00,0
38661,6166021,ADD/ALT,Plan Review,$3892386.00,0
42330,6166023,ADD/ALT,Plan Review,$0.00,0
37446,6166025,ADD/ALT,Plan Review,$7500.00,0
48305,6166029,ADD/ALT,Plan Review,$0.00,0
50124,6166036,NEW,Plan Review,$0.00,0
41816,6166061,,Plan Review,$0.00,0
42780,6166139,,Plan Review,$0.00,0
22750,6166167,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
47645,6166186,ADD/ALT,Plan Review,$0.00,0
42741,6166258,NEW,Plan Review,$0.00,0
38787,6166269,ADD/ALT,Plan Review,$200000.00,0
47024,6166288,NEW,Plan Review,$0.00,0
38979,6166299,,No plan review,$0.00,0
49650,6166317,ADD/ALT,Plan Review,$0.00,0
41642,6166329,NEW,Plan Review,$0.00,0
38952,6166340,GRADING,Plan Review,$0.00,0
48728,6166475,,Plan Review,$0.00,0
38957,6166505,ADD/ALT,Plan Review,$75000.00,0
38987,6166563,ALTER,Plan Review,$28000.00,0
21539,6166594,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,0
46611,6166600,ADD/ALT,Plan Review,$0.00,0
41860,6166632,ADD/ALT,Plan Review,$0.00,0
44936,6166638,ADD/ALT,Plan Review,$0.00,0
47712,6166647,ADD/ALT,No plan review,$25000.00,0
48389,6166653,ADD/ALT,Plan Review,$0.00,0
41754,6166692,NEW,Plan Review,$0.00,0
44956,6166730,NEW,Plan Review,$58021923.00,0
41161,6166775,NEW,Plan Review,$0.00,0
34439,6166793,ADD/ALT,Plan Review,$47106.00,0
28514,6166798,,Plan Review,$0.00,0
41757,6166825,,No plan review,$0.00,0
48158,6166847,ADD/ALT,Plan Review,$0.00,0
41690,6166853,ADD/ALT,Plan Review,$0.00,0
38983,6166867,NEW,Plan Review,$242830.00,0
38984,6166869,,No plan review,$0.00,0
35571,6166875,ADD/ALT,Plan Review,$21912.00,0
38414,6166876,NEW,Plan Review,$96017.00,0
47044,6166884,NEW,Plan Review,$0.00,0
20350,6166912,NEW,Plan Review,$1251785.00,0
38915,6166935,ADD/ALT,Plan Review,$60800.00,0
50306,6166975,ADD/ALT,Plan Review,$0.00,0
42173,6166986,ADD/ALT,Plan Review,$0.00,0
38918,6166990,NEW,Plan Review,$322202.00,0
42480,6167015,NEW,Plan Review,$0.00,0
44819,6167027,ADD/ALT,Plan Review,$0.00,0
42526,6167039,NEW,Plan Review,$0.00,0
42481,6167041,NEW,Plan Review,$0.00,0
46095,6167044,,Plan Review,$0.00,0
38943,6167047,NEW,Plan Review,$1234867.00,0
