City Feature,Common Name,Address,Website,Longitude,Latitude
Public Art,Bitter Lake Community Center,13035 Linden Ave N,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=15,-122.34863,47.72406
Public Art,Garfield Community Center,2323 E Cherry St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=17,-122.30225,47.60775
Public Art,Seattle Center,305 Harrison St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=8&view=2&img=0&item=4,-122.35398,47.62208
Public Art,Fire Station #10,400 S Washington St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=7&view=2&img=0&item=6,-122.32873,47.60102
Public Art,Columbia City Branch Library,4721 Rainier Ave S,http://www.seattle.gov/arts/publicart/permanent.asp?cat=5&view=2&img=0&item=20,-122.28688,47.55995
Public Art,Northgate Branch Library,10548 5th Ave NE,http://www.seattle.gov/arts/publicart/permanent.asp?cat=5&view=2&img=0&item=23,-122.32266,47.7062
Public Art,Beacon Hill Branch Library,2821 Beacon Ave S,http://www.seattle.gov/arts/publicart/permanent.asp?cat=5&view=2&img=0&item=17,-122.31141,47.57805
Public Art,I-5 Colonnade Park,Beneath I-5 at E Howe St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=1&view=2&img=0&item=13,-122.323,47.636
Public Art,Myrtle Edwards Park,3130 Alaskan Way,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=1&item=1,-122.357267,47.617337
Public Art,Volunteer Park,1400 E Galer St,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=1&item=5,-122.31574,47.632281
Public Art,Fauntleroy Creek,Fauntleroy Wy SW and SW Henderson St,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=6&item=1,-122.392431,47.522441
Public Art,Southwest Police Precinct,2300 SW Webster,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=7&item=1,-122.362049,47.53578
Public Art,Southwest Police Precinct,2300 SW Webster,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=7&item=4,-122.362049,47.53578
Public Art,Seattle City Hall,600 4th Ave,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=4&item=2,-122.329706,47.603773
Public Art,Seattle City Hall,600 4th Ave,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=4&item=6,-122.329706,47.603773
Public Art,Seattle Justice Center,600 5th Ave,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=4&item=9,-122.329188,47.604205
Public Art,Seattle Justice Center,600 5th Ave,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=4&item=14,-122.329188,47.604205
Public Art,Delridge Community Center,4501 Delridge Wy SW,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=2&item=3,-122.364111,47.56309
Public Art,Delridge Community Center,4501 Delridge Wy SW,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=2&item=7,-122.364111,47.56309
Public Art,Central Library,1000 4th Ave,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=5&item=4,-122.332967,47.606486
Public Art,Central Library,1000 4th Ave,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=5&item=7,-122.332967,47.606486
Public Art,Southpart Branch Library,8604 8th Ave S,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=5&item=2,-122.322595,47.526265
Public Art,Green Lake Community Center,7201 E Green Lake Dr N,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=52,-122.326117,47.68036
Public Art,Yesler Community Center,917 E Yesler Wy,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=30,-122.31986,47.60153
Public Art,Rainier Community Center,4600 38th Ave S,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=31,-122.28435,47.56154
Public Art,Rainier Community Center,4600 38th Ave S,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=32,-122.28435,47.56154
Public Art,Rainier Community Center,4600 38th Ave S,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=33,-122.28435,47.56154
Public Art,Kreielsheimer Promenade At Mccaw Hall,321 Mercer St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=8&view=2&img=0&item=4,-122.35143,47.62395
Public Art,Lake City,12301 Lake City Wy NE,http://www.seattle.gov/arts/publicart/permanent.asp?cat=9&view=2&img=0&item=4,-122.29621,47.71806
