id,application_permit,action_type,work_type,value,location_id 
12634,6446668,ADD/ALT,No plan review,$70000.00,12634
11570,6446766,NEW,Plan Review,$391065.00,11570
4496,6446788,ADD/ALT,Plan Review,$65000.00,4496
9300,6446955,DEMOLITION,No plan review,$0.00,12563
11200,6446979,RELOCATION,Plan Review,$0.00,42347
12556,6446989,DEMOLITION,No plan review,$0.00,12556
12595,6447006,ADD/ALT,No plan review,$9000.00,12595
10823,6447356,ADD/ALT,Plan Review,$113863.00,10823
11921,6447408,ADD/ALT,No plan review,$200.00,11921
12445,6447504,DEMOLITION,No plan review,$0.00,42097
12424,6447736,NEW,Plan Review,$228145.00,12424
12367,6447806,ADD/ALT,No plan review,$120000.00,12367
12398,6447959,NEW,Plan Review,$226269.00,42638
11792,6448021,ADD/ALT,Plan Review,$50000.00,47475
11698,6448092,ADD/ALT,Plan Review,$100000.00,47537
9709,6448097,ADD/ALT,Plan Review,$50000.00,35334
12225,6448108,NEW,Plan Review,$567077.00,12225
12223,6448109,DEMOLITION,No plan review,$0.00,12224
12432,6448161,ADD/ALT,No plan review,$15000.00,12432
12140,6448336,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,40879
12389,6448434,ADD/ALT,No plan review,$20000.00,12389
11457,6448442,NEW,Plan Review,$2500000.00,44823
11714,6448458,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,11714
47544,6448475,ADD/ALT,Plan Review,$0.00,47545
41638,6448544,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,41638
11564,6448585,ADD/ALT,Plan Review,$550000.00,37430
11566,6448607,NEW,Plan Review,$350802.00,11566
11465,6448641,ADD/ALT,Plan Review,$166331.00,11465
4416,6448672,ADD/ALT,No plan review,$1402.00,4416
10803,6448693,ADD/ALT,Plan Review,$60396.00,48924
11995,6448759,ADD/ALT,Plan Review,$1000000.00,49077
11429,6448794,ADD/ALT,Plan Review,$180000.00,11429
12300,6448872,NEW,Plan Review,$174332.00,12300
11065,6448909,ADD/ALT,No plan review,$40000.00,11065
28558,6448974,ADD/ALT,Plan Review,$0.00,42075
12319,6449204,ADD/ALT,No plan review,$7000.00,12319
12188,6449210,DEMOLITION,No plan review,$0.00,12190
10209,6449236,NEW,Plan Review,$334673.00,10209
10692,6449250,NEW,Plan Review,$365142.00,10692
12100,6449257,DEMOLITION,No plan review,$0.00,12100
36165,6449302,,Plan Review,$0.00,48677
12282,6449422,ADD/ALT,No plan review,$40000.00,12282
12047,6449443,ADD/ALT,Plan Review,$30000.00,32261
44776,6449563,,No plan review,$0.00,44777
41709,6449576,,Plan Review,$0.00,41709
12249,6449578,ADD/ALT,No plan review,$16000.00,36490
12232,6449597,ALTER,Plan Review,$800000.00,46181
12238,6449690,ADD/ALT,No plan review,$20000.00,12238
11386,6449696,DEMOLITION,No plan review,$0.00,11386
11394,6449703,DEMOLITION,No plan review,$0.00,11394
9803,6449799,NEW,Plan Review,$376795.00,9803
8853,6449843,NEW,Plan Review,$417461.00,40578
9411,6449851,NEW,Plan Review,$420280.00,9411
12214,6449897,ADD/ALT,No plan review,$80000.00,12214
42734,6449958,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,42734
42259,6449959,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,42259
12073,6450106,ADD/ALT,No plan review,$10000.00,12073
12168,6450116,ADD/ALT,Plan Review,$75000.00,12168
8246,6450212,ADD/ALT,Plan Review,$48666.00,46126
12149,6450269,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,42875
12124,6450307,ADD/ALT,No plan review,$8000.00,23680
12133,6450321,ALTER,Plan Review,$250000.00,50261
11549,6450430,ADD/ALT,Plan Review,$50000.00,47280
11784,6450445,ADD/ALT,Plan Review,$5000.00,50435
12074,6450449,NEW,Plan Review,$229945.00,12074
12079,6450452,NEW,Plan Review,$254587.00,12079
12040,6450453,DEMOLITION,No plan review,$0.00,12045
11874,6450467,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,40859
9802,6450545,ADD/ALT,Plan Review,$2200000.00,9802
12089,6450564,ADD/ALT,No plan review,$15000.00,12089
10541,6450569,NEW,Plan Review,$3000000.00,10542
12082,6450603,ADD/ALT,No plan review,$8000.00,14371
45289,6450610,ADD/ALT,Plan Review,$0.00,45289
10231,6450629,ADD/ALT,No plan review,$100000.00,10231
11312,6450729,NEW,Plan Review,$144102.00,40334
10296,6450777,ADD/ALT,Plan Review,$30000.00,10296
12053,6450843,ADD/ALT,No plan review,$7500.00,12053
12050,6450858,ADD/ALT,No plan review,$5000.00,32629
11835,6450977,ADD/ALT,Plan Review,$80000.00,11835
11890,6451010,ADD/ALT,No plan review,$1500.00,14884
7891,6451022,NEW,Plan Review,$295585.00,7891
11333,6451131,ADD/ALT,Plan Review,$1658250.00,45146
11042,6451234,DEMOLITION,No plan review,$0.00,42709
8379,6451272,ADD/ALT,Plan Review,$200000.00,22911
11992,6451333,ADD/ALT,No plan review,$20000.00,48856
11082,6451377,ADD/ALT,Plan Review,$150000.00,11082
11811,6451410,NO CONSTRUCTION,Plan Review,$10000.00,13003
41695,6451447,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,41696
11984,6451462,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,50044
11980,6451514,ADD/ALT,No plan review,$8000.00,11980
11796,6451522,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,47099
10946,6451548,ADD/ALT,Plan Review,$235740.00,10946
7539,6451549,ADD/ALT,Plan Review,$153604.00,11588
8720,6451555,ADD/ALT,No plan review,$60000.00,8720
10098,6451637,ADD/ALT,Plan Review,$800000.00,49360
11560,6451827,NEW,Plan Review,$205672.00,11560
49325,6451837,ADD/ALT,Plan Review,$0.00,49326
11904,6451903,NEW,Plan Review,$1000000.00,44574
11889,6451968,NEW,Plan Review,$162898.00,11889
11453,6452035,ADD/ALT,Plan Review,$130000.00,12219
10388,6452070,GRADING,Plan Review,$1000.00,49596
11442,6452111,DEMOLITION,No plan review,$0.00,12754
10996,6452358,ADD/ALT,Plan Review,$53000.00,10996
5945,6452364,NEW,Plan Review,$524190.00,5945
11593,6452392,ADD/ALT,No plan review,$40000.00,11593
10161,6452396,ADD/ALT,Plan Review,$5000.00,10161
11690,6452466,ADD/ALT,No plan review,$15000.00,40882
8483,6452628,NEW,Plan Review,$283216.00,8483
11757,6452635,DEMOLITION,No plan review,$0.00,11758
11804,6452788,ALTER,Plan Review,$97920.00,49557
11779,6452849,ADD/ALT,Plan Review,$3000.00,44960
11541,6452859,ADD/ALT,Plan Review,$35224.00,11541
11774,6452902,ADD/ALT,No plan review,$96000.00,27814
11239,6453018,DEMOLITION,Plan Review,$0.00,11260
11240,6453019,DEMOLITION,Plan Review,$0.00,11260
11252,6453020,DEMOLITION,Plan Review,$0.00,11260
10041,6453105,ADD/ALT,No plan review,$67000.00,10041
11736,6453142,ADD/ALT,Plan Review,$3400.00,13751
11686,6453444,ADD/ALT,No plan review,$40000.00,24498
11668,6453453,NEW,Plan Review,$205965.00,11668
10972,6453476,ADD/ALT,Plan Review,$400000.00,37430
6752,6453479,DEMOLITION,No plan review,$0.00,11674
10619,6453535,ADD/ALT,Plan Review,$100000.00,32953
11662,6453550,ADD/ALT,No plan review,$9000.00,11662
9476,6453579,NEW,Plan Review,$433184.00,9476
45483,6453613,NEW,Plan Review,$0.00,45483
10514,6453691,ADD/ALT,Plan Review,$20000.00,31688
11450,6453711,ADD/ALT,Plan Review,$1000.00,46607
7895,6453820,NEW,Plan Review,$1134511.00,7895
11490,6453970,ADD/ALT,Plan Review,$25000.00,11490
10818,6454070,DEMOLITION,No plan review,$0.00,11552
3546,6454079,ADD/ALT,Plan Review,$59000.00,3546
11422,6454098,DEMOLITION,No plan review,$0.00,11507
8056,6454196,ADD/ALT,Plan Review,$4750.00,41119
11163,6454233,ADD/ALT,No plan review,$1000.00,42311
11576,6454358,ADD/ALT,No plan review,$13000.00,11576
6951,6454383,ADD/ALT,Plan Review,$453669.00,6951
9394,6454397,ADD/ALT,Plan Review,$450000.00,11725
10976,6454495,ADD/ALT,Plan Review,$1000.00,49655
10762,6454545,ADD/ALT,Plan Review,$950000.00,49207
11169,6454565,ADD/ALT,No plan review,$40000.00,16828
11529,6454570,ADD/ALT,No plan review,$15000.00,29472
11532,6454577,ADD/ALT,No plan review,$38000.00,41985
11524,6454594,ADD/ALT,No plan review,$95000.00,11524
11093,6454711,DEMOLITION,No plan review,$0.00,12545
8440,6454733,NEW,Plan Review,$329445.00,8440
9335,6454772,NEW,Plan Review,$358295.00,9335
10682,6454784,ADD/ALT,Plan Review,$63321.00,10682
8685,6454794,NEW,Plan Review,$638218.00,8685
8999,6454826,NEW,Plan Review,$465652.00,8999
10693,6454959,ADD/ALT,Plan Review,$260000.00,12216
10318,6454964,NEW,Plan Review,$902000.00,40942
10963,6454987,ADD/ALT,Plan Review,$20000.00,25781
10575,6455071,NEW,Plan Review,$421063.00,10575
42264,6455117,ADD/ALT,Plan Review,$0.00,42264
11288,6455143,ADD/ALT,Plan Review,$15885.00,11288
9792,6455156,ADD/ALT,Plan Review,$180000.00,33200
11123,6455201,ADD/ALT,Plan Review,$207000.00,11123
11266,6455205,ADD/ALT,No plan review,$21000.00,21075
2121,6455215,ADD/ALT,Plan Review,$1500000.00,47833
10114,6455222,NEW,Plan Review,$169460.00,10114
10978,6455270,ADD/ALT,Plan Review,$3000.00,10978
40671,6455273,NEW,Plan Review,$0.00,40671
10994,6455336,NEW,Plan Review,$750000.00,10994
10101,6455377,NEW,Plan Review,$227242.00,10810
11423,6455504,ADD/ALT,No plan review,$80000.00,11423
11410,6455583,ADD/ALT,No plan review,$100000.00,49646
10260,6455622,ADD/ALT,Plan Review,$42500.00,10260
8364,6455647,ADD/ALT,No plan review,$18975.00,8364
11400,6455657,ADD/ALT,No plan review,$150000.00,11400
11380,6455714,ADD/ALT,No plan review,$15000.00,48787
46977,6455717,ADD/ALT,Plan Review,$0.00,46977
10024,6455722,ADD/ALT,Plan Review,$119863.00,10024
10763,6455775,ADD/ALT,Plan Review,$465640.00,49192
11115,6455841,NEW,Plan Review,$163570.00,15378
11281,6455863,ADD/ALT,No plan review,$10000.00,11281
4988,6455890,ADD/ALT,No plan review,$122470.00,4988
42018,6456046,NEW,Plan Review,$0.00,42018
11298,6456100,NEW,Plan Review,$431408.00,11298
48945,6456172,ADD/ALT,Plan Review,$0.00,48946
9474,6456188,ADD/ALT,Plan Review,$22316.00,9474
8829,6456242,ADD/ALT,Plan Review,$125000.00,8829
11300,6456267,ADD/ALT,No plan review,$6435.00,11300
42159,6456317,NEW,Plan Review,$0.00,42159
5963,6456368,NEW,Plan Review,$583404.00,42966
11230,6456401,NEW,Plan Review,$203346.00,11230
11278,6456516,ADD/ALT,No plan review,$50000.00,11278
10068,6456534,ADD/ALT,Plan Review,$20000.00,20336
11220,6456543,DEMOLITION,No plan review,$0.00,11220
45214,6456551,ADD/ALT,Plan Review,$0.00,45214
10551,6456556,DEMOLITION,Plan Review,$0.00,49222
11249,6456663,ADD/ALT,No plan review,$50000.00,48676
9382,6456713,NEW,Plan Review,$281473.00,40312
7947,6456771,DEMOLITION,No plan review,$0.00,11223
10640,6456805,ADD/ALT,Plan Review,$16770.00,10640
11146,6456975,NEW,Plan Review,$362995.00,42041
11188,6457030,ADD/ALT,No plan review,$11500.00,11188
40444,6457062,DEMOLITION,No plan review,$436412.00,40444
43765,6457129,NEW,Plan Review,$0.00,43765
7711,6457303,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,7711
10881,6457332,NEW,No plan review,$10000.00,10881
9982,6457511,ADD/ALT,Plan Review,$79438.00,9982
9864,6457672,ADD/ALT,Plan Review,$20000.00,9864
9772,6457741,NEW,Plan Review,$436423.00,9772
10649,6457767,ADD/ALT,Plan Review,$926505.00,10649
11094,6457796,ADD/ALT,Plan Review,$50000.00,45278
43786,6457865,ADD/ALT,Plan Review,$0.00,43786
3981,6458050,ADD/ALT,No plan review,$28000.00,3981
7483,6458086,NEW,Plan Review,$126714.00,7483
9828,6458129,NEW,Plan Review,$433300.00,9828
7027,6458162,DEMOLITION,No plan review,$0.00,10968
8701,6458184,NEW,No plan review,$5000.00,34704
8978,6458252,ADD/ALT,Plan Review,$77007.00,8978
10190,6458259,ADD/ALT,Plan Review,$18285.00,32114
9159,6458265,ADD/ALT,Plan Review,$50000.00,33311
11029,6458289,ADD/ALT,No plan review,$10000.00,11029
5553,6458303,ADD/ALT,Plan Review,$175000.00,48039
11018,6458330,ADD/ALT,No plan review,$75000.00,32206
11019,6458331,ADD/ALT,No plan review,$38344.00,30853
10391,6458369,ADD/ALT,Plan Review,$123895.00,10391
5444,6458388,ADD/ALT,No plan review,$10000.00,5444
9990,6458431,ADD/ALT,No plan review,$185000.00,45660
10772,6458557,ADD/ALT,Plan Review,$1000.00,38343
44004,6458614,NEW,Plan Review,$0.00,44004
10905,6458699,NEW,Plan Review,$233216.00,10907
10907,6458700,NEW,Plan Review,$233216.00,10907
40302,6458706,,Plan Review,$0.00,40302
10922,6458775,ADD/ALT,No plan review,$32300.00,10922
10330,6458847,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,10330
9462,6458852,ADD/ALT,Plan Review,$85000.00,9462
6287,6458986,ADD/ALT,Plan Review,$5000.00,45681
10877,6459128,ADD/ALT,No plan review,$80000.00,36109
43967,6459163,NEW,Plan Review,$0.00,43968
10427,6459207,ADD/ALT,Plan Review,$95000.00,27488
47182,6459211,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,47182
10876,6459243,ADD/ALT,No plan review,$2000.00,34591
10874,6459256,ADD/ALT,No plan review,$15000.00,10874
10840,6459430,ADD/ALT,No plan review,$19000.00,24777
9764,6459581,NEW,Plan Review,$223545.00,9764
6723,6459586,NEW,Plan Review,$409265.00,6723
3111,6459596,ADD/ALT,Plan Review,$19172.00,35844
10639,6459611,ADD/ALT,No plan review,$50000.00,10639
7012,6459639,NEW,Plan Review,$22729052.00,10959
8570,6459662,ADD/ALT,Plan Review,$97656.00,8570
10689,6459698,DEMOLITION,No plan review,$0.00,10692
10505,6459736,ADD/ALT,Plan Review,$70000.00,10505
9438,6459738,NEW,Plan Review,$219136.00,9438
10814,6459757,ADD/ALT,No plan review,$225256.00,32977
6875,6459804,NEW,Plan Review,$615081.00,45330
47322,6459825,ADD/ALT,Plan Review,$0.00,47324
9098,6459840,ADD/ALT,Plan Review,$25000.00,33824
10781,6459890,TEMP,No plan review,$1500.00,10781
7934,6460033,ADD/ALT,Plan Review,$825514.00,31122
10456,6460037,DECONSTRUCTION,Plan Review,$0.00,40312
10751,6460200,ADD/ALT,No plan review,$5000.00,10751
8973,6460288,ADD/ALT,No plan review,$40000.00,8973
10109,6460298,ADD/ALT,Plan Review,$130000.00,10109
9370,6460319,NEW,Plan Review,$235232.00,9370
10733,6460320,ADD/ALT,No plan review,$15000.00,23067
8611,6460395,ADD/ALT,Plan Review,$4250.00,8611
9857,6460406,NEW,Plan Review,$305817.00,9857
9645,6460415,ADD/ALT,Plan Review,$160940.00,30856
10730,6460439,ADD/ALT,No plan review,$25000.00,10730
10701,6460473,NEW,Plan Review,$242487.00,10701
10450,6460489,ADD/ALT,Plan Review,$39199.00,45617
6313,6460502,ADD/ALT,Plan Review,$80000.00,6313
42030,6460508,NEW,Plan Review,$0.00,42030
10717,6460556,ADD/ALT,No plan review,$1000.00,10717
9745,6460626,ADD/ALT,Plan Review,$440000.00,9745
9749,6460641,ADD/ALT,Plan Review,$20000.00,9749
10704,6460666,ADD/ALT,Plan Review,$450000.00,49646
10477,6460672,ADD/ALT,Plan Review,$90000.00,10477
10569,6460673,GRADING,Plan Review,$0.00,40581
9825,6460751,NEW,Plan Review,$377372.00,9825
10230,6460762,ADD/ALT,No plan review,$60000.00,10230
7796,6460854,NEW,Plan Review,$266258.00,7796
10612,6460866,ADD/ALT,Plan Review,$24500.00,10612
7328,6460917,DEMOLITION,No plan review,$0.00,10627
10525,6460945,DEMOLITION,No plan review,$0.00,10649
6319,6461072,NEW,Plan Review,$399645.00,6319
10132,6461079,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,10132
9440,6461137,ADD/ALT,Plan Review,$224000.00,9440
9987,6461213,ADD/ALT,Plan Review,$176300.00,9987
10329,6461269,ADD/ALT,Plan Review,$42500.00,10329
8263,6461405,ADD/ALT,Plan Review,$200000.00,8263
9582,6461417,ADD/ALT,Plan Review,$17000.00,43495
10298,6461498,ADD/ALT,Plan Review,$550000.00,49979
10402,6461575,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,10402
10107,6461635,DEMOLITION,Plan Review,$0.00,48798
10542,6461666,DEMOLITION,No plan review,$0.00,10542
9277,6461719,ADD/ALT,Plan Review,$91771.00,9277
9341,6461790,NEW,Plan Review,$446777.00,9341
10478,6461801,ADD/ALT,Plan Review,$6000.00,10804
10518,6461875,ADD/ALT,No plan review,$4980.00,29364
10492,6461912,ADD/ALT,No plan review,$125000.00,10492
9331,6461916,ADD/ALT,Plan Review,$120000.00,9331
40316,6461926,NEW,Plan Review,$0.00,40316
10473,6461956,NEW,Plan Review,$232332.00,10473
9399,6462062,ADD/ALT,Plan Review,$165000.00,9399
10496,6462084,ADD/ALT,No plan review,$6000.00,13477
7580,6462275,ADD/ALT,Plan Review,$43700.00,7580
9058,6462297,ADD/ALT,Plan Review,$385145.00,34949
8216,6462435,ADD/ALT,Plan Review,$100000.00,8216
42846,6462447,,Plan Review,$0.00,42846
9904,6462459,TEMP,Plan Review,$10000.00,49192
9977,6462518,DEMOLITION,No plan review,$0.00,10089
10417,6462583,ADD/ALT,No plan review,$3750.00,47126
10414,6462591,ADD/ALT,No plan review,$30000.00,10414
44818,6462757,ADD/ALT,Plan Review,$0.00,44818
10374,6462764,ADD/ALT,No plan review,$4700.00,10374
7933,6462791,ADD/ALT,Plan Review,$21000.00,42075
10239,6462863,ADD/ALT,No plan review,$6000.00,10239
10341,6462874,NEW,Plan Review,$169642.00,10341
8537,6462912,ADD/ALT,Plan Review,$34038.00,8537
9182,6463031,NEW,Plan Review,$347418.00,9182
9191,6463066,ADD/ALT,Plan Review,$264027.00,40527
10332,6463123,ADD/ALT,No plan review,$5000.00,28399
4176,6463125,ADD/ALT,Plan Review,$100000.00,4176
10210,6463233,NEW,Plan Review,$241810.00,10210
10315,6463282,ADD/ALT,No plan review,$1.00,42091
10314,6463287,ADD/ALT,No plan review,$5000.00,36034
45271,6463302,NEW,Plan Review,$0.00,45271
47747,6463373,ADD/ALT,Plan Review,$0.00,47747
8075,6463399,ADD/ALT,Plan Review,$18937.00,42052
10293,6463401,ADD/ALT,No plan review,$30000.00,10293
9406,6463445,ADD/ALT,Plan Review,$34473.00,19244
43876,6463455,,Plan Review,$0.00,43876
10280,6463469,NEW,Plan Review,$209471.00,10280
422,6463633,ADD/ALT,Plan Review,$12941.00,22367
10269,6463644,ALTER,Plan Review,$0.00,26527
4916,6463657,NEW,Plan Review,$415807.00,4917
9106,6463725,ADD/ALT,Plan Review,$50000.00,9106
41514,6463726,ADD/ALT,Plan Review,$0.00,41514
8887,6463745,ADD/ALT,Plan Review,$25000.00,23081
9807,6463885,DEMOLITION,No plan review,$0.00,47315
3126,6463927,ADD/ALT,Plan Review,$1530572.00,47876
9064,6464028,ADD/ALT,Plan Review,$17500.00,9064
9061,6464047,ADD/ALT,Plan Review,$163000.00,20509
10188,6464103,DEMOLITION,No plan review,$0.00,10188
8320,6464280,NEW,Plan Review,$424160.00,8320
10096,6464291,ADD/ALT,No plan review,$98000.00,25534
10004,6464481,NEW,Plan Review,$900000.00,48604
10147,6464570,ADD/ALT,No plan review,$25000.00,10147
10026,6464634,DEMOLITION,No plan review,$0.00,39533
8985,6464718,ADD/ALT,Plan Review,$100000.00,10389
9096,6464789,ADD/ALT,Plan Review,$164241.00,9096
10095,6464863,ADD/ALT,No plan review,$25000.00,10095
8672,6464882,ADD/ALT,Plan Review,$300000.00,8672
8761,6464917,ADD/ALT,Plan Review,$1700000.00,23283
10071,6464928,DEMOLITION,No plan review,$0.00,10072
10000,6465067,DEMOLITION,No plan review,$0.00,10001
10065,6465099,ADD/ALT,No plan review,$16000.00,12120
9273,6465112,ADD/ALT,Plan Review,$45000.00,47086
9719,6465210,DEMOLITION,No plan review,$0.00,9719
9137,6465260,ADD/ALT,No plan review,$15000.00,9137
10035,6465270,ADD/ALT,No plan review,$82478.00,10035
9599,6465303,ADD/ALT,No plan review,$46000.00,9599
9060,6465306,ADD/ALT,Plan Review,$30000.00,46857
9206,6465418,ADD/ALT,Plan Review,$11500.00,47040
6665,6465460,NEW,Plan Review,$408007.00,37813
7819,6465578,ADD/ALT,Plan Review,$25000.00,36945
8163,6465663,NEW,Plan Review,$253207.00,12862
9973,6465670,ALTER,Plan Review,$500000.00,46181
8506,6465673,ADD/ALT,Plan Review,$30000.00,24826
7302,6465714,ADD/ALT,No plan review,$80000.00,7302
9091,6465825,NEW,Plan Review,$329451.00,9091
8601,6465827,ADD/ALT,Plan Review,$45000.00,49042
9953,6465882,ADD/ALT,No plan review,$37500.00,9953
9696,6465900,ADD/ALT,No plan review,$40000.00,9696
8378,6465941,ADD/ALT,Plan Review,$3500.00,18057
8825,6465974,ADD/ALT,Plan Review,$11800.00,36110
9939,6466002,ADD/ALT,No plan review,$6000.00,9939
9935,6466019,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,9935
8602,6466031,ADD/ALT,Plan Review,$453616.00,8742
3330,6466044,ADD/ALT,Plan Review,$175000.00,3330
9916,6466134,ADD/ALT,No plan review,$20000.00,9916
7954,6466146,ADD/ALT,Plan Review,$218300.00,7954
9734,6466212,DEMOLITION,No plan review,$0.00,9903
6869,6466223,NEW,Plan Review,$332770.00,6869
8808,6466226,DEMOLITION,Plan Review,$0.00,25828
6804,6466228,NEW,Plan Review,$661889.00,6805
9899,6466306,ADD/ALT,No plan review,$58000.00,9899
9505,6466328,ADD/ALT,No plan review,$10000.00,9505
9831,6466401,ADD/ALT,No plan review,$65000.00,9831
9878,6466443,ADD/ALT,No plan review,$45000.00,9878
5770,6466450,ADD/ALT,Plan Review,$45000.00,5770
8142,6466477,ADD/ALT,Plan Review,$150000.00,11197
9451,6466599,ADD/ALT,No plan review,$24400.00,9451
9787,6466610,ADD/ALT,No plan review,$27000.00,9787
9859,6466625,ADD/ALT,No plan review,$30000.00,9859
9809,6466655,NEW,Plan Review,$452772.00,9809
8969,6466657,ADD/ALT,No plan review,$26220.00,30415
9810,6466693,NEW,Plan Review,$452772.00,9810
41568,6466719,ADD/ALT,Plan Review,$25000.00,41568
7817,6466794,ADD/ALT,Plan Review,$15000.00,36308
9836,6466809,ADD/ALT,No plan review,$10000.00,49416
9163,6466945,NEW,Plan Review,$389010.00,9163
7960,6466946,ADD/ALT,Plan Review,$15000.00,42567
7951,6466968,ADD/ALT,Plan Review,$10124.00,7951
2351,6466978,NEW,Plan Review,$388488.00,2351
8372,6467065,ADD/ALT,Plan Review,$450500.00,28293
9678,6467092,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,49657
9003,6467115,ADD/ALT,Plan Review,$50000.00,46006
7798,6467160,DEMOLITION,No plan review,$0.00,9752
49076,6467169,ADD/ALT,Plan Review,$0.00,49077
9788,6467231,ADD/ALT,No plan review,$10000.00,34623
9777,6467300,ADD/ALT,Plan Review,$9000.00,9777
6639,6467315,ADD/ALT,Plan Review,$2000000.00,6639
9774,6467347,ADD/ALT,No plan review,$60000.00,9774
7363,6467385,ADD/ALT,No plan review,$10000.00,7363
9217,6467413,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,9217
7715,6467459,ADD/ALT,No plan review,$60000.00,46003
9704,6467468,NEW,Plan Review,$188971.00,9704
6454,6467474,ADD/ALT,Plan Review,$40000.00,47767
9715,6467525,ADD/ALT,No plan review,$24500.00,19431
9714,6467560,DEMOLITION,No plan review,$0.00,15967
9699,6467734,ADD/ALT,No plan review,$47500.00,9699
9698,6467737,ADD/ALT,No plan review,$50000.00,9698
5762,6467819,NEW,Plan Review,$439251.00,40283
6363,6467952,ADD/ALT,No plan review,$50000.00,23062
9664,6468030,ADD/ALT,No plan review,$56000.00,9664
9402,6468074,ADD/ALT,No plan review,$4500.00,9402
9661,6468078,ADD/ALT,No plan review,$12000.00,9661
9659,6468087,ADD/ALT,No plan review,$20000.00,28836
8384,6468091,ADD/ALT,Plan Review,$37534.00,47107
9643,6468127,ADD/ALT,No plan review,$20000.00,9643
9552,6468146,NEW,Plan Review,$227663.00,9552
49857,6468219,ADD/ALT,Plan Review,$0.00,49857
9644,6468239,ADD/ALT,Plan Review,$450000.00,37355
2311,6468301,ADD/ALT,Plan Review,$98907.00,2311
8533,6468323,ADD/ALT,Plan Review,$115000.00,17566
6381,6468426,ADD/ALT,Plan Review,$141913.00,49857
9428,6468493,ADD/ALT,No plan review,$4000.00,9428
9192,6468525,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,9192
7420,6468546,ADD/ALT,Plan Review,$200000.00,7420
9028,6468642,ADD/ALT,Plan Review,$22000.00,45881
8733,6468839,ADD/ALT,Plan Review,$15000.00,10522
9271,6468924,ADD/ALT,Plan Review,$0.00,16310
9303,6469007,DEMOLITION,No plan review,$0.00,9303
9266,6469071,DEMOLITION,No plan review,$0.00,9308
7590,6469143,ADD/ALT,Plan Review,$90000.00,48921
9348,6469179,ADD/ALT,No plan review,$100000.00,9348
45914,6469322,ADD/ALT,Plan Review,$0.00,45914
48950,6469526,,Plan Review,$0.00,48950
7784,6469609,NEW,Plan Review,$18312000.00,7784
7437,6469619,NEW,Plan Review,$360527.00,7437
9414,6469728,ADD/ALT,No plan review,$85000.00,9414
8032,6469750,ADD/ALT,Plan Review,$552297.00,8032
9242,6469778,ADD/ALT,No plan review,$5800.00,46568
9328,6469831,NEW,Plan Review,$218192.00,9328
9366,6469838,ADD/ALT,Plan Review,$10500.00,43322
9051,6469900,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,9380
5510,6469960,NEW,Plan Review,$234939.00,5510
6481,6469993,ADD/ALT,No plan review,$1000.00,6481
9357,6470049,ADD/ALT,No plan review,$30000.00,41624
7305,6470077,NEW,Plan Review,$227423.00,42341
9319,6470096,DEMOLITION,No plan review,$0.00,9341
7720,6470155,NEW,Plan Review,$374602.00,7720
7658,6470184,ADD/ALT,Plan Review,$172109.00,7658
9131,6470211,ADD/ALT,No plan review,$19000.00,9131
7263,6470368,NEW,Plan Review,$246890.00,7272
8198,6470369,ADD/ALT,Plan Review,$259861.00,30590
7818,6470464,ADD/ALT,Plan Review,$28000.00,7818
9296,6470514,ADD/ALT,No plan review,$6000.00,9296
8981,6470534,ADD/ALT,No plan review,$12000.00,8981
9283,6470554,ADD/ALT,No plan review,$90000.00,42211
4232,6470572,NEW,Plan Review,$982652.00,4232
9027,6470575,ADD/ALT,Plan Review,$3275.00,9027
7217,6470683,ADD/ALT,Plan Review,$30000.00,7217
9243,6470794,ALTER,Plan Review,$550126.00,49557
8832,6470808,ADD/ALT,No plan review,$27771.00,8832
9223,6470961,ADD/ALT,No plan review,$30000.00,49741
8690,6470978,ADD/ALT,No plan review,$80000.00,8690
7154,6471016,ADD/ALT,Plan Review,$97112.00,7154
7519,6471193,ADD/ALT,Plan Review,$20000.00,33311
9149,6471200,DEMOLITION,No plan review,$0.00,31784
8945,6471264,ADD/ALT,No plan review,$26000.00,8945
2948,6471316,NEW,Plan Review,$268604.00,39360
9183,6471365,ADD/ALT,No plan review,$5000.00,12466
2237,6471383,ADD/ALT,Plan Review,$125000.00,2237
1139,6471394,ADD/ALT,Plan Review,$200000.00,48581
8387,6471397,ADD/ALT,No plan review,$100000.00,30613
