id,application_permit,action_type,work_type,value,location_id
43463,6081792,ADD/ALT,Plan Review,$0.00,43463
7708,6082088,,Plan Review,$0.00,50425
43552,6082264,NEW,Plan Review,$0.00,43552
44118,6082295,,Plan Review,$0.00,44118
44195,6082735,,Plan Review,$0.00,44195
47297,6082760,ADD/ALT,Plan Review,$0.00,47297
43915,6082825,NEW,Plan Review,$0.00,43915
43379,6083032,NEW,Plan Review,$0.00,43379
47793,6083109,NEW,Plan Review,$0.00,47793
6472,6083156,,No plan review,$0.00,50425
43330,6083278,,Plan Review,$0.00,43330
43441,6083984,,Plan Review,$0.00,43441
44146,6084129,NEW,Plan Review,$383022.00,44146
5838,6084378,,Plan Review,$0.00,50425
44245,6084483,,Plan Review,$0.00,44245
47751,6084485,NEW,Plan Review,$0.00,47751
48337,6084576,ADD/ALT,Plan Review,$0.00,48337
13902,6084743,,Plan Review,$0.00,18783
44990,6084750,NEW,Plan Review,$0.00,44990
39684,6084804,,No plan review,$0.00,39684
39292,6084808,NEW,Plan Review,$1348713.00,39292
47011,6085177,,Plan Review,$0.00,47011
43400,6085589,NEW,Plan Review,$0.00,43400
43371,6085739,NEW,Plan Review,$0.00,43371
39513,6086048,NEW,Plan Review,$348491.00,39513
39434,6086108,ADD/ALT,Plan Review,$3200000.00,39434
39606,6086326,NEW,Plan Review,$314606.00,39606
46598,6086569,,Plan Review,$0.00,46598
39675,6086760,,No plan review,$0.00,39675
5144,6086896,,Plan Review,$0.00,50425
39546,6087000,ADD/ALT,Plan Review,$145478.00,39546
4823,6087416,,Plan Review,$0.00,50425
12858,6087437,,Plan Review,$0.00,44940
5540,6087759,,Plan Review,$0.00,50425
43509,6087856,,Plan Review,$0.00,43509
39656,6088100,ADD/ALT,Plan Review,$382000.00,49106
44697,6088152,ADD/ALT,Plan Review,$0.00,44697
39503,6088421,NEW,Plan Review,$407500.00,39503
49518,6088562,,Plan Review,$0.00,49518
43397,6088688,,Plan Review,$0.00,43397
43472,6088752,NEW,Plan Review,$0.00,43472
3765,6088888,,Plan Review,$0.00,50425
43645,6089298,,No plan review,$0.00,43645
44201,6089427,NEW,Plan Review,$0.00,44201
49632,6090180,ADD/ALT,No plan review,$5000.00,49632
4182,6090294,,Plan Review,$0.00,50425
39570,6090865,NEW,Plan Review,$364525.00,43678
1562,6091032,,Plan Review,$0.00,50425
43559,6091043,ADD/ALT,Plan Review,$0.00,43559
44431,6091047,NEW,Plan Review,$0.00,44431
3926,6091166,,Plan Review,$0.00,50425
45871,6091695,,No plan review,$0.00,45871
5048,6092055,,Plan Review,$0.00,50425
43680,6092106,ADD/ALT,No plan review,$1.00,43680
4040,6092713,,Plan Review,$0.00,50425
47579,6092784,,No plan review,$0.00,47579
47005,6092911,,Plan Review,$0.00,47005
39516,6092992,NEW,Plan Review,$334203.00,43904
49771,6093016,ADD/ALT,Plan Review,$0.00,49771
49810,6093303,ADD/ALT,Plan Review,$0.00,49810
43638,6093424,,Plan Review,$0.00,43638
39597,6093505,NEW,Plan Review,$536561.00,43640
42804,6093531,NEW,Plan Review,$0.00,42804
34954,6093685,NO CONSTRUCTION,Plan Review,$0.00,34954
47861,6094192,,Plan Review,$0.00,47861
20265,6094624,,Plan Review,$0.00,25005
39613,6094691,ADD/ALT,Plan Review,$45000.00,46282
47090,6094746,,Plan Review,$0.00,47090
39612,6094874,ADD/ALT,Plan Review,$6000.00,39612
43491,6095003,NEW,Plan Review,$0.00,43491
47646,6095189,ADD/ALT,Plan Review,$0.00,47646
39607,6095276,,No plan review,$0.00,39607
39376,6095334,ADD/ALT,Plan Review,$1879606.00,46780
621,6095461,,Plan Review,$0.00,50425
521,6095462,,Plan Review,$0.00,50425
46579,6095499,NEW,Plan Review,$0.00,46579
488,6095928,,Plan Review,$0.00,50425
49308,6096314,ADD/ALT,Plan Review,$0.00,49309
42900,6096465,ADD/ALT,Plan Review,$0.00,42900
43499,6096682,ADD/ALT,Plan Review,$0.00,43499
43643,6096826,,Plan Review,$0.00,43643
39764,6096975,ADD/ALT,Plan Review,$3000000.00,46356
43828,6097898,NEW,Plan Review,$0.00,43828
50238,6097946,,Plan Review,$0.00,50238
50118,6098139,,Plan Review,$0.00,50118
42932,6098680,NEW,Plan Review,$0.00,42932
46096,6098877,ADD/ALT,Plan Review,$0.00,46096
46213,6098881,ADD/ALT,Plan Review,$0.00,46213
39604,6099077,NEW,Plan Review,$165935.00,39605
46441,6099110,,Plan Review,$0.00,46441
39173,6099332,NEW,Plan Review,$4614206.00,44340
39701,6099445,ADD/ALT,Plan Review,$125000.00,39701
43595,6099905,ADD/ALT,Plan Review,$0.00,43595
50326,6100026,,Plan Review,$0.00,50425
39372,6100607,NEW,Plan Review,$244988.00,39372
39734,6100662,ADD/ALT,Plan Review,$26200.00,47152
39754,6100670,NEW,Plan Review,$2022997.00,39754
41053,6100993,ADD/ALT,Plan Review,$0.00,41053
46104,6101092,ADD/ALT,Plan Review,$0.00,46104
41762,6101252,NEW,Plan Review,$0.00,41762
43710,6101273,NEW,Plan Review,$0.00,43710
50324,6101437,,Plan Review,$0.00,50425
39598,6101502,NEW,Plan Review,$181511.00,39598
39596,6101504,,No plan review,$0.00,43640
39761,6101637,ADD/ALT,Plan Review,$1.00,39761
42910,6101702,NEW,Plan Review,$0.00,42910
50380,6102117,,Plan Review,$0.00,50425
43032,6102703,,Plan Review,$0.00,43032
1199,6102757,,Plan Review,$0.00,50425
47730,6102879,,Plan Review,$0.00,47730
44203,6103211,,Plan Review,$0.00,44203
43730,6103239,NEW,Plan Review,$0.00,43730
39459,6103565,NEW,Plan Review,$31000000.00,49903
42915,6103628,,Plan Review,$0.00,42915
20541,6104593,ADD/ALT,No plan review,$9000.00,44762
39780,6104636,NEW,Plan Review,$10299798.00,39780
50362,6104683,,Plan Review,$0.00,50425
48018,6104955,,Plan Review,$0.00,48018
39268,6105293,NEW,Plan Review,$562833.00,43138
39252,6105315,NEW,Plan Review,$540265.00,39252
39255,6105318,NEW,Plan Review,$698408.00,39255
39256,6105319,NEW,Plan Review,$540265.00,39256
43840,6105457,,Plan Review,$0.00,43840
43794,6106817,ADD/ALT,No plan review,$23867.00,43794
39435,6106947,NEW,Plan Review,$411001.00,39435
39528,6106955,ADD/ALT,Plan Review,$160000.00,46031
46571,6107089,ADD/ALT,Plan Review,$0.00,46571
50364,6107199,,Plan Review,$0.00,50425
47898,6107538,,Plan Review,$0.00,47898
39520,6107666,ADD/ALT,Plan Review,$58771.00,39520
50372,6107914,ADD/ALT,Plan Review,$0.00,50489
39437,6108332,ADD/ALT,Plan Review,$8000.00,39437
50469,6108605,,Plan Review,$0.00,50469
47873,6109296,,Plan Review,$0.00,47873
49552,6109661,,Plan Review,$0.00,49552
49129,6110328,ADD/ALT,Plan Review,$0.00,49129
42904,6110520,NEW,Plan Review,$0.00,42904
39518,6110632,ADD/ALT,Plan Review,$70000.00,39518
46013,6110745,,Plan Review,$0.00,46013
50359,6110934,,Plan Review,$0.00,50425
43478,6110973,NEW,Plan Review,$0.00,43478
45611,6111012,ADD/ALT,Plan Review,$0.00,45611
49792,6111097,NEW,Plan Review,$0.00,49792
50357,6111136,,Plan Review,$0.00,50425
38657,6111278,NEW,Plan Review,$386474.00,38657
39490,6111322,NEW,Plan Review,$383974.00,39490
48281,6111534,NEW,Plan Review,$0.00,48281
50295,6111598,,Plan Review,$5502570.00,50307
43490,6111607,ADD/ALT,No plan review,$0.00,43490
46634,6112732,,Plan Review,$0.00,46634
43178,6112993,NEW,Plan Review,$0.00,43178
43747,6113393,,Plan Review,$0.00,43747
45200,6113452,ADD/ALT,No plan review,$1000.00,45200
48366,6113545,NEW,Plan Review,$0.00,48366
47631,6113664,,Plan Review,$0.00,47631
46625,6114298,ADD/ALT,No plan review,$1000.00,46625
48095,6114299,ADD/ALT,Plan Review,$0.00,48095
39179,6115038,NEW,Plan Review,$193454.00,39179
36762,6115402,NEW,Plan Review,$0.00,36762
39451,6115455,ADD/ALT,Plan Review,$30000.00,39451
42573,6115759,ADD/ALT,Plan Review,$0.00,42573
48694,6115871,,Plan Review,$0.00,48694
48347,6115906,,Plan Review,$0.00,48350
48345,6115908,,Plan Review,$0.00,48350
43280,6117036,NEW,Plan Review,$0.00,43280
43582,6117080,NEW,Plan Review,$0.00,43582
43227,6117119,ADD/ALT,Plan Review,$17000.00,43227
39489,6117129,,No plan review,$0.00,46968
43236,6117328,NEW,Plan Review,$0.00,43236
47597,6117411,ADD/ALT,Plan Review,$0.00,47597
43468,6117465,NEW,Plan Review,$0.00,43469
48431,6117718,ADD/ALT,Plan Review,$0.00,48432
25509,6117788,NEW,Plan Review,$166132.00,29817
11597,6118793,,Plan Review,$0.00,50425
49477,6119226,ADD/ALT,Plan Review,$0.00,49478
39259,6119269,NEW,Plan Review,$482516.00,39259
43254,6119285,NEW,Plan Review,$220560.00,43254
39079,6119575,ADD/ALT,Plan Review,$438161.00,39079
47491,6119661,ADD/ALT,Plan Review,$0.00,47491
42866,6119764,ADD/ALT,Plan Review,$0.00,42866
39479,6119949,ALTER,Plan Review,$212500.00,39479
39261,6120159,NEW,Plan Review,$703322.00,39261
48106,6121138,ADD/ALT,Plan Review,$0.00,48106
49777,6121292,ADD/ALT,Plan Review,$25000.00,49777
39463,6121386,ADD/ALT,Plan Review,$180610.00,39463
9826,6121756,,Plan Review,$0.00,50425
39286,6121909,NEW,Plan Review,$262251.00,39286
50073,6122867,ADD/ALT,Plan Review,$0.00,50196
47243,6123468,ADD/ALT,Plan Review,$0.00,47243
48713,6123709,ADD/ALT,Plan Review,$0.00,48713
39450,6123857,NEW,Plan Review,$7113791.00,48811
38288,6123866,NEW,Plan Review,$11042141.00,45030
42858,6125349,,No plan review,$0.00,42858
42983,6125378,NEW,Plan Review,$0.00,42983
49906,6126335,ADD/ALT,Plan Review,$0.00,49907
45437,6126546,ADD/ALT,Plan Review,$0.00,45437
48344,6126575,,Plan Review,$0.00,48350
44559,6126670,NEW,Plan Review,$0.00,44560
39349,6126745,GRADING,Plan Review,$0.00,48811
44971,6127111,ADD/ALT,Plan Review,$0.00,44971
50011,6127586,TEMP,Plan Review,$0.00,50013
43107,6127717,ADD/ALT,Plan Review,$0.00,43107
45404,6127726,ADD/ALT,Plan Review,$0.00,45405
50468,6127816,ADD/ALT,Plan Review,$0.00,50469
49752,6127884,ADD/ALT,Plan Review,$0.00,49873
47102,6128345,ADD/ALT,Plan Review,$0.00,47102
42045,6128897,NEW,Plan Review,$0.00,42045
39282,6129355,NEW,Plan Review,$2475541.00,39282
45702,6129474,,No plan review,$0.00,45702
42952,6129826,ADD/ALT,Plan Review,$0.00,42952
43219,6129827,ADD/ALT,Plan Review,$0.00,43219
47902,6130385,ADD/ALT,Plan Review,$0.00,47902
44517,6130538,,Plan Review,$0.00,44517
43473,6130648,NEW,Plan Review,$0.00,43473
49203,6130853,NEW,Plan Review,$0.00,49203
46775,6130864,ADD/ALT,Plan Review,$0.00,46775
42922,6131560,ADD/ALT,Plan Review,$0.00,42922
44741,6131754,,Plan Review,$0.00,44742
39154,6132250,NEW,Plan Review,$31118.00,39154
45129,6132977,NEW,Plan Review,$0.00,45129
45628,6133060,,No plan review,$0.00,45628
38895,6133585,NEW,Plan Review,$321871.00,38895
8470,6133801,,No plan review,$30500.00,50425
43260,6133833,NEW,Plan Review,$0.00,43260
43883,6133922,,Plan Review,$0.00,43883
46691,6134068,,Plan Review,$0.00,46691
39794,6134135,NEW,Plan Review,$1270720.00,39794
45574,6134200,ADD/ALT,Plan Review,$0.00,45574
42903,6134725,NEW,Plan Review,$0.00,42904
47310,6134839,,Plan Review,$0.00,47311
50003,6134890,NEW,Plan Review,$0.00,50131
41884,6135002,NEW,Plan Review,$0.00,41884
48911,6135090,ADD/ALT,Plan Review,$125000.00,48911
49899,6135396,,Plan Review,$0.00,49903
42931,6135749,ADD/ALT,Plan Review,$0.00,42931
43049,6135952,NEW,Plan Review,$318588.00,43049
48825,6136430,NEW,Plan Review,$0.00,48836
39346,6136557,NEW,Plan Review,$423724.00,39346
49900,6137047,,Plan Review,$0.00,49903
39336,6137611,NEW,Plan Review,$293267.00,39336
44216,6137673,,Plan Review,$0.00,44216
43122,6137727,ADD/ALT,Plan Review,$50000.00,43122
49996,6137954,,Plan Review,$0.00,49996
47947,6138171,NEW,Plan Review,$0.00,47948
43641,6138480,CURB CUT,No plan review,$0.00,43641
48822,6138908,ADD/ALT,Plan Review,$0.00,48822
39062,6138947,NEW,Plan Review,$452782.00,39062
47693,6139322,ADD/ALT,Plan Review,$200000.00,47693
49591,6139442,ADD/ALT,Plan Review,$0.00,49592
42739,6139731,,Plan Review,$0.00,42739
38867,6140020,NEW,Plan Review,$3845355.00,45459
8549,6140029,,Plan Review,$0.00,50425
45456,6140165,ADD/ALT,Plan Review,$0.00,45456
47139,6140434,ADD/ALT,Plan Review,$0.00,47139
42438,6140728,NEW,Plan Review,$0.00,42438
39308,6141329,NEW,Plan Review,$407252.00,39308
39205,6141470,NEW,Plan Review,$151023.00,39205
42444,6141622,ADD/ALT,Plan Review,$0.00,42444
8374,6141740,,Plan Review,$0.00,50425
46034,6141861,ADD/ALT,Plan Review,$0.00,46034
44032,6141880,NEW,Plan Review,$0.00,44032
39301,6142188,NEW,Plan Review,$289548.00,39301
45900,6142310,ADD/ALT,Plan Review,$0.00,45900
42491,6142564,ADD/ALT,Plan Review,$0.00,42491
39053,6142574,NEW,Plan Review,$135761.00,39053
38830,6142746,NEW,Plan Review,$1449639.00,46699
45505,6142819,ADD/ALT,Plan Review,$0.00,45505
43076,6143276,ADD/ALT,No plan review,$0.00,43076
48764,6143298,ADD/ALT,Plan Review,$0.00,48764
48325,6143455,ADD/ALT,Plan Review,$0.00,48326
38472,6143621,ADD/ALT,Plan Review,$42174.00,43999
38812,6143649,NEW,Plan Review,$7011058.00,38917
49666,6143725,NEW,Plan Review,$0.00,49667
45343,6144102,NEW,Plan Review,$0.00,45343
50199,6144134,ADD/ALT,Plan Review,$0.00,50323
45294,6144263,ADD/ALT,Plan Review,$0.00,45294
39277,6144343,ADD/ALT,Plan Review,$5000.00,39277
47734,6144439,NEW,Plan Review,$0.00,47734
43551,6144785,NEW,Plan Review,$0.00,43552
43797,6144873,NEW,Plan Review,$0.00,43797
43359,6144983,ADD/ALT,Plan Review,$0.00,43359
45221,6145203,NO CONSTRUCTION,Plan Review,$500.00,45221
47871,6145250,,Plan Review,$0.00,47871
42379,6145544,ADD/ALT,Plan Review,$0.00,42379
39121,6145617,ADD/ALT,Plan Review,$660000.00,47775
39082,6145619,ADD/ALT,Plan Review,$1211356.00,47775
39207,6145800,NEW,Plan Review,$312023.00,42391
49019,6145848,,Plan Review,$0.00,49019
50482,6145914,,Plan Review,$0.00,50482
45084,6146514,GRADING,Plan Review,$0.00,45084
15599,6146807,NEW,Plan Review,$521270.00,15599
45605,6146884,NEW,Plan Review,$0.00,45605
42584,6146902,ADD/ALT,Plan Review,$0.00,42584
44233,6146985,,Plan Review,$0.00,44233
48872,6148008,ADD/ALT,Plan Review,$0.00,48872
49378,6148066,NEW,Plan Review,$0.00,49378
45831,6148354,ADD/ALT,Plan Review,$0.00,45831
39219,6148426,NEW,Plan Review,$391000.00,39219
38730,6148656,NEW,Plan Review,$15000000.00,39078
25394,6148657,DEMOLITION,No plan review,$0.00,39078
48495,6148859,ADD/ALT,Plan Review,$0.00,48497
42639,6148940,ADD/ALT,Plan Review,$0.00,42639
45940,6148994,NEW,Plan Review,$0.00,45941
39195,6149998,GRADING,Plan Review,$0.00,42441
38285,6150000,GRADING,Plan Review,$0.00,42443
42629,6150286,NEW,Plan Review,$0.00,42629
43909,6150507,,Plan Review,$0.00,43912
47677,6150544,,Plan Review,$0.00,47679
42948,6150662,NEW,Plan Review,$0.00,42948
42727,6150924,NEW,Plan Review,$0.00,42727
44900,6151078,,Plan Review,$0.00,44900
43409,6151234,,Plan Review,$0.00,43411
46033,6151288,ADD/ALT,Plan Review,$0.00,46034
39045,6151715,NEW,Plan Review,$342119.00,39108
44335,6152754,ADD/ALT,Plan Review,$71220.00,44335
50114,6153675,ADD/ALT,Plan Review,$0.00,50118
48370,6153682,ADD/ALT,Plan Review,$0.00,48371
47933,6154007,ADD/ALT,No plan review,$0.00,47933
42652,6154171,NEW,Plan Review,$0.00,42652
49468,6154299,,No plan review,$0.00,49468
49450,6154308,ADD/ALT,Plan Review,$0.00,49450
50060,6154362,ADD/ALT,Plan Review,$0.00,50061
39134,6154380,NEW,Plan Review,$211004.00,44943
45354,6154432,NEW,Plan Review,$0.00,45354
42510,6154752,ADD/ALT,Plan Review,$0.00,42510
39147,6154793,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,39147
6172,6155029,,Plan Review,$0.00,43918
42728,6155031,,Plan Review,$0.00,42728
48792,6155088,ADD/ALT,Plan Review,$0.00,48792
39136,6155242,ADD/ALT,Plan Review,$65000.00,39136
42859,6155569,,Plan Review,$0.00,42859
38811,6155687,NEW,Plan Review,$6985631.00,38811
42451,6156160,,Plan Review,$0.00,42451
33319,6156273,,Plan Review,$0.00,33319
42399,6156296,ADD/ALT,Plan Review,$0.00,42399
38866,6156487,,No plan review,$0.00,39124
39025,6156798,NEW,Plan Review,$5000000.00,39025
8279,6157010,,Plan Review,$0.00,50425
44051,6157451,,Plan Review,$0.00,44051
39089,6157728,ADD/ALT,Plan Review,$50000.00,44342
43040,6157985,NEW,Plan Review,$0.00,43040
46392,6158558,NEW,Plan Review,$0.00,46392
39042,6158844,NEW,Plan Review,$284484.00,39042
47775,6158899,ADD/ALT,Plan Review,$0.00,47775
47790,6159008,ADD/ALT,Plan Review,$0.00,47790
42636,6159414,ADD/ALT,Plan Review,$0.00,42636
