Rnd,Pick,Tm,Name,Pos,Age,G,College/Univ
3,86,ARI,David Johnson,RB,23,16,Northern Iowa
,,,,,,,
3,87,PIT,Sammie Coates,WR,22,7,Auburn
,,,,,,,
3,88,MIN,Danielle Hunter,DE,20,14,LSU
,,,,,,,
3,89,STL,Sean Mannion,QB,23,1,Oregon St.
,,,,,,,
3,90,BAL,Carl Davis,DT,23,13,Iowa
,,,,,,,
3,91,DAL,Chaz Green,T,23,,Florida
,,,,,,,
3,92,DEN,Jeff Heuerman,TE,22,,Ohio St.
,,,,,,,
3,93,IND,Henry Anderson,DE,24,9,Stanford
,,,,,,,
3,94,GNB,Ty Montgomery,WR,22,6,Stanford
,,,,,,,
3,95,WAS,Matt Jones,RB,22,13,Florida
,,,,,,,
3,96,CLE,Xavier Cooper,DT,23,14,Washington St.
,,,,,,,
3,97,NWE,Geneo Grissom,DE,23,15,Oklahoma
,,,,,,,
3,98,KAN,Steven Nelson,CB,22,12,Oregon St.
,,,,,,,
3,99,CIN,Paul Dawson,ILB,22,11,TCU
,,,,,,,
4,100,TEN,Angelo Blackson,DT,22,16,Auburn
,,,,,,,
4,101,NWE,Trey Flowers,DE,22,1,Arkansas
,,,,,,,
4,102,CAR,Daryl Williams,G,23,10,Oklahoma
,,,,,,,
4,103,NYJ,Bryce Petty,QB,24,,Baylor
,,,,,,,
4,104,JAX,James Sample,SS,23,4,Louisville
,,,,,,,
4,105,WAS,Jamison Crowder,WR,22,16,Duke
,,,,,,,
4,106,CHI,Jeremy Langford,RB,23,16,Michigan St.
,,,,,,,
4,107,ATL,Justin Hardy,WR,23,9,East Carolina
,,,,,,,
4,108,TEN,Jalston Fowler,FB,25,16,Alabama
,,,,,,,
4,109,IND,Clayton Geathers,SS,23,15,Central Florida
,,,,,,,
4,110,MIN,T.J. Clemmings,T,23,16,Pittsburgh
,,,,,,,
4,111,NWE,Tre' Jackson,G,22,13,Florida St.
,,,,,,,
4,112,WAS,Arie Kouandjio,G,23,4,Alabama
,,,,,,,
4,113,DET,Gabe Wright,DT,23,7,Auburn
,,,,,,,
4,114,MIA,Jamil Douglas,G,23,16,Arizona St.
,,,,,,,
4,115,CLE,Ibraheim Campbell,SS,23,15,Northwestern
,,,,,,,
4,116,ARI,Rodney Gunter,DT,23,16,Delaware St.
,,,,,,,
4,117,SFO,Blake Bell,TE,24,14,Oklahoma
,,,,,,,
4,118,KAN,Ramik Wilson,ILB,23,11,Georgia
,,,,,,,
4,119,STL,Andrew Donnal,T,23,5,Iowa
,,,,,,,
4,120,CIN,Josh Shaw,CB,23,15,USC
,,,,,,,
4,121,PIT,Doran Grant,CB,22,3,Ohio St.
,,,,,,,
4,122,BAL,Za'Darius Smith,DE,23,15,Kentucky
,,,,,,,
4,123,CLE,Vince Mayle,WR,,1,Washington St.
,,,,,,,
4,124,TAM,Kwon Alexander,OLB,21,12,LSU
,,,,,,,
4,125,BAL,Javorius Allen,RB,24,16,USC
,,,,,,,
4,126,SFO,Mike Davis,RB,22,6,South Carolina
,,,,,,,
4,127,DAL,Damien Wilson,ILB,22,16,Minnesota
,,,,,,,
4,128,OAK,Jon Feliciano,G,23,6,Miami (FL)
,,,,,,,
4,129,GNB,Jake Ryan,OLB,23,14,Michigan
,,,,,,,
4,130,SEA,Terry Poole,G,23,,San Diego St.
,,,,,,,
4,131,NWE,Shaq Mason,C,22,14,Georgia Tech
,,,,,,,
4,132,SFO,DeAndre Smelter,WR,23,,Georgia Tech
,,,,,,,
4,133,DEN,Max Garcia,C,,15,Florida
,,,,,,,
4,134,SEA,Mark Glowinski,G,23,9,West Virginia
,,,,,,,
4,135,CIN,Marcus Hardison,DE,23,,Arizona St.
,,,,,,,
4,136,BAL,Tray Walker,CB,23,8,Texas Southern
,,,,,,,
5,137,ATL,Grady Jarrett,NT,22,15,Clemson
,,,,,,,
5,138,TEN,David Cobb,RB,22,7,Minnesota
,,,,,,,
5,139,JAX,Rashad Greene,WR,23,9,Florida St.
,,,,,,,
5,140,OAK,Ben Heeney,ILB,22,15,Kansas
,,,,,,,
5,141,WAS,Martrell Spaight,OLB,22,1,Arkansas
,,,,,,,
5,142,CHI,Adrian Amos,FS,22,16,Penn St.
,,,,,,,
5,143,MIN,MyCole Pruitt,TE,23,16,Southern Illinois
,,,,,,,
5,144,NYG,Mykkele Thompson,S,,,Texas
,,,,,,,
5,145,MIA,Bobby McCain,CB,22,16,Memphis
,,,,,,,
5,146,MIN,Stefon Diggs,WR,21,13,Maryland
,,,,,,,
5,147,GNB,Brett Hundley,QB,22,,UCLA
,,,,,,,
5,148,NOR,Davis Tull,OLB,23,,Tenn-Chattanooga
,,,,,,,
5,149,MIA,Jay Ajayi,RB,22,9,Boise St.
,,,,,,,
5,150,MIA,Cedric Thompson,FS,22,,Minnesota
,,,,,,,
5,151,IND,David Parry,NT,23,16,Stanford
,,,,,,,
5,152,NYJ,Jarvis Harrison,G,23,,Texas A&amp;M
,,,,,,,
5,153,SDG,Kyle Emanuel,OLB,24,15,North Dakota St.
,,,,,,,
5,154,NOR,Tyeler Davison,DT,23,16,Fresno St.
,,,,,,,
5,155,BUF,Karlos Williams,RB,22,11,Florida St.
,,,,,,,
5,156,MIA,Tony Lippett,WR,23,9,Michigan St.
,,,,,,,
5,157,CIN,C.J. Uzomah,TE,22,5,Auburn
,,,,,,,
5,158,ARI,Shaquille Riddick,DE,22,,West Virginia
,,,,,,,
5,159,ARI,JJ Nelson,WR,23,11,Ala-Birmingham
,,,,,,,
5,160,PIT,Jesse James,TE,21,8,Penn St.
,,,,,,,
5,161,OAK,Neiron Ball,OLB,23,6,Florida
,,,,,,,
5,162,TAM,Kenny Bell,WR,23,,Nebraska
,,,,,,,
5,163,DAL,Ryan Russell,DE,23,1,Purdue
,,,,,,,
5,164,DEN,Lorenzo Doss,CB,21,6,Tulane
,,,,,,,
