id,name,altname,xPos,yPos,hours,youth_only,lighting,location
41,Amy Yee Tennis Center,,-122.29742,47.584876,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2000 Martin Luther King Jr Way S
(-122.29742, 47.584876)"
42,Amy Yee Tennis Center,,-122.29742,47.584876,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2000 Martin Luther King Jr Way S
(-122.29742, 47.584876)"
43,Andover Place,,-122.409993,47.568517,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4000 Beach Dr SW
(-122.409993, 47.568517)"
44,Andover Place,,-122.409993,47.568517,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4000 Beach Dr SW
(-122.409993, 47.568517)"
45,Arroyos Natural Area,,-122.387822,47.505679,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4120 Arroyo Dr SW
(-122.387822, 47.505679)"
46,Arroyos Natural Area,,-122.387822,47.505679,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4120 Arroyo Dr SW
(-122.387822, 47.505679)"
47,Atlantic City Boat Ramp,,-122.263078,47.522834,24 Hours,FALSE,FALSE,"8702 Seward Park Ave S
(-122.263078, 47.522834)"
48,Atlantic City Boat Ramp,,-122.263078,47.522834,24 Hours,FALSE,FALSE,"8702 Seward Park Ave S
(-122.263078, 47.522834)"
49,Atlantic Street Park,,-122.30566,47.589165,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1501 21st Ave S
(-122.30566, 47.589165)"
50,Atlantic Street Park,,-122.30566,47.589165,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1501 21st Ave S
(-122.30566, 47.589165)"
51,Atlantic Street Park,,-122.30566,47.589165,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1501 21st Ave S
(-122.30566, 47.589165)"
52,Atlantic Street Park,,-122.30566,47.589165,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1501 21st Ave S
(-122.30566, 47.589165)"
53,B.F. Day Playground,,-122.3492215,47.65603015,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4020 Fremont Ave N
(-122.3492215, 47.65603015)"
54,B.F. Day Playground,,-122.3492215,47.65603015,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4020 Fremont Ave N
(-122.3492215, 47.65603015)"
55,B.F. Day Playground,,-122.3492215,47.65603015,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4020 Fremont Ave N
(-122.3492215, 47.65603015)"
56,B.F. Day Playground,,-122.3492215,47.65603015,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4020 Fremont Ave N
(-122.3492215, 47.65603015)"
57,B.F. Day Playground,,-122.3492215,47.65603015,4 a.m. - 11:30 p.m.,TRUE,FALSE,"4020 Fremont Ave N
(-122.3492215, 47.65603015)"
58,Bagley Viewpoint,,-122.3183469,47.64301484,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2548 Delmar Dr E
(-122.3183469, 47.64301484)"
59,Baker Park on Crown Hill,,-122.374794,47.690119,4 a.m. - 11:30 p.m.,FALSE,FALSE,"8347 14th Ave NW
(-122.374794, 47.690119)"
60,Baker Park on Crown Hill,,-122.374794,47.690119,4 a.m. - 11:30 p.m.,FALSE,FALSE,"8347 14th Ave NW
(-122.374794, 47.690119)"
61,Baker Park on Crown Hill,,-122.374794,47.690119,4 a.m. - 11:30 p.m.,FALSE,FALSE,"8347 14th Ave NW
(-122.374794, 47.690119)"
62,Ballard Commons Park,,-122.385487,47.670549,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5701 22nd Ave NW
(-122.385487, 47.670549)"
63,Ballard Commons Park,,-122.385487,47.670549,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5701 22nd Ave NW
(-122.385487, 47.670549)"
64,Ballard Corners Park,,-122.379116,47.674186,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1702 nw 62nd St
(-122.379116, 47.674186)"
65,Ballard Playground,,-122.3915498,47.67278587,4 a.m. - 11:30 p.m.,FALSE,TRUE,"2644 NW 60th St
(-122.3915498, 47.67278587)"
66,Ballard Playground,,-122.3915498,47.67278587,4 a.m. - 11:30 p.m.,FALSE,TRUE,"2644 NW 60th St
(-122.3915498, 47.67278587)"
67,Ballard Playground,,-122.3915498,47.67278587,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2644 NW 60th St
(-122.3915498, 47.67278587)"
68,Ballard Playground,,-122.3915498,47.67278587,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2644 NW 60th St
(-122.3915498, 47.67278587)"
69,Ballard Playground,,-122.3915498,47.67278587,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2644 NW 60th St
(-122.3915498, 47.67278587)"
70,Ballard Playground,,-122.3915498,47.67278587,4 a.m. - 11:30 p.m.,TRUE,FALSE,"2644 NW 60th St
(-122.3915498, 47.67278587)"
71,Bar-S Playground,,-122.4160544,47.57519512,4 a.m. - 11:30 p.m.,TRUE,FALSE,"6425 SW Admiral Way
(-122.4160544, 47.57519512)"
72,Bar-S Playground,,-122.4160544,47.57519512,4 a.m. - 11:30 p.m.,TRUE,FALSE,"6425 SW Admiral Way
(-122.4160544, 47.57519512)"
73,Bayview Playground,,-122.3867861,47.6438017,4 a.m. - 11:30 p.m.,TRUE,FALSE,"2614 24th Ave W
(-122.3867861, 47.6438017)"
74,Bayview Playground,,-122.3867861,47.6438017,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2614 24th Ave W
(-122.3867861, 47.6438017)"
75,Bayview Playground,,-122.3867861,47.6438017,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2614 24th Ave W
(-122.3867861, 47.6438017)"
76,Bayview Playground,,-122.3867861,47.6438017,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2614 24th Ave W
(-122.3867861, 47.6438017)"
77,Bayview Playground,,-122.3867861,47.6438017,4 a.m. - 11:30 p.m.,TRUE,FALSE,"2614 24th Ave W
(-122.3867861, 47.6438017)"
78,Bayview Playground,,-122.3867861,47.6438017,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2614 24th Ave W
(-122.3867861, 47.6438017)"
79,Bayview-Kinnear (Lower Kerry Park),,,,6 a.m. - 10 p.m.,FALSE,FALSE,
80,Beacon Hill Playground,,-122.3153246,47.58622631,4 a.m. - 11:30 p.m.,TRUE,FALSE,"1902 13th Ave S
(-122.3153246, 47.58622631)"
81,Beacon Hill Playground,,-122.3153246,47.58622631,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1902 13th Ave S
(-122.3153246, 47.58622631)"
82,Beacon Hill Playground,,-122.3153246,47.58622631,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1902 13th Ave S
(-122.3153246, 47.58622631)"
83,Beacon Hill Playground,,-122.3153246,47.58622631,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1902 13th Ave S
(-122.3153246, 47.58622631)"
84,Beacon Hill Playground,,-122.3153246,47.58622631,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1902 13th Ave S
(-122.3153246, 47.58622631)"
85,Beacon Hill Playground,,-122.3153246,47.58622631,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1902 13th Ave S
(-122.3153246, 47.58622631)"
86,Beacon Hill Playground,,-122.3153246,47.58622631,4 a.m. - 11:30 p.m.,TRUE,FALSE,"1902 13th Ave S
(-122.3153246, 47.58622631)"
87,Beacon Hill Playground,,-122.3153246,47.58622631,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1902 13th Ave S
(-122.3153246, 47.58622631)"
88,Beacon Hill Playground,,-122.3153246,47.58622631,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1902 13th Ave S
(-122.3153246, 47.58622631)"
89,Beacon Hill Playground,,-122.3153246,47.58622631,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1902 13th Ave S
(-122.3153246, 47.58622631)"
90,Beacon Hill Playground,,-122.3153246,47.58622631,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1902 13th Ave S
(-122.3153246, 47.58622631)"
91,Beer Sheva Park,,-122.263223,47.524191,4 a.m. - 11:30 p.m.,FALSE,FALSE,"8650 55th Ave S
(-122.263223, 47.524191)"
92,Beer Sheva Park,,-122.263223,47.524191,4 a.m. - 11:30 p.m.,FALSE,FALSE,"8650 55th Ave S
(-122.263223, 47.524191)"
93,Beer Sheva Park,,-122.263223,47.524191,4 a.m. - 11:30 p.m.,FALSE,FALSE,"8650 55th Ave S
(-122.263223, 47.524191)"
94,Beer Sheva Park,,-122.263223,47.524191,4 a.m. - 11:30 p.m.,FALSE,FALSE,"8650 55th Ave S
(-122.263223, 47.524191)"
95,Beer Sheva Park,,-122.263223,47.524191,4 a.m. - 11:30 p.m.,FALSE,FALSE,"8650 55th Ave S
(-122.263223, 47.524191)"
96,Beer Sheva Park,,-122.263223,47.524191,4 a.m. - 11:30 p.m.,FALSE,FALSE,"8650 55th Ave S
(-122.263223, 47.524191)"
97,Beer Sheva Park,,-122.263223,47.524191,4 a.m. - 11:30 p.m.,FALSE,FALSE,"8650 55th Ave S
(-122.263223, 47.524191)"
