id,artist_name,Art_Piece_id
272, ,
273, ,
274,Glen Alps,
275,Jean Beall,
276,Ernest Norling,
277, ,
278,John Wallace,
279, ,
280, ,
281,Carl Gould,
282,Allen G Newman,
283,Alice Carr,
284,Max Nielson,
285,Julian Everett,
286,James Wehn,
287,Richard Brooks,
288,Richard Brooks,
289,Franklin Joyce,
290,Monad Elohim Graves,
291,Lorna Jordan,
292,Wendy Brawer,
293, Anonymous,
294, ,
295,Duane Pasco,
296,Duane Pasco,
297,Paul Sorey,
298,Marita Dingus,
299,"Pam Beyette, Michael Davis, Norie Sato and Richard Turner",
300,Elizabeth Conner,
301,Ebba Rapp McLauchlan,
302,Shaw Pridgeon,
303,Diane Katsiaficas,
304,Rita Kepner,
305, ,
306,Lee Kelly,
307,Rebecca Cummins,
308,Steven Fuller,
309,Susan Zoccola,
310, De Jong,
311, ,
312, ,
313, Unknown,
314,Perri Lynch,
315,Merrily Tompkins,
316,Michael Sweeney,
