id,Category
197,SINGLE FAMILY / DUPLEX
198,SINGLE FAMILY / DUPLEX
199,MULTIFAMILY
200,MULTIFAMILY
201,INDUSTRIAL
202,MULTIFAMILY
203,SINGLE FAMILY / DUPLEX
204,COMMERCIAL
205,COMMERCIAL
206,SINGLE FAMILY / DUPLEX
207,COMMERCIAL
208,SINGLE FAMILY / DUPLEX
209,SINGLE FAMILY / DUPLEX
210,SINGLE FAMILY / DUPLEX
211,SINGLE FAMILY / DUPLEX
212,SINGLE FAMILY / DUPLEX
213,INSTITUTIONAL
214,SINGLE FAMILY / DUPLEX
215,SINGLE FAMILY / DUPLEX
216,INSTITUTIONAL
217,INSTITUTIONAL
218,INSTITUTIONAL
219,
220,SINGLE FAMILY / DUPLEX
221,SINGLE FAMILY / DUPLEX
222,SINGLE FAMILY / DUPLEX
223,COMMERCIAL
224,COMMERCIAL
225,SINGLE FAMILY / DUPLEX
226,MULTIFAMILY
227,INDUSTRIAL
228,INDUSTRIAL
229,SINGLE FAMILY / DUPLEX
230,MULTIFAMILY
231,COMMERCIAL
232,INSTITUTIONAL
233,COMMERCIAL
234,COMMERCIAL
235,SINGLE FAMILY / DUPLEX
236,COMMERCIAL
237,SINGLE FAMILY / DUPLEX
238,SINGLE FAMILY / DUPLEX
239,COMMERCIAL
240,MULTIFAMILY
241,SINGLE FAMILY / DUPLEX
242,MULTIFAMILY
243,COMMERCIAL
244,SINGLE FAMILY / DUPLEX
245,SINGLE FAMILY / DUPLEX
246,SINGLE FAMILY / DUPLEX
247,COMMERCIAL
248,COMMERCIAL
249,SINGLE FAMILY / DUPLEX
250,
251,MULTIFAMILY
252,SINGLE FAMILY / DUPLEX
253,MULTIFAMILY
254,MULTIFAMILY
255,MULTIFAMILY
256,MULTIFAMILY
257,MULTIFAMILY
258,SINGLE FAMILY / DUPLEX
259,SINGLE FAMILY / DUPLEX
260,SINGLE FAMILY / DUPLEX
261,SINGLE FAMILY / DUPLEX
262,MULTIFAMILY
263,COMMERCIAL
264,COMMERCIAL
265,COMMERCIAL
266,COMMERCIAL
267,SINGLE FAMILY / DUPLEX
268,SINGLE FAMILY / DUPLEX
269,SINGLE FAMILY / DUPLEX
270,COMMERCIAL
271,SINGLE FAMILY / DUPLEX
272,SINGLE FAMILY / DUPLEX
273,SINGLE FAMILY / DUPLEX
274,COMMERCIAL
275,SINGLE FAMILY / DUPLEX
276,SINGLE FAMILY / DUPLEX
277,COMMERCIAL
278,COMMERCIAL
279,SINGLE FAMILY / DUPLEX
280,SINGLE FAMILY / DUPLEX
281,SINGLE FAMILY / DUPLEX
282,SINGLE FAMILY / DUPLEX
283,SINGLE FAMILY / DUPLEX
284,SINGLE FAMILY / DUPLEX
285,COMMERCIAL
286,COMMERCIAL
287,COMMERCIAL
288,COMMERCIAL
289,COMMERCIAL
290,SINGLE FAMILY / DUPLEX
291,SINGLE FAMILY / DUPLEX
292,COMMERCIAL
293,SINGLE FAMILY / DUPLEX
294,COMMERCIAL
295,SINGLE FAMILY / DUPLEX
296,SINGLE FAMILY / DUPLEX
297,SINGLE FAMILY / DUPLEX
298,SINGLE FAMILY / DUPLEX
299,SINGLE FAMILY / DUPLEX
300,COMMERCIAL
301,INSTITUTIONAL
302,SINGLE FAMILY / DUPLEX
303,SINGLE FAMILY / DUPLEX
304,COMMERCIAL
305,SINGLE FAMILY / DUPLEX
306,MULTIFAMILY
307,SINGLE FAMILY / DUPLEX
308,COMMERCIAL
309,SINGLE FAMILY / DUPLEX
310,MULTIFAMILY
311,SINGLE FAMILY / DUPLEX
312,MULTIFAMILY
313,SINGLE FAMILY / DUPLEX
314,SINGLE FAMILY / DUPLEX
315,SINGLE FAMILY / DUPLEX
316,SINGLE FAMILY / DUPLEX
317,SINGLE FAMILY / DUPLEX
318,SINGLE FAMILY / DUPLEX
319,SINGLE FAMILY / DUPLEX
320,SINGLE FAMILY / DUPLEX
321,COMMERCIAL
322,MULTIFAMILY
323,SINGLE FAMILY / DUPLEX
324,COMMERCIAL
325,COMMERCIAL
326,SINGLE FAMILY / DUPLEX
327,
328,
329,MULTIFAMILY
330,MULTIFAMILY
331,COMMERCIAL
332,SINGLE FAMILY / DUPLEX
333,COMMERCIAL
334,SINGLE FAMILY / DUPLEX
335,SINGLE FAMILY / DUPLEX
336,SINGLE FAMILY / DUPLEX
337,SINGLE FAMILY / DUPLEX
338,SINGLE FAMILY / DUPLEX
339,COMMERCIAL
340,SINGLE FAMILY / DUPLEX
341,SINGLE FAMILY / DUPLEX
342,SINGLE FAMILY / DUPLEX
343,SINGLE FAMILY / DUPLEX
344,SINGLE FAMILY / DUPLEX
345,SINGLE FAMILY / DUPLEX
346,SINGLE FAMILY / DUPLEX
347,SINGLE FAMILY / DUPLEX
348,SINGLE FAMILY / DUPLEX
349,COMMERCIAL
350,SINGLE FAMILY / DUPLEX
351,COMMERCIAL
352,SINGLE FAMILY / DUPLEX
353,SINGLE FAMILY / DUPLEX
354,SINGLE FAMILY / DUPLEX
355,SINGLE FAMILY / DUPLEX
356,SINGLE FAMILY / DUPLEX
357,SINGLE FAMILY / DUPLEX
358,SINGLE FAMILY / DUPLEX
359,COMMERCIAL
360,SINGLE FAMILY / DUPLEX
361,MULTIFAMILY
362,MULTIFAMILY
363,SINGLE FAMILY / DUPLEX
364,SINGLE FAMILY / DUPLEX
365,
366,SINGLE FAMILY / DUPLEX
367,SINGLE FAMILY / DUPLEX
368,SINGLE FAMILY / DUPLEX
369,SINGLE FAMILY / DUPLEX
370,MULTIFAMILY
371,SINGLE FAMILY / DUPLEX
372,MULTIFAMILY
373,MULTIFAMILY
374,MULTIFAMILY
375,MULTIFAMILY
376,MULTIFAMILY
377,MULTIFAMILY
378,MULTIFAMILY
379,COMMERCIAL
380,SINGLE FAMILY / DUPLEX
381,SINGLE FAMILY / DUPLEX
382,COMMERCIAL
383,COMMERCIAL
384,COMMERCIAL
385,SINGLE FAMILY / DUPLEX
386,COMMERCIAL
387,SINGLE FAMILY / DUPLEX
388,COMMERCIAL
389,SINGLE FAMILY / DUPLEX
390,MULTIFAMILY
391,SINGLE FAMILY / DUPLEX
392,SINGLE FAMILY / DUPLEX
393,COMMERCIAL
394,SINGLE FAMILY / DUPLEX
395,COMMERCIAL
396,SINGLE FAMILY / DUPLEX
397,MULTIFAMILY
398,SINGLE FAMILY / DUPLEX
399,SINGLE FAMILY / DUPLEX
400,COMMERCIAL
401,COMMERCIAL
402,
403,COMMERCIAL
404,MULTIFAMILY
405,SINGLE FAMILY / DUPLEX
406,SINGLE FAMILY / DUPLEX
407,SINGLE FAMILY / DUPLEX
408,SINGLE FAMILY / DUPLEX
409,SINGLE FAMILY / DUPLEX
410,SINGLE FAMILY / DUPLEX
411,COMMERCIAL
412,SINGLE FAMILY / DUPLEX
