id,Category,DesignType,DesignIncluded
2193,SINGLE FAMILY / DUPLEX,II,N
2194,SINGLE FAMILY / DUPLEX,II,N
2195,MULTIFAMILY,II,Y
2196,MULTIFAMILY,II,N
2197,COMMERCIAL,II,N
2198,SINGLE FAMILY / DUPLEX,II,N
2199,SINGLE FAMILY / DUPLEX,II,N
2200,COMMERCIAL,II,Y
2201,COMMERCIAL,II,Y
2202,MULTIFAMILY,II,Y
2203,MULTIFAMILY,II,Y
2204,COMMERCIAL,II,N
2205,SINGLE FAMILY / DUPLEX,II,N
2206,SINGLE FAMILY / DUPLEX,II,N
2207,MULTIFAMILY,II,N
2208,SINGLE FAMILY / DUPLEX,II,N
2209,SINGLE FAMILY / DUPLEX,II,N
2210,SINGLE FAMILY / DUPLEX,II,N
2211,SINGLE FAMILY / DUPLEX,II,N
2212,SINGLE FAMILY / DUPLEX,II,N
2213,MULTIFAMILY,II,N
2214,SINGLE FAMILY / DUPLEX,I,N
2215,,I,N
2216,SINGLE FAMILY / DUPLEX,II,N
2217,MULTIFAMILY,II,N
2218,SINGLE FAMILY / DUPLEX,II,N
2219,MULTIFAMILY,II,Y
2220,MULTIFAMILY,II,N
2221,MULTIFAMILY,II,Y
2222,MULTIFAMILY,II,N
2223,COMMERCIAL,,N
2224,COMMERCIAL,II,N
2225,COMMERCIAL,I,N
2226,MULTIFAMILY,II,N
2227,COMMERCIAL,II,N
2228,COMMERCIAL,II,N
2229,MULTIFAMILY,II,N
2230,COMMERCIAL,II,Y
2231,COMMERCIAL,II,Y
2232,COMMERCIAL,II,N
2233,SINGLE FAMILY / DUPLEX,I,N
2234,SINGLE FAMILY / DUPLEX,I,N
2235,SINGLE FAMILY / DUPLEX,I,N
2236,SINGLE FAMILY / DUPLEX,I,N
2237,COMMERCIAL,II,
2238,MULTIFAMILY,II,N
2239,MULTIFAMILY,II,N
2240,COMMERCIAL,II,N
2241,COMMERCIAL,II,N
2242,INSTITUTIONAL,II,N
2243,SINGLE FAMILY / DUPLEX,II,N
2244,SINGLE FAMILY / DUPLEX,II,N
2245,SINGLE FAMILY / DUPLEX,II,N
2246,COMMERCIAL,II,Y
2247,SINGLE FAMILY / DUPLEX,II,N
2248,SINGLE FAMILY / DUPLEX,II,N
2249,MULTIFAMILY,II,N
2250,INDUSTRIAL,V,N
2251,SINGLE FAMILY / DUPLEX,II,N
2252,SINGLE FAMILY / DUPLEX,II,N
2253,COMMERCIAL,II,Y
2254,COMMERCIAL,II,Y
2255,MULTIFAMILY,II,Y
2256,SINGLE FAMILY / DUPLEX,II,N
2257,COMMERCIAL,II,N
2258,COMMERCIAL,II,N
2259,MULTIFAMILY,I,N
2260,,,
2261,INDUSTRIAL,II,N
2262,COMMERCIAL,II,N
2263,SINGLE FAMILY / DUPLEX,II,N
2264,MULTIFAMILY,II,N
2265,COMMERCIAL,II,Y
2266,SINGLE FAMILY / DUPLEX,II,N
2267,SINGLE FAMILY / DUPLEX,II,N
2268,MULTIFAMILY,II,N
2269,SINGLE FAMILY / DUPLEX,II,N
2270,MULTIFAMILY,II,N
2271,SINGLE FAMILY / DUPLEX,II,N
2272,COMMERCIAL,II,N
2273,SINGLE FAMILY / DUPLEX,II,N
2274,COMMERCIAL,II,N
2275,MULTIFAMILY,II,Y
2276,SINGLE FAMILY / DUPLEX,II,N
2277,MULTIFAMILY,II,N
2278,SINGLE FAMILY / DUPLEX,II,N
2279,SINGLE FAMILY / DUPLEX,I,N
2280,MULTIFAMILY,II,N
2281,MULTIFAMILY,I,N
2282,MULTIFAMILY,II,N
2283,SINGLE FAMILY / DUPLEX,II,N
2284,SINGLE FAMILY / DUPLEX,II,N
2285,SINGLE FAMILY / DUPLEX,II,
2286,SINGLE FAMILY / DUPLEX,II,N
2287,MULTIFAMILY,II,N
2288,SINGLE FAMILY / DUPLEX,II,N
2289,MULTIFAMILY,II,Y
2290,MULTIFAMILY,II,N
2291,MULTIFAMILY,II,N
2292,MULTIFAMILY,II,N
2293,MULTIFAMILY,II,N
2294,MULTIFAMILY,II,N
2295,SINGLE FAMILY / DUPLEX,II,N
2296,INSTITUTIONAL,II,N
2297,SINGLE FAMILY / DUPLEX,II,N
2298,SINGLE FAMILY / DUPLEX,I,N
2299,SINGLE FAMILY / DUPLEX,II,N
2300,SINGLE FAMILY / DUPLEX,II,N
2301,SINGLE FAMILY / DUPLEX,II,N
2302,MULTIFAMILY,II,N
2303,COMMERCIAL,II,Y
2304,SINGLE FAMILY / DUPLEX,II,N
2305,SINGLE FAMILY / DUPLEX,II,N
2306,INDUSTRIAL,I,N
2307,COMMERCIAL,II,N
2308,COMMERCIAL,II,N
2309,,I,N
2310,MULTIFAMILY,II,N
2311,COMMERCIAL,V,N
2312,COMMERCIAL,II,
2313,MULTIFAMILY,II,N
2314,COMMERCIAL,II,N
2315,MULTIFAMILY,II,N
2316,INSTITUTIONAL,II,N
2317,MULTIFAMILY,II,N
2318,SINGLE FAMILY / DUPLEX,II,N
2319,COMMERCIAL,II,N
2320,MULTIFAMILY,I,N
2321,SINGLE FAMILY / DUPLEX,II,N
2322,MULTIFAMILY,II,N
2323,MULTIFAMILY,II,Y
2324,MULTIFAMILY,II,Y
2325,,II,N
2326,MULTIFAMILY,I,N
2327,COMMERCIAL,II,N
2328,INSTITUTIONAL,II,N
2329,SINGLE FAMILY / DUPLEX,II,Y
2330,COMMERCIAL,II,Y
2331,SINGLE FAMILY / DUPLEX,II,N
2332,SINGLE FAMILY / DUPLEX,I,N
2333,COMMERCIAL,II,N
2334,SINGLE FAMILY / DUPLEX,II,N
2335,SINGLE FAMILY / DUPLEX,I,N
2336,COMMERCIAL,II,N
2337,,II,N
2338,COMMERCIAL,,N
2339,COMMERCIAL,II,N
2340,,II,N
2341,,II,N
2342,MULTIFAMILY,II,N
2343,INSTITUTIONAL,II,N
2344,MULTIFAMILY,II,Y
2345,MULTIFAMILY,I,N
2346,MULTIFAMILY,II,N
2347,SINGLE FAMILY / DUPLEX,II,N
2348,SINGLE FAMILY / DUPLEX,III,N
2349,SINGLE FAMILY / DUPLEX,I,N
2350,MULTIFAMILY,II,N
2351,INDUSTRIAL,II,N
2352,SINGLE FAMILY / DUPLEX,II,N
2353,MULTIFAMILY,II,N
2354,MULTIFAMILY,II,N
2355,INSTITUTIONAL,II,N
2356,MULTIFAMILY,I,Y
2357,MULTIFAMILY,II,Y
2358,MULTIFAMILY,II,N
2359,MULTIFAMILY,I,N
2360,,II,N
2361,,II,N
2362,SINGLE FAMILY / DUPLEX,II,N
2363,MULTIFAMILY,II,N
2364,SINGLE FAMILY / DUPLEX,II,N
2365,MULTIFAMILY,II,N
2366,MULTIFAMILY,II,N
2367,MULTIFAMILY,II,N
2368,MULTIFAMILY,II,N
2369,MULTIFAMILY,II,N
2370,SINGLE FAMILY / DUPLEX,II,N
2371,MULTIFAMILY,II,N
2372,INSTITUTIONAL,II,N
2373,COMMERCIAL,II,N
2374,MULTIFAMILY,II,N
2375,SINGLE FAMILY / DUPLEX,II,N
2376,COMMERCIAL,II,Y
2377,MULTIFAMILY,II,N
2378,MULTIFAMILY,I,N
2379,SINGLE FAMILY / DUPLEX,II,N
2380,COMMERCIAL,II,N
2381,MULTIFAMILY,II,N
2382,COMMERCIAL,II,N
2383,SINGLE FAMILY / DUPLEX,II,N
2384,COMMERCIAL,II,N
2385,MULTIFAMILY,II,N
2386,MULTIFAMILY,II,N
2387,SINGLE FAMILY / DUPLEX,II,N
2388,SINGLE FAMILY / DUPLEX,II,N
2389,COMMERCIAL,I,N
2390,MULTIFAMILY,II,N
2391,SINGLE FAMILY / DUPLEX,II,N
2392,MULTIFAMILY,II,N
2393,SINGLE FAMILY / DUPLEX,II,N
2394,SINGLE FAMILY / DUPLEX,I,N
2395,COMMERCIAL,II,N
2396,COMMERCIAL,II,Y
2397,MULTIFAMILY,II,N
2398,MULTIFAMILY,II,N
2399,SINGLE FAMILY / DUPLEX,I,N
2400,MULTIFAMILY,II,N
2401,MULTIFAMILY,II,N
2402,MULTIFAMILY,II,N
2403,COMMERCIAL,II,Y
2404,SINGLE FAMILY / DUPLEX,I,N
2405,SINGLE FAMILY / DUPLEX,II,N
2406,,I,N
2407,,II,N
2408,MULTIFAMILY,II,N
2409,MULTIFAMILY,II,N
2410,MULTIFAMILY,II,N
2411,SINGLE FAMILY / DUPLEX,II,N
2412,SINGLE FAMILY / DUPLEX,II,N
2413,SINGLE FAMILY / DUPLEX,II,N
2414,MULTIFAMILY,II,Y
2415,COMMERCIAL,I,N
2416,MULTIFAMILY,II,Y
2417,COMMERCIAL,II,N
2418,SINGLE FAMILY / DUPLEX,II,N
2419,MULTIFAMILY,II,N
2420,,II,N
2421,SINGLE FAMILY / DUPLEX,II,N
2422,COMMERCIAL,II,N
2423,MULTIFAMILY,II,Y
2424,SINGLE FAMILY / DUPLEX,I,N
2425,SINGLE FAMILY / DUPLEX,I,N
2426,SINGLE FAMILY / DUPLEX,II,N
2427,SINGLE FAMILY / DUPLEX,II,N
2428,MULTIFAMILY,II,Y
2429,SINGLE FAMILY / DUPLEX,II,N
2430,MULTIFAMILY,II,Y
2431,INDUSTRIAL,II,N
2432,MULTIFAMILY,II,N
2433,,II,N
2434,COMMERCIAL,II,N
2435,SINGLE FAMILY / DUPLEX,I,N
2436,SINGLE FAMILY / DUPLEX,II,N
2437,COMMERCIAL,II,N
2438,MULTIFAMILY,II,N
2439,COMMERCIAL,II,Y
2440,SINGLE FAMILY / DUPLEX,I,N
2441,,II,N
2442,INDUSTRIAL,II,N
2443,,,N
2444,INDUSTRIAL,II,N
2445,MULTIFAMILY,II,N
2446,MULTIFAMILY,I,N
2447,COMMERCIAL,II,N
2448,SINGLE FAMILY / DUPLEX,II,N
2449,MULTIFAMILY,II,N
2450,SINGLE FAMILY / DUPLEX,II,N
2451,COMMERCIAL,II,Y
2452,SINGLE FAMILY / DUPLEX,II,N
2453,MULTIFAMILY,II,Y
2454,MULTIFAMILY,II,N
2455,COMMERCIAL,II,N
2456,INSTITUTIONAL,II,N
2457,INSTITUTIONAL,I,N
2458,SINGLE FAMILY / DUPLEX,II,N
2459,COMMERCIAL,I,N
2460,SINGLE FAMILY / DUPLEX,I,N
2461,MULTIFAMILY,I,N
2462,SINGLE FAMILY / DUPLEX,II,N
2463,MULTIFAMILY,II,N
2464,SINGLE FAMILY / DUPLEX,II,N
2465,SINGLE FAMILY / DUPLEX,II,N
2466,SINGLE FAMILY / DUPLEX,I,N
2467,MULTIFAMILY,I,N
2468,SINGLE FAMILY / DUPLEX,II,N
2469,SINGLE FAMILY / DUPLEX,II,N
2470,MULTIFAMILY,II,Y
2471,SINGLE FAMILY / DUPLEX,I,N
2472,MULTIFAMILY,I,N
2473,SINGLE FAMILY / DUPLEX,II,N
2474,INDUSTRIAL,II,N
2475,SINGLE FAMILY / DUPLEX,II,N
2476,MULTIFAMILY,II,Y
2477,MULTIFAMILY,II,Y
2478,SINGLE FAMILY / DUPLEX,II,N
2479,COMMERCIAL,II,N
2480,MULTIFAMILY,II,Y
2481,COMMERCIAL,II,N
2482,COMMERCIAL,II,N
2483,SINGLE FAMILY / DUPLEX,II,N
2484,MULTIFAMILY,I,N
2485,SINGLE FAMILY / DUPLEX,II,N
2486,INSTITUTIONAL,II,N
2487,SINGLE FAMILY / DUPLEX,I,N
2488,SINGLE FAMILY / DUPLEX,II,N
2489,MULTIFAMILY,I,N
2490,SINGLE FAMILY / DUPLEX,II,N
2491,COMMERCIAL,II,N
2492,SINGLE FAMILY / DUPLEX,I,N
2493,SINGLE FAMILY / DUPLEX,II,N
2494,SINGLE FAMILY / DUPLEX,I,N
2495,SINGLE FAMILY / DUPLEX,II,N
2496,SINGLE FAMILY / DUPLEX,II,N
2497,SINGLE FAMILY / DUPLEX,II,N
2498,COMMERCIAL,II,N
2499,MULTIFAMILY,II,N
2500,MULTIFAMILY,II,N
2501,MULTIFAMILY,II,N
2502,COMMERCIAL,II,Y
2503,MULTIFAMILY,I,N
2504,SINGLE FAMILY / DUPLEX,II,N
2505,SINGLE FAMILY / DUPLEX,II,N
2506,,I,N
2507,MULTIFAMILY,II,N
2508,MULTIFAMILY,II,Y
2509,COMMERCIAL,II,N
2510,SINGLE FAMILY / DUPLEX,II,N
2511,MULTIFAMILY,II,N
2512,,II,N
2513,SINGLE FAMILY / DUPLEX,II,N
2514,SINGLE FAMILY / DUPLEX,II,N
2515,MULTIFAMILY,II,N
2516,SINGLE FAMILY / DUPLEX,II,N
2517,SINGLE FAMILY / DUPLEX,II,N
2518,,I,N
2519,MULTIFAMILY,II,N
2520,SINGLE FAMILY / DUPLEX,I,N
2521,MULTIFAMILY,II,Y
2522,MULTIFAMILY,II,N
2523,COMMERCIAL,II,N
2524,COMMERCIAL,II,Y
2525,SINGLE FAMILY / DUPLEX,II,N
2526,SINGLE FAMILY / DUPLEX,II,N
2527,SINGLE FAMILY / DUPLEX,I,N
2528,,II,N
2529,MULTIFAMILY,II,N
2530,COMMERCIAL,II,N
2531,MULTIFAMILY,II,N
2532,SINGLE FAMILY / DUPLEX,II,N
2533,COMMERCIAL,II,Y
2534,SINGLE FAMILY / DUPLEX,II,N
2535,MULTIFAMILY,II,Y
2536,MULTIFAMILY,II,Y
2537,SINGLE FAMILY / DUPLEX,II,N
2538,COMMERCIAL,II,N
2539,MULTIFAMILY,II,N
2540,SINGLE FAMILY / DUPLEX,II,N
2541,SINGLE FAMILY / DUPLEX,II,N
2542,SINGLE FAMILY / DUPLEX,II,
2543,MULTIFAMILY,II,N
2544,,II,N
2545,MULTIFAMILY,II,N
2546,SINGLE FAMILY / DUPLEX,I,N
2547,MULTIFAMILY,II,Y
2548,MULTIFAMILY,II,N
2549,,I,N
2550,MULTIFAMILY,I,N
2551,MULTIFAMILY,II,N
2552,INDUSTRIAL,II,N
2553,MULTIFAMILY,II,Y
2554,SINGLE FAMILY / DUPLEX,II,N
2555,MULTIFAMILY,II,N
2556,SINGLE FAMILY / DUPLEX,II,N
2557,SINGLE FAMILY / DUPLEX,II,N
2558,SINGLE FAMILY / DUPLEX,II,N
2559,,I,N
2560,SINGLE FAMILY / DUPLEX,I,N
2561,SINGLE FAMILY / DUPLEX,II,N
2562,COMMERCIAL,II,N
2563,SINGLE FAMILY / DUPLEX,II,N
2564,SINGLE FAMILY / DUPLEX,II,N
2565,SINGLE FAMILY / DUPLEX,II,N
2566,SINGLE FAMILY / DUPLEX,II,N
2567,MULTIFAMILY,II,Y
2568,MULTIFAMILY,II,Y
2569,MULTIFAMILY,II,N
2570,MULTIFAMILY,,N
2571,MULTIFAMILY,II,Y
2572,COMMERCIAL,II,Y
2573,SINGLE FAMILY / DUPLEX,I,N
2574,INSTITUTIONAL,II,N
2575,INSTITUTIONAL,II,N
2576,INSTITUTIONAL,II,N
2577,COMMERCIAL,II,Y
2578,COMMERCIAL,II,Y
2579,,I,N
2580,SINGLE FAMILY / DUPLEX,II,N
2581,COMMERCIAL,II,Y
2582,MULTIFAMILY,II,N
2583,MULTIFAMILY,I,N
2584,SINGLE FAMILY / DUPLEX,II,N
2585,SINGLE FAMILY / DUPLEX,II,N
2586,MULTIFAMILY,II,Y
2587,COMMERCIAL,II,Y
2588,SINGLE FAMILY / DUPLEX,II,N
2589,MULTIFAMILY,II,N
2590,SINGLE FAMILY / DUPLEX,II,N
2591,SINGLE FAMILY / DUPLEX,II,N
2592,MULTIFAMILY,II,N
2593,SINGLE FAMILY / DUPLEX,I,N
2594,SINGLE FAMILY / DUPLEX,II,N
2595,INDUSTRIAL,II,
2596,MULTIFAMILY,II,N
2597,SINGLE FAMILY / DUPLEX,II,N
2598,,I,N
2599,SINGLE FAMILY / DUPLEX,II,N
2600,,II,N
2601,MULTIFAMILY,II,N
2602,MULTIFAMILY,II,Y
2603,MULTIFAMILY,II,N
2604,SINGLE FAMILY / DUPLEX,II,N
2605,MULTIFAMILY,II,N
2606,INDUSTRIAL,II,N
2607,COMMERCIAL,I,N
2608,SINGLE FAMILY / DUPLEX,I,N
2609,,I,N
2610,MULTIFAMILY,II,N
2611,INDUSTRIAL,II,N
2612,MULTIFAMILY,II,N
2613,MULTIFAMILY,II,N
2614,SINGLE FAMILY / DUPLEX,II,N
2615,COMMERCIAL,I,N
2616,MULTIFAMILY,II,N
2617,SINGLE FAMILY / DUPLEX,II,N
2618,,I,N
2619,SINGLE FAMILY / DUPLEX,II,N
2620,SINGLE FAMILY / DUPLEX,II,N
2621,SINGLE FAMILY / DUPLEX,II,
2622,SINGLE FAMILY / DUPLEX,II,N
2623,SINGLE FAMILY / DUPLEX,I,N
2624,MULTIFAMILY,II,N
2625,SINGLE FAMILY / DUPLEX,II,N
2626,SINGLE FAMILY / DUPLEX,II,N
2627,SINGLE FAMILY / DUPLEX,II,N
2628,COMMERCIAL,II,Y
2629,MULTIFAMILY,II,N
2630,SINGLE FAMILY / DUPLEX,I,N
2631,COMMERCIAL,II,N
2632,MULTIFAMILY,II,Y
2633,SINGLE FAMILY / DUPLEX,I,N
2634,SINGLE FAMILY / DUPLEX,I,N
2635,COMMERCIAL,II,N
2636,MULTIFAMILY,I,N
2637,,I,N
2638,SINGLE FAMILY / DUPLEX,II,N
2639,SINGLE FAMILY / DUPLEX,II,N
2640,MULTIFAMILY,II,N
2641,SINGLE FAMILY / DUPLEX,I,N
2642,MULTIFAMILY,II,N
2643,SINGLE FAMILY / DUPLEX,II,N
2644,MULTIFAMILY,II,N
2645,MULTIFAMILY,II,N
2646,SINGLE FAMILY / DUPLEX,II,N
2647,INSTITUTIONAL,I,
2648,COMMERCIAL,II,Y
2649,SINGLE FAMILY / DUPLEX,I,N
2650,COMMERCIAL,I,N
2651,SINGLE FAMILY / DUPLEX,II,N
2652,MULTIFAMILY,II,N
2653,COMMERCIAL,II,N
2654,MULTIFAMILY,II,N
2655,MULTIFAMILY,II,N
2656,COMMERCIAL,II,N
2657,COMMERCIAL,II,N
2658,COMMERCIAL,II,N
2659,MULTIFAMILY,II,N
2660,COMMERCIAL,II,Y
2661,MULTIFAMILY,II,Y
2662,MULTIFAMILY,II,N
2663,MULTIFAMILY,II,N
2664,INSTITUTIONAL,II,N
2665,SINGLE FAMILY / DUPLEX,I,N
2666,MULTIFAMILY,II,N
2667,MULTIFAMILY,I,N
2668,SINGLE FAMILY / DUPLEX,II,N
2669,SINGLE FAMILY / DUPLEX,II,N
2670,COMMERCIAL,II,N
2671,MULTIFAMILY,II,Y
2672,SINGLE FAMILY / DUPLEX,I,N
2673,INDUSTRIAL,II,N
2674,MULTIFAMILY,II,N
2675,,II,N
2676,,II,N
2677,MULTIFAMILY,II,N
2678,MULTIFAMILY,II,N
2679,MULTIFAMILY,II,N
2680,SINGLE FAMILY / DUPLEX,I,N
2681,MULTIFAMILY,II,N
2682,SINGLE FAMILY / DUPLEX,I,N
2683,SINGLE FAMILY / DUPLEX,II,N
2684,MULTIFAMILY,II,N
2685,SINGLE FAMILY / DUPLEX,II,N
2686,,I,N
2687,COMMERCIAL,I,N
2688,MULTIFAMILY,II,N
2689,COMMERCIAL,II,N
2690,,I,N
2691,MULTIFAMILY,II,N
2692,SINGLE FAMILY / DUPLEX,II,N
2693,INDUSTRIAL,II,N
2694,COMMERCIAL,II,N
2695,COMMERCIAL,II,Y
2696,SINGLE FAMILY / DUPLEX,I,N
2697,SINGLE FAMILY / DUPLEX,I,N
2698,MULTIFAMILY,II,N
2699,MULTIFAMILY,II,N
2700,,II,N
2701,,I,N
2702,MULTIFAMILY,II,N
2703,MULTIFAMILY,II,Y
2704,COMMERCIAL,I,N
2705,SINGLE FAMILY / DUPLEX,II,N
2706,MULTIFAMILY,I,N
2707,MULTIFAMILY,II,N
2708,MULTIFAMILY,II,N
2709,MULTIFAMILY,II,N
2710,MULTIFAMILY,II,N
2711,MULTIFAMILY,II,Y
2712,MULTIFAMILY,II,N
2713,MULTIFAMILY,II,Y
2714,MULTIFAMILY,I,N
2715,SINGLE FAMILY / DUPLEX,I,N
2716,MULTIFAMILY,II,N
2717,COMMERCIAL,II,N
2718,MULTIFAMILY,II,Y
2719,SINGLE FAMILY / DUPLEX,I,N
2720,,II,N
2721,COMMERCIAL,II,Y
2722,COMMERCIAL,II,N
2723,MULTIFAMILY,II,N
2724,MULTIFAMILY,II,N
2725,MULTIFAMILY,I,N
2726,MULTIFAMILY,II,N
2727,,II,N
2728,COMMERCIAL,II,Y
2729,MULTIFAMILY,II,N
2730,MULTIFAMILY,II,N
2731,MULTIFAMILY,II,Y
2732,,II,N
2733,SINGLE FAMILY / DUPLEX,I,N
2734,SINGLE FAMILY / DUPLEX,II,N
2735,COMMERCIAL,II,N
2736,SINGLE FAMILY / DUPLEX,II,N
2737,COMMERCIAL,II,Y
2738,COMMERCIAL,II,Y
2739,SINGLE FAMILY / DUPLEX,II,N
2740,COMMERCIAL,II,N
2741,COMMERCIAL,II,N
2742,MULTIFAMILY,II,N
2743,SINGLE FAMILY / DUPLEX,II,N
2744,COMMERCIAL,II,N
2745,,II,N
2746,SINGLE FAMILY / DUPLEX,I,N
2747,SINGLE FAMILY / DUPLEX,II,N
2748,INSTITUTIONAL,II,N
2749,COMMERCIAL,II,Y
2750,SINGLE FAMILY / DUPLEX,II,N
2751,MULTIFAMILY,II,N
2752,MULTIFAMILY,II,Y
2753,SINGLE FAMILY / DUPLEX,II,N
2754,SINGLE FAMILY / DUPLEX,II,N
2755,SINGLE FAMILY / DUPLEX,I,N
2756,SINGLE FAMILY / DUPLEX,I,N
2757,SINGLE FAMILY / DUPLEX,I,N
2758,SINGLE FAMILY / DUPLEX,II,N
2759,SINGLE FAMILY / DUPLEX,II,N
2760,SINGLE FAMILY / DUPLEX,I,N
2761,,II,N
2762,SINGLE FAMILY / DUPLEX,II,N
2763,COMMERCIAL,II,Y
2764,SINGLE FAMILY / DUPLEX,II,
2765,SINGLE FAMILY / DUPLEX,II,N
2766,COMMERCIAL,IV,N
2767,MULTIFAMILY,II,N
2768,COMMERCIAL,II,N
2769,MULTIFAMILY,II,Y
2770,COMMERCIAL,II,N
2771,SINGLE FAMILY / DUPLEX,I,N
2772,MULTIFAMILY,II,N
2773,SINGLE FAMILY / DUPLEX,II,N
2774,MULTIFAMILY,II,Y
2775,MULTIFAMILY,I,N
2776,SINGLE FAMILY / DUPLEX,II,N
2777,SINGLE FAMILY / DUPLEX,I,N
2778,MULTIFAMILY,II,Y
2779,COMMERCIAL,II,Y
2780,COMMERCIAL,IV,Y
2781,SINGLE FAMILY / DUPLEX,II,N
2782,,II,N
2783,MULTIFAMILY,II,Y
2784,COMMERCIAL,II,N
2785,MULTIFAMILY,II,N
2786,MULTIFAMILY,II,N
2787,MULTIFAMILY,II,N
2788,COMMERCIAL,V,N
2789,SINGLE FAMILY / DUPLEX,II,N
2790,MULTIFAMILY,,N
2791,COMMERCIAL,,N
2792,MULTIFAMILY,II,N
2793,COMMERCIAL,II,N
2794,MULTIFAMILY,II,Y
2795,SINGLE FAMILY / DUPLEX,II,N
2796,MULTIFAMILY,II,N
2797,SINGLE FAMILY / DUPLEX,I,N
2798,SINGLE FAMILY / DUPLEX,II,N
2799,INDUSTRIAL,II,N
2800,SINGLE FAMILY / DUPLEX,II,N
2801,COMMERCIAL,II,N
2802,,,
2803,SINGLE FAMILY / DUPLEX,II,N
2804,SINGLE FAMILY / DUPLEX,II,N
2805,SINGLE FAMILY / DUPLEX,II,N
2806,MULTIFAMILY,II,N
2807,COMMERCIAL,II,Y
2808,MULTIFAMILY,II,N
2809,MULTIFAMILY,II,N
2810,SINGLE FAMILY / DUPLEX,II,N
2811,MULTIFAMILY,II,N
2812,SINGLE FAMILY / DUPLEX,I,N
2813,SINGLE FAMILY / DUPLEX,II,N
2814,MULTIFAMILY,II,Y
2815,INSTITUTIONAL,II,N
2816,,,
2817,MULTIFAMILY,II,N
2818,INDUSTRIAL,II,N
2819,INSTITUTIONAL,II,N
2820,COMMERCIAL,II,N
2821,,I,N
2822,COMMERCIAL,II,N
2823,MULTIFAMILY,II,N
2824,COMMERCIAL,II,N
2825,SINGLE FAMILY / DUPLEX,I,N
2826,MULTIFAMILY,I,N
2827,MULTIFAMILY,II,N
2828,MULTIFAMILY,II,N
2829,,,N
2830,MULTIFAMILY,II,N
2831,SINGLE FAMILY / DUPLEX,I,N
2832,SINGLE FAMILY / DUPLEX,II,N
2833,MULTIFAMILY,II,N
2834,MULTIFAMILY,II,N
2835,SINGLE FAMILY / DUPLEX,II,N
2836,,II,N
2837,SINGLE FAMILY / DUPLEX,II,N
2838,MULTIFAMILY,II,N
2839,COMMERCIAL,I,N
2840,SINGLE FAMILY / DUPLEX,II,N
2841,SINGLE FAMILY / DUPLEX,II,N
2842,SINGLE FAMILY / DUPLEX,II,
2843,MULTIFAMILY,II,N
2844,SINGLE FAMILY / DUPLEX,II,Y
2845,SINGLE FAMILY / DUPLEX,II,N
2846,SINGLE FAMILY / DUPLEX,II,N
2847,MULTIFAMILY,II,Y
2848,MULTIFAMILY,II,N
2849,SINGLE FAMILY / DUPLEX,I,N
2850,MULTIFAMILY,II,N
2851,SINGLE FAMILY / DUPLEX,II,N
2852,MULTIFAMILY,II,N
2853,SINGLE FAMILY / DUPLEX,II,N
2854,MULTIFAMILY,II,N
2855,MULTIFAMILY,II,
2856,INSTITUTIONAL,IV,N
2857,COMMERCIAL,I,N
2858,,I,N
2859,COMMERCIAL,IV,N
2860,COMMERCIAL,II,N
2861,SINGLE FAMILY / DUPLEX,II,N
2862,MULTIFAMILY,II,Y
2863,SINGLE FAMILY / DUPLEX,II,N
2864,MULTIFAMILY,II,Y
2865,MULTIFAMILY,II,N
2866,INSTITUTIONAL,II,N
2867,COMMERCIAL,I,N
2868,SINGLE FAMILY / DUPLEX,II,N
2869,SINGLE FAMILY / DUPLEX,II,N
2870,COMMERCIAL,II,N
2871,SINGLE FAMILY / DUPLEX,IV,N
2872,INSTITUTIONAL,II,N
2873,,I,N
2874,,II,N
2875,MULTIFAMILY,II,N
2876,INSTITUTIONAL,II,N
2877,MULTIFAMILY,II,N
2878,COMMERCIAL,II,N
2879,COMMERCIAL,II,N
2880,INDUSTRIAL,I,N
2881,SINGLE FAMILY / DUPLEX,I,N
2882,MULTIFAMILY,II,N
2883,COMMERCIAL,II,N
2884,COMMERCIAL,II,N
2885,SINGLE FAMILY / DUPLEX,II,N
2886,MULTIFAMILY,II,Y
2887,COMMERCIAL,II,N
2888,SINGLE FAMILY / DUPLEX,II,N
2889,MULTIFAMILY,II,Y
2890,SINGLE FAMILY / DUPLEX,I,N
2891,SINGLE FAMILY / DUPLEX,I,N
2892,MULTIFAMILY,II,Y
2893,SINGLE FAMILY / DUPLEX,I,N
2894,MULTIFAMILY,II,N
2895,SINGLE FAMILY / DUPLEX,II,N
2896,MULTIFAMILY,II,N
2897,MULTIFAMILY,II,N
2898,COMMERCIAL,II,Y
2899,MULTIFAMILY,II,Y
2900,SINGLE FAMILY / DUPLEX,II,N
2901,,I,N
2902,COMMERCIAL,II,Y
2903,COMMERCIAL,II,Y
2904,MULTIFAMILY,I,N
2905,MULTIFAMILY,II,N
2906,SINGLE FAMILY / DUPLEX,II,N
2907,MULTIFAMILY,II,N
2908,MULTIFAMILY,II,N
2909,SINGLE FAMILY / DUPLEX,II,N
2910,COMMERCIAL,II,N
2911,SINGLE FAMILY / DUPLEX,II,N
2912,MULTIFAMILY,II,N
2913,COMMERCIAL,I,N
2914,,II,N
2915,SINGLE FAMILY / DUPLEX,II,N
2916,INSTITUTIONAL,II,N
2917,COMMERCIAL,II,N
2918,COMMERCIAL,II,Y
2919,COMMERCIAL,II,Y
2920,SINGLE FAMILY / DUPLEX,II,N
2921,SINGLE FAMILY / DUPLEX,II,N
2922,MULTIFAMILY,II,N
2923,,II,N
