id,last_inspection_result,current_status
255,PASSED,ADMINISTRATIVE CLOSURE
256,FAILED,OPEN
257,FAILED,OPEN
258,PASSED,ENFORCED COMPLIANCE
259,PASSED,ENFORCED COMPLIANCE
260,FAILED,OPEN
261,FAILED,OPEN
262,FAILED,OPEN
263,FAILED,ADMINISTRATIVE CLOSURE
264,FAILED,OPEN
265,FAILED,OPEN
266,FAILED,OPEN
267,FAILED,OPEN
268,FAILED,OPEN
269,FAILED,OPEN
270,FAILED,ENFORCED COMPLIANCE
271,FAILED,OPEN
272,FAILED,OPEN
273,FAILED,OPEN
274,PASSED,ENFORCED COMPLIANCE
275,PASSED,ENFORCED COMPLIANCE
276,FAILED,OPEN
277,FAILED,OPEN
278,FAILED,OPEN
279,FAILED,OPEN
280,,OPEN
281,FAILED,OPEN
282,PASSED,VOLUNTARY COMPLIANCE
283,FAILED,OPEN
284,FAILED,OPEN
285,PASSED,VOLUNTARY COMPLIANCE
286,,OPEN
287,,OPEN
288,PASSED,VOLUNTARY COMPLIANCE
289,PASSED,ENFORCED COMPLIANCE
290,FAILED,OPEN
291,FAILED,OPEN
292,PASSED,OPEN
293,FAILED,OPEN
294,PASSED,VOLUNTARY COMPLIANCE
295,FAILED,OPEN
296,FAILED,OPEN
297,FAILED,OPEN
298,FAILED,OPEN
299,PASSED,ENFORCED COMPLIANCE
300,FAILED,OPEN
301,FAILED,OPEN
302,FAILED,OPEN
303,FAILED,OPEN
304,FAILED,OPEN
305,FAILED,OPEN
306,PASSED,ENFORCED COMPLIANCE
307,FAILED,OPEN
308,PASSED,ENFORCED COMPLIANCE
309,FAILED,OPEN
310,PASSED,VOLUNTARY COMPLIANCE
311,FAILED,OPEN
312,FAILED,OPEN
313,PASSED,VOLUNTARY COMPLIANCE
314,PASSED,VOLUNTARY COMPLIANCE
315,FAILED,OPEN
316,PASSED,ENFORCED COMPLIANCE
317,FAILED,OPEN
318,PASSED,ENFORCED COMPLIANCE
319,PASSED,ENFORCED COMPLIANCE
320,PASSED,VOLUNTARY COMPLIANCE
321,FAILED,OPEN
322,FAILED,OPEN
323,FAILED,OPEN
324,,OPEN
325,PASSED,VOLUNTARY COMPLIANCE
326,FAILED,OPEN
327,FAILED,OPEN
328,FAILED,OPEN
329,FAILED,OPEN
330,PASSED,VOLUNTARY COMPLIANCE
331,FAILED,OPEN
332,PASSED,VOLUNTARY COMPLIANCE
333,FAILED,OPEN
334,FAILED,OPEN
335,FAILED,OPEN
336,PASSED,VOLUNTARY COMPLIANCE
337,PASSED,VOLUNTARY COMPLIANCE
338,FAILED,OPEN
339,FAILED,OPEN
340,PASSED,ENFORCED COMPLIANCE
341,FAILED,OPEN
342,PASSED,VOLUNTARY COMPLIANCE
343,FAILED,OPEN
344,,OPEN
345,FAILED,OPEN
346,FAILED,OPEN
347,FAILED,OPEN
348,PASSED,ENFORCED COMPLIANCE
349,PASSED,VOLUNTARY COMPLIANCE
350,FAILED,OPEN
351,FAILED,OPEN
352,PASSED,VOLUNTARY COMPLIANCE
353,FAILED,OPEN
354,PASSED,VOLUNTARY COMPLIANCE
355,FAILED,OPEN
356,HOLD,OPEN
357,FAILED,OPEN
358,FAILED,OPEN
359,PASSED,VOLUNTARY COMPLIANCE
360,PASSED,VOLUNTARY COMPLIANCE
361,FAILED,VOLUNTARY COMPLIANCE
362,FAILED,OPEN
363,,ADMINISTRATIVE CLOSURE
364,FAILED,OPEN
365,PASSED,VOLUNTARY COMPLIANCE
366,PASSED,ENFORCED COMPLIANCE
367,FAILED,OPEN
368,FAILED,OPEN
369,PASSED,VOLUNTARY COMPLIANCE
370,FAILED,OPEN
371,FAILED,OPEN
372,FAILED,OPEN
373,FAILED,OPEN
374,FAILED,OPEN
375,FAILED,OPEN
376,FAILED,OPEN
377,FAILED,OPEN
378,FAILED,OPEN
379,FAILED,OPEN
380,PASSED,VOLUNTARY COMPLIANCE
381,FAILED,OPEN
382,FAILED,OPEN
383,PASSED,VOLUNTARY COMPLIANCE
384,PASSED,VOLUNTARY COMPLIANCE
385,PASSED,ENFORCED COMPLIANCE
386,PASSED,VOLUNTARY COMPLIANCE
387,FAILED,OPEN
388,FAILED,OPEN
389,PASSED,ENFORCED COMPLIANCE
390,PASSED,ENFORCED COMPLIANCE
391,FAILED,OPEN
392,FAILED,OPEN
393,FAILED,OPEN
394,FAILED,OPEN
395,PASSED,VOLUNTARY COMPLIANCE
396,PASSED,VOLUNTARY COMPLIANCE
397,PASSED,VOLUNTARY COMPLIANCE
398,PASSED,ENFORCED COMPLIANCE
399,PASSED,ENFORCED COMPLIANCE
400,FAILED,OPEN
401,PASSED,VOLUNTARY COMPLIANCE
402,FAILED,OPEN
403,PASSED,ENFORCED COMPLIANCE
404,PASSED,VOLUNTARY COMPLIANCE
405,FAILED,OPEN
406,PASSED,ENFORCED COMPLIANCE
407,,OPEN
408,PASSED,ENFORCED COMPLIANCE
409,PASSED,VOLUNTARY COMPLIANCE
410,FAILED,OPEN
411,FAILED,OPEN
412,FAILED,OPEN
413,,OPEN
414,FAILED,OPEN
415,PASSED,VOLUNTARY COMPLIANCE
416,PASSED,VOLUNTARY COMPLIANCE
417,PASSED,ENFORCED COMPLIANCE
418,PASSED,ENFORCED COMPLIANCE
419,FAILED,OPEN
420,FAILED,OPEN
421,FAILED,OPEN
422,FAILED,OPEN
423,PASSED,VOLUNTARY COMPLIANCE
424,FAILED,OPEN
425,PASSED,VOLUNTARY COMPLIANCE
426,,OPEN
427,PASSED,VOLUNTARY COMPLIANCE
428,PASSED,VOLUNTARY COMPLIANCE
429,PASSED,ENFORCED COMPLIANCE
430,FAILED,OPEN
431,FAILED,OPEN
432,PASSED,ENFORCED COMPLIANCE
433,PASSED,ADMINISTRATIVE CLOSURE
434,FAILED,OPEN
435,,OPEN
436,PASSED,VOLUNTARY COMPLIANCE
437,,OPEN
438,PASSED,VOLUNTARY COMPLIANCE
439,PASSED,VOLUNTARY COMPLIANCE
440,,OPEN
441,FAILED,OPEN
442,PASSED,ENFORCED COMPLIANCE
443,PASSED,COMPLAINT/APPLICATN WITHDRAWN
444,PASSED,COMPLAINT/APPLICATN WITHDRAWN
445,FAILED,OPEN
446,PASSED,ADMINISTRATIVE CLOSURE
447,PASSED,ADMINISTRATIVE CLOSURE
448,FAILED,OPEN
449,,OPEN
450,PASSED,ENFORCED COMPLIANCE
451,FAILED,OPEN
452,FAILED,OPEN
453,FAILED,OPEN
454,FAILED,OPEN
455,FAILED,OPEN
456,PASSED,VOLUNTARY COMPLIANCE
457,FAILED,OPEN
458,PASSED,VOLUNTARY COMPLIANCE
459,PASSED,VOLUNTARY COMPLIANCE
460,PASSED,VOLUNTARY COMPLIANCE
461,PASSED,ENFORCED COMPLIANCE
462,PASSED,OPEN
463,PASSED,VOLUNTARY COMPLIANCE
464,FAILED,OPEN
465,PASSED,ENFORCED COMPLIANCE
466,,OPEN
467,PASSED,ENFORCED COMPLIANCE
468,PASSED,VOLUNTARY COMPLIANCE
469,PASSED,ENFORCED COMPLIANCE
470,PASSED,VOLUNTARY COMPLIANCE
471,FAILED,OPEN
472,,OPEN
473,PASSED,ENFORCED COMPLIANCE
474,FAILED,OPEN
475,FAILED,OPEN
476,PASSED,VOLUNTARY COMPLIANCE
477,,OPEN
478,FAILED,OPEN
479,FAILED,OPEN
480,FAILED,VOLUNTARY COMPLIANCE
481,FAILED,OPEN
482,PASSED,ENFORCED COMPLIANCE
483,,OPEN
484,,OPEN
485,FAILED,OPEN
486,FAILED,OPEN
487,PASSED,VOLUNTARY COMPLIANCE
488,,OPEN
489,PASSED,VOLUNTARY COMPLIANCE
490,PASSED,VOLUNTARY COMPLIANCE
491,PASSED,VOLUNTARY COMPLIANCE
492,PASSED,VOLUNTARY COMPLIANCE
493,PASSED,VOLUNTARY COMPLIANCE
494,,OPEN
495,FAILED,OPEN
496,PASSED,VOLUNTARY COMPLIANCE
497,FAILED,OPEN
498,FAILED,OPEN
499,PASSED,ENFORCED COMPLIANCE
500,PASSED,VOLUNTARY COMPLIANCE
501,FAILED,OPEN
502,FAILED,OPEN
503,FAILED,OPEN
504,PASSED,VOLUNTARY COMPLIANCE
505,PASSED,VOLUNTARY COMPLIANCE
506,FAILED,ADMINISTRATIVE CLOSURE
507,PASSED,ADMINISTRATIVE CLOSURE
508,,VOLUNTARY COMPLIANCE
509,,OPEN
510,PASSED,VOLUNTARY COMPLIANCE
511,FAILED,OPEN
512,FAILED,OPEN
513,,OPEN
514,,OPEN
515,FAILED,OPEN
516,PASSED,ENFORCED COMPLIANCE
517,,OPEN
518,FAILED,OPEN
519,PASSED,VOLUNTARY COMPLIANCE
520,FAILED,OPEN
521,FAILED,OPEN
522,FAILED,OPEN
523,PASSED,VOLUNTARY COMPLIANCE
524,FAILED,OPEN
525,FAILED,OPEN
526,PASSED,VOLUNTARY COMPLIANCE
527,FAILED,OPEN
528,FAILED,OPEN
529,,OPEN
530,PASSED,VOLUNTARY COMPLIANCE
531,FAILED,OPEN
532,FAILED,OPEN
533,FAILED,OPEN
534,FAILED,OPEN
535,PASSED,VOLUNTARY COMPLIANCE
536,,VIOLATION
537,FAILED,OPEN
538,FAILED,OPEN
539,FAILED,OPEN
540,,OPEN
541,PASSED,ENFORCED COMPLIANCE
542,PASSED,ENFORCED COMPLIANCE
543,PASSED,VOLUNTARY COMPLIANCE
544,FAILED,OPEN
545,PASSED,ENFORCED COMPLIANCE
546,FAILED,OPEN
547,PASSED,ENFORCED COMPLIANCE
548,PASSED,VOLUNTARY COMPLIANCE
549,PASSED,VOLUNTARY COMPLIANCE
550,PASSED,ENFORCED COMPLIANCE
551,PASSED,VOLUNTARY COMPLIANCE
552,PASSED,ENFORCED COMPLIANCE
553,,OPEN
554,FAILED,OPEN
555,FAILED,OPEN
556,PASSED,ENFORCED COMPLIANCE
557,PASSED,VOLUNTARY COMPLIANCE
558,PASSED,ENFORCED COMPLIANCE
559,PASSED,ENFORCED COMPLIANCE
560,FAILED,OPEN
561,FAILED,OPEN
562,PASSED,ENFORCED COMPLIANCE
563,FAILED,OPEN
564,PASSED,VOLUNTARY COMPLIANCE
565,PASSED,VOLUNTARY COMPLIANCE
566,PASSED,ENFORCED COMPLIANCE
567,FAILED,OPEN
568,FAILED,OPEN
569,PASSED,VOLUNTARY COMPLIANCE
570,FAILED,OPEN
571,FAILED,OPEN
572,FAILED,OPEN
573,FAILED,OPEN
574,FAILED,OPEN
575,FAILED,OPEN
576,PASSED,VOLUNTARY COMPLIANCE
577,FAILED,OPEN
578,,OPEN
579,,OPEN
580,FAILED,OPEN
581,PASSED,VOLUNTARY COMPLIANCE
582,FAILED,OPEN
583,PASSED,VOLUNTARY COMPLIANCE
584,PASSED,ADMINISTRATIVE CLOSURE
585,FAILED,OPEN
586,FAILED,OPEN
587,FAILED,OPEN
588,FAILED,ADMINISTRATIVE CLOSURE
589,,OPEN
590,FAILED,OPEN
591,FAILED,OPEN
592,PASSED,VOLUNTARY COMPLIANCE
593,FAILED,OPEN
594,PASSED,VOLUNTARY COMPLIANCE
