ID,Street,Longitude,Latitude,BuildingPermit_id
115,4004 WHITMAN AVE N,-122.34572445,47.65565276,
116,5011 S DAWSON ST,-122.27016583,47.55470208,
117,2264 12TH AVE W,-122.37232759,47.64055388,
118,2264 12TH AVE W,-122.37232759,47.64055388,
119,1925 AIRPORT WAY S,-122.32187071,47.58577803,
120,,,,
121,2008 5TH AVE,-122.33914639,47.61409589,
122,666 S DEARBORN ST,-122.32416271,47.59644968,
123,1172 REPUBLICAN ST,-122.33324376,47.62326774,
124,2349 HARBOR AVE SW,-122.37511445,47.58143778,
125,5035 26TH AVE S,-122.29949098,47.55625232,
126,568 1ST AVE S,-122.33369863,47.59639784,
127,700 5TH AVE,-122.32989532,47.60501319,
128,2350 10TH AVE E,-122.31973853,47.64079877,
129,2600 14TH AVE W,-122.37464231,47.6430824,
130,2600 14TH AVE W,-122.37464231,47.6430824,
131,3657 44TH AVE SW,-122.38845804,47.57038378,
132,3853 E OLIVE ST,-122.28433878,47.61629742,
133,213 N 85TH ST,-122.35595009,47.69033457,
134,5601 6TH AVE S,-122.32763153,47.55238936,
135,1500H 42ND AVE E,-122.27848572,47.63218946,
136,2602 14TH AVE W,-122.37455224,47.64311963,
137,904 SW PORTLAND ST,-122.34751439,47.53360759,
138,904 SW PORTLAND ST,-122.34751439,47.53360759,
139,908 SW PORTLAND ST,-122.3475131,47.53345889,
140,908 SW PORTLAND ST,-122.3475131,47.53345889,
141,900 SW PORTLAND ST,-122.34733699,47.53359902,
142,900 SW PORTLAND ST,-122.34733699,47.53359902,
143,906 SW PORTLAND ST,-122.3475115,47.53354336,
144,906 SW PORTLAND ST,-122.3475115,47.53354336,
145,902 SW PORTLAND ST,-122.34732933,47.53345701,
146,902 SW PORTLAND ST,-122.34732933,47.53345701,
147,3932 1ST AVE NE,-122.32764222,47.65476026,
148,3932 1ST AVE NE,-122.32764222,47.65476026,
149,3934 1ST AVE NE,-122.32764222,47.65476026,
150,3934 1ST AVE NE,-122.32764222,47.65476026,
151,2312 19TH AVE S,-122.30787817,47.58253933,
152,,,,
153,6531 22ND AVE NW,-122.38456406,47.67690596,
154,2105 S ORCAS ST,-122.30578222,47.55094183,
155,2105 S ORCAS ST,-122.30578222,47.55094183,
156,5710 NE 56TH ST,-122.26638804,47.66946873,
157,11031 38TH AVE NE,-122.28833674,47.70933846,
158,2716 S DEARBORN ST,-122.2967795,47.59581256,
159,2716 S DEARBORN ST,-122.2967795,47.59581256,
160,6531 22ND AVE NW,-122.38456406,47.67690596,
161,1501 WESTERN AVE,-122.34158746,47.60836515,
162,1101 MADISON ST,-122.32426736,47.6092117,
163,2312 19TH AVE S,-122.30787817,47.58253933,
164,401 BOYLSTON AVE E,-122.3234374,47.62215587,
165,5555 17TH AVE S,-122.31139095,47.55178156,
166,5555 17TH AVE S,-122.31139095,47.55178156,
