ID,PermitNumber,PermitType,Status
15962,6420508,Construction,Permit Issued
15963,6420507,Construction,Permit Issued
15964,6420505,Construction,Permit Issued
15965,6420506,Construction,Permit Issued
15966,6420504,Construction,Permit Issued
15967,6420503,Construction,Permit Issued
15968,6420501,Construction,Permit Issued
15969,6420502,Construction,Permit Issued
15970,6420500,Construction,Permit Issued
15971,6420498,Construction,Permit Issued
15972,6420499,Construction,Permit Issued
15973,6420900,Construction,Permit Closed
15974,6420497,Construction,Permit Issued
15975,6420495,Construction,Reviews Completed
15976,6420496,Construction,Permit Issued
15977,6420494,Construction,Reviews Completed
15978,6420493,Construction,Reviews Completed
15979,6420492,Construction,Reviews Completed
15980,6420491,Construction,Reviews Completed
15981,6420490,Construction,Reviews Completed
15982,6420489,Construction,Reviews Completed
15983,6420488,Construction,Reviews Completed
15984,6420487,Construction,Reviews Completed
15985,6420486,Construction,Reviews Completed
15986,6420883,Construction,Permit Closed
15987,6420888,Construction,Permit Closed
15988,6409937,Construction,Permit Closed
15989,6420878,Construction,Permit Closed
15990,6411347,Construction,Permit Closed
15991,6420868,Construction,Permit Closed
15992,6420863,Construction,Permit Closed
15993,6420834,Construction,Permit Closed
15994,6420828,Construction,Permit Closed
15995,6420677,Construction,Permit Closed
15996,6415116,Construction,Permit Closed
15997,6406177,Construction,Permit Closed
15998,6261836,Construction,Permit Closed
15999,6411747,Construction,Permit Issued
16000,6406738,Construction,Permit Finaled
16001,6415259,Construction,Permit Closed
16002,6420800,Construction,Permit Closed
16003,6405686,Construction,Permit Closed
16004,6411311,Construction,Permit Closed
16005,6420733,Construction,Permit Closed
16006,6398143,Construction,Application Accepted
16007,6420707,Construction,Permit Closed
16008,6420700,Construction,Permit Closed
16009,6417153,Construction,Permit Issued
16010,6420067,Construction,Permit Closed
16011,6408716,Construction,Permit Closed
16012,6411974,Construction,Permit Closed
16013,6419947,Construction,Permit Closed
16014,6419579,Construction,Permit Closed
16015,6420378,Construction,Permit Closed
16016,6420600,Construction,Permit Issued
16017,6417465,Construction,Permit Closed
16018,6420590,Construction,Permit Closed
16019,6420578,Construction,Permit Closed
16020,6420564,Construction,Permit Closed
16021,6420559,Site Development,AP Closed
16022,6420240,Construction,Permit Closed
16023,6415156,Construction,Permit Issued
16024,6408968,Construction,Permit Issued
16025,6406532,Construction,Permit Issued
16026,6411319,Construction,Permit Closed
16027,6410704,Construction,Permit Closed
16028,6410258,Construction,Permit Issued
16029,6420381,Demolition,Permit Closed
16030,6420383,Construction,Permit Issued
16031,6417399,Construction,Permit Issued
16032,6358556,Construction,Permit Closed
16033,6409918,Construction,Permit Closed
16034,6414327,Construction,Permit Issued
16035,6419371,Construction,Permit Issued
16036,6412967,Demolition,Permit Closed
16037,6420464,Construction,Permit Closed
16038,6392358,Construction,Permit Issued
16039,6418394,Construction,Permit Closed
16040,6420445,Construction,Permit Closed
16041,6420441,Site Development,AP Closed
16042,6420422,Site Development,AP Closed
16043,6409938,Construction,Permit Closed
16044,6405655,Construction,Permit Issued
16045,6420398,Construction,Permit Closed
16046,6420347,Construction,Reviews Completed
16047,6367854,Construction,Permit Issued
16048,6420342,Construction,Permit Closed
16049,6326117,Construction,Permit Issued
16050,6416140,Construction,Permit Issued
16051,6420329,Construction,Permit Closed
16052,6412285,Demolition,Permit Closed
16053,6396004,Construction,Permit Closed
16054,6407531,Construction,Permit Issued
16055,6408297,Construction,Permit Closed
16056,6397299,Construction,Permit Closed
16057,6404729,Construction,Permit Closed
16058,6409139,Construction,Permit Closed
16059,6411930,Construction,Permit Issued
16060,6410005,Construction,Permit Closed
16061,6414902,Construction,Permit Closed
16062,6419648,Construction,Permit Issued
16063,6420256,Site Development,Permit Issued
16064,6420255,Site Development,Permit Issued
16065,6419100,Site Development,AP Finaled
16066,6420277,Construction,Permit Issued
16067,6420251,Construction,Permit Closed
16068,6406596,Construction,Permit Closed
16069,6420243,Construction,Permit Issued
16070,6420235,Construction,Permit Closed
16071,6420233,Construction,Permit Closed
16072,6411988,Construction,Application Accepted
16073,6420237,Construction,Permit Closed
16074,6405211,Construction,Permit Closed
16075,6416764,Construction,Permit Closed
16076,6420205,Construction,Permit Closed
16077,6419708,Construction,Permit Closed
16078,6414704,Construction,Permit Closed
16079,6411205,Construction,Permit Closed
16080,6419817,Construction,Permit Closed
16081,6420167,Construction,Permit Closed
16082,6419156,Construction,Permit Issued
16083,6420159,Construction,Permit Closed
16084,6420155,Construction,Permit Closed
16085,6420131,Construction,Application Accepted
16086,6405488,Construction,Permit Closed
16087,6420117,Construction,Permit Closed
16088,6413732,Construction,Permit Closed
16089,6420148,Construction,Permit Closed
16090,6393466,Demolition,Permit Closed
16091,6393471,Demolition,Permit Closed
16092,6393469,Demolition,Permit Closed
16093,6419901,Demolition,Permit Closed
16094,6393465,Demolition,Permit Closed
16095,6393468,Demolition,Permit Closed
16096,6393470,Demolition,Permit Closed
16097,6393467,Demolition,Permit Closed
16098,6393464,Demolition,Permit Closed
16099,6411717,Construction,Permit Closed
16100,6407709,Construction,Permit Closed
16101,6414870,Construction,Permit Issued
16102,6417974,Construction,Permit Closed
16103,6405908,Construction,Permit Closed
16104,6411674,Construction,Permit Closed
16105,6401048,Construction,Permit Issued
16106,6414334,Construction,Permit Issued
16107,6404805,Construction,Permit Issued
16108,6408714,Construction,Permit Issued
16109,6411902,Construction,Permit Closed
16110,6416134,Construction,Permit Closed
16111,6415840,Construction,Permit Issued
16112,6410957,Construction,Permit Closed
16113,6419698,Construction,Cert of Occupancy Authorized
16114,6420046,Construction,Permit Closed
16115,6420024,Construction,Permit Closed
16116,6409519,Construction,Permit Closed
16117,6420033,Construction,Permit Closed
16118,6420023,Construction,Permit Closed
16119,6420017,Construction,Permit Issued
16120,6412011,Construction,Permit Closed
16121,6420010,Construction,Permit Closed
16122,6407609,Construction,Permit Closed
16123,6410107,Construction,Permit Issued
16124,6419858,Construction,Permit Closed
16125,6419976,Demolition,Permit Closed
16126,6356214,Construction,Permit Issued
16127,6411880,Construction,Permit Closed
16128,6418994,Demolition,Permit Closed
16129,6419679,Demolition,Permit Closed
16130,6407000,Construction,Permit Closed
16131,6415485,Construction,Permit Closed
16132,6398012,Construction,Permit Closed
16133,6411660,Construction,Permit Closed
16134,6414411,Site Development,Permit Issued
16135,6412214,Construction,Permit Closed
16136,6403952,Construction,Permit Closed
16137,6419430,Demolition,Permit Issued
16138,6415501,Construction,Permit Issued
16139,6419568,Site Development,Permit Issued
16140,6416345,Construction,Permit Closed
16141,6401339,Construction,Permit Closed
16142,6413881,Construction,Permit Closed
16143,6419876,Construction,Permit Closed
16144,6417066,Construction,Permit Closed
16145,6408712,Construction,Permit Closed
16146,6408709,Construction,Permit Closed
16147,6419564,Demolition,Permit Closed
16148,6419370,Demolition,Permit Closed
16149,6412111,Construction,Permit Finaled
16150,6347980,Construction,Application Accepted
16151,6411595,Construction,Application Accepted
16152,6419808,Construction,Permit Closed
16153,6504977,Construction,
16154,6408740,Construction,Permit Closed
16155,6419751,Construction,Permit Closed
16156,6418368,Construction,Permit Closed
16157,6419755,Construction,Permit Issued
16158,6419764,Construction,Permit Closed
16159,6419763,Construction,Permit Issued
16160,6415239,Construction,Permit Closed
16161,6419758,Site Development,AP Closed
16162,6419753,Construction,Permit Closed
16163,6419267,Construction,Permit Issued
16164,6419496,Construction,Permit Closed
16165,6419671,Construction,Permit Issued
16166,6367221,Construction,Application Accepted
16167,6417342,Construction,Permit Closed
16168,6393472,Demolition,Permit Closed
16169,6411334,Construction,Permit Closed
16170,6408946,Construction,Permit Issued
16171,6408924,Construction,Permit Closed
16172,6419361,Demolition,Permit Closed
16173,6399124,Construction,Permit Closed
16174,6419310,Construction,Permit Closed
16175,6419319,Demolition,Permit Issued
16176,6393647,Construction,Permit Issued
16177,6410263,Construction,Permit Issued
16178,6402635,Construction,Permit Closed
16179,6406189,Construction,Permit Closed
16180,6406139,Construction,Permit Issued
16181,6419515,Demolition,Permit Issued
16182,6396005,Construction,Permit Issued
16183,6407135,Construction,Permit Closed
16184,6277909,Construction,
16185,6418458,Construction,Permit Closed
16186,6419524,Site Development,AP Closed
16187,6413033,Construction,Permit Closed
16188,6414120,Construction,Permit Closed
16189,6419553,Construction,Permit Closed
16190,6419321,Construction,Permit Closed
16191,6419525,Construction,Permit Closed
16192,6396275,Demolition,Permit Closed
16193,6419499,Construction,Permit Closed
16194,6418829,Demolition,Permit Issued
16195,6418923,Construction,Permit Closed
16196,6419467,Construction,Permit Closed
16197,6418279,Construction,Permit Closed
16198,6419448,Construction,Permit Closed
16199,6417743,Demolition,Permit Closed
16200,6402982,Construction,Permit Issued
16201,6405422,Construction,Permit Issued
16202,6414241,Construction,Permit Closed
16203,6402427,Construction,Permit Issued
16204,6415648,Construction,Permit Closed
16205,6372670,Construction,Permit Issued
16206,6411836,Construction,Permit Closed
16207,6371192,Construction,Permit Closed
16208,6419356,Construction,Permit Closed
16209,6419255,Construction,Permit Closed
16210,6419352,Construction,Permit Issued
16211,6419346,Site Development,AP Closed
16212,6419347,Site Development,AP Closed
16213,6419339,Construction,Permit Closed
16214,6328353,Construction,Permit Closed
16215,6418212,Construction,Permit Issued
16216,6419327,Construction,Permit Closed
16217,6414124,Construction,Permit Issued
16218,6400784,Construction,Permit Closed
16219,6419299,Construction,Permit Issued
16220,6419307,Construction,Permit Closed
16221,6419287,Construction,Permit Closed
16222,6407632,Construction,Permit Closed
16223,6419253,Construction,Permit Closed
16224,6419256,Construction,Permit Issued
16225,6419249,Construction,Permit Issued
16226,6419250,Construction,Permit Closed
16227,6418852,Construction,Permit Issued
16228,6408676,Demolition,Permit Closed
16229,6408675,Demolition,Permit Closed
16230,6418379,Demolition,Permit Closed
16231,6263807,Construction,Application Accepted
16232,6336571,Construction,Permit Closed
16233,6414928,Construction,Permit Issued
16234,6407401,Construction,Permit Closed
16235,6410274,Construction,Permit Issued
16236,6363666,Construction,Permit Issued
16237,6408713,Construction,Permit Closed
16238,6412665,Construction,Permit Issued
16239,6386783,Demolition,Permit Closed
16240,6404977,Construction,Application Accepted
16241,6415360,Construction,Permit Closed
16242,6415349,Construction,Permit Closed
16243,6409752,Construction,Permit Closed
16244,6410277,Construction,Permit Issued
16245,6416782,Construction,Permit Closed
16246,6419162,Construction,Permit Closed
16247,6419155,Demolition,Permit Closed
16248,6419143,Construction,Permit Issued
16249,6418867,Construction,Permit Closed
16250,6413140,Construction,Permit Closed
16251,6409916,Construction,Permit Closed
16252,6414179,Construction,Permit Closed
16253,6411208,Construction,Permit Closed
16254,6419090,Construction,Permit Issued
16255,6418930,Construction,Permit Closed
16256,6413205,Construction,Permit Closed
16257,6419072,Construction,Permit Issued
16258,6419054,Construction,Permit Issued
16259,6419024,Construction,Permit Closed
16260,6419053,Construction,Permit Closed
16261,6419013,Construction,Permit Closed
16262,6269410,Construction,Initial Information Collected
16263,6419036,Construction,Permit Closed
16264,6414586,Construction,Permit Closed
16265,6419002,Construction,Permit Issued
16266,6418942,Construction,Permit Closed
16267,6418605,Construction,Permit Issued
16268,6414862,Construction,Permit Closed
16269,6418946,Construction,Permit Issued
16270,6418847,Construction,Permit Closed
16271,6418936,Construction,Permit Closed
16272,6414885,Construction,Permit Issued
16273,6417820,Construction,Permit Closed
16274,6413815,Construction,Permit Issued
16275,6355570,Construction,Permit Issued
16276,6417668,Construction,Permit Issued
16277,6402570,Construction,Permit Closed
16278,6414589,Construction,Permit Closed
16279,6415294,Construction,Permit Closed
16280,6418808,Construction,Permit Closed
16281,6418756,Demolition,Permit Closed
16282,6417004,Demolition,Permit Issued
16283,6417678,Demolition,Permit Closed
16284,6410058,Construction,Permit Closed
16285,6413125,Construction,Permit Closed
16286,6409973,Construction,Permit Closed
16287,6412068,Construction,Permit Finaled
16288,6413850,Construction,Permit Closed
16289,6412212,Construction,Permit Closed
16290,6407366,Construction,Permit Closed
16291,6375409,Construction,Permit Closed
16292,6418778,Construction,Permit Closed
16293,6286994,Construction,
16294,6413928,Construction,Permit Closed
16295,6418767,Construction,Permit Closed
16296,6416857,Construction,Permit Issued
16297,6418646,Demolition,Permit Closed
16298,6418643,Demolition,Permit Closed
16299,6409253,Construction,Permit Closed
16300,6418467,Demolition,Permit Closed
16301,6408870,Construction,Permit Closed
16302,6418712,Construction,Permit Closed
16303,6418711,Construction,Permit Closed
16304,6418699,Construction,Permit Issued
16305,6418678,Construction,Permit Issued
16306,6418688,Construction,Permit Closed
16307,6418684,Construction,Permit Closed
16308,6410444,Construction,Permit Closed
16309,6418235,Site Development,AP Closed
16310,6416145,Construction,Permit Closed
16311,6405515,Construction,Permit Closed
16312,6380340,Construction,Permit Closed
16313,6416847,Demolition,Permit Issued
16314,6414932,Construction,Permit Closed
16315,6418582,Site Development,AP Closed
16316,6418583,Construction,Permit Closed
16317,6418579,Site Development,AP Closed
16318,6418573,Construction,Permit Closed
16319,6418567,Construction,Permit Issued
16320,6418528,Demolition,Permit Closed
16321,6418520,Construction,Permit Closed
16322,6418498,Construction,Permit Closed
16323,6418496,Construction,Permit Closed
16324,6409826,Construction,Permit Closed
16325,6398066,Construction,Permit Closed
16326,6417749,Construction,Permit Closed
16327,6413235,Construction,Permit Closed
16328,6403137,Construction,Permit Issued
16329,6418461,Construction,Permit Closed
16330,6418438,Construction,Permit Issued
16331,6411835,Construction,Permit Closed
16332,6409234,Construction,Permit Issued
16333,6410510,Construction,Permit Issued
16334,6414011,Construction,Permit Closed
16335,6412415,Construction,Permit Issued
16336,6397314,Construction,Permit Closed
16337,6409428,Construction,Permit Issued
16338,6414788,Construction,Reviews Completed
16339,6412208,Demolition,Permit Closed
16340,6191949,Construction,
16341,6418129,Demolition,Permit Closed
16342,6413916,Construction,Permit Closed
16343,6418363,Construction,Permit Closed
16344,6418332,Construction,Permit Issued
16345,6418143,Construction,Permit Issued
16346,6418309,Construction,Permit Closed
16347,6418315,Construction,Permit Closed
16348,6415328,Construction,Permit Closed
16349,6418307,Construction,Permit Closed
16350,6408717,Construction,Permit Closed
16351,6410547,Construction,Permit Closed
16352,6418282,Construction,Permit Closed
16353,6407687,Construction,Permit Closed
16354,6406560,Construction,Permit Issued
16355,6418183,Construction,Permit Closed
16356,6401045,Construction,Permit Closed
16357,6413833,Construction,Permit Issued
16358,6391378,Construction,Permit Issued
16359,6409510,Construction,Permit Closed
16360,6338506,Construction,Permit Issued
16361,6367398,Demolition,Permit Closed
16362,6409408,Construction,Permit Closed
16363,6367399,Demolition,Permit Closed
16364,6367400,Demolition,Permit Closed
16365,6418268,Construction,Permit Closed
16366,6418272,Site Development,AP Closed
16367,6381811,Construction,Permit Issued
16368,6418192,Site Development,AP Closed
16369,6418256,Site Development,AP Closed
16370,6416790,Construction,Permit Closed
16371,6418244,Site Development,AP Closed
16372,6418189,Construction,Permit Closed
16373,6418218,Site Development,AP Closed
16374,6368239,Construction,Permit Closed
16375,6418178,Construction,Permit Issued
16376,6418165,Construction,Permit Closed
16377,6417494,Site Development,Permit Issued
16378,6417492,Site Development,Permit Issued
16379,6417491,Site Development,Permit Issued
16380,6417493,Site Development,Permit Issued
16381,6417490,Site Development,Permit Issued
16382,6417489,Site Development,Permit Issued
16383,6417488,Site Development,Permit Issued
16384,6418042,Construction,Permit Issued
16385,6417495,Site Development,Permit Issued
16386,6417487,Site Development,Permit Issued
16387,6417812,Construction,Permit Closed
16388,6413169,Site Development,Permit Issued
16389,6416852,Construction,Permit Closed
16390,6408202,Construction,Permit Closed
16391,6414482,Construction,Permit Closed
16392,6414039,Construction,Permit Issued
16393,6418138,Construction,Permit Closed
16394,6399650,Construction,Permit Closed
16395,6416526,Construction,Permit Issued
16396,6366142,Construction,Permit Closed
16397,6401801,Construction,Permit Closed
16398,6403870,Construction,Permit Issued
16399,6418111,Construction,Permit Closed
16400,6398028,Construction,Permit Closed
16401,6418105,Demolition,Permit Closed
16402,6408471,Construction,Permit Closed
16403,6418109,Demolition,Permit Closed
16404,6418110,Construction,Permit Closed
16405,6418119,Construction,Permit Closed
16406,6418098,Site Development,AP Closed
16407,6397489,Demolition,Permit Closed
16408,6408051,Demolition,Permit Closed
16409,6418087,Construction,Permit Closed
16410,6404015,Construction,Permit Closed
16411,6418076,Demolition,Permit Closed
16412,6418032,Construction,Permit Issued
16413,6414983,Construction,Permit Issued
16414,6410535,Construction,Permit Issued
16415,6418030,Construction,Permit Closed
16416,6418026,Construction,Permit Issued
16417,6418019,Construction,Permit Issued
16418,6418027,Construction,Permit Issued
16419,6416728,Construction,Permit Issued
16420,6417862,Construction,Permit Closed
16421,6418015,Construction,Permit Closed
16422,6418014,Construction,Permit Closed
16423,6361141,Construction,Permit Issued
16424,6407701,Construction,Permit Finaled
16425,6417940,Construction,Permit Issued
16426,6409332,Construction,Permit Closed
16427,6409944,Construction,Permit Closed
16428,6409364,Construction,Permit Issued
16429,6414449,Construction,Application Accepted
16430,6412310,Construction,Permit Closed
16431,6417897,Construction,Permit Closed
16432,6410731,Construction,Permit Issued
16433,6417887,Construction,Permit Closed
16434,6417880,Construction,Permit Closed
16435,6397617,Construction,Permit Closed
16436,6417869,Construction,Permit Closed
16437,6417864,Construction,Permit Closed
16438,6413966,Construction,Permit Issued
16439,6417840,Construction,Permit Issued
16440,6407941,Construction,Permit Closed
16441,6417831,Construction,Permit Closed
16442,6417816,Construction,Permit Finaled
16443,6415460,Construction,Permit Closed
16444,6416029,Construction,Permit Closed
16445,6417640,Construction,Permit Closed
16446,6417776,Construction,Permit Closed
16447,6405616,Construction,Permit Issued
16448,6411091,Construction,Permit Closed
16449,6397260,Construction,Permit Issued
16450,6387531,Construction,Permit Issued
16451,6389230,Construction,Permit Closed
16452,6417673,Construction,Permit Closed
16453,6417674,Construction,Permit Closed
16454,6407940,Construction,Permit Closed
16455,6407929,Construction,Permit Issued
16456,6408393,Construction,Permit Closed
16457,6417502,Demolition,Permit Closed
16458,6409760,Construction,Permit Closed
16459,6385149,Construction,Permit Closed
16460,6410275,Construction,Permit Closed
16461,6411483,Construction,Permit Closed
16462,6411423,Construction,Permit Closed
16463,6412207,Construction,Permit Closed
16464,6409135,Construction,Permit Closed
16465,6411069,Construction,Permit Issued
16466,6406886,Construction,Permit Issued
16467,6412993,Construction,Permit Closed
16468,6413010,Construction,Permit Closed
16469,6407827,Construction,Permit Issued
16470,6412857,Construction,Permit Closed
16471,6417199,Construction,Permit Closed
16472,6413011,Construction,Permit Finaled
16473,6411134,Construction,Permit Finaled
16474,6408405,Construction,Application Accepted
16475,6417726,Construction,Permit Closed
16476,6405820,Construction,Permit Closed
16477,6417723,Demolition,Permit Closed
16478,6417707,Demolition,Permit Issued
16479,6397693,Construction,Permit Closed
16480,6408803,Construction,Permit Closed
16481,6413876,Construction,Permit Issued
16482,6400778,Construction,Permit Issued
16483,6407503,Construction,Permit Closed
16484,6413105,Construction,Permit Closed
16485,6416920,Demolition,Permit Closed
16486,6410340,Construction,Permit Closed
16487,6417687,Construction,Permit Closed
16488,6417682,Construction,Permit Closed
16489,6412217,Construction,Permit Issued
16490,6417128,Demolition,Permit Closed
16491,6392402,Construction,Application Accepted
16492,6389233,Construction,Permit Closed
16493,6417090,Construction,Permit Closed
16494,6417091,Construction,Permit Closed
16495,6415751,Construction,Permit Closed
16496,6414751,Construction,Permit Closed
16497,6417284,Construction,Permit Issued
16498,6417283,Construction,Permit Issued
16499,6417285,Construction,Permit Issued
16500,6417637,Demolition,Permit Closed
16501,6417602,Construction,Permit Issued
16502,6408100,Demolition,Permit Closed
16503,6417601,Construction,Permit Closed
16504,6404024,Construction,Permit Issued
16505,6417498,Site Development,AP Closed
16506,6417425,Construction,Permit Closed
16507,6417265,Construction,Permit Closed
16508,6417407,Construction,Permit Closed
16509,6415438,Construction,Permit Closed
16510,6417377,Construction,Permit Closed
16511,6417360,Construction,Permit Closed
16512,6417357,Construction,Permit Issued
16513,6417350,Construction,Permit Closed
16514,6417348,Construction,Permit Closed
16515,6417339,Construction,Permit Closed
16516,6417270,Construction,Permit Issued
16517,6417271,Construction,Permit Issued
16518,6416912,Construction,Permit Closed
16519,6415992,Construction,Permit Issued
16520,6416910,Construction,Permit Closed
16521,6410590,Construction,
16522,6416911,Construction,Permit Closed
16523,6417327,Construction,Permit Closed
16524,6405638,Construction,Permit Closed
16525,6416214,Construction,Permit Closed
16526,6416213,Construction,Permit Closed
16527,6398979,Demolition,Permit Closed
16528,6398205,Demolition,Permit Closed
16529,6396093,Demolition,Permit Closed
16530,6417250,Construction,Permit Closed
16531,6417255,Construction,Permit Closed
16532,6411339,Construction,Permit Closed
16533,6408110,Construction,Permit Closed
16534,6395835,Demolition,Permit Issued
16535,6417221,Construction,Permit Closed
16536,6417210,Construction,Permit Closed
16537,6417207,Construction,Permit Closed
16538,6417188,Construction,Permit Closed
16539,6417184,Construction,Permit Closed
16540,6417131,Construction,Permit Closed
16541,6415136,Construction,Permit Closed
16542,6413883,Construction,Permit Closed
16543,6361465,Construction,Permit Closed
16544,6398905,Construction,Permit Issued
16545,6410012,Construction,Permit Closed
16546,6416556,Demolition,Reviews Completed
16547,6412466,Construction,Permit Closed
16548,6402675,Construction,Permit Closed
16549,6375711,Construction,Permit Closed
16550,6407528,Construction,Permit Closed
16551,6407516,Construction,Permit Closed
16552,6401484,Construction,Permit Issued
16553,6416732,Demolition,Permit Issued
16554,6416686,Construction,Permit Issued
16555,6416687,Construction,Permit Issued
16556,6413878,Construction,Permit Closed
16557,6407454,Demolition,Permit Closed
16558,6417042,Construction,Permit Issued
16559,6412462,Construction,Permit Closed
16560,6413859,Construction,Permit Closed
16561,6413861,Construction,Permit Closed
16562,6295729,Construction,Permit Issued
16563,6408387,Construction,Permit Closed
16564,6416850,Construction,Permit Closed
16565,6416170,Construction,Permit Closed
16566,6415398,Construction,Permit Issued
16567,6407013,Construction,Permit Issued
16568,6416998,Construction,Permit Closed
16569,6416982,Construction,Permit Closed
16570,6402465,Construction,Permit Closed
16571,6416978,Construction,Permit Closed
16572,6416962,Construction,Permit Closed
16573,6415873,Construction,Permit Issued
16574,6416944,Construction,Permit Closed
16575,6416938,Construction,Permit Closed
16576,6416930,Construction,Permit Issued
16577,6412607,Construction,Permit Closed
16578,6408794,Construction,Permit Issued
16579,6397106,Construction,Permit Closed
16580,6409399,Construction,Permit Closed
16581,6399162,Construction,Permit Issued
16582,6406558,Construction,Permit Closed
16583,6369490,Construction,Permit Closed
16584,6414407,Construction,Permit Closed
16585,6412094,Construction,Permit Closed
16586,6405582,Construction,Permit Closed
16587,6395330,Construction,Permit Closed
16588,6405927,Construction,Permit Closed
16589,6393745,Construction,Permit Closed
16590,6407593,Construction,Permit Issued
16591,6416334,Construction,Permit Closed
16592,6405062,Construction,Permit Closed
16593,6401923,Construction,Permit Closed
16594,6415846,Site Development,Permit Issued
16595,6415096,Construction,Application Accepted
16596,6408843,Construction,Reviews Completed
16597,6413341,Construction,Permit Closed
16598,6416825,Construction,Permit Closed
16599,6416814,Construction,Permit Closed
16600,6415491,Construction,Permit Closed
16601,6415658,Construction,Permit Issued
16602,6416780,Construction,Permit Closed
16603,6416767,Construction,Permit Closed
16604,6416614,Site Development,AP Closed
16605,6416611,Site Development,AP Closed
16606,6416763,Construction,Permit Closed
16607,6407937,Construction,Permit Closed
16608,6382624,Construction,Permit Closed
16609,6416697,Construction,Permit Issued
16610,6416685,Construction,Permit Closed
16611,6416656,Construction,Permit Closed
16612,6411182,Construction,Permit Closed
16613,6416668,Construction,Permit Closed
16614,6416642,Construction,Permit Closed
16615,6416643,Construction,Permit Closed
16616,6416640,Construction,Permit Closed
16617,6383600,Construction,Permit Closed
16618,6408693,Construction,Permit Issued
16619,6408316,Construction,Permit Issued
16620,6406127,Construction,Permit Issued
16621,6416584,Demolition,Permit Issued
16622,6386064,Demolition,Permit Closed
16623,6416557,Construction,Permit Closed
16624,6416555,Construction,Permit Closed
16625,6408311,Construction,Permit Issued
16626,6416540,Demolition,Permit Closed
16627,6408505,Construction,Permit Closed
16628,6407535,Construction,Permit Closed
16629,6412404,Site Development,AP Closed
16630,6414739,Construction,Permit Issued
16631,6413563,Construction,Permit Closed
16632,6416513,Construction,Permit Closed
16633,6414358,Construction,Permit Closed
16634,6412216,Construction,Permit Closed
16635,6413008,Construction,Permit Closed
16636,6412996,Construction,Permit Closed
16637,6409788,Construction,Permit Closed
16638,6416476,Construction,Permit Closed
16639,6407361,Construction,Permit Closed
16640,6416302,Construction,Permit Closed
16641,6416445,Construction,Permit Issued
16642,6412392,Site Development,AP Closed
16643,6416449,Construction,Permit Closed
16644,6416461,Construction,Permit Closed
16645,6416458,Construction,Permit Closed
16646,6416452,Construction,Permit Closed
16647,6400504,Construction,Permit Closed
16648,6404334,Demolition,Permit Closed
16649,6416407,Construction,Permit Issued
16650,6416408,Construction,Permit Closed
16651,6411561,Site Development,AP Closed
16652,6408177,Construction,Permit Closed
16653,6392013,Construction,Permit Issued
16654,6416366,Site Development,AP Closed
16655,6401553,Construction,Permit Closed
16656,6411972,Construction,Permit Closed
16657,6412055,Construction,Permit Closed
16658,6411478,Construction,Permit Closed
16659,6396901,Construction,Permit Closed
16660,6416286,Construction,Permit Closed
16661,6416281,Construction,Permit Issued
16662,6413494,Construction,Permit Closed
16663,6416240,Construction,Permit Closed
16664,6416186,Construction,Permit Closed
16665,6210418,Site Development,AP Closed
16666,6388557,Construction,Permit Closed
16667,6379184,Construction,Permit Issued
16668,6408341,Construction,Permit Closed
16669,6401391,Construction,Permit Issued
16670,6416008,Construction,Permit Closed
16671,6410898,Construction,Permit Closed
16672,6416180,Construction,Permit Closed
16673,6092660,Construction,
16674,6408240,Construction,Permit Closed
16675,6416127,Construction,Permit Closed
16676,6416124,Construction,Permit Issued
16677,6416116,Construction,Permit Closed
16678,6416118,Construction,Permit Issued
16679,6415087,Construction,Permit Closed
16680,6416114,Construction,Permit Closed
16681,6416110,Construction,Permit Issued
16682,6407167,Construction,Permit Issued
16683,6416103,Construction,Permit Issued
16684,6416105,Construction,Permit Closed
16685,6416104,Site Development,AP Closed
16686,6404853,Construction,Permit Issued
16687,6416093,Construction,Permit Closed
16688,6413760,Construction,Permit Closed
16689,6416020,Construction,
16690,6416079,Construction,Permit Issued
16691,6416067,Construction,Permit Issued
16692,6416042,Construction,Permit Closed
16693,6414832,Construction,Permit Closed
16694,6416066,Construction,Permit Issued
16695,6416065,Construction,Permit Closed
16696,6416050,Construction,Permit Closed
16697,6414311,Construction,Permit Closed
16698,6416001,Construction,Permit Closed
16699,6408583,Construction,Permit Closed
16700,6413886,Construction,Permit Closed
16701,6415989,Construction,Permit Closed
16702,6405359,Construction,Permit Closed
16703,6410778,Construction,Permit Closed
16704,6415984,Construction,Permit Closed
16705,6412374,Site Development,Permit Issued
16706,6408497,Construction,Permit Closed
16707,6409154,Construction,Permit Closed
16708,6409186,Construction,Permit Closed
16709,6394188,Construction,Permit Closed
16710,6407012,Construction,Permit Closed
16711,6400296,Construction,Permit Closed
16712,6391164,Construction,Permit Closed
16713,6382066,Construction,Permit Issued
16714,6389394,Construction,Permit Closed
16715,6414015,Construction,Permit Issued
16716,6394052,Construction,Permit Issued
16717,6415941,Construction,Permit Closed
16718,6415929,Construction,Permit Issued
16719,6355908,Construction,Permit Finaled
16720,6415922,Demolition,Permit Closed
16721,6414966,Construction,Permit Closed
16722,6403243,Construction,Permit Closed
16723,6415905,Construction,Permit Closed
16724,6415900,Demolition,Permit Closed
16725,6377887,Construction,Permit Closed
16726,6415891,Construction,Permit Closed
16727,6415892,Construction,Permit Closed
16728,6414206,Construction,Permit Closed
16729,6415869,Construction,Permit Closed
16730,6402930,Construction,Permit Closed
16731,6413269,Construction,Permit Closed
16732,6412037,Construction,Permit Closed
16733,6415843,Construction,Permit Closed
