id,WEBNAME,REGIONID,OUTOFSERV,VACANT,STATUS,DATETIME
417,UNITED,0,,,,['DATETIME']
418,UNITED,0,,,,['DATETIME']
419,DIAMOND,0,,,,['DATETIME']
420,DIAMOND,0,,,,['DATETIME']
421,DIAMOND,0,,,,['DATETIME']
422,GEORGE RUSSELL HALL LOT,0,,,,['DATETIME']
423,REPUBLIC - WAMU CENTER,0,,,,['DATETIME']
424,FISHER PLAZA,0,,,,['DATETIME']
425,DIAMOND,0,,,,['DATETIME']
426,SEATTLE WATERFRONT MARRIOTT,0,,,,['DATETIME']
427,UNITED,0,,,,['DATETIME']
428,DIAMOND,0,,,,['DATETIME']
429,DIAMOND,0,,,,['DATETIME']
430,BLANCHARD PLAZA,0,,,,['DATETIME']
431,DIAMOND,0,,,,['DATETIME']
432,IMPARK,0,,,,['DATETIME']
433,DIAMOND,0,,,,['DATETIME']
434,DIAMOND,0,,,,['DATETIME']
435,ANALYTICAL RESOURCES #81879,0,,,,['DATETIME']
436,DIAMOND,0,,,,['DATETIME']
437,U-PARK,0,,,,['DATETIME']
438,DIAMOND,0,,,,['DATETIME']
439,IMPARK,0,,,,['DATETIME']
440,HECKER WAKEFIELD & FEILBERG PS,0,,,,['DATETIME']
441,RENAISSANCE MADISON HOTEL,0,,,,['DATETIME']
442,FOUR SEASONS GARAGE,0,,,,['DATETIME']
443,CASCADE TRADE,0,,,,['DATETIME']
444,U-DISTRICT PARKING LOT,0,,,,['DATETIME']
445,,0,,,,['DATETIME']
446,IMPARK,0,,,,['DATETIME']
447,Standard,,,,,['DATETIME']
448,DIAMOND,0,,,,['DATETIME']
449,U-PARK,0,,,,['DATETIME']
450,DIAMOND,0,,,,['DATETIME']
451,,,,,,['DATETIME']
452,UNITED,0,,,,['DATETIME']
453,REPUBLIC,0,,,,['DATETIME']
454,EDGEWATER THE,0,,,,['DATETIME']
455,DIAMOND,0,,,,['DATETIME']
456,REPUBLIC - SWEDISH CHERRY HILL,0,,,,['DATETIME']
457,DIAMOND,0,,,,['DATETIME']
458,OUTDOOR EMPORIUM,0,,,,['DATETIME']
459,REPUBLIC,0,,,,['DATETIME']
460,DIAMOND,0,,,,['DATETIME']
461,DIAMOND,0,,,,['DATETIME']
462,DIAMOND,0,,,,['DATETIME']
463,CPS - CHANDLERS COVE LOT,0,,,,['DATETIME']
464,IMPARK,0,,,,['DATETIME']
465,BELL ST PIER,18,N,818,818,['DATETIME']
466,DIAMOND,0,,,,['DATETIME']
467,DIAMOND,0,,,,['DATETIME']
468,DIAMOND,0,,,,['DATETIME']
469,STREAM PARKING,0,,,,['DATETIME']
470,,,,,,['DATETIME']
471,DIAMOND,0,,,,['DATETIME']
472,DIAMOND,0,,,,['DATETIME']
473,JERRY'S GARAGE & U-DRIVE,0,,,,['DATETIME']
474,BURLINGTON NORTHERN,0,,,,['DATETIME']
475,DIAMOND,0,,,,['DATETIME']
476,DIAMOND,0,,,,['DATETIME']
477,DIAMOND,0,,,,['DATETIME']
478,DIAMOND,0,,,,['DATETIME']
479,REPUBLIC,0,,,,['DATETIME']
480,STADIUM PLACE INC,0,,,,['DATETIME']
481,OUTDOOR RESEARCH INC,0,,,,['DATETIME']
482,KEY PARK NORTHWEST,0,,,,['DATETIME']
483,DIAMOND,0,,,,['DATETIME']
484,REPUBLIC - BLANCHARD LOT,0,,,,['DATETIME']
485,GOODFELLOW'S LOT,0,,,,['DATETIME']
486,WAC PARKING,9,N,186,186,['DATETIME']
487,7TH & PIKE HOTEL GARAGE,0,,,,['DATETIME']
488,U-PARK,0,,,,['DATETIME']
489,KEY PARK NORTHWEST,0,,,,['DATETIME']
490,U-PARK,0,,,,['DATETIME']
491,REPUBLIC,0,,,,['DATETIME']
492,QUEEN ANNE UPHOLSTERY,0,,,,['DATETIME']
493,,0,,,,['DATETIME']
494,,0,,,,['DATETIME']
495,NELLA CUTLERY (USA),0,,,,['DATETIME']
496,DIAMOND,0,,,,['DATETIME']
497,ACE PARKING - PLYMOUTH CHURCH,0,,,,['DATETIME']
498,DIAMOND,0,,,,['DATETIME']
499,KEY PARK NORTHWEST,0,,,,['DATETIME']
500,WEST SEATTLE JUNCTION ASSOCIATION,0,,,,['DATETIME']
501,Standard,,,,,['DATETIME']
502,Standard,,,,,['DATETIME']
503,Standard,,,,,['DATETIME']
504,REPUBLIC,0,,,,['DATETIME']
505,DIAMOND,0,,,,['DATETIME']
506,DIAMOND,0,,,,['DATETIME']
507,AMAZON PHASE 4 #81877,0,,,,['DATETIME']
508,HILLCLIMB GARAGE,21,N,41,41,['DATETIME']
509,REPUBLIC - 818 STEWART,0,,,,['DATETIME']
510,DIAMOND,0,,,,['DATETIME']
511,DIAMOND,0,,,,['DATETIME']
512,CPS  - HEATH LOT NE,0,,,,['DATETIME']
513,IMPARK,0,,,,['DATETIME']
514,IMPARK,0,,,,['DATETIME']
515,DIAMOND,0,,,,['DATETIME']
516,1550 4TH AV S,0,,,,['DATETIME']
517,U-PARK,0,,,,['DATETIME']
518,CPS - 9TH AVE REGENCE,0,,,,['DATETIME']
519,CPS - TERRY AVE,0,,,,['DATETIME']
520,DIAMOND,0,,,,['DATETIME']
521,DIAMOND,0,,,,['DATETIME']
522,DIAMOND,0,,,,['DATETIME']
523,DIAMOND,0,,,,['DATETIME']
524,IMPARK,0,,,,['DATETIME']
525,IPM,0,,,,['DATETIME']
526,U-PARK,0,,,,['DATETIME']
527,SHERATON,0,,,,['DATETIME']
528,CAPLAN RAINBOW,0,,,,['DATETIME']
529,CPS - LAKE UNION,0,,,,['DATETIME']
530,U-PARK,0,,,,['DATETIME']
531,DIAMOND,0,,,,['DATETIME']
532,WOODLAND PARK ZOO LOT,0,,,,['DATETIME']
533,DIAMOND,0,,,,['DATETIME']
534,DIAMOND,0,,,,['DATETIME']
535,DIAMOND,0,,,,['DATETIME']
536,UNITED,0,,,,['DATETIME']
537,DIAMOND,0,,,,['DATETIME']
538,DIAMOND,0,,,,['DATETIME']
539,COLUMBIA CENTER PARKING,0,,,,['DATETIME']
540,DIAMOND,0,,,,['DATETIME']
541,DIAMOND,0,,,,['DATETIME']
542,DIAMOND,0,,,,['DATETIME']
543,DIAMOND,0,,,,['DATETIME']
544,,,,,,['DATETIME']
545,DIAMOND,0,,,,['DATETIME']
546,U-PARK,0,,,,['DATETIME']
547,CPS - CHERRY HILL,0,,,,['DATETIME']
548,DIAMOND,0,,,,['DATETIME']
549,HOTEL 1000,0,,,,['DATETIME']
550,DIAMOND,0,,,,['DATETIME']
551,DIAMOND,0,,,,['DATETIME']
552,CONOCO PHILLIPS LOT,0,,,,['DATETIME']
553,AMPCO,0,,,,['DATETIME']
554,KEY PARK NORTHWEST,0,,,,['DATETIME']
555,DIAMOND,0,,,,['DATETIME']
556,DIAMOND,0,,,,['DATETIME']
557,DIAMOND,0,,,,['DATETIME']
558,DIAMOND,0,,,,['DATETIME']
559,REPUBLIC,0,,,,['DATETIME']
560,IMPARK,0,,,,['DATETIME']
561,U-PARK,0,,,,['DATETIME']
562,DIAMOND,0,,,,['DATETIME']
563,DIAMOND,0,,,,['DATETIME']
564,U-PARK,0,,,,['DATETIME']
565,U-PARK,0,,,,['DATETIME']
566,IMPARK,0,,,,['DATETIME']
567,,,,,,['DATETIME']
568,REPUBLIC,0,,,,['DATETIME']
569,UNITED,0,,,,['DATETIME']
570,IMPARK,0,,,,['DATETIME']
571,DIAMOND,0,,,,['DATETIME']
572,CABRINI TOWER GARAGE,0,,,,['DATETIME']
573,IMPARK,0,,,,['DATETIME']
574,REPUBLIC,0,,,,['DATETIME']
