id,applicant_id,application_date,decision_date,issue_date
247,,02/05/2016,,
248,,02/05/2016,,
249,,02/05/2016,,
250,,02/05/2016,06/10/2013,06/10/2013
251,,02/04/2016,,
252,,02/04/2016,,
253,,02/03/2016,,
254,,02/03/2016,,
255,,02/03/2016,,
256,,02/03/2016,,
257,,02/03/2016,,
258,,02/03/2016,03/17/2016,03/17/2016
259,,02/03/2016,,
260,,02/02/2016,,
261,,02/02/2016,04/20/2016,04/20/2016
262,,02/02/2016,,
263,,02/01/2016,,
264,,02/01/2016,,
265,,02/01/2016,,
266,,02/01/2016,,
267,,02/01/2016,,
268,,02/01/2016,03/17/2016,03/17/2016
269,,02/01/2016,,
270,,01/30/2016,,
271,,01/29/2016,04/26/2016,04/26/2016
272,,01/29/2016,04/28/2016,04/28/2016
273,,01/28/2016,,
274,,01/28/2016,04/11/2016,04/11/2016
275,,01/28/2016,,
276,,01/28/2016,,
277,,01/28/2016,,
278,,01/28/2016,,
279,,01/28/2016,,
280,,01/28/2016,,
281,,01/27/2016,03/24/2016,03/24/2016
282,,01/27/2016,,
283,,01/27/2016,,
284,,01/26/2016,,
285,,01/25/2016,,
286,,01/25/2016,,
287,,01/25/2016,01/14/2016,01/14/2016
288,,01/24/2016,03/22/2016,03/22/2016
289,,01/24/2016,,
290,,01/23/2016,04/28/2016,04/28/2016
291,,01/23/2016,,
292,,01/23/2016,,
293,,01/23/2016,,
294,,01/23/2016,,
295,,01/23/2016,,
296,,01/22/2016,,
297,,01/22/2016,,
298,,01/22/2016,,
299,,01/21/2016,,
300,,01/21/2016,,
301,,01/21/2016,,
302,,01/21/2016,,
303,,01/20/2016,,
304,,01/20/2016,04/20/2016,04/20/2016
305,,01/20/2016,,
306,,01/20/2016,,
307,,01/20/2016,,
308,,01/20/2016,,
309,,01/19/2016,02/11/2016,02/11/2016
310,,01/19/2016,09/14/2015,09/14/2015
311,,01/19/2016,,
312,,01/18/2016,,
313,,01/15/2016,,
314,,01/15/2016,03/03/2016,03/03/2016
315,,01/15/2016,12/02/2015,12/02/2015
316,,01/15/2016,12/02/2015,12/02/2015
317,,01/14/2016,,
318,,01/14/2016,,
319,,01/14/2016,,
320,,01/14/2016,04/25/2016,04/25/2016
321,,01/14/2016,,
322,,01/13/2016,,
323,,01/13/2016,,
324,,01/12/2016,,
325,,01/12/2016,,
326,,01/12/2016,,
327,,,,
328,,01/12/2016,,
329,,01/12/2016,,
330,,01/11/2016,,
331,,01/11/2016,,
332,,01/11/2016,04/11/2016,04/11/2016
333,,01/11/2016,,
334,,01/11/2016,,
335,,01/11/2016,02/16/2016,02/16/2016
336,,01/11/2016,04/25/2016,04/25/2016
337,,01/07/2016,,
338,,01/07/2016,,
339,,01/07/2016,03/07/2016,03/07/2016
340,,01/07/2016,,
341,,01/06/2016,01/28/2016,01/28/2016
342,,01/06/2016,,
343,,01/06/2016,04/14/2016,04/14/2016
344,,01/06/2016,,
345,,01/06/2016,02/25/2016,02/25/2016
346,,01/06/2016,,
347,,01/06/2016,,
348,,01/05/2016,,
349,,01/05/2016,,
350,,01/04/2016,04/11/2016,04/11/2016
351,,01/04/2016,03/28/2016,03/28/2016
352,,01/04/2016,04/25/2016,04/25/2016
353,,01/04/2016,,
354,,01/04/2016,,
355,,12/31/2015,,
356,,12/30/2015,,
357,,12/30/2015,,
358,,12/30/2015,03/21/2016,03/21/2016
359,,12/30/2015,03/24/2016,03/24/2016
360,,12/30/2015,,
361,,12/30/2015,04/04/2016,04/04/2016
362,,12/30/2015,02/25/2016,02/25/2016
363,,12/29/2015,03/17/2016,03/17/2016
364,,12/29/2015,04/21/2016,04/21/2016
365,,12/29/2015,,
366,,09/04/2014,,
367,,12/28/2015,,
368,,12/28/2015,,
369,,12/28/2015,04/25/2016,04/25/2016
370,,12/28/2015,02/18/2016,02/18/2016
371,,12/28/2015,,
372,,12/24/2015,,
373,,12/23/2015,04/18/2016,04/18/2016
374,,12/22/2015,04/25/2016,04/25/2016
375,,12/22/2015,04/04/2016,04/04/2016
376,,12/22/2015,,
377,,12/21/2015,,
378,,12/21/2015,03/21/2016,03/21/2016
379,,12/21/2015,03/24/2016,03/24/2016
380,,12/21/2015,,
381,,12/18/2015,02/04/2016,02/04/2016
382,,12/18/2015,03/03/2016,03/03/2016
383,,12/18/2015,04/21/2016,04/21/2016
384,,12/18/2015,04/28/2016,04/28/2016
385,,12/18/2015,,
386,,12/18/2015,,
387,,12/17/2015,03/08/2016,03/08/2016
388,,12/17/2015,02/22/2016,02/22/2016
389,,12/17/2015,,
390,,12/17/2015,,
391,,12/17/2015,04/14/2016,04/14/2016
392,,12/17/2015,,
393,,12/17/2015,02/04/2016,02/04/2016
394,,12/17/2015,,
395,,12/16/2015,,
396,,12/16/2015,,
397,,12/16/2015,04/28/2016,04/28/2016
398,,12/16/2015,04/21/2016,04/21/2016
399,,12/16/2015,04/14/2016,04/14/2016
400,,12/16/2015,,
401,,12/16/2015,,
402,,12/16/2015,,
403,,12/16/2015,03/21/2016,03/21/2016
404,,12/16/2015,,
405,,12/15/2015,,
406,,12/15/2015,,
407,,12/15/2015,,
408,,12/14/2015,,
409,,12/14/2015,03/28/2016,03/28/2016
410,,12/14/2015,,
411,,12/14/2015,04/07/2016,04/07/2016
412,,12/14/2015,,
413,,12/14/2015,02/11/2016,02/11/2016
414,,12/14/2015,12/07/2015,12/07/2015
415,,12/11/2015,,
416,,12/11/2015,,
417,,12/10/2015,,
418,,12/10/2015,01/19/2016,01/19/2016
419,,12/10/2015,03/31/2016,03/31/2016
420,,12/09/2015,,
421,,12/09/2015,03/21/2016,03/21/2016
422,,12/09/2015,,
423,,12/09/2015,03/31/2016,03/31/2016
424,,12/08/2015,03/14/2016,03/14/2016
425,,12/08/2015,03/14/2016,03/14/2016
426,,12/08/2015,,
427,,12/08/2015,04/11/2016,04/11/2016
428,,12/08/2015,01/28/2016,01/28/2016
429,,12/08/2015,,
430,,12/08/2015,,
431,,12/07/2015,03/21/2016,03/21/2016
432,,12/07/2015,,
433,,12/04/2015,,
434,,12/04/2015,12/31/2015,12/31/2015
435,,12/04/2015,,
436,,12/04/2015,,
437,,12/03/2015,03/03/2016,03/03/2016
438,,12/03/2015,02/11/2016,02/11/2016
439,,12/03/2015,02/22/2016,02/22/2016
440,,12/02/2015,01/28/2016,01/28/2016
441,,12/02/2015,02/04/2016,02/04/2016
442,,12/02/2015,,
443,,12/01/2015,,
444,,11/30/2015,03/17/2016,03/17/2016
445,,11/30/2015,02/08/2016,02/08/2016
446,,11/30/2015,,
447,,11/30/2015,,
448,,11/30/2015,,
449,,11/25/2015,,
450,,11/25/2015,,
451,,11/25/2015,,
452,,11/25/2015,,
453,,11/24/2015,,
454,,11/24/2015,01/28/2016,01/28/2016
455,,11/23/2015,03/31/2016,03/31/2016
456,,11/23/2015,02/25/2016,02/25/2016
457,,11/23/2015,,
458,,11/21/2015,,
459,,11/21/2015,04/07/2016,04/07/2016
460,,11/20/2015,04/19/2016,04/19/2016
461,,11/20/2015,,
462,,11/20/2015,,
463,,11/20/2015,01/13/2016,01/13/2016
464,,11/20/2015,03/24/2016,03/24/2016
465,,11/20/2015,01/28/2016,01/28/2016
466,,11/20/2015,,
467,,11/20/2015,,
468,,11/19/2015,03/24/2016,03/24/2016
469,,11/19/2015,,
470,,11/19/2015,10/05/2015,10/05/2015
471,,11/19/2015,,
472,,11/18/2015,03/08/2016,03/08/2016
473,,11/18/2015,,
474,,11/18/2015,,
475,,11/18/2015,,
476,,11/17/2015,04/21/2016,04/21/2016
477,,07/21/2008,10/02/2008,10/02/2008
478,,11/17/2015,02/25/2016,02/25/2016
479,,11/17/2015,03/07/2016,03/07/2016
480,,11/16/2015,02/02/2016,02/02/2016
481,,11/16/2015,10/01/2015,10/01/2015
482,,11/16/2015,,
483,,11/16/2015,,
484,,11/14/2015,03/21/2016,03/21/2016
485,,11/14/2015,03/31/2016,03/31/2016
486,,11/14/2015,03/31/2016,03/31/2016
487,,11/14/2015,,
488,,11/13/2015,01/27/2016,01/27/2016
489,,11/02/2015,,
490,,11/13/2015,01/11/2016,01/11/2016
491,,11/13/2015,02/04/2016,02/04/2016
492,,11/13/2015,01/14/2016,01/14/2016
493,,11/13/2015,,
494,,11/13/2015,09/09/2015,09/09/2015
495,,11/12/2015,03/17/2016,03/17/2016
496,,11/12/2015,01/19/2016,01/19/2016
497,,11/12/2015,04/28/2016,04/28/2016
498,,11/12/2015,03/17/2016,03/17/2016
499,,11/12/2015,12/10/2015,12/10/2015
500,,11/12/2015,12/07/2015,12/07/2015
501,,11/12/2015,,
502,,11/12/2015,,
503,,11/12/2015,,
504,,11/12/2015,,
505,,11/12/2015,,
506,,11/11/2015,03/14/2016,03/14/2016
507,,11/11/2015,,
508,,11/10/2015,,
509,,11/09/2015,,
510,,11/09/2015,03/03/2016,03/03/2016
511,,11/07/2015,04/22/2016,04/22/2016
512,,11/06/2015,,
513,,10/30/2015,03/31/2016,03/31/2016
514,,11/06/2015,02/08/2016,02/08/2016
515,,11/06/2015,,
516,,11/06/2015,02/11/2016,02/11/2016
517,,11/06/2015,,
518,,11/05/2015,12/17/2015,12/17/2015
519,,11/05/2015,02/16/2016,02/16/2016
520,,11/05/2015,01/21/2016,01/21/2016
521,,11/04/2015,,
522,,11/04/2015,12/21/2015,12/21/2015
523,,11/04/2015,,
524,,11/04/2015,,
525,,10/15/2015,11/19/2015,11/19/2015
526,,11/04/2015,,
527,,11/03/2015,12/10/2015,12/10/2015
528,,11/02/2015,12/31/2015,12/31/2015
529,,11/02/2015,01/28/2016,01/28/2016
530,,11/02/2015,,
531,,11/02/2015,,
532,,11/02/2015,12/10/2015,12/10/2015
533,,11/02/2015,01/28/2016,01/28/2016
534,,11/02/2015,12/14/2015,12/14/2015
535,,11/02/2015,03/14/2016,03/14/2016
536,,11/02/2015,02/18/2016,02/18/2016
537,,11/02/2015,,
538,,10/30/2015,02/11/2016,02/11/2016
539,,10/30/2015,02/11/2016,02/11/2016
540,,10/30/2015,04/25/2016,04/25/2016
541,,10/30/2015,,
542,,10/30/2015,,
543,,10/29/2015,02/25/2016,02/25/2016
544,,10/29/2015,12/17/2015,12/17/2015
545,,10/28/2015,01/07/2016,01/07/2016
546,,10/28/2015,04/25/2016,04/25/2016
547,,10/28/2015,03/24/2016,03/24/2016
548,,10/28/2015,,
549,,10/28/2015,01/04/2016,01/04/2016
550,,,,
551,,10/28/2015,03/24/2016,03/24/2016
552,,10/28/2015,,
553,,10/27/2015,,
554,,10/27/2015,12/03/2015,12/03/2015
555,,10/27/2015,12/14/2015,12/14/2015
556,,10/27/2015,,
557,,10/27/2015,,
558,,10/27/2015,,
559,,10/26/2015,12/10/2015,12/10/2015
560,,10/26/2015,02/11/2016,02/11/2016
561,,10/23/2015,01/11/2016,01/11/2016
562,,10/23/2015,12/17/2015,12/17/2015
563,,,,
564,,10/23/2015,01/19/2016,01/19/2016
565,,10/23/2015,,
566,,10/22/2015,12/22/2015,12/22/2015
567,,10/22/2015,,
568,,10/22/2015,11/30/2015,11/30/2015
569,,10/22/2015,,
570,,10/22/2015,12/21/2015,12/21/2015
571,,10/22/2015,,
572,,10/21/2015,,
573,,10/21/2015,02/01/2016,02/01/2016
574,,10/21/2015,12/03/2015,12/03/2015
575,,10/21/2015,03/17/2016,03/17/2016
576,,10/21/2015,,
577,,10/21/2015,10/02/2015,10/02/2015
578,,10/21/2015,,
579,,10/21/2015,,
580,,10/21/2015,,
581,,10/21/2015,,
582,,10/20/2015,01/07/2016,01/07/2016
583,,10/20/2015,,
584,,10/16/2015,,
585,,10/16/2015,02/04/2016,02/04/2016
586,,10/16/2015,02/04/2016,02/04/2016
587,,10/16/2015,12/14/2015,12/14/2015
588,,10/16/2015,,
589,,10/16/2015,09/23/2015,09/23/2015
590,,10/16/2015,03/17/2016,03/17/2016
591,,10/15/2015,,
592,,10/15/2015,04/07/2016,04/07/2016
593,,10/15/2015,,
594,,10/14/2015,,
595,,10/14/2015,12/09/2015,12/09/2015
596,,10/13/2015,,
597,,10/13/2015,04/25/2016,04/25/2016
598,,10/13/2015,12/03/2015,12/03/2015
599,,10/12/2015,12/31/2015,12/31/2015
600,,10/12/2015,,
601,,10/11/2015,03/03/2016,03/03/2016
602,,10/09/2015,02/25/2016,02/25/2016
603,,10/09/2015,11/19/2015,11/19/2015
604,,,,
605,,10/09/2015,11/23/2015,11/23/2015
606,,10/09/2015,03/07/2016,03/07/2016
607,,10/09/2015,,
608,,10/09/2015,,
609,,10/09/2015,03/10/2016,03/10/2016
610,,10/09/2015,,
611,,10/09/2015,,
612,,10/08/2015,12/10/2015,12/10/2015
613,,10/07/2015,11/03/2015,11/03/2015
614,,10/07/2015,,
615,,10/07/2015,02/25/2016,02/25/2016
616,,10/07/2015,12/31/2015,12/31/2015
617,,,,
618,,10/07/2015,12/17/2015,12/17/2015
619,,10/07/2015,12/14/2015,12/14/2015
620,,10/07/2015,,
621,,10/07/2015,,
622,,10/06/2015,04/11/2016,04/11/2016
623,,10/06/2015,,
624,,10/05/2015,,
625,,10/05/2015,,
626,,10/05/2015,,
627,,10/02/2015,02/01/2016,02/01/2016
628,,10/02/2015,01/14/2016,01/14/2016
629,,10/02/2015,01/14/2016,01/14/2016
630,,10/02/2015,,
631,,10/01/2015,12/17/2015,12/17/2015
632,,10/01/2015,,
633,,10/01/2015,,
634,,10/01/2015,,
635,,10/01/2015,,
636,,10/01/2015,,
637,,10/01/2015,03/28/2016,03/28/2016
638,,09/30/2015,01/25/2016,01/25/2016
639,,09/30/2015,,
640,,09/30/2015,,
641,,09/29/2015,,
642,,09/29/2015,,
643,,09/28/2015,,
644,,,,
645,,09/25/2015,01/21/2016,01/21/2016
646,,09/25/2015,10/22/2015,10/22/2015
647,,09/25/2015,02/29/2016,02/29/2016
648,,09/25/2015,,
649,,09/25/2015,02/08/2016,02/08/2016
650,,09/24/2015,,
651,,09/24/2015,01/14/2016,01/14/2016
652,,09/24/2015,02/11/2016,02/11/2016
653,,09/24/2015,01/11/2016,01/11/2016
654,,09/24/2015,,
655,,09/24/2015,,
