id,street,longitude,latitude,applicant_id
112,6017 37TH AVE NE,-122.28834583,47.67268816,
113,5153 42ND AVE S,-122.28099805,47.55568593,
114,1423 WARREN AVE N,-122.3549167,47.63171461,
115,2345 NE 95TH ST,-122.30227747,47.69728822,
116,3916 CALIFORNIA AVE SW,-122.38633364,47.56877206,
117,5011 S DAWSON ST,-122.27016583,47.55470208,
118,1021 W CROCKETT ST,-122.37133265,47.63760841,
119,6700 15TH AVE NW,-122.37650687,47.67791902,
120,1507 17TH AVE S,-122.3109657,47.58975166,
121,614 14TH AVE E,-122.31434199,47.62470843,
122,6105 22ND AVE NW,-122.38498992,47.67337147,
123,3826 37TH AVE S,-122.28585642,47.5689884,
124,8356 19TH AVE NW,-122.38088076,47.69033753,
125,5915 20TH AVE S,-122.30775196,47.54944747,
126,53 W ETRURIA ST,-122.35996237,47.6475906,
127,8358 19TH AVE NW,-122.38080968,47.69034941,
128,802 NE 66TH ST,-122.31991338,47.67678422,
129,3700 S HUDSON ST,-122.28596699,47.55722935,
130,2322 E DENNY WAY,-122.30173725,47.61923098,
131,2208 NW 60TH ST,-122.38521,47.67257165,
132,732 26TH AVE S,-122.29829062,47.59579778,
133,913 S JACKSON ST,-122.3203912,47.59889419,
134,3215 CALIFORNIA AVE SW,-122.38702164,47.57521055,
135,707 TERRY AVE,-122.3248807,47.60690037,
136,1505 6TH AVE S,-122.32681602,47.58957889,
137,308 N 90TH ST,-122.35484457,47.69437249,
138,8015 15TH AVE NW,-122.3772028,47.68728867,
139,3905 43RD AVE S,-122.27988187,47.56856499,
140,457 39TH AVE E,-122.28340992,47.62437766,
141,1903 5TH AVE,-122.33841355,47.61292353,
142,2800 S ALASKA PL,-122.2967675,47.56124401,
143,2302 NE 125TH ST,-122.30445006,47.7197133,
144,515 NE 73RD ST,-122.32215756,47.68142507,
145,2433 NW 62ND ST,-122.38909685,47.67363492,
146,4858 BEACH DR SW,-122.40107264,47.55816952,
147,1711 25TH AVE,-122.30040977,47.61682196,
148,921 N 36TH ST,-122.34631833,47.65063279,
149,2629 NW 63RD ST,-122.39138445,47.67430996,
150,2626 NW 62ND ST,-122.39135404,47.6741176,
151,6516 12TH AVE NE,-122.31535713,47.67641731,
152,100R E ALLISON ST,-122.32499136,47.64928421,
153,119 10TH AVE,-122.3201491,47.60230586,
154,3017 S BYRON ST,-122.29390925,47.57409721,
155,821 18TH AVE,-122.30919857,47.60985533,
156,1712 E SPRUCE ST,-122.30950003,47.60368886,
157,837 NW 52ND ST,-122.36793566,47.66624076,
158,5512 17TH AVE NW,-122.37865185,47.66914187,
159,5721 35TH AVE S,-122.289142,47.55046397,
160,141 22ND AVE E,-122.30394246,47.61963963,
161,1736 NW 62ND ST,-122.38050153,47.67403963,
162,2005 S WASHINGTON ST,-122.30596398,47.60061956,
163,6523 34TH AVE SW,-122.37540766,47.5439615,
164,2604 14TH AVE W,-122.37464406,47.64314172,
165,13280 LINDEN AVE N,-122.34736207,47.72655912,
166,1333 AIRPORT WAY S,-122.32499694,47.59042509,
167,5418P BALLARD AVE NW,-122.38547229,47.66815231,
168,132 21ST AVE E,-122.30445042,47.6195437,
169,4849 21ST AVE SW,-122.36040544,47.55744885,
170,9021 17TH AVE SW,-122.35676112,47.52217805,
171,6033 M L KING JR WAY S,-122.28636388,47.54693174,
172,4207 S BRANDON ST,-122.28036398,47.55323855,
173,728 14TH AVE,-122.31388677,47.60896697,
174,139 22ND AVE E,-122.30394004,47.61952596,
