id,case_type
306,CONSTRUCTION
307,CONSTRUCTION
308,HOUSING / ZONING
309,CITATION
310,CITATION
311,CITATION
312,CONSTRUCTION
313,HOUSING / ZONING
314,HOUSING / ZONING
315,CONSTRUCTION
316,CONSTRUCTION
317,HOUSING / ZONING
318,HOUSING / ZONING
319,HOUSING / ZONING
320,HOUSING / ZONING
321,HOUSING / ZONING
322,HOUSING / ZONING
323,HOUSING / ZONING
324,HOUSING / ZONING
325,CITATION
326,CITATION
327,CONSTRUCTION
328,HOUSING / ZONING
329,TENANT RELOCATION ORDINANCE
330,TENANT RELOCATION ORDINANCE
331,CITATION
332,HOUSING / ZONING
333,CONSTRUCTION
334,CITATION
335,CITATION
336,HOUSING / ZONING
337,CITATION
338,CITATION
339,CITATION
340,CONSTRUCTION
341,CONSTRUCTION
342,HOUSING / ZONING
343,CONSTRUCTION
344,CITATION
345,CITATION
346,HOUSING / ZONING
347,CITATION
348,CONSTRUCTION
349,HOUSING / ZONING
350,CONSTRUCTION
351,CITATION
352,HOUSING / ZONING
353,CITATION
354,CITATION
355,CITATION
356,CITATION
357,CITATION
358,HOUSING / ZONING
359,HOUSING / ZONING
360,CITATION
361,CONSTRUCTION
362,CONSTRUCTION
363,HOUSING / ZONING
364,CONSTRUCTION
365,TENANT RELOCATION ORDINANCE
366,CONSTRUCTION
367,HOUSING / ZONING
368,CITATION
369,CONSTRUCTION
370,CONSTRUCTION
371,CITATION
372,CITATION
373,HOUSING / ZONING
374,HOUSING / ZONING
375,HOUSING / ZONING
376,CONSTRUCTION
377,CITATION
378,CITATION
379,CITATION
380,CONSTRUCTION
381,CITATION
382,HOUSING / ZONING
383,CONSTRUCTION
384,CONSTRUCTION
385,HOUSING / ZONING
386,UNFIT BUILDING OR PREMISES
387,HOUSING / ZONING
388,CONSTRUCTION
389,CONSTRUCTION
390,HOUSING / ZONING
391,CITATION
392,CITATION
393,CITATION
394,CITATION
395,HOUSING / ZONING
396,CITATION
397,CITATION
398,CITATION
399,HOUSING / ZONING
400,HOUSING / ZONING
401,CONSTRUCTION
402,CITATION
403,CITATION
404,CONSTRUCTION
405,HOUSING / ZONING
406,TENANT RELOCATION ORDINANCE
407,CITATION
408,CONSTRUCTION
409,HOUSING / ZONING
410,HOUSING / ZONING
411,HOUSING / ZONING
412,HOUSING / ZONING
413,CONSTRUCTION
414,CITATION
415,CITATION
416,CITATION
417,CONSTRUCTION
418,HOUSING / ZONING
419,CONSTRUCTION
420,CITATION
421,CITATION
422,CITATION
423,CONSTRUCTION
424,HOUSING / ZONING
425,CITATION
426,CITATION
427,CITATION
428,CITATION
429,CITATION
430,CONSTRUCTION
431,CONSTRUCTION
432,CONSTRUCTION
433,CITATION
434,HOUSING / ZONING
435,HOUSING / ZONING
436,CITATION
437,HOUSING / ZONING
438,HOUSING / ZONING
439,HOUSING / ZONING
440,HOUSING / ZONING
441,HOUSING / ZONING
442,HOUSING / ZONING
443,CITATION
444,HOUSING / ZONING
445,HOUSING / ZONING
446,HOUSING / ZONING
447,HOUSING / ZONING
448,HOUSING / ZONING
449,HOUSING / ZONING
450,HOUSING / ZONING
451,HOUSING / ZONING
452,HOUSING / ZONING
453,CITATION
454,CITATION
455,TENANT RELOCATION ORDINANCE
456,HOUSING / ZONING
457,CITATION
458,CITATION
459,CITATION
460,HOUSING / ZONING
461,CITATION
462,CONSTRUCTION
463,CONSTRUCTION
464,CITATION
465,HOUSING / ZONING
466,CITATION
467,CONSTRUCTION
468,TENANT RELOCATION ORDINANCE
469,CITATION
470,HOUSING / ZONING
471,CITATION
472,CITATION
473,HOUSING / ZONING
474,CITATION
475,HOUSING / ZONING
476,HOUSING / ZONING
477,CITATION
478,CONSTRUCTION
479,TENANT RELOCATION ORDINANCE
480,CITATION
481,HOUSING / ZONING
482,CITATION
483,CITATION
484,HOUSING / ZONING
485,CITATION
486,HOUSING / ZONING
487,UNFIT BUILDING OR PREMISES
488,HOUSING / ZONING
489,CITATION
490,HOUSING / ZONING
491,HOUSING / ZONING
492,HOUSING / ZONING
493,HOUSING / ZONING
494,HOUSING / ZONING
495,CONSTRUCTION
496,CONSTRUCTION
497,CONSTRUCTION
498,CONSTRUCTION
499,HOUSING / ZONING
500,HOUSING / ZONING
501,CITATION
502,CITATION
503,CITATION
504,CITATION
505,HOUSING / ZONING
506,CITATION
507,HOUSING / ZONING
508,TENANT RELOCATION ORDINANCE
509,HOUSING / ZONING
510,CONSTRUCTION
511,HOUSING / ZONING
512,CITATION
513,HOUSING / ZONING
514,HOUSING / ZONING
515,HOUSING / ZONING
516,HOUSING / ZONING
517,CONSTRUCTION
518,HOUSING / ZONING
519,TENANT RELOCATION ORDINANCE
520,HOUSING / ZONING
521,HOUSING / ZONING
522,HOUSING / ZONING
523,HOUSING / ZONING
524,HOUSING / ZONING
525,CITATION
526,TENANT RELOCATION ORDINANCE
527,HOUSING / ZONING
528,CITATION
529,CITATION
530,CITATION
531,CITATION
532,CITATION
533,CITATION
534,CITATION
535,TENANT RELOCATION ORDINANCE
536,CITATION
537,CITATION
538,CITATION
539,HOUSING / ZONING
540,CITATION
541,CITATION
542,HOUSING / ZONING
543,CONSTRUCTION
544,HOUSING / ZONING
545,CITATION
546,CITATION
547,HOUSING / ZONING
548,CITATION
549,TENANT RELOCATION ORDINANCE
550,HOUSING / ZONING
551,CONSTRUCTION
552,CONSTRUCTION
553,CITATION
554,TENANT RELOCATION ORDINANCE
555,TENANT RELOCATION ORDINANCE
556,HOUSING / ZONING
557,HOUSING / ZONING
558,TENANT RELOCATION ORDINANCE
559,CITATION
560,CITATION
561,CITATION
562,CITATION
563,HOUSING / ZONING
564,CITATION
565,CITATION
566,CONSTRUCTION
567,CITATION
568,HOUSING / ZONING
569,HOUSING / ZONING
570,CITATION
571,CITATION
572,CITATION
573,CITATION
574,CITATION
575,CITATION
576,CITATION
577,HOUSING / ZONING
578,CONSTRUCTION
579,CITATION
580,HOUSING / ZONING
581,CONSTRUCTION
582,HOUSING / ZONING
583,CITATION
584,CITATION
585,HOUSING / ZONING
586,CITATION
587,HOUSING / ZONING
588,CITATION
589,CITATION
590,HOUSING / ZONING
591,HOUSING / ZONING
592,CITATION
593,HOUSING / ZONING
594,TENANT RELOCATION ORDINANCE
595,CONSTRUCTION
596,CITATION
597,HOUSING / ZONING
598,CONSTRUCTION
599,CITATION
600,HOUSING / ZONING
601,HOUSING / ZONING
602,CONSTRUCTION
603,HOUSING / ZONING
604,HOUSING / ZONING
605,CITATION
606,CITATION
607,HOUSING / ZONING
608,CONSTRUCTION
609,CONSTRUCTION
610,HOUSING / ZONING
611,CITATION
612,CITATION
613,HOUSING / ZONING
614,CONSTRUCTION
615,CITATION
616,CONSTRUCTION
617,CONSTRUCTION
618,CITATION
619,TENANT RELOCATION ORDINANCE
620,CITATION
621,CITATION
622,CITATION
623,CITATION
624,HOUSING / ZONING
625,CITATION
626,CONSTRUCTION
627,HOUSING / ZONING
628,CONSTRUCTION
629,HOUSING / ZONING
630,HOUSING / ZONING
631,CONSTRUCTION
632,CITATION
633,CITATION
634,CITATION
635,CONSTRUCTION
636,HOUSING / ZONING
637,TENANT RELOCATION ORDINANCE
638,CONSTRUCTION
639,CITATION
640,CITATION
641,CITATION
642,CITATION
643,CITATION
644,CITATION
645,HOUSING / ZONING
646,HOUSING / ZONING
647,HOUSING / ZONING
648,HOUSING / ZONING
649,HOUSING / ZONING
650,CITATION
651,CITATION
652,CITATION
653,CITATION
654,CITATION
655,HOUSING / ZONING
656,UNFIT BUILDING OR PREMISES
657,CITATION
658,CITATION
659,CITATION
660,CITATION
661,CITATION
662,CITATION
663,CONSTRUCTION
664,CITATION
665,HOUSING / ZONING
666,HOUSING / ZONING
667,HOUSING / ZONING
668,CITATION
669,CITATION
670,CITATION
671,CONSTRUCTION
672,CITATION
673,CITATION
674,HOUSING / ZONING
675,CITATION
676,CITATION
677,TENANT RELOCATION ORDINANCE
678,CONSTRUCTION
679,CITATION
680,HOUSING / ZONING
681,HOUSING / ZONING
682,HOUSING / ZONING
683,HOUSING / ZONING
684,CITATION
685,VACANT BUILDING MONITORING
686,HOUSING / ZONING
687,VACANT BUILDING MONITORING
688,HOUSING / ZONING
689,CONSTRUCTION
690,HOUSING / ZONING
691,CITATION
692,CITATION
693,CONSTRUCTION
694,HOUSING / ZONING
695,CONSTRUCTION
696,CITATION
697,HOUSING / ZONING
698,VACANT BUILDING MONITORING
699,CITATION
700,CITATION
701,HOUSING / ZONING
702,CONSTRUCTION
703,CITATION
704,CITATION
705,CITATION
706,CITATION
707,CITATION
708,HOUSING / ZONING
709,CONSTRUCTION
710,HOUSING / ZONING
711,CITATION
712,HOUSING / ZONING
713,HOUSING / ZONING
714,CITATION
715,HOUSING / ZONING
716,HOUSING / ZONING
717,HOUSING / ZONING
718,CITATION
719,CITATION
720,CITATION
721,CITATION
722,CONSTRUCTION
723,HOUSING / ZONING
724,HOUSING / ZONING
725,HOUSING / ZONING
726,HOUSING / ZONING
727,HOUSING / ZONING
728,HOUSING / ZONING
729,HOUSING / ZONING
730,HOUSING / ZONING
731,HOUSING / ZONING
732,HOUSING / ZONING
733,HOUSING / ZONING
734,HOUSING / ZONING
735,HOUSING / ZONING
736,CITATION
737,CONSTRUCTION
738,CONSTRUCTION
739,CITATION
740,TENANT RELOCATION ORDINANCE
741,TENANT RELOCATION ORDINANCE
742,TENANT RELOCATION ORDINANCE
743,TENANT RELOCATION ORDINANCE
744,CITATION
745,CONSTRUCTION
746,CITATION
747,CONSTRUCTION
748,CONSTRUCTION
749,TENANT RELOCATION ORDINANCE
750,CONSTRUCTION
751,CONSTRUCTION
752,TENANT RELOCATION ORDINANCE
753,TENANT RELOCATION ORDINANCE
754,TENANT RELOCATION ORDINANCE
755,HOUSING / ZONING
756,CITATION
757,CONSTRUCTION
758,HOUSING / ZONING
759,HOUSING / ZONING
760,HOUSING / ZONING
761,HOUSING / ZONING
762,HOUSING / ZONING
763,HOUSING / ZONING
764,HOUSING / ZONING
765,CONSTRUCTION
766,CITATION
767,HOUSING / ZONING
768,TENANT RELOCATION ORDINANCE
769,HOUSING / ZONING
770,TENANT RELOCATION ORDINANCE
771,HOUSING / ZONING
772,CITATION
773,CITATION
774,HOUSING / ZONING
775,CITATION
776,CONSTRUCTION
777,CITATION
778,HOUSING / ZONING
779,CITATION
780,CITATION
781,CITATION
782,CITATION
783,CONSTRUCTION
784,CONSTRUCTION
785,HOUSING / ZONING
786,HOUSING / ZONING
787,HOUSING / ZONING
788,CITATION
789,HOUSING / ZONING
790,CITATION
791,CITATION
792,CONSTRUCTION
793,CONSTRUCTION
794,TENANT RELOCATION ORDINANCE
795,CITATION
796,HOUSING / ZONING
797,CITATION
798,TENANT RELOCATION ORDINANCE
799,TENANT RELOCATION ORDINANCE
800,HOUSING / ZONING
801,CITATION
802,CITATION
803,CITATION
804,CITATION
805,HOUSING / ZONING
806,CONSTRUCTION
807,CITATION
808,CITATION
809,CITATION
810,CITATION
811,CITATION
812,CITATION
813,CONSTRUCTION
814,CITATION
815,CITATION
816,HOUSING / ZONING
817,HOUSING / ZONING
818,CONSTRUCTION
819,TENANT RELOCATION ORDINANCE
820,CITATION
821,CONSTRUCTION
822,CITATION
823,HOUSING / ZONING
824,HOUSING / ZONING
825,CITATION
826,HOUSING / ZONING
827,TENANT RELOCATION ORDINANCE
828,HOUSING / ZONING
829,CITATION
830,HOUSING / ZONING
831,CITATION
832,CITATION
833,CITATION
834,CITATION
835,CITATION
836,CITATION
837,CITATION
838,HOUSING / ZONING
839,HOUSING / ZONING
840,CITATION
841,HOUSING / ZONING
842,CITATION
843,CITATION
844,CITATION
845,HOUSING / ZONING
846,HOUSING / ZONING
847,HOUSING / ZONING
848,TENANT RELOCATION ORDINANCE
849,CITATION
850,CONSTRUCTION
851,CITATION
852,CITATION
853,HOUSING / ZONING
854,HOUSING / ZONING
855,CITATION
856,CONSTRUCTION
857,CONSTRUCTION
858,HOUSING / ZONING
859,TENANT RELOCATION ORDINANCE
860,HOUSING / ZONING
861,TENANT RELOCATION ORDINANCE
862,CONSTRUCTION
863,HOUSING / ZONING
864,CITATION
865,CITATION
866,HOUSING / ZONING
867,CITATION
868,CITATION
869,HOUSING / ZONING
870,CONSTRUCTION
871,TENANT RELOCATION ORDINANCE
872,CONSTRUCTION
873,CITATION
874,CITATION
875,CITATION
876,CONSTRUCTION
877,CITATION
878,HOUSING / ZONING
879,CITATION
880,CITATION
881,HOUSING / ZONING
882,CONSTRUCTION
883,CITATION
884,CITATION
885,CITATION
886,HOUSING / ZONING
887,CITATION
888,HOUSING / ZONING
889,CONSTRUCTION
890,CONSTRUCTION
891,HOUSING / ZONING
892,HOUSING / ZONING
893,CITATION
894,CONSTRUCTION
895,HOUSING / ZONING
896,HOUSING / ZONING
897,CITATION
898,CITATION
899,CITATION
900,CONSTRUCTION
