id,group
337,WEEDS AND VEGETATION
338,ZONING
339,ZONING
340,BUILDING
341,BUILDING
342,ZONING
343,BUILDING
344,ZONING
345,ZONING
346,HOUSING
347,ZONING
348,BUILDING
349,HOUSING
350,BUILDING
351,CONSTRUCTION NOISE
352,ZONING
353,ZONING
354,ZONING
355,ZONING
356,ZONING
357,ZONING
358,HOUSING
359,HOUSING
360,CONSTRUCTION NOISE
361,SITE
362,BUILDING
363,VACANT BUILDING
364,BUILDING
365,TENANT RELOCATION ASSIST ORD
366,BUILDING
367,VACANT BUILDING
368,ZONING
369,SITE
370,SITE
371,ZONING
372,ZONING
373,HOUSING
374,ZONING
375,HOUSING
376,SIGNS
377,ZONING
378,ZONING
379,ZONING
380,ELECTRICAL
381,ZONING
382,JUST CAUSE EVICTION
383,SITE
384,SITE
385,ZONING
386,BUILDING AND PREMISES
387,VACANT BUILDING
388,BUILDING
389,BUILDING
390,HOUSING
391,WEEDS AND VEGETATION
392,ZONING
393,ZONING
394,ZONING
395,ZONING
396,WEEDS AND VEGETATION
397,ZONING
398,WEEDS AND VEGETATION
399,VACANT BUILDING
400,HOUSING
401,BUILDING
402,WEEDS AND VEGETATION
403,WEEDS AND VEGETATION
404,BUILDING
405,HOUSING
406,TENANT RELOCATION ASSIST ORD
407,ZONING
408,SITE
409,ZONING
410,VACANT BUILDING
411,HOUSING
412,JUST CAUSE EVICTION
413,BUILDING
414,ZONING
415,WEEDS AND VEGETATION
416,ZONING
417,BUILDING
418,HOUSING
419,BUILDING
420,ZONING
421,ZONING
422,ZONING
423,BUILDING
424,HOUSING
425,ZONING
426,ZONING
427,CONSTRUCTION NOISE
428,ZONING
429,ZONING
430,BUILDING
431,BUILDING
432,BUILDING
433,WEEDS AND VEGETATION
434,JUST CAUSE EVICTION
435,ZONING
436,ZONING
437,JUST CAUSE EVICTION
438,JUST CAUSE EVICTION
439,JUST CAUSE EVICTION
440,ZONING
441,HOUSING
442,ZONING
443,WEEDS AND VEGETATION
444,HOUSING
445,ZONING
446,ZONING
447,HOUSING
448,HOUSING
449,HOUSING
450,ZONING
451,JUST CAUSE EVICTION
452,HOUSING
453,CONSTRUCTION NOISE
454,CONSTRUCTION NOISE
455,TENANT RELOCATION ASSIST ORD
456,ZONING
457,ZONING
458,ZONING
459,ZONING
460,VACANT BUILDING
461,ZONING
462,BUILDING
463,SITE
464,ZONING
465,ZONING
466,ZONING
467,BUILDING
468,TENANT RELOCATION ASSIST ORD
469,ZONING
470,JUST CAUSE EVICTION
471,ZONING
472,ZONING
473,ZONING
474,ZONING
475,JUST CAUSE EVICTION
476,HOUSING
477,ZONING
478,ELECTRICAL
479,TENANT RELOCATION ASSIST ORD
480,ZONING
481,VACANT BUILDING
482,WEEDS AND VEGETATION
483,ZONING
484,ZONING
485,ZONING
486,JUST CAUSE EVICTION
487,BUILDING AND PREMISES
488,JUST CAUSE EVICTION
489,ZONING
490,ZONING
491,ZONING
492,ZONING
493,HOUSING
494,ZONING
495,BUILDING
496,BUILDING
497,BUILDING
498,BUILDING
499,VACANT BUILDING
500,JUST CAUSE EVICTION
501,WEEDS AND VEGETATION
502,ZONING
503,WEEDS AND VEGETATION
504,ZONING
505,HOUSING
506,ZONING
507,ZONING
508,TENANT RELOCATION ASSIST ORD
509,HOUSING
510,BUILDING
511,ZONING
512,ZONING
513,ZONING
514,HOUSING
515,HOUSING
516,HOUSING
517,BUILDING
518,JUST CAUSE EVICTION
519,TENANT RELOCATION ASSIST ORD
520,ZONING
521,HOUSING
522,JUST CAUSE EVICTION
523,HOUSING
524,HOUSING
525,WEEDS AND VEGETATION
526,TENANT RELOCATION ASSIST ORD
527,ZONING
528,ZONING
529,ZONING
530,ZONING
531,ZONING
532,ZONING
533,WEEDS AND VEGETATION
534,ZONING
535,TRAO AVOIDANCE
536,ZONING
537,ZONING
538,ZONING
539,VACANT BUILDING
540,NONCONSTRUCTION NOISE
541,ZONING
542,HOUSING
543,BUILDING
544,HOUSING
545,ZONING
546,ZONING
547,ZONING
548,ZONING
549,TENANT RELOCATION ASSIST ORD
550,ZONING
551,BUILDING
552,SITE
553,ZONING
554,TENANT RELOCATION ASSIST ORD
555,TENANT RELOCATION ASSIST ORD
556,HOUSING
557,HOUSING
558,TENANT RELOCATION ASSIST ORD
559,ZONING
560,ZONING
561,ZONING
562,ZONING
563,HOUSING
564,ZONING
565,ZONING
566,BUILDING
567,ZONING
568,ZONING
569,HOUSING
570,WEEDS AND VEGETATION
571,WEEDS AND VEGETATION
572,WEEDS AND VEGETATION
573,WEEDS AND VEGETATION
574,WEEDS AND VEGETATION
575,ZONING
576,ZONING
577,ZONING
578,BUILDING
579,ZONING
580,HOUSING
581,BUILDING
582,VACANT BUILDING
583,ZONING
584,ZONING
585,VACANT BUILDING
586,ZONING
587,VACANT BUILDING
588,ZONING
589,WEEDS AND VEGETATION
590,ZONING
591,HOUSING
592,WEEDS AND VEGETATION
593,ZONING
594,TENANT RELOCATION ASSIST ORD
595,BUILDING
596,ZONING
597,HOUSING
598,BUILDING
599,ZONING
600,HOUSING
601,
602,BUILDING
603,ZONING
604,HOUSING
605,ZONING
606,WEEDS AND VEGETATION
607,HOUSING
608,SITE
609,BUILDING
610,JUST CAUSE EVICTION
611,WEEDS AND VEGETATION
612,ZONING
613,ZONING
614,ELECTRICAL
615,ZONING
616,BUILDING
617,SITE
618,ZONING
619,TENANT RELOCATION ASSIST ORD
620,ZONING
621,ZONING
622,WEEDS AND VEGETATION
623,ZONING
624,ZONING
625,ZONING
626,BUILDING
627,ZONING
628,SITE
629,HOUSING
630,ZONING
631,BUILDING
632,ZONING
633,ZONING
634,ZONING
635,SITE
636,HOUSING
637,TENANT RELOCATION ASSIST ORD
638,SITE
639,ZONING
640,ZONING
641,ZONING
642,ZONING
643,ZONING
644,ZONING
645,HOUSING
646,HOUSING
647,HOUSING
648,HOUSING
649,VACANT BUILDING
650,ZONING
651,ZONING
652,WEEDS AND VEGETATION
653,ZONING
654,ZONING
655,JUST CAUSE EVICTION
656,BUILDING AND PREMISES
657,WEEDS AND VEGETATION
658,WEEDS AND VEGETATION
659,ZONING
660,ZONING
661,ZONING
662,ZONING
663,BUILDING
664,WEEDS AND VEGETATION
665,ZONING
666,ZONING
667,ZONING
668,ZONING
669,ZONING
670,ZONING
671,SITE
672,WEEDS AND VEGETATION
673,ZONING
674,JUST CAUSE EVICTION
675,WEEDS AND VEGETATION
676,ZONING
677,TENANT RELOCATION ASSIST ORD
678,BUILDING
679,WEEDS AND VEGETATION
680,ZONING
681,HOUSING
682,HOUSING
683,ZONING
684,ZONING
685,VACANT BUILDING
686,ZONING
687,VACANT BUILDING
688,HOUSING
689,SITE
690,JUST CAUSE EVICTION
691,ZONING
692,ZONING
693,BUILDING
694,HOUSING
695,BUILDING
696,WEEDS AND VEGETATION
697,VACANT BUILDING
698,VACANT BUILDING
699,WEEDS AND VEGETATION
700,ZONING
701,HOUSING
702,SITE
703,ZONING
704,ZONING
705,ZONING
706,ZONING
707,ZONING
708,HOUSING
709,BUILDING
710,ZONING
711,CONSTRUCTION NOISE
