Application Permit Number,location_id,action_plan_id,permit_application_id
6530568,null,null,null
6528638,null,null,null
6529893,null,null,null
6529893,null,null,null
6529893,null,null,null
6520577,null,null,null
6524885,null,null,null
6529391,null,null,null
6526542,null,null,null
6530505,null,null,null
6529661,null,null,null
6500641,null,null,null
6528768,null,null,null
6530206,null,null,null
6517589,null,null,null
6530377,null,null,null
6512238,null,null,null
6520611,null,null,null
6530458,null,null,null
6520734,null,null,null
6526716,null,null,null
6526716,null,null,null
6530492,null,null,null
6530479,null,null,null
6530471,null,null,null
6530445,null,null,null
6530445,null,null,null
6527610,null,null,null
6530440,null,null,null
6530399,null,null,null
6503698,null,null,null
6530269,null,null,null
6530268,null,null,null
6525547,null,null,null
6530306,null,null,null
6529442,null,null,null
6515549,null,null,null
6530158,null,null,null
6530310,null,null,null
6443120,null,null,null
6493617,null,null,null
6480630,null,null,null
6521970,null,null,null
6529256,null,null,null
6530180,null,null,null
6505809,null,null,null
6530181,null,null,null
6489537,null,null,null
6512579,null,null,null
6476238,null,null,null
6515382,null,null,null
6507730,null,null,null
6518041,null,null,null
6516962,null,null,null
6516256,null,null,null
6488628,null,null,null
6530243,null,null,null
6529195,null,null,null
6522441,null,null,null
6529690,null,null,null
6530101,null,null,null
6530212,null,null,null
6530210,null,null,null
6528630,null,null,null
6399017,null,null,null
6506409,null,null,null
6510290,null,null,null
6530117,null,null,null
6512768,null,null,null
6528693,null,null,null
6530078,null,null,null
6509421,null,null,null
6490814,null,null,null
6525157,null,null,null
6523677,null,null,null
6529679,null,null,null
6496147,null,null,null
6512358,null,null,null
6512358,null,null,null
6529863,null,null,null
6529864,null,null,null
6515730,null,null,null
6529367,null,null,null
6517784,null,null,null
6507745,null,null,null
6512292,null,null,null
6513003,null,null,null
6529525,null,null,null
6529525,null,null,null
6529737,null,null,null
6513202,null,null,null
6525533,null,null,null
6515199,null,null,null
6525114,null,null,null
6519628,null,null,null
6529938,null,null,null
6493214,null,null,null
6529931,null,null,null
6526659,null,null,null
6529624,null,null,null
6527402,null,null,null
6523963,null,null,null
6514244,null,null,null
6529721,null,null,null
6529349,null,null,null
6529454,null,null,null
6529348,null,null,null
6520592,null,null,null
6520592,null,null,null
6529625,null,null,null
6529625,null,null,null
6529623,null,null,null
6529623,null,null,null
6520258,null,null,null
6306605,null,null,null
6521433,null,null,null
6512047,null,null,null
6516940,null,null,null
6516507,null,null,null
6509267,null,null,null
6517751,null,null,null
6519560,null,null,null
6521336,null,null,null
6524595,null,null,null
6523301,null,null,null
6522476,null,null,null
6511295,null,null,null
6503984,null,null,null
6505554,null,null,null
6484704,null,null,null
6494571,null,null,null
6507949,null,null,null
6529723,null,null,null
6525388,null,null,null
6529696,null,null,null
6529711,null,null,null
6529710,null,null,null
6529709,null,null,null
6529682,null,null,null
6516520,null,null,null
6516520,null,null,null
6529241,null,null,null
6529665,null,null,null
6528989,null,null,null
6522708,null,null,null
6529629,null,null,null
6527210,null,null,null
6529168,null,null,null
6528270,null,null,null
6529571,null,null,null
6486662,null,null,null
6486350,null,null,null
6529199,null,null,null
6529542,null,null,null
6529478,null,null,null
6529528,null,null,null
6529529,null,null,null
6529529,null,null,null
6529518,null,null,null
6529518,null,null,null
6529425,null,null,null
6529116,null,null,null
6403247,null,null,null
6509911,null,null,null
6211435,null,null,null
6458228,null,null,null
6507578,null,null,null
6489404,null,null,null
6529476,null,null,null
6529113,null,null,null
6513697,null,null,null
6514061,null,null,null
6518488,null,null,null
6518512,null,null,null
6492011,null,null,null
6528145,null,null,null
6512114,null,null,null
6511894,null,null,null
6515737,null,null,null
6512132,null,null,null
6515168,null,null,null
6505291,null,null,null
6519494,null,null,null
6513552,null,null,null
6514896,null,null,null
6528258,null,null,null
