id,Action Type,Work Type
214,TREE/VEGETATION MAINT/RESTORE,No plan review
215,ADD/ALT,No plan review
216,ADD/ALT,No plan review
217,ADD/ALT,Plan Review
218,ADD/ALT,Plan Review
219,ADD/ALT,No plan review
220,NEW,Plan Review
221,ADD/ALT,Plan Review
222,ADD/ALT,No plan review
223,DEMOLITION,No plan review
224,NEW,Plan Review
225,ADD/ALT,Plan Review
226,ADD/ALT,No plan review
227,ADD/ALT,No plan review
228,ADD/ALT,No plan review
229,ADD/ALT,Plan Review
230,NEW,Plan Review
231,NEW,Plan Review
232,ADD/ALT,Plan Review
233,ADD/ALT,Plan Review
234,DEMOLITION,No plan review
235,DEMOLITION,No plan review
236,ADD/ALT,No plan review
237,NEW,Plan Review
238,ADD/ALT,Plan Review
239,ALTER,Plan Review
240,ADD/ALT,Plan Review
241,NEW,Plan Review
242,ADD/ALT,Plan Review
243,ADD/ALT,Plan Review
244,ADD/ALT,Plan Review
245,ADD/ALT,Plan Review
246,ADD/ALT,Plan Review
247,ADD/ALT,Plan Review
248,,Plan Review
249,ADD/ALT,No plan review
250,NEW,Plan Review
251,ADD/ALT,Plan Review
252,ADD/ALT,Plan Review
253,ADD/ALT,Plan Review
254,NEW,Plan Review
255,DEMOLITION,No plan review
256,NEW,Plan Review
257,ADD/ALT,No plan review
258,ADD/ALT,No plan review
259,ADD/ALT,No plan review
260,ADD/ALT,No plan review
261,ADD/ALT,No plan review
262,NEW,Plan Review
263,DEMOLITION,No plan review
264,ADD/ALT,No plan review
265,ADD/ALT,Plan Review
266,ADD/ALT,No plan review
267,ADD/ALT,Plan Review
268,ADD/ALT,Plan Review
269,ADD/ALT,Plan Review
270,ADD/ALT,Plan Review
271,ADD/ALT,Plan Review
272,ADD/ALT,Plan Review
273,ADD/ALT,Plan Review
274,NEW,Plan Review
275,ADD/ALT,No plan review
276,ADD/ALT,Plan Review
277,ADD/ALT,Plan Review
278,ADD/ALT,No plan review
279,ADD/ALT,No plan review
280,ADD/ALT,Plan Review
281,ADD/ALT,Plan Review
282,TREE/VEGETATION MAINT/RESTORE,No plan review
283,ADD/ALT,Plan Review
284,NEW,Plan Review
285,ADD/ALT,Plan Review
286,ADD/ALT,Plan Review
287,ADD/ALT,Plan Review
288,ADD/ALT,Plan Review
289,ALTER,Plan Review
290,ADD/ALT,No plan review
291,ADD/ALT,Plan Review
292,ADD/ALT,Plan Review
293,ADD/ALT,Plan Review
294,ALTER,Plan Review
295,ALTER,Plan Review
296,SHORELINE EXEMPTION ONLY,Plan Review
297,SHORELINE EXEMPTION ONLY,Plan Review
298,DEMOLITION,No plan review
299,ADD/ALT,Plan Review
300,NEW,Plan Review
301,NEW,Plan Review
302,NEW,Plan Review
303,DEMOLITION,No plan review
304,ADD/ALT,Plan Review
305,ADD/ALT,Plan Review
306,ADD/ALT,Plan Review
307,NEW,Plan Review
308,NEW,Plan Review
309,DEMOLITION,No plan review
310,DEMOLITION,No plan review
311,ADD/ALT,No plan review
312,ADD/ALT,Plan Review
313,ADD/ALT,No plan review
314,NEW,Plan Review
315,DEMOLITION,No plan review
316,ADD/ALT,Plan Review
317,ADD/ALT,No plan review
318,NEW,Plan Review
319,ADD/ALT,No plan review
320,ADD/ALT,No plan review
321,ADD/ALT,No plan review
322,ADD/ALT,Plan Review
323,ADD/ALT,Plan Review
324,ADD/ALT,No plan review
325,ADD/ALT,No plan review
326,ADD/ALT,No plan review
327,ADD/ALT,Plan Review
328,ADD/ALT,Plan Review
329,TREE/VEGETATION MAINT/RESTORE,No plan review
330,ADD/ALT,No plan review
331,NEW,Plan Review
332,,Plan Review
333,NEW,Plan Review
334,NEW,Plan Review
335,DEMOLITION,No plan review
336,NO CONSTRUCTION,No plan review
337,ADD/ALT,No plan review
338,ALTER,Plan Review
339,ADD/ALT,No plan review
340,ADD/ALT,No plan review
341,NEW,Plan Review
342,ADD/ALT,Plan Review
343,ADD/ALT,Plan Review
344,ADD/ALT,No plan review
345,ADD/ALT,Plan Review
346,ADD/ALT,Plan Review
347,ADD/ALT,No plan review
348,ADD/ALT,Plan Review
349,ADD/ALT,Plan Review
350,ADD/ALT,Plan Review
351,ADD/ALT,Plan Review
352,ALTER,Plan Review
353,ADD/ALT,Plan Review
354,ADD/ALT,Plan Review
355,ADD/ALT,Plan Review
356,ADD/ALT,Plan Review
357,ADD/ALT,Plan Review
