id,Action Type,Work Type
8418,DEMOLITION,No plan review
8419,ADD/ALT,Plan Review
8420,NEW,Plan Review
8421,ADD/ALT,Plan Review
8422,ADD/ALT,Plan Review
8423,ADD/ALT,No plan review
8424,ALTER,Plan Review
8425,DEMOLITION,No plan review
8426,ADD/ALT,No plan review
8427,ADD/ALT,No plan review
8428,ADD/ALT,Plan Review
8429,NEW,Plan Review
8430,ADD/ALT,Plan Review
8431,DEMOLITION,No plan review
8432,ADD/ALT,Plan Review
8433,NEW,Plan Review
8434,ADD/ALT,No plan review
8435,ADD/ALT,No plan review
8436,ADD/ALT,No plan review
8437,ADD/ALT,Plan Review
8438,ADD/ALT,Plan Review
8439,ADD/ALT,No plan review
8440,NEW,Plan Review
8441,NEW,Plan Review
8442,NEW,Plan Review
8443,ADD/ALT,Plan Review
8444,ADD/ALT,Plan Review
8445,ADD/ALT,Plan Review
8446,ADD/ALT,Plan Review
8447,ADD/ALT,Plan Review
8448,ADD/ALT,Plan Review
8449,ADD/ALT,Plan Review
8450,ADD/ALT,Plan Review
8451,ADD/ALT,Plan Review
8452,ADD/ALT,Plan Review
8453,ADD/ALT,Plan Review
8454,ADD/ALT,Plan Review
8455,NEW,Plan Review
8456,ADD/ALT,Plan Review
8457,ADD/ALT,Plan Review
8458,NEW,Plan Review
8459,NEW,Plan Review
8460,DEMOLITION,No plan review
8461,NEW,Plan Review
8462,ADD/ALT,Plan Review
8463,ADD/ALT,Plan Review
8464,ADD/ALT,Plan Review
8465,ADD/ALT,No plan review
8466,ADD/ALT,No plan review
8467,ADD/ALT,Plan Review
8468,ADD/ALT,Plan Review
8469,ADD/ALT,Plan Review
8470,ADD/ALT,Plan Review
8471,ADD/ALT,No plan review
8472,ADD/ALT,No plan review
8473,ADD/ALT,Plan Review
8474,DEMOLITION,No plan review
8475,ADD/ALT,No plan review
8476,ADD/ALT,Plan Review
8477,ADD/ALT,Plan Review
8478,ADD/ALT,No plan review
8479,ADD/ALT,No plan review
8480,ADD/ALT,No plan review
8481,ADD/ALT,No plan review
8482,DEMOLITION,No plan review
8483,ADD/ALT,Plan Review
8484,ADD/ALT,Plan Review
8485,ADD/ALT,No plan review
8486,ADD/ALT,No plan review
8487,ADD/ALT,No plan review
8488,ALTER,Plan Review
8489,ADD/ALT,No plan review
8490,ADD/ALT,No plan review
8491,ADD/ALT,No plan review
8492,ADD/ALT,No plan review
8493,ALTER,Plan Review
8494,ADD/ALT,No plan review
8495,ADD/ALT,No plan review
8496,ADD/ALT,No plan review
8497,ADD/ALT,No plan review
8498,ADD/ALT,No plan review
8499,DEMOLITION,No plan review
8500,ALTER,Plan Review
8501,ADD/ALT,No plan review
8502,DEMOLITION,No plan review
8503,ADD/ALT,No plan review
8504,DEMOLITION,No plan review
8505,DEMOLITION,Plan Review
8506,NEW,Plan Review
8507,ADD/ALT,Plan Review
8508,NEW,Plan Review
8509,ADD/ALT,Plan Review
8510,NEW,Plan Review
8511,ADD/ALT,No plan review
8512,NEW,Plan Review
8513,NEW,Plan Review
8514,ADD/ALT,Plan Review
8515,NEW,Plan Review
8516,ADD/ALT,Plan Review
8517,ADD/ALT,Plan Review
8518,NEW,Plan Review
8519,ALTER,Plan Review
8520,ADD/ALT,No plan review
8521,NEW,Plan Review
8522,NEW,Plan Review
8523,ADD/ALT,Plan Review
8524,ADD/ALT,Plan Review
8525,NEW,Plan Review
8526,ADD/ALT,Plan Review
8527,ADD/ALT,Plan Review
8528,ADD/ALT,No plan review
8529,ADD/ALT,Plan Review
8530,ADD/ALT,Plan Review
8531,ADD/ALT,Plan Review
8532,NEW,Plan Review
8533,ADD/ALT,No plan review
8534,ADD/ALT,No plan review
8535,ADD/ALT,No plan review
8536,ADD/ALT,No plan review
8537,NEW,Plan Review
8538,ADD/ALT,Plan Review
8539,ADD/ALT,Plan Review
8540,ADD/ALT,Plan Review
8541,ADD/ALT,Plan Review
8542,TREE/VEGETATION MAINT/RESTORE,No plan review
8543,ADD/ALT,Plan Review
8544,ADD/ALT,No plan review
8545,TREE/VEGETATION MAINT/RESTORE,No plan review
8546,ADD/ALT,No plan review
8547,CURB CUT,No plan review
8548,ADD/ALT,Plan Review
8549,ADD/ALT,Plan Review
8550,ADD/ALT,No plan review
8551,ADD/ALT,Plan Review
8552,ALTER,Plan Review
8553,ALTER,Plan Review
8554,ADD/ALT,No plan review
8555,ADD/ALT,No plan review
8556,ADD/ALT,Plan Review
8557,ADD/ALT,Plan Review
8558,ADD/ALT,Plan Review
8559,ADD/ALT,Plan Review
8560,ADD/ALT,Plan Review
8561,ADD/ALT,Plan Review
8562,ADD/ALT,Plan Review
8563,ADD/ALT,Plan Review
8564,ADD/ALT,Plan Review
8565,NEW,Plan Review
8566,TREE/VEGETATION MAINT/RESTORE,No plan review
8567,TREE/VEGETATION MAINT/RESTORE,No plan review
8568,ADD/ALT,No plan review
8569,ADD/ALT,Plan Review
8570,ADD/ALT,No plan review
8571,ADD/ALT,No plan review
8572,ADD/ALT,No plan review
8573,ALTER,Plan Review
8574,ADD/ALT,Plan Review
8575,ADD/ALT,Plan Review
8576,ADD/ALT,No plan review
8577,ADD/ALT,No plan review
8578,ADD/ALT,No plan review
8579,ADD/ALT,No plan review
8580,NEW,No plan review
8581,ADD/ALT,No plan review
8582,NEW,Plan Review
8583,TEMP,Plan Review
8584,TEMP,Plan Review
8585,NEW,Plan Review
8586,ADD/ALT,Plan Review
8587,DEMOLITION,No plan review
8588,DEMOLITION,No plan review
8589,ADD/ALT,No plan review
8590,ADD/ALT,No plan review
8591,ALTER,Plan Review
8592,ADD/ALT,No plan review
8593,ADD/ALT,No plan review
8594,ADD/ALT,No plan review
8595,ADD/ALT,Plan Review
8596,ADD/ALT,Plan Review
8597,ADD/ALT,No plan review
8598,ADD/ALT,No plan review
8599,ADD/ALT,No plan review
8600,ADD/ALT,Plan Review
8601,ADD/ALT,No plan review
8602,NO CONSTRUCTION,Plan Review
8603,ADD/ALT,Plan Review
8604,ADD/ALT,Plan Review
8605,ADD/ALT,Plan Review
8606,DEMOLITION,No plan review
8607,NEW,Plan Review
8608,ADD/ALT,Plan Review
8609,NEW,Plan Review
8610,NEW,Plan Review
8611,ADD/ALT,Plan Review
8612,ADD/ALT,Plan Review
8613,DEMOLITION,No plan review
8614,DEMOLITION,No plan review
8615,ADD/ALT,Plan Review
8616,ADD/ALT,Plan Review
8617,DEMOLITION,No plan review
8618,NEW,Plan Review
8619,ADD/ALT,Plan Review
8620,NEW,Plan Review
8621,ADD/ALT,Plan Review
8622,ADD/ALT,Plan Review
8623,ADD/ALT,Plan Review
8624,ADD/ALT,Plan Review
8625,ADD/ALT,Plan Review
8626,ADD/ALT,Plan Review
8627,ADD/ALT,No plan review
8628,NEW,Plan Review
8629,ADD/ALT,No plan review
8630,ADD/ALT,Plan Review
8631,ADD/ALT,No plan review
8632,ADD/ALT,No plan review
8633,ADD/ALT,Plan Review
8634,ADD/ALT,Plan Review
8635,DEMOLITION,No plan review
8636,ADD/ALT,Plan Review
8637,NEW,Plan Review
8638,ADD/ALT,No plan review
8639,ADD/ALT,No plan review
8640,NEW,Plan Review
8641,ADD/ALT,No plan review
8642,ADD/ALT,Plan Review
8643,ADD/ALT,Plan Review
8644,ADD/ALT,No plan review
8645,NEW,No plan review
8646,ADD/ALT,No plan review
8647,NEW,Plan Review
8648,DEMOLITION,No plan review
8649,DEMOLITION,Plan Review
8650,NEW,Plan Review
8651,DEMOLITION,No plan review
8652,NEW,Plan Review
8653,ADD/ALT,No plan review
8654,ADD/ALT,No plan review
8655,ADD/ALT,No plan review
8656,NEW,Plan Review
8657,ADD/ALT,No plan review
8658,ADD/ALT,No plan review
8659,ADD/ALT,Plan Review
8660,ADD/ALT,No plan review
8661,ALTER,Plan Review
8662,ADD/ALT,No plan review
8663,ADD/ALT,No plan review
8664,ADD/ALT,No plan review
8665,ADD/ALT,No plan review
8666,ADD/ALT,Plan Review
8667,DEMOLITION,No plan review
8668,ADD/ALT,Plan Review
8669,NEW,Plan Review
8670,DEMOLITION,No plan review
8671,NEW,Plan Review
8672,ADD/ALT,Plan Review
8673,ADD/ALT,Plan Review
8674,ADD/ALT,No plan review
8675,NEW,Plan Review
8676,NEW,Plan Review
8677,ADD/ALT,Plan Review
8678,ADD/ALT,Plan Review
8679,ADD/ALT,Plan Review
8680,ADD/ALT,Plan Review
8681,ADD/ALT,Plan Review
8682,NEW,Plan Review
8683,ADD/ALT,Plan Review
8684,ADD/ALT,Plan Review
8685,ADD/ALT,Plan Review
8686,NEW,Plan Review
8687,NEW,Plan Review
8688,NEW,Plan Review
8689,ADD/ALT,Plan Review
8690,NEW,Plan Review
8691,ADD/ALT,Plan Review
8692,ALTER,Plan Review
8693,ADD/ALT,No plan review
8694,ADD/ALT,Plan Review
8695,ADD/ALT,No plan review
8696,TREE/VEGETATION MAINT/RESTORE,No plan review
8697,NEW,Plan Review
8698,ADD/ALT,Plan Review
8699,ADD/ALT,Plan Review
8700,ADD/ALT,No plan review
8701,ADD/ALT,Plan Review
8702,ADD/ALT,No plan review
8703,ADD/ALT,No plan review
8704,ADD/ALT,No plan review
8705,ALTER,Plan Review
8706,ADD/ALT,Plan Review
8707,ADD/ALT,No plan review
8708,ADD/ALT,No plan review
8709,ADD/ALT,No plan review
8710,ADD/ALT,Plan Review
8711,ALTER,Plan Review
8712,ADD/ALT,Plan Review
8713,ADD/ALT,Plan Review
8714,ADD/ALT,Plan Review
8715,NEW,Plan Review
8716,ADD/ALT,Plan Review
8717,NEW,Plan Review
8718,ADD/ALT,Plan Review
8719,ADD/ALT,Plan Review
8720,ADD/ALT,Plan Review
8721,ADD/ALT,Plan Review
8722,NEW,Plan Review
8723,NEW,Plan Review
8724,DEMOLITION,No plan review
8725,NEW,Plan Review
8726,NEW,Plan Review
8727,TREE/VEGETATION MAINT/RESTORE,No plan review
8728,TREE/VEGETATION MAINT/RESTORE,No plan review
8729,NEW,Plan Review
8730,ADD/ALT,No plan review
8731,ADD/ALT,No plan review
8732,ADD/ALT,No plan review
8733,,No plan review
8734,ADD/ALT,Plan Review
8735,ADD/ALT,No plan review
8736,ALTER,Plan Review
8737,ADD/ALT,No plan review
8738,ADD/ALT,No plan review
8739,DEMOLITION,No plan review
8740,ADD/ALT,Plan Review
8741,ADD/ALT,Plan Review
8742,ADD/ALT,Plan Review
8743,NEW,Plan Review
8744,ADD/ALT,Plan Review
8745,DEMOLITION,No plan review
8746,ADD/ALT,Plan Review
8747,ADD/ALT,No plan review
8748,ADD/ALT,Plan Review
8749,ADD/ALT,No plan review
8750,NEW,Plan Review
8751,NEW,Plan Review
8752,ADD/ALT,Plan Review
8753,ADD/ALT,Plan Review
8754,ADD/ALT,Plan Review
8755,GRADING,Plan Review
8756,ADD/ALT,Plan Review
8757,ADD/ALT,Plan Review
8758,NEW,Plan Review
8759,NEW,Plan Review
8760,ADD/ALT,Plan Review
8761,ADD/ALT,No plan review
8762,DEMOLITION,No plan review
8763,DEMOLITION,No plan review
8764,DEMOLITION,No plan review
8765,ADD/ALT,Plan Review
8766,ADD/ALT,No plan review
8767,ADD/ALT,No plan review
8768,ADD/ALT,No plan review
8769,ADD/ALT,No plan review
8770,ADD/ALT,Plan Review
8771,ADD/ALT,No plan review
8772,ALTER,Plan Review
8773,ADD/ALT,No plan review
8774,ADD/ALT,Plan Review
8775,ADD/ALT,No plan review
8776,ADD/ALT,No plan review
8777,ADD/ALT,No plan review
8778,ADD/ALT,No plan review
8779,DEMOLITION,No plan review
8780,NEW,Plan Review
8781,SHORELINE EXEMPTION ONLY,Plan Review
8782,ADD/ALT,Plan Review
8783,DEMOLITION,Plan Review
8784,NEW,Plan Review
8785,NEW,Plan Review
8786,NEW,Plan Review
8787,ADD/ALT,Plan Review
8788,NEW,Plan Review
8789,ADD/ALT,No plan review
8790,ADD/ALT,Plan Review
8791,ADD/ALT,Plan Review
8792,ADD/ALT,No plan review
8793,NEW,Plan Review
8794,ADD/ALT,No plan review
8795,ADD/ALT,No plan review
8796,ADD/ALT,No plan review
8797,,Plan Review
8798,ADD/ALT,Plan Review
8799,ADD/ALT,No plan review
8800,ALTER,Plan Review
8801,ADD/ALT,No plan review
8802,NEW,Plan Review
8803,ADD/ALT,Plan Review
8804,ADD/ALT,Plan Review
8805,ADD/ALT,Plan Review
8806,ADD/ALT,Plan Review
8807,ADD/ALT,Plan Review
8808,DEMOLITION,Plan Review
8809,ADD/ALT,Plan Review
8810,ADD/ALT,Plan Review
8811,NEW,Plan Review
8812,NEW,Plan Review
8813,ADD/ALT,Plan Review
8814,,Plan Review
8815,NEW,Plan Review
8816,ADD/ALT,Plan Review
8817,NEW,Plan Review
8818,NEW,Plan Review
8819,NEW,Plan Review
8820,NEW,Plan Review
8821,ADD/ALT,Plan Review
8822,ADD/ALT,Plan Review
8823,NEW,Plan Review
8824,NEW,Plan Review
8825,ADD/ALT,Plan Review
8826,ADD/ALT,Plan Review
8827,DEMOLITION,No plan review
8828,ADD/ALT,Plan Review
8829,NEW,Plan Review
8830,,Plan Review
8831,DEMOLITION,No plan review
8832,DEMOLITION,No plan review
8833,ADD/ALT,Plan Review
8834,NEW,Plan Review
8835,ADD/ALT,Plan Review
8836,NEW,Plan Review
8837,NEW,Plan Review
8838,DEMOLITION,No plan review
8839,NEW,Plan Review
8840,ADD/ALT,No plan review
8841,NEW,Plan Review
8842,DEMOLITION,Plan Review
8843,ADD/ALT,Plan Review
8844,ADD/ALT,Plan Review
8845,,Plan Review
8846,ADD/ALT,Plan Review
8847,ADD/ALT,No plan review
8848,DEMOLITION,No plan review
8849,DEMOLITION,No plan review
8850,DEMOLITION,No plan review
8851,NEW,Plan Review
8852,DEMOLITION,No plan review
8853,ADD/ALT,No plan review
8854,ADD/ALT,No plan review
8855,ADD/ALT,Plan Review
8856,ADD/ALT,Plan Review
8857,DEMOLITION,No plan review
8858,ALTER,Plan Review
8859,DEMOLITION,No plan review
8860,ALTER,Plan Review
8861,ADD/ALT,No plan review
8862,DEMOLITION,No plan review
8863,ADD/ALT,Plan Review
8864,NEW,Plan Review
8865,NEW,Plan Review
8866,ADD/ALT,Plan Review
8867,ADD/ALT,No plan review
8868,ADD/ALT,No plan review
8869,ADD/ALT,No plan review
8870,ADD/ALT,No plan review
8871,ADD/ALT,Plan Review
8872,ADD/ALT,Plan Review
8873,ADD/ALT,Plan Review
8874,NEW,Plan Review
8875,ADD/ALT,Plan Review
8876,ADD/ALT,Plan Review
8877,ADD/ALT,No plan review
8878,,Plan Review
8879,ADD/ALT,No plan review
8880,ADD/ALT,Plan Review
8881,ADD/ALT,No plan review
8882,NEW,Plan Review
8883,ADD/ALT,Plan Review
8884,ADD/ALT,No plan review
8885,ADD/ALT,No plan review
8886,ADD/ALT,No plan review
8887,ADD/ALT,No plan review
8888,NEW,Plan Review
8889,ADD/ALT,Plan Review
8890,ADD/ALT,No plan review
8891,ADD/ALT,No plan review
8892,ALTER,Plan Review
8893,DEMOLITION,No plan review
8894,ADD/ALT,Plan Review
8895,ADD/ALT,No plan review
8896,ADD/ALT,Plan Review
8897,ADD/ALT,Plan Review
8898,NEW,Plan Review
8899,NEW,Plan Review
8900,NEW,Plan Review
8901,ADD/ALT,Plan Review
8902,ADD/ALT,No plan review
8903,NEW,Plan Review
8904,ADD/ALT,Plan Review
8905,ADD/ALT,Plan Review
8906,ADD/ALT,Plan Review
8907,NEW,Plan Review
8908,NEW,Plan Review
8909,ADD/ALT,Plan Review
8910,NEW,Plan Review
8911,NEW,Plan Review
8912,NEW,Plan Review
8913,ADD/ALT,Plan Review
8914,ADD/ALT,Plan Review
8915,DEMOLITION,No plan review
8916,ADD/ALT,Plan Review
8917,NEW,Plan Review
8918,DEMOLITION,No plan review
8919,DEMOLITION,No plan review
8920,ADD/ALT,Plan Review
8921,DEMOLITION,No plan review
8922,NEW,Plan Review
8923,ADD/ALT,Plan Review
8924,ADD/ALT,Plan Review
8925,ADD/ALT,Plan Review
8926,ADD/ALT,No plan review
8927,NEW,Plan Review
8928,ADD/ALT,Plan Review
8929,ADD/ALT,Plan Review
8930,ADD/ALT,Plan Review
8931,ADD/ALT,Plan Review
8932,NEW,Plan Review
8933,ADD/ALT,Plan Review
8934,NEW,Plan Review
8935,ADD/ALT,Plan Review
8936,NEW,Plan Review
8937,ADD/ALT,Plan Review
8938,ADD/ALT,No plan review
8939,NEW,Plan Review
8940,NEW,Plan Review
8941,ADD/ALT,Plan Review
8942,ADD/ALT,Plan Review
8943,NEW,Plan Review
8944,NEW,Plan Review
8945,NEW,Plan Review
8946,ADD/ALT,No plan review
8947,ADD/ALT,No plan review
8948,CURB CUT,No plan review
8949,ADD/ALT,No plan review
8950,ADD/ALT,No plan review
8951,ALTER,Plan Review
8952,ADD/ALT,No plan review
8953,ADD/ALT,No plan review
8954,ADD/ALT,No plan review
8955,NO CONSTRUCTION,Plan Review
8956,ADD/ALT,Plan Review
8957,ADD/ALT,No plan review
8958,ADD/ALT,No plan review
8959,ADD/ALT,Plan Review
8960,ADD/ALT,Plan Review
8961,NEW,Plan Review
8962,DEMOLITION,No plan review
8963,ADD/ALT,Plan Review
8964,ADD/ALT,Plan Review
8965,ADD/ALT,Plan Review
8966,NEW,Plan Review
8967,DEMOLITION,No plan review
8968,DEMOLITION,No plan review
8969,ADD/ALT,No plan review
8970,ADD/ALT,Plan Review
8971,ADD/ALT,Plan Review
8972,ADD/ALT,Plan Review
8973,ADD/ALT,No plan review
8974,ADD/ALT,No plan review
8975,ADD/ALT,Plan Review
8976,DEMOLITION,No plan review
8977,DEMOLITION,No plan review
8978,ADD/ALT,No plan review
8979,ADD/ALT,Plan Review
8980,ADD/ALT,Plan Review
8981,ADD/ALT,No plan review
8982,ADD/ALT,Plan Review
8983,ADD/ALT,No plan review
8984,NO CONSTRUCTION,No plan review
8985,ADD/ALT,Plan Review
8986,TREE/VEGETATION MAINT/RESTORE,No plan review
8987,ADD/ALT,No plan review
8988,ADD/ALT,No plan review
8989,ADD/ALT,No plan review
8990,DEMOLITION,No plan review
8991,ADD/ALT,No plan review
8992,ADD/ALT,Plan Review
8993,ADD/ALT,Plan Review
8994,ADD/ALT,No plan review
8995,ADD/ALT,No plan review
8996,ADD/ALT,No plan review
8997,DEMOLITION,No plan review
8998,DEMOLITION,No plan review
8999,ADD/ALT,Plan Review
9000,ADD/ALT,Plan Review
9001,DEMOLITION,No plan review
9002,ADD/ALT,No plan review
9003,NEW,Plan Review
9004,NEW,Plan Review
9005,DEMOLITION,No plan review
9006,ADD/ALT,Plan Review
9007,ADD/ALT,No plan review
9008,ALTER,Plan Review
9009,ADD/ALT,No plan review
9010,ADD/ALT,No plan review
9011,ADD/ALT,No plan review
9012,ADD/ALT,No plan review
9013,ADD/ALT,No plan review
9014,ADD/ALT,Plan Review
9015,ADD/ALT,No plan review
9016,ADD/ALT,Plan Review
9017,ADD/ALT,Plan Review
9018,,Plan Review
9019,ADD/ALT,No plan review
9020,ADD/ALT,No plan review
9021,ADD/ALT,No plan review
9022,ADD/ALT,No plan review
9023,ADD/ALT,Plan Review
9024,TREE/VEGETATION MAINT/RESTORE,No plan review
9025,ALTER,Plan Review
9026,TREE/VEGETATION MAINT/RESTORE,No plan review
9027,ADD/ALT,No plan review
9028,ADD/ALT,Plan Review
9029,NEW,Plan Review
9030,ADD/ALT,No plan review
9031,ALTER,Plan Review
9032,ADD/ALT,Plan Review
9033,ADD/ALT,Plan Review
9034,ADD/ALT,Plan Review
9035,ADD/ALT,No plan review
9036,ADD/ALT,No plan review
9037,ADD/ALT,Plan Review
9038,ADD/ALT,No plan review
9039,ADD/ALT,Plan Review
9040,SHORELINE EXEMPTION ONLY,Plan Review
9041,ADD/ALT,Plan Review
9042,ADD/ALT,No plan review
9043,ADD/ALT,No plan review
9044,ADD/ALT,No plan review
9045,ADD/ALT,No plan review
9046,ADD/ALT,No plan review
9047,ADD/ALT,No plan review
9048,ADD/ALT,Plan Review
9049,ADD/ALT,No plan review
9050,ADD/ALT,No plan review
9051,ADD/ALT,No plan review
9052,NEW,Plan Review
9053,ADD/ALT,Plan Review
9054,ADD/ALT,Plan Review
9055,ADD/ALT,Plan Review
9056,NEW,Plan Review
9057,ADD/ALT,Plan Review
9058,ADD/ALT,No plan review
9059,ADD/ALT,No plan review
9060,ADD/ALT,No plan review
9061,ADD/ALT,No plan review
9062,DEMOLITION,No plan review
9063,ADD/ALT,No plan review
9064,ADD/ALT,Plan Review
9065,NEW,Plan Review
9066,NEW,Plan Review
9067,DEMOLITION,No plan review
9068,ADD/ALT,Plan Review
9069,ADD/ALT,Plan Review
9070,NEW,Plan Review
9071,ADD/ALT,No plan review
9072,ADD/ALT,No plan review
9073,ADD/ALT,No plan review
9074,ADD/ALT,Plan Review
9075,ADD/ALT,No plan review
9076,ADD/ALT,No plan review
9077,ADD/ALT,No plan review
9078,ADD/ALT,Plan Review
9079,NEW,Plan Review
9080,ADD/ALT,No plan review
9081,DEMOLITION,No plan review
9082,DEMOLITION,No plan review
9083,DEMOLITION,No plan review
9084,DEMOLITION,No plan review
9085,DEMOLITION,No plan review
9086,DEMOLITION,No plan review
9087,NEW,Plan Review
9088,NEW,Plan Review
9089,NEW,Plan Review
9090,ADD/ALT,Plan Review
9091,NEW,Plan Review
9092,NEW,Plan Review
9093,ADD/ALT,Plan Review
9094,ADD/ALT,Plan Review
9095,NEW,Plan Review
9096,NEW,Plan Review
9097,ADD/ALT,Plan Review
9098,ADD/ALT,Plan Review
9099,NEW,Plan Review
9100,NEW,Plan Review
9101,ADD/ALT,Plan Review
9102,DEMOLITION,No plan review
9103,NEW,Plan Review
9104,NEW,Plan Review
9105,NEW,Plan Review
9106,ADD/ALT,Plan Review
9107,ADD/ALT,Plan Review
9108,NEW,Plan Review
9109,ADD/ALT,Plan Review
9110,ADD/ALT,Plan Review
9111,,Plan Review
9112,NEW,Plan Review
9113,ADD/ALT,Plan Review
9114,ADD/ALT,Plan Review
9115,ADD/ALT,Plan Review
9116,DEMOLITION,Plan Review
9117,NEW,Plan Review
9118,NEW,Plan Review
9119,NEW,Plan Review
9120,NEW,Plan Review
9121,NEW,Plan Review
9122,ADD/ALT,No plan review
9123,ADD/ALT,No plan review
9124,ADD/ALT,No plan review
9125,ADD/ALT,Plan Review
9126,ADD/ALT,No plan review
9127,TREE/VEGETATION MAINT/RESTORE,No plan review
9128,ADD/ALT,No plan review
9129,ADD/ALT,No plan review
9130,ADD/ALT,No plan review
9131,ADD/ALT,No plan review
9132,NEW,Plan Review
9133,SHORELINE EXEMPTION ONLY,Plan Review
9134,ADD/ALT,No plan review
9135,ADD/ALT,No plan review
9136,ADD/ALT,No plan review
9137,ADD/ALT,No plan review
9138,ADD/ALT,No plan review
9139,DEMOLITION,No plan review
9140,ADD/ALT,Plan Review
9141,ADD/ALT,Plan Review
9142,ADD/ALT,Plan Review
9143,,Plan Review
9144,TREE/VEGETATION MAINT/RESTORE,No plan review
9145,ADD/ALT,No plan review
9146,NEW,Plan Review
9147,ADD/ALT,Plan Review
9148,ADD/ALT,No plan review
9149,ADD/ALT,No plan review
9150,ADD/ALT,Plan Review
9151,NEW,Plan Review
9152,NO CONSTRUCTION,No plan review
9153,ADD/ALT,Plan Review
9154,DEMOLITION,No plan review
9155,DEMOLITION,No plan review
9156,ADD/ALT,No plan review
9157,NEW,Plan Review
9158,NEW,Plan Review
9159,ADD/ALT,No plan review
9160,ADD/ALT,No plan review
9161,NEW,No plan review
9162,ADD/ALT,No plan review
9163,NEW,Plan Review
9164,NEW,Plan Review
9165,ADD/ALT,No plan review
9166,ADD/ALT,No plan review
9167,ADD/ALT,Plan Review
9168,ADD/ALT,Plan Review
9169,ADD/ALT,No plan review
9170,DEMOLITION,No plan review
9171,DEMOLITION,No plan review
9172,ADD/ALT,No plan review
9173,NEW,Plan Review
9174,,Plan Review
9175,ADD/ALT,Plan Review
9176,NEW,Plan Review
9177,ADD/ALT,No plan review
9178,ADD/ALT,Plan Review
9179,ADD/ALT,No plan review
9180,TREE/VEGETATION MAINT/RESTORE,No plan review
9181,ADD/ALT,No plan review
9182,ADD/ALT,No plan review
9183,ADD/ALT,No plan review
9184,ADD/ALT,No plan review
9185,DEMOLITION,No plan review
9186,ADD/ALT,No plan review
9187,ADD/ALT,No plan review
9188,ADD/ALT,No plan review
9189,ADD/ALT,Plan Review
9190,NEW,Plan Review
9191,ADD/ALT,Plan Review
9192,NEW,Plan Review
9193,ADD/ALT,Plan Review
9194,ADD/ALT,Plan Review
9195,ADD/ALT,Plan Review
9196,ADD/ALT,Plan Review
9197,ADD/ALT,No plan review
9198,ADD/ALT,No plan review
9199,DEMOLITION,No plan review
9200,ADD/ALT,No plan review
9201,DEMOLITION,No plan review
9202,DEMOLITION,No plan review
9203,ADD/ALT,No plan review
9204,ADD/ALT,Plan Review
9205,NEW,Plan Review
9206,ADD/ALT,No plan review
9207,ADD/ALT,No plan review
9208,DEMOLITION,No plan review
9209,DEMOLITION,No plan review
9210,DEMOLITION,No plan review
9211,NEW,Plan Review
9212,ADD/ALT,Plan Review
9213,NEW,Plan Review
9214,NEW,Plan Review
9215,ADD/ALT,Plan Review
9216,ADD/ALT,Plan Review
9217,ADD/ALT,No plan review
9218,NEW,Plan Review
9219,NEW,Plan Review
9220,ADD/ALT,No plan review
9221,ADD/ALT,No plan review
9222,NEW,Plan Review
9223,ADD/ALT,Plan Review
9224,ADD/ALT,Plan Review
9225,ADD/ALT,No plan review
9226,ADD/ALT,No plan review
9227,ADD/ALT,No plan review
9228,DEMOLITION,No plan review
9229,ADD/ALT,No plan review
9230,ADD/ALT,No plan review
9231,DEMOLITION,No plan review
9232,ADD/ALT,No plan review
9233,ADD/ALT,No plan review
9234,ADD/ALT,No plan review
9235,ADD/ALT,No plan review
9236,NEW,Plan Review
9237,ADD/ALT,Plan Review
9238,ADD/ALT,No plan review
9239,ADD/ALT,Plan Review
9240,NEW,Plan Review
9241,NEW,Plan Review
9242,ADD/ALT,Plan Review
9243,ADD/ALT,Plan Review
9244,ADD/ALT,Plan Review
9245,ADD/ALT,Plan Review
9246,ADD/ALT,No plan review
9247,ADD/ALT,No plan review
9248,ADD/ALT,No plan review
9249,ADD/ALT,Plan Review
9250,ADD/ALT,No plan review
9251,NEW,Plan Review
9252,TEMP,Plan Review
9253,ADD/ALT,Plan Review
9254,NEW,Plan Review
9255,ADD/ALT,No plan review
9256,ADD/ALT,No plan review
9257,NEW,Plan Review
9258,NEW,Plan Review
9259,NEW,Plan Review
9260,DEMOLITION,No plan review
9261,ADD/ALT,No plan review
9262,ADD/ALT,No plan review
9263,ADD/ALT,No plan review
9264,ADD/ALT,No plan review
9265,ADD/ALT,No plan review
9266,ADD/ALT,No plan review
9267,NEW,Plan Review
9268,ADD/ALT,No plan review
9269,DEMOLITION,No plan review
9270,,Plan Review
9271,ADD/ALT,Plan Review
9272,ADD/ALT,Plan Review
9273,ADD/ALT,Plan Review
9274,ADD/ALT,Plan Review
9275,DEMOLITION,No plan review
9276,NO CONSTRUCTION,Plan Review
9277,TREE/VEGETATION MAINT/RESTORE,No plan review
9278,TREE/VEGETATION MAINT/RESTORE,No plan review
9279,TREE/VEGETATION MAINT/RESTORE,No plan review
9280,ADD/ALT,Plan Review
9281,TREE/VEGETATION MAINT/RESTORE,No plan review
9282,ADD/ALT,No plan review
9283,TREE/VEGETATION MAINT/RESTORE,No plan review
9284,ADD/ALT,No plan review
9285,ADD/ALT,No plan review
9286,ADD/ALT,No plan review
9287,ADD/ALT,No plan review
9288,ADD/ALT,No plan review
9289,ADD/ALT,No plan review
9290,ADD/ALT,No plan review
9291,DEMOLITION,No plan review
9292,DEMOLITION,No plan review
9293,ADD/ALT,No plan review
9294,NEW,Plan Review
